,table_names,table_vers,created_dates,updated_dates,descriptions,comments
27,ADPS-MESSAGE-REC,1,1981-11-20,,USED TO MAP MESSAGES ON TERML,
98,ADPT2Z-32,1,1981-11-23,,REAPPLICATION,
113,ADPT4E-02,1,1981-11-24,1990-09-26,REPLACEMENT OF INTERIM INSTRUMENTS,
114,ADPT4E-15,1,1981-11-24,,REPLACEMENT OF INTERIM INSTRUMENTS,
2067,SUBSCHEMA-CTRL,2,1981-11-24,2010-07-16,,
30,ADPS-RECAP-XTRA,1,1981-12-07,1982-02-11,EXTENSION TO ADPS-RECAP-REC,
1087,MAP-WORK-RCRD,1,1981-12-07,1997-03-07,MAP WORK RECORD,
1223,PIMAST,1,1981-12-10,1981-12-15,PROPERTY INVENTORY MASTER RECORD,
29,ADPS-RECAP-REC,1,1981-12-14,1983-10-18,RECORD USED TO MAP RECAP SCREEN,
451,COMMN,1,1981-12-17,,RECORD FOR DATA IN COMMON ON ALL INPUTS,
2110,TAPIN1,1,1981-12-17,,REPRESENTS 80-CHARACTER INPUT,
2111,TAPIN5,1,1981-12-17,,REPRESENTS FIELDS IN TRANSACTION P1,
2112,TAPIN6,1,1981-12-17,1982-01-22,COMPOSITE INPUT RECORD OF ELEMENTS CITED,
3607,WORK1,1,1981-12-17,,DEFINES 100 BYTES DATA AS ONE ELEMENT,
3608,WORK2,1,1981-12-17,,DEFINES 80 BYTES AS A SINGLE ELEMENT,
3605,WORKP1,1,1981-12-17,,INPUT TRAN UPDATE PIDESC DATA,
3606,WORKP5,1,1981-12-17,,CHANGE OF LOCATION-CUSTODIAN,
452,COMMON1,1,1981-12-19,,RECORD FOR DATA IN COMMON ON ALL INPUTS,
453,COMMON2,1,1981-12-19,,SORTS PIWRKC FILE ON BLOCK NUMBER,
38,ADPT-4R,1,1981-12-30,1981-12-30,INSTALLMENT RECORD.,
37,ADPT-4Q,1,1982-01-04,1982-04-05,LOAD BOND INSTALLMENTS.,
1209,PICNTL,1,1982-01-04,,PROPERTY INVENTORY CONTROL RECORD,
39,ADPT-4U,1,1982-01-06,1991-08-28,RE-ESTABLISH CLOSED LOAN ACCT.,
1210,PIDESC,1,1982-01-08,,PROPERTY INVENTORY DESCRIP RECORD,
1211,PIDETL,1,1982-01-08,,PROPERTY INVENTORY DETAIL RECORD,
72,ADPT1F-16,1,1982-01-12,1990-06-05,ADVISE OF LOAN CLOSING,
73,ADPT1F-26,1,1982-01-12,,ADVISE OF LOAN CLOSING,
159,ADPT4U-06,1,1982-01-13,1990-10-15,REESTABLISH CLOSED LN MONETARY CD,
162,ADPT4U-16,1,1982-01-13,1992-03-03,REESTABLISH CLOSED LN MONETARY CD,
164,ADPT4U-26,1,1982-01-13,1993-04-29,REESTABLISH CLOSED LN MONETARY CD,
165,ADPT4U-33,1,1982-01-13,,NAME/ADDRESS CARD - 3RD OCCURRENCE,
191,ADPT8H-12,1,1982-01-16,,COMBINE/SPLIT NEW LOAN,
192,ADPT8H-22,1,1982-01-16,,COMBINE/SPLIT NEW LOAN,
193,ADPT8H-32,1,1982-01-16,1982-12-01,COMBINE/SPLIT LOAN,
74,ADPT1G-05,1,1982-01-20,1983-01-24,CR-SL OF ACQUIRED R E FORMER BORR,
3644,XREF-ENTRY-REC,1,1982-01-25,1982-02-05,EXCESS PAYMENT,
2043,STAT-CNTRL,1,1982-02-10,1982-03-19,STATUS CONTROL RECORD,
65,ADPTS301,1,1982-02-23,1993-10-04,TAX/INSURANCE SCREEN,
67,ADPTS601,1,1982-02-26,1983-01-25,UNCLOSED LOANS,
70,ADPTS801,1,1982-02-26,2009-03-20,INSTALLMENT OVERFLOW SCREEN,
41,ADPTSC01,1,1982-03-03,1983-12-22,INSURED OTC DIRECT LOAN COST SCREEN,
44,ADPTSD01,1,1982-03-04,1995-11-22,DIRECT OTC CLOSED LOANS SCREEN,
3645,XREF-RETURN-REC,1,1982-03-04,1983-04-06,,
47,ADPTSF01,1,1982-03-10,1995-11-22,DIRECT RH CLOSED LOANS SCREEN,
48,ADPTSG01,1,1982-03-10,1983-12-22,EMPLOYEE ACCOUNT OR JUDGMENT SCREEN,
55,ADPTSQ01,1,1982-03-10,1983-12-22,THIRD PARTY JUDGMENT SCREEN,
50,ADPTSH01,1,1982-03-15,1984-12-06,JURIS. AA CLOSED @ UNCLOSED LOAN SCREEN,
52,ADPTSL01,1,1982-03-15,1992-01-21,CLSD LNS EXCEPT JURIS AA AND ASSOC,
57,ADPTSR01,1,1982-03-16,1983-02-03,JURIS. AA UNCLSD COST ITEMS SCREEN,
45,ADPTSE01,1,1982-03-17,1983-01-25,D/RURAL HOUSING--UNCLOSED SCREEN,
3609,WORK3,1,1982-04-02,,REPRESENTS SUM OF PI BLKS PROC SA WORK3,
124,ADPT4Q-A,1,1982-04-05,,,
125,ADPT4Q-B,1,1982-04-06,,LOAD BOND INSTALLMENTS.,
126,ADPT4Q-C,1,1982-04-06,,LOAD BOND INSTALLMENTS.,
127,ADPT4Q-D,1,1982-04-06,,LOAD BOND INSTALLMENTS.,
128,ADPT4Q-E,1,1982-04-06,,LOAD BOND INSTALLMENTS.,
129,ADPT4Q-F,1,1982-04-06,,LOAD BOND INSTALLMENTS.,
35,ADPT-1C1,1,1982-04-07,,LOAN CLOSING INSTALLMENTS.,
36,ADPT-1C2,1,1982-04-07,,LOAN CLOSING INSTALLMENTS.,
130,ADPT4Q-G,1,1982-04-07,,LOAD BOND INSTALLMENTS.,
131,ADPT4Q-H,1,1982-04-07,,LOAD BOND INSTALLMENTS.,
132,ADPT4Q-I,1,1982-04-07,,LOAD BOND INSTALLMENTS.,
133,ADPT4Q-J,1,1982-04-07,,LOAD BOND INSTALLMENTS.,
134,ADPT4Q-K,1,1982-04-07,,LOAD BOND INSTALLMENTS.,
135,ADPT4Q-L,1,1982-04-07,,LOAD BOND INSTALLMENTS.,
136,ADPT4Q-M,1,1982-04-07,,LOAD BOND INSTALLMENTS.,
137,ADPT4Q-N,1,1982-04-07,,LOAD BOND INSTALLMENTS.,
138,ADPT4Q-O,1,1982-04-07,,LOAD BOND INSTALLMENTS.,
139,ADPT4Q-P,1,1982-04-07,,LOAD BOND INSTALLMENTS.,
140,ADPT4Q-Q,1,1982-04-07,,LOAD BOND INSTALLMENTS.,
141,ADPT4Q-R,1,1982-04-07,,LOAD BOND INSTALLMENTS.,
142,ADPT4Q-S,1,1982-04-07,,LOAD BOND INSTALLMENTS.,
143,ADPT4Q-T,1,1982-04-07,,LOAD BOND INSTALLMENTS.,
144,ADPT4Q-U,1,1982-04-07,,LOAD BOND INSTALLMENTS.,
145,ADPT4Q-V,1,1982-04-07,,LOAD BOND INSTALLMENTS.,
146,ADPT4Q-W,1,1982-04-07,,LOAD BOND INSTALLMENTS.,
147,ADPT4Q-X,1,1982-04-07,,LOAD BOND INSTALLMENTS.,
148,ADPT4Q-Y,1,1982-04-07,,LOAD BOND INSTALLMENTS.,
149,ADPT4Q-Z,1,1982-04-07,1982-04-07,LOAD BOND INSTALLMENTS.,
194,ADPT8H-42,1,1982-04-07,1982-12-01,COMBINE/SPLIT LOAN,
195,ADPT8H-52,1,1982-04-07,1982-12-01,COMBINE/SPLIT LOAN,
196,ADPT8H-62,1,1982-04-07,1982-12-01,COMBINE/SPLIT LOAN,
197,ADPT8H-72,1,1982-04-07,1982-12-01,COMBINE/SPLIT LOAN,
151,ADPT4R-A,1,1982-04-08,,INSTALLMENT RECORD.,
152,ADPT4R-B,1,1982-04-08,,INSTALLMENT RECORD.,
153,ADPT4R-C,1,1982-04-08,,INSTALLMENT RECORD.,
154,ADPT4R-D,1,1982-04-08,,INSTALLMENT RECORD.,
156,ADPT4U-A,1,1982-04-08,1990-10-17,RE-ESTABLISH CLOSED LOAN ACCT.,
157,ADPT4U-B,1,1982-04-08,1990-10-17,RE-ESTABLISH CLOSED LOAN ACCT.,
158,ADPT4U-C,1,1982-04-08,1990-10-17,RE-ESTABLISH CLOSED LOAN ACCT.,
32,ADPS-STAT,1,1982-04-21,1982-08-26,INPUT STATUS RECORD TO ADPS,
54,ADPTSP01,1,1982-04-21,2002-01-03,OVERFLOW RECORD FOR ADVANCES,
2044,STAT-HEADER,1,1982-04-21,,INPUT STATUS HEADER RECORD TO ADPS,
59,ADPTSU01,1,1982-07-21,1983-01-25,GRANT,
672,FARMS-CASE,90,1982-08-14,1999-11-18,,CASE DATABASE RECORD.  CONTAINS COMMON CLIENT DATA FOR DISCREPANCY RECORDS.
744,FARMS-JURDCTN,90,1982-08-14,1999-11-18,,JURISDICTION DATABASE RECORD  KEY RECORD TO ASSOCIATE DISCREPANCY RECORDS BY ORGANIZATION.
768,FARMS-OVFLO,90,1982-08-14,1999-11-18,PARTIAL SALES RECORD,OVERFLOW DATABASE RECORD  RECORDS ADDITIONAL INFORMATION ON DESCRAPANCY  TRANSACTIONS PENDING CORRECTIVE ACTION.
816,FARMS-XREF-CLIENT,90,1982-08-14,,FUND BUDGET KEY REC,
1119,MRBE-,1,1982-08-14,2010-07-16,,"THIS RECORD IS REQUIRED FOR MAPPING FUNCTIONS, DO NOT DELETE"
2024,SSLRCT,1,1982-08-14,1994-10-22,,
2027,SSLRCTL,1,1982-08-14,2010-07-16,,
2074,SUBSCHEMA-LR-CTRL,1,1982-08-14,2010-07-16,,
2078,SUBSCHEMA_CTRL,4,1982-08-14,2010-07-16,,
2081,SUBSCHEMA_LR_CTRL,1,1982-08-14,2010-07-16,,
661,FARMS-ADVANCE,1,1982-08-24,1999-11-18,,ADVANCE DATABASE RECORD. CONTAINS DATA FOR LOAN ACCOUNTS WHICH HAVE BEEN ADVANCE FUNDS.  TO MAINTAIN ACCOUNT IN CURRENT STATUS.
666,FARMS-ALTMT,1,1982-08-24,1999-11-18,FDCDE/CDESTR JUNCTION RECORD,ALLOTMENT DATABASE RECORD
667,FARMS-AMORTD-CST,1,1982-08-24,1999-11-18,,AMORITIZED COST DATABASE RECORD.  CONTAINS DATA FOR AMORITIZED COST ITEMS  CHARGED AGAINST A LOAN.
671,FARMS-ASSOC-PRIN-BOND,1,1982-08-24,1999-11-18,,ASSOCIATION PRINCIPLE BOND DATABASE RECORD.  CONTAINS DATA LOANS SECURED WITH BONDS.
703,FARMS-DALLOT,1,1982-08-24,,,
708,FARMS-DALLOT-OTH,1,1982-08-24,1999-11-18,,DETAIL ALLOTMENT FOR OTHER
722,FARMS-FD-SIDE,1,1982-08-24,1999-11-18,FUND CODE / KIND CODE ACCESS RECORD,CONTAINS DATA ON APPROVED APPROPRIATIONS.
734,FARMS-INSURANCE,1,1982-08-24,1999-11-18,,INSURANCE DATABASE RECORD.  CONTAINS DATA ON INSURACE CHANGES APPLIED TO LOAN ACCOUNTS.
735,FARMS-INT-ASSTNC,1,1982-08-24,1999-11-18,,CONTAINS DATA ON INDIVIDUAL LOANS WHICH ARE  RECEIVING INTEREST ASSISTANCE.
752,FARMS-LOAN-DRE,1,1982-08-24,1982-08-25,LOAN SFSI RECORD,"THIS RECORD CONTAINS ELEMENTS FOR ALL LOANS WHICH HAVE FIRST POSITION OF FUND CODE EQUAL  TO THREE, SIX OR SEVEN"
753,FARMS-LOAN-OTC,1,1982-08-24,,,"THIS RECORD CONTAINS ELEMENTS FOR ALL LOANS WHICH HAVE FIRST POSITION OF FUND CODE EQUAL  TO ZERO, ONE OR TWO (EXCEPT FUND CODE 29)  AND FUND CODES 43 AND 44"
758,FARMS-MALLOT,1,1982-08-24,1999-11-18,ORGANIZATION MAIL CODE RECORD,MASTER ALLOTMENT DATABASE RECORD.  CONTAINS CUMMULATIVE APPROVED ALLOTMENTS.
760,FARMS-MALLOT-OTH,1,1982-08-24,1999-11-18,,MASTER ALLOTMENT JUNCTION RECORD  ASSOCIATES MULTIPLE ALLOTMENT RECORDS.
763,FARMS-NOTIFY-CNTRL,1,1982-08-24,1999-11-18,,NOTIFY CONTROL RECORD.  CREATED AS PART OF NIGHTLY BATCH PROCESSING.
770,FARMS-PLEREP,1,1982-08-24,1999-11-18,,PLEDGE LOAN REPORTING DATABASE RECORD.  RECORDS DATA ON INDIVIDUAL LOANS PLEDGED TO INVESTORS.
771,FARMS-PROG-SAVE,1,1982-08-24,1999-11-18,,PROGRAM SAVE DATABASE RECORD.  USED AS PART OF RESTART PROCESS FOR NIGHTLY BATCH  UPDATE PROCESS.
788,FARMS-RENTL-CNTRL,1,1982-08-24,1999-11-18,,RENTAL CONTROL DATABASE RECORD.
790,FARMS-RENTL-FY-UNIT,1,1982-08-24,1999-11-18,,RENTAL FISCAL YEAR UNIT DATABASE RECORD.
791,FARMS-RENTL-TTL,1,1982-08-24,1999-11-18,,RENTAL TOTAL DATABASE RECORD.
792,FARMS-RESCHEDULE,1,1982-08-24,1999-11-18,,RESCHEDULE DATABASE RECORD  CONTAINS DATA ON LOAN ACCOUNTS WHICH HAVE HAD  RESCHEDULED LOAN PAYMENT AGREEMENTS PROCESSED  FOR THEIR LOAN(S).
798,FARMS-STAT,1,1982-08-24,1982-08-26,,
800,FARMS-STOPPER,1,1982-08-24,1999-11-18,,STOPPER DATABASE RECORD.  USED AS PART OF NIGHTLY BATCH PROCESSING.
702,FARMS-CTY-LOOKUP,1,1982-09-29,1999-11-18,MISC DISCREPANCY INFORMATION,COUNTY LOOKUP DATABASE RECORD
733,FARMS-INSTALLMENT,1,1982-09-29,1999-11-18,,INSTALLMENT DATABASE RECORD.  CONTAINS INSTALLMENT DUE DATA ON INDIVIDUAL LOANS.
740,FARMS-INVSTR-INFO,1,1982-09-29,1999-11-18,,INVESTOR DETAIL RECORD.  CONTAINS COMMON DATA ON INVESTOR ACCOUNTS.
743,FARMS-JOB-RESTART,1,1982-09-30,1999-11-18,,JOB RESTART DATABASE RECORD.  USED TO RESTART NIGHTLY BATCH UPDATA PROCESS.
797,FARMS-ST-LOOKUP,1,1982-09-30,1999-11-18,LOAN SUBSIDY RECORD,STATE LOOKUP.  LOOKUP TABLE FOR STATE OFFICE INFROMATION.
198,ADPT8H-82,1,1982-12-10,,COMBINE/SPLIT LOAN,
199,ADPT8H-92,1,1982-12-10,,COMBINE/SPLIT LOAN,
188,ADPT8H-A2,1,1982-12-10,,,
189,ADPT8H-B2,1,1982-12-10,,COMBINE/SPLIT LOAN,
190,ADPT8H-C2,1,1982-12-10,,COMBINE/SPLIT LOAN,
961,INSTLMT-WORK-RCRD,1,1982-12-17,1983-02-04,DATA FOR G.L. INT ASSTNC CHECKS,THIS RECORD IS USED FOR THE INSTALLMENT OVERFLOW STATUS SCREENS
683,FARMS-CK-INFO-FRADS,1,1983-02-01,1999-11-18,,DAILY CHECK ISSUE DATABASE RECORD FOR FRADS SYSTEM
709,FARMS-DAPROC,2,1983-02-01,1999-11-18,,RECORD OF DAILY PROCESSED  TRANSACTIONS FROM NIGHTLY UPDATE.
680,FARMS-CK-CNTRL,2,1983-02-02,1999-11-18,,CHECK CONTROLS DATABASE RECORD  USED AS PART OF NIGHTLY UPDATE PROCESSING.
681,FARMS-CK-INFO,2,1983-02-03,1983-02-28,,
742,FARMS-JDGMT-3RD-PARTY,2,1983-02-03,1999-11-18,FARMS LEASE RECORD,THIRD PARTY JUDGMENT DATABASE RECORD.  CONTAINS DATA SUCH AS NAME AND ADDRESS OF INDIVIDUAL  NAMED AS 3RD PARTY TO JUDGMENTS AGAINST CLIENTS.
789,FARMS-RENTL-DTL,2,1983-02-04,1999-11-18,,RENTAL DETAIL DATABASE RECORD.
168,ADPT6C-02,1,1983-02-11,1983-03-28,CD#1 ADPS; 6D-ESTBLSH NEW-HDR; 6G-CORRCT,CORRECT CURRENT FIXED PERIOD OR MORTGAGE HOLDER CODE
175,ADPT6F-06,1,1983-02-11,1983-02-14,SALE OF INSURED LOANS - DETAIL CD (ADPS),REOPEN HOLDER ACCOUNT
179,ADPT6S-02,1,1983-02-11,,,HOLDER FOCAL INTEREST ADJUSTMENT
169,ADPT6D-13,1,1983-02-14,1983-02-16,,ESTABLISH NEW HOLDER CARD 1
170,ADPT6D-23,1,1983-02-14,1983-02-16,,ESTABLISH NEW HOLDER CARD 2
171,ADPT6D-33,1,1983-02-14,1983-02-16,,ESTABLISH NEW HOLDER CARD 3
178,ADPT6Q-02,1,1983-02-14,1983-02-23,,ESTABLISH OR REMOVE HOLDER SUSPEND CODE
200,ADPT9A-02,1,1983-02-14,,X(28)                            DISPLAY,HOLDER ACCOUNT ADJUSTMENT UNPAID INTEREST TIME OF SALE
766,FARMS-ORDERS,89,1983-02-15,1999-11-18,,ORDER DATABASE RECORD.  IS USED IN PROCESSING DESCREPANCIES FROM THE NIGHTLY  BATCH UPDATE. ORDER TRANSACTIONS TO BE PRESENTED  FOR CORRECTIVE ACTION.
762,FARMS-NOTIFY,2,1983-02-16,1999-11-18,,NOTIFY DATABASE RECORD.  CREATED AS PART OF NIGHTLY BATCH PROCESSING.
668,FARMS-APROPTN-LOOKUP,2,1983-02-17,1999-11-18,,APPROPRIATION LOOKUP DATABASE RECORD.  USED TO LOOKUP APPROPRIATION ACCOUNTING SYMBOLS.
707,FARMS-DALLOT-OBLGN,2,1983-02-17,1999-11-18,,DETAIL ALLOTMENT OBLIGATION DATABASE RECORD
769,FARMS-PD-ACCT-RVRSL,2,1983-02-17,1999-11-18,,PAID ACCOUNT REVERSAL DATABASE RECORD.  CREATED FOR LOAN ACCOUNTS WHICH ARE BEING REVERSED  FROM A FULLY PAID STATUS.
787,FARMS-REJECT-TRNSCTN,1,1983-02-17,1983-03-07,RESERVED RECORD FOR DBA,USED TO STORE REJECTED TRANSACTIONS FROM UPDATE PROCESSING
812,FARMS-USER-DOMAIN,90,1983-02-23,1983-04-21,USER STATISTICS ON TERMINAL SYSTEM,SECURITY MAINTENANCE SYSTEM STATE AND COUNTY
176,ADPT6I-02,1,1983-02-25,1983-02-25,,HOLDER NUMBER CORRECTION
177,ADPT6J-02,1,1983-02-25,1983-02-25,,EXTEND FIXED PERIOD
186,ADPT7H-02,1,1983-02-25,,,CHANGE IN HOLDER INTEREST
187,ADPT7X-02,1,1983-02-25,,,TRANSFER FROM ACTIVE TO CALL STATUS - SYNDICATE AND FNMA SALE
180,ADPT6T-02,1,1983-02-26,1983-03-05,,HOLDER CREDIT ADJUSTMENTS
185,ADPT7B-02,1,1983-02-26,,COMBINE/SPLIT LOAN,LOAN REPURCHASE/REDEMPTIONAND/OR SERVICING ACTION/REINVESTMENT IN CBO
732,FARMS-INSRNC-AUTHY,2,1983-03-01,1999-11-18,INT BDWN FOR GUARANTEED LOANS,INSURANCE AUTHORITY DATABASE RECORD.
1636,SCRTY-WORK-RCRD,1,1983-03-01,1986-01-29,WORK RECORD,
660,FARMS-ADPS-CNTRL,90,1983-03-03,1999-11-18,BORROWER AID RECORD,DATABASE RECORD USED TO GENERATE SEQUENCE NUMBERS  FOR AUTOMATED DATA PROCESSING SYSTEM.
710,FARMS-DISCRP,89,1983-03-03,1999-11-18,,DATABASE RECORD FOR DISCREPANCY  WHICH ARE PRODUCED FROM THE NIGHTLY UPDATE.
804,FARMS-TRNSCTN-CNTRL,90,1983-03-03,1983-04-21,TRANSACTION HISTORY RECORDS,ANCHOR RECORD FOR ASSEMBLING VARIOUS TRANSACTION RECORDS BY TYPE OF ACTION
845,FNOBL-RCRD,1,1983-03-04,1984-03-23,FULL MATURITY EQUITY RECEIVABLE,THIS IS THE CONVERSION FINOBL RECORD TO BE USED IN IBM PROGRAMS. PICTURES FOR SOME ELEMENTS HAVE BEEN OVERRIDEN TO REFLECT THE NON-STANDARD PICTURE ESTABLISHED DURING CONVERSION
12,ACQPRO-RCRD,1,1983-03-05,1983-06-08,FOR ACQUIRED,STANDARD RECORD DESCRIPTION FOR ACQUIRED PROPERTY TAPE FILE PICTURE AND USAGE FOR SOME ELEMENTS HAVE BEEN OVERRIDDEN TO CREATE RECORD AS ESTABLISHED DURING CONVERSION
2215,UNLOB-RCRD,1,1983-03-05,1984-03-23,,THIS IS THE CONVERSION UNLOB RECORD TO BE USED IN IBM PROGRAMS. PICTURES FOR SOME ELEMENTS HAVE BEEN OVERRIDEN TO REFLECT THE NON-STANDARD PICTURE ESTABLISHED DURING CONVERSION
2116,TAXINS-RCRD,1,1983-03-07,1983-06-08,,STANDARD RECORD DESCRIPTION FOR TAX AND INSURANCE TAPE FILE.
1002,LEAPRO-RCRD,1,1983-03-08,1994-07-12,LEASE ACCOUNT RECORD,STANDARD RECORD DESCRIPTION FOR LEAPRO TAPE FILE PICTURES FOR SOME ELEMENTS HAVE BEEN OVERRIDEN TO REFLECT THE NON-STANDARD PICTURE ESTABLISHED DURING CONVERSION
1105,MPFIND-RCRD,1,1983-03-08,1983-06-08,,STANDARD RECORD DESCRIPTION FOR MPFIND TAPE FILE PICTURES FOR SOME ELEMENTS HAVE BEEN OVERRIDEN TO REFLECT THE NON-STANDARD PICTURE ESTABLISHED DURING CONVERSION
1155,NOTIF-RCRD,1,1983-03-08,,,STANDARD RECORD DESCRIPTION FOR NOTIFI PICTURE AND USAGE FOR SOME ELEMENTS HAVE BEEN OVERRIDDEN TO CREATE RECORD AS ESTABLISHED DURING CONVERSION
676,FARMS-CHECKS,2,1983-03-09,1983-03-09,CLIENT RECORD,
61,ADPTSV01,1,1983-03-15,1984-03-14,INVSTR DETAIL STATUS SCREEN WRK RCRD,INVESTOR INFORMATION STATUS WORK RECORD
63,ADPTSW01,1,1983-03-24,1986-12-18,,INVESTOR DETAIL STATUS SCREEN WORK RECORD
921,HLDR-RCRD,1,1983-05-02,1983-06-08,STD REC DESC FOR HOLDER TAPE FILE,
524,DB-WORK-RCRD,1,1983-05-05,1983-05-05,WORK RECORD,
