ln_nbr,fd_cde,kind_cde_ln,int_rate_note,int_rate_note_1st,pymt_typ_cde,dir_pymt_cde,dte_amortn_efctv,dstr_dclrd_cde,mrg_cntrl,docmt_typ_cde,dte_oblgn_ln,asstnc_typ_cde,ln_amt_oblgn,begng_frmr_rnchr_cde,colltl_cde,cpn_procg_dte,case_nbr_chng_cde,pymt_asstnc_meth_cde,int_rate_prev,int_rate_prev_redfnd
464379,1,6,10.1554,13.253,3,0,2013-08-13,1,39,B,2015-04-16,234,16947.28,W,5,2022-07-15,7,3,13.7704,16.6149
515224,5,9,5.6474,17.7747,7,9,2011-12-01,3,58,F,2011-03-20,255,498567.69,W,9,2022-09-30,7,9,8.8372,12.0411
358673,2,0,10.4582,10.9312,2,1,2011-08-25,3,71,B,2015-11-12,532,242494.95,R,2,2017-05-18,3,3,6.1059,12.1933
751444,8,8,6.5665,5.2463,9,8,2011-07-29,7,70,A,2019-03-10,723,251064.52,R,3,2014-12-08,3,9,6.9515,8.4367
281166,7,6,10.4589,17.2222,6,2,2013-03-27,2,13,B,2021-03-06,585,262746.33,F,5,2013-08-26,6,0,6.4939,9.4137
682451,1,8,12.0382,8.5425,4,0,2019-04-02,6,26,C,2020-01-12,153,37054.58,O,4,2020-04-13,2,3,5.6626,15.8526
563321,5,6,1.183,7.9419,6,3,2020-06-01,3,60,G,2016-03-19,237,428102.19,R,3,2020-12-07,3,0,14.4445,11.529
287789,3,6,9.0051,6.4249,9,6,2013-06-22,2,46,F,2020-02-23,371,100352.4,R,1,2020-06-25,9,5,7.1012,10.1096
377416,6,6,2.391,9.6705,1,9,2014-10-02,2,68,B,2012-12-05,857,48823.75,O,7,2020-08-22,3,7,12.491,9.5281
697061,4,2,13.5259,10.0139,7,4,2016-05-06,4,29,A,2020-01-31,925,463851.72,W,1,2016-01-02,0,1,5.8355,10.8553
486344,1,9,12.2196,17.3272,1,6,2020-05-07,7,86,G,2021-07-25,290,395731.26,R,2,2022-03-23,0,5,14.4282,9.4021
107189,7,1,3.3964,11.7733,4,2,2019-12-26,3,14,B,2013-02-22,547,99855.05,F,2,2021-12-14,1,0,5.7796,15.3561
783624,6,0,4.4607,17.3386,4,1,2011-01-17,8,18,G,2021-09-03,864,349708.82,O,1,2022-11-15,0,7,12.4341,5.2962
767184,2,6,7.1498,10.5707,2,6,2013-11-23,2,51,E,2019-12-01,903,114029.66,W,1,2020-03-16,6,0,9.8757,5.0103
272147,6,2,14.9171,15.3161,8,6,2014-09-13,6,23,C,2012-11-03,387,361719.48,R,1,2014-05-16,4,1,9.408,8.8239
227160,9,3,5.1158,16.0388,1,1,2012-07-27,1,16,A,2018-04-30,317,252607.71,R,6,2019-10-31,1,4,9.8303,13.1253
303751,3,7,13.7316,5.7997,7,5,2013-12-28,5,67,D,2017-10-07,874,150001.28,O,5,2012-04-26,2,5,7.0567,14.7389
495736,1,0,13.5859,16.7087,6,0,2011-08-15,4,33,A,2013-02-28,858,299622.23,R,2,2017-05-28,8,5,9.8962,5.3026
698804,1,4,10.7141,14.9077,2,4,2019-06-13,8,40,A,2016-05-05,693,338583.69,F,7,2019-04-26,9,3,10.9274,15.4984
768368,1,0,2.53,17.2736,6,6,2011-09-08,6,60,G,2013-10-03,552,132302.33,O,8,2013-09-25,3,3,6.4722,17.8249
420509,4,2,6.5622,15.4012,3,6,2017-01-16,2,48,G,2012-07-11,588,107387.98,F,3,2017-06-01,4,9,11.732,8.4321
458395,7,0,7.0864,6.0179,9,8,2017-09-15,4,35,C,2014-10-10,663,405827.2,F,7,2012-09-10,8,4,10.7066,11.7981
276898,2,3,10.2414,16.1916,2,7,2010-09-02,9,53,F,2011-07-15,728,289200.03,F,6,2015-08-19,2,3,8.347,9.1871
590034,7,6,5.5138,16.7107,1,8,2016-08-08,5,15,B,2019-06-01,413,339795.71,F,9,2013-04-25,2,9,12.6169,13.5178
442543,6,5,9.25,6.0154,6,3,2012-12-07,6,44,A,2020-01-23,314,81948.02,W,9,2019-05-07,2,4,9.3997,5.2292
109781,6,5,2.8439,9.1183,5,4,2012-04-09,1,59,B,2020-09-04,657,473639.13,W,7,2018-05-11,9,9,14.1892,8.5155
296077,6,6,4.8236,5.2026,3,8,2011-04-16,1,29,C,2011-04-08,661,433184.89,O,6,2016-08-09,3,9,12.4261,5.7353
109674,3,9,12.7295,6.3746,1,8,2020-08-13,7,58,A,2015-10-24,796,63010.69,W,2,2016-08-15,9,6,11.1047,15.1314
460105,8,1,2.8642,11.152,6,7,2014-01-01,1,55,B,2019-02-21,538,156961.31,W,7,2012-08-30,5,4,11.7301,6.9849
229307,0,1,13.0756,12.4766,2,5,2019-03-11,3,38,E,2018-04-29,467,126988.89,F,1,2022-05-23,6,7,5.0154,8.0128
330545,1,3,1.6823,17.6599,1,4,2018-05-03,3,54,A,2018-12-11,104,129115.42,W,6,2020-04-05,6,8,6.9822,16.5573
112512,2,2,5.2242,11.9536,9,2,2018-09-13,2,13,C,2012-07-05,547,292782.28,R,1,2012-12-12,6,0,10.7907,11.2383
883889,9,4,6.5595,7.4719,9,1,2017-09-03,7,26,D,2018-03-09,807,188659.7,O,3,2012-10-09,3,7,8.4127,17.9963
570860,6,5,2.2843,15.1946,2,9,2018-12-05,9,19,D,2012-06-10,538,361725.37,R,1,2015-11-09,5,5,12.7172,8.9884
869891,3,4,8.4254,6.1356,3,1,2015-12-01,5,73,B,2019-01-31,898,178208.71,R,4,2018-02-25,6,8,8.5101,10.9533
593549,8,1,11.5142,11.0739,5,2,2015-07-25,9,40,C,2011-08-04,331,67834.33,W,7,2022-08-31,6,6,7.0136,16.9288
294393,0,6,1.3442,9.7114,1,2,2019-02-03,2,39,F,2013-09-28,399,182020.41,O,5,2014-12-01,7,4,14.5023,17.9119
103200,5,7,14.5399,16.139,2,7,2013-04-19,4,60,A,2017-06-25,761,103077.34,W,1,2014-10-07,8,8,10.7257,5.4669
758593,3,9,13.1443,11.9049,1,5,2020-05-20,4,75,G,2019-12-10,914,377264.68,O,1,2021-04-12,1,2,6.4677,13.8657
741716,9,6,8.0882,12.4335,2,1,2013-07-23,3,33,A,2018-06-04,880,129371.11,F,8,2014-11-09,5,6,10.7255,17.6321
430338,9,4,1.2619,11.1374,8,3,2012-01-25,9,39,F,2018-12-30,778,193018.27,O,5,2013-04-30,5,2,13.2499,10.314
884418,0,8,8.2839,13.1495,6,4,2014-03-22,5,19,G,2021-08-28,442,319942.84,R,7,2014-07-09,6,0,8.5472,11.1267
761330,0,2,5.9313,7.3954,7,2,2012-03-10,5,83,E,2014-07-11,491,476223.17,O,7,2019-01-04,3,7,12.9859,16.9686
246403,5,9,5.8994,8.1982,9,4,2012-07-15,9,54,E,2011-12-30,126,270282.85,O,8,2020-04-14,4,6,14.3725,14.2732
847101,4,3,14.5078,14.6434,2,2,2017-03-12,1,73,A,2021-04-24,460,370606.96,R,1,2016-09-30,7,1,13.4669,9.881
583227,5,4,10.8992,14.9069,8,7,2018-11-05,3,53,F,2020-03-31,915,380735.83,W,9,2014-05-21,6,7,11.5834,8.2905
891619,8,1,3.208,11.9896,2,5,2013-12-29,3,34,E,2011-08-25,505,362016.15,O,5,2012-11-15,2,2,14.8986,15.8909
863657,3,1,1.2502,11.049,4,3,2020-02-18,3,30,D,2012-02-15,495,405152.81,R,6,2015-03-08,9,4,5.444,18.9905
402694,6,6,4.3228,7.6963,7,1,2011-09-03,5,59,C,2019-12-03,696,441886.04,R,2,2017-06-26,6,6,9.3599,16.8083
754446,2,6,6.0699,10.938,2,7,2011-05-30,8,14,B,2014-03-13,387,107672.99,R,3,2019-07-26,6,2,14.4606,6.9435
105447,5,1,14.0332,10.2935,3,3,2018-06-07,6,48,C,2017-07-26,291,83210.67,F,2,2021-04-24,2,9,13.5835,10.3221
530627,9,8,9.0219,14.7278,4,3,2017-12-21,7,79,B,2012-08-23,378,251307.39,R,4,2017-11-06,0,3,5.6166,10.0764
511097,9,3,13.9787,14.1609,4,2,2018-11-27,9,35,F,2017-11-27,269,423562.54,F,6,2020-05-28,4,2,7.7273,6.7616
677515,4,2,8.288,6.7766,8,6,2011-06-01,5,72,F,2011-11-13,269,487475.67,W,6,2012-10-31,7,9,11.536,11.2965
135984,1,1,9.1288,6.8773,4,9,2014-04-22,9,61,D,2015-07-17,816,70469.15,F,3,2016-05-05,9,3,13.7179,13.3382
330287,7,3,5.5297,6.7913,7,3,2012-07-25,8,13,D,2015-04-07,350,228541.09,O,6,2013-01-19,4,6,10.0758,8.6575
862190,4,9,9.0199,15.1227,7,8,2019-07-22,4,74,E,2015-02-08,763,43621.58,O,1,2014-08-22,2,9,5.7099,12.3471
869245,3,0,10.074,15.7244,2,1,2011-02-08,8,29,D,2019-12-14,874,28200.59,F,2,2015-03-23,8,3,8.9759,16.9027
674097,7,9,5.2461,10.0033,5,2,2018-12-26,1,67,G,2018-05-22,551,165043.77,R,7,2022-12-16,8,3,9.7185,10.0862
627162,7,3,6.2795,7.1564,1,6,2012-07-11,5,24,D,2020-12-14,302,154129.56,F,2,2022-02-05,0,9,14.23,14.44
627057,4,1,9.522,5.5793,7,9,2020-11-10,6,68,B,2020-06-13,130,136043.65,W,1,2020-04-29,5,6,8.5533,18.5474
246297,2,0,1.0323,7.0492,1,7,2019-07-26,8,21,E,2011-06-27,820,296777.47,F,6,2016-08-28,4,9,6.1512,8.4047
527040,6,6,14.0593,15.9078,3,6,2018-08-05,3,48,E,2017-03-30,346,170172.18,O,6,2012-10-28,0,6,5.3724,13.3907
687408,3,1,3.1701,6.2061,6,8,2017-09-20,3,17,B,2021-06-19,406,291341.35,F,5,2022-08-16,7,1,5.7751,10.2761
413095,1,2,12.6581,16.2706,1,0,2016-09-12,1,82,D,2019-02-09,585,383627.92,W,6,2014-04-28,3,8,12.1928,15.2642
796793,3,3,10.6666,17.1496,9,2,2015-06-17,9,40,D,2013-04-09,871,291727.8,O,8,2012-01-23,2,8,13.619,18.5107
280300,9,8,12.8544,12.4995,9,6,2020-03-14,5,42,B,2014-11-14,696,331803.6,W,7,2016-12-30,2,5,9.9473,17.2303
820648,8,9,4.1943,8.8331,9,8,2018-04-02,7,67,F,2019-06-15,185,328516.82,W,4,2020-12-22,6,5,6.051,16.3353
117646,4,9,4.9956,9.7225,7,2,2015-08-23,2,89,F,2012-11-25,216,447854.01,O,6,2014-04-21,7,8,5.822,11.1756
502917,4,9,10.7974,17.1617,2,0,2017-08-22,4,20,A,2015-10-07,277,30498.21,F,3,2013-02-03,1,3,12.7052,18.2502
312336,5,3,12.6993,7.3079,7,7,2011-02-02,1,85,E,2014-01-03,465,157153.57,O,7,2022-02-15,7,1,7.0678,18.4168
251673,6,2,2.1955,13.1718,8,2,2017-03-31,9,25,D,2021-10-08,235,474349.1,F,1,2018-08-31,3,3,9.0148,12.8908
498471,8,3,10.9575,8.2609,3,8,2020-08-13,8,85,D,2019-10-10,879,46412.39,O,4,2015-03-01,5,9,12.4212,17.0015
694941,1,5,13.8995,7.8405,2,6,2013-03-13,6,27,C,2014-04-17,103,164894.61,R,3,2016-08-10,6,4,6.9886,10.6161
655950,0,9,13.7657,15.0652,3,2,2011-09-12,4,60,B,2015-11-07,905,51465.08,O,1,2018-03-28,4,3,12.2406,8.6731
547118,4,0,11.4937,17.1951,1,1,2015-01-08,1,61,C,2015-08-29,560,456938.45,W,3,2018-05-06,5,9,8.0151,6.9414
576157,2,9,8.4055,12.43,3,3,2016-06-30,8,51,C,2015-10-25,244,495317.06,R,9,2012-09-29,6,1,10.0776,5.5137
752373,0,7,3.2693,5.1185,2,6,2017-03-31,8,51,E,2020-05-15,917,149704.92,R,6,2013-07-26,3,3,11.2711,18.8667
631642,0,2,10.4686,16.3853,9,4,2016-02-28,3,63,C,2012-06-17,324,249330.98,F,1,2022-11-08,8,2,14.8827,5.0841
496081,3,8,10.8412,9.1526,6,9,2014-09-30,9,80,A,2016-10-07,808,151421.83,O,2,2018-12-26,0,3,10.4386,9.2287
330750,4,4,12.9795,12.0559,6,0,2018-04-11,1,50,F,2013-05-01,121,375824.63,F,9,2021-03-05,8,0,11.7916,6.5616
191882,7,6,4.1131,17.9579,5,2,2014-02-25,4,90,E,2015-07-11,887,58800.73,R,8,2021-04-11,5,0,9.2553,14.6791
312324,3,5,14.3677,16.7639,1,8,2012-10-16,3,47,G,2011-07-04,870,344919.09,W,6,2017-12-30,8,0,6.4001,13.6323
119806,3,9,4.0524,15.517,4,8,2011-04-08,5,19,B,2021-06-28,754,49684.78,W,9,2020-08-03,2,0,7.3641,13.3924
131509,5,4,4.5307,14.5783,6,1,2016-02-24,7,38,E,2014-12-26,183,412111.9,O,6,2016-07-03,1,7,12.6148,6.0202
532319,3,6,12.8175,5.9722,6,1,2011-05-10,6,29,D,2016-10-16,902,470540.61,O,8,2017-03-17,3,2,14.1597,16.1955
564847,8,5,11.8171,16.9057,3,6,2014-02-24,3,39,D,2013-06-12,876,335206.08,F,1,2012-06-17,5,8,7.7411,17.1649
204534,1,6,13.4514,6.3683,6,1,2020-02-18,2,31,C,2013-05-24,224,92220.12,W,1,2015-04-28,0,9,10.7965,15.9638
168770,0,0,6.7084,16.3792,4,6,2014-07-17,3,55,B,2018-03-24,933,49951.96,R,9,2016-03-04,0,6,12.3212,5.6602
453352,1,0,13.3724,13.1919,5,6,2015-08-01,7,53,E,2011-05-07,288,371263.52,R,2,2021-11-13,7,4,14.1311,7.551
252818,2,3,3.2057,5.2791,2,4,2020-07-28,5,28,A,2012-06-26,451,269557.77,F,7,2020-12-31,3,8,7.443,6.9642
685505,8,2,10.0462,7.3041,5,8,2014-11-28,2,12,E,2019-11-05,197,62988.4,F,9,2021-07-22,2,2,13.3259,6.3454
293726,2,2,14.935,16.8035,6,8,2019-08-10,1,78,E,2015-05-12,327,457649.66,O,2,2014-10-09,2,2,10.2975,17.5955
495334,3,4,1.554,17.4698,6,9,2018-05-17,1,66,G,2017-06-28,848,382120.7,O,4,2013-08-03,1,9,9.8229,10.8904
118917,0,2,10.0039,12.2887,4,0,2010-11-18,8,39,E,2012-01-29,224,209124.81,F,2,2020-08-09,2,3,9.9887,14.7352
856018,7,0,3.3028,10.1601,4,7,2014-12-21,2,87,C,2021-12-18,475,198438.72,F,8,2018-08-31,4,1,14.5572,14.2891
869647,1,5,10.553,17.4178,3,3,2019-09-10,7,51,A,2016-09-19,820,218422.81,F,9,2015-07-08,3,1,13.5246,12.9714
899739,0,4,7.1067,7.0539,6,6,2018-09-29,3,90,D,2018-09-17,399,350958.68,W,6,2020-02-25,0,4,13.5216,13.422
218421,2,7,5.4585,7.7554,6,0,2018-03-06,9,70,C,2015-04-13,484,497216.38,W,2,2015-08-25,6,2,9.0355,5.2879
614950,5,4,11.7143,8.1185,6,3,2016-10-11,9,54,B,2012-11-17,666,431631.32,R,8,2015-01-29,6,9,5.5598,15.6707
267400,9,7,1.2243,13.7451,1,4,2019-03-07,2,63,F,2013-04-20,414,470829.27,R,2,2013-07-21,6,4,9.5856,11.4903
755318,4,2,8.0546,10.6285,8,9,2015-09-23,8,22,B,2011-06-18,523,335574.39,W,7,2019-02-03,4,6,6.962,16.2671
383576,8,7,12.7486,16.9093,7,7,2010-04-07,5,56,F,2012-02-27,498,490851.36,W,6,2022-01-20,1,5,12.9492,15.0107
124634,2,9,8.0104,16.4283,4,3,2020-05-16,2,58,F,2012-05-16,681,480110.03,W,5,2019-06-24,0,8,8.2576,7.5373
887269,5,4,7.4462,14.1888,2,3,2012-05-18,7,46,F,2012-09-28,647,472681.93,F,2,2013-10-08,8,4,12.3894,10.6096
564416,3,2,13.7594,17.985,3,1,2013-08-15,6,31,C,2019-09-17,315,276409.44,F,9,2013-09-14,2,0,14.7466,10.5377
228810,4,4,13.981,16.8204,3,0,2020-11-02,4,56,B,2020-11-24,229,118515.32,W,1,2015-05-03,7,5,6.1081,15.6308
694350,6,6,13.9721,6.3711,7,2,2019-03-29,6,47,A,2015-10-02,687,373405.08,O,9,2013-01-03,5,5,11.6762,11.5215
701090,1,0,10.6041,14.4505,3,7,2012-11-18,8,16,B,2019-04-05,578,185881.45,F,5,2015-07-23,1,2,10.3582,7.3204
710350,7,6,12.059,11.6541,4,3,2020-01-02,8,88,G,2018-01-04,426,395075.0,W,3,2013-07-10,0,6,6.8402,13.5873
247169,4,1,11.9235,14.2657,6,9,2012-03-20,7,71,C,2020-11-01,687,100859.71,R,4,2015-04-06,0,2,12.9506,7.4033
291686,8,5,12.011,12.6743,3,8,2019-11-08,4,78,F,2012-03-07,735,160659.29,F,2,2018-08-21,8,5,6.4423,18.8377
226390,5,8,14.709,13.3286,7,4,2016-04-28,6,20,B,2021-02-16,846,409361.74,F,8,2020-09-19,6,0,13.1457,5.7521
727858,0,4,13.5527,14.3226,2,2,2010-07-06,8,22,C,2013-08-29,504,326829.49,O,9,2018-09-21,9,8,7.8354,14.7191
171968,2,0,13.264,8.2232,1,9,2018-02-17,4,42,E,2021-02-12,444,467720.74,R,1,2018-08-13,2,7,6.1727,12.1094
645786,8,8,5.5619,8.0406,3,5,2017-02-15,6,29,B,2011-10-15,578,289570.67,W,8,2021-04-15,2,9,8.2005,12.8144
467461,0,9,3.7313,11.6496,2,5,2018-06-08,9,65,C,2021-02-01,376,206655.12,O,7,2014-11-08,5,6,14.627,5.2443
157943,2,2,7.6311,13.6586,9,8,2018-03-13,2,25,B,2018-09-16,321,118876.5,R,1,2020-01-23,8,9,13.0679,16.2166
396081,4,6,5.5132,5.449,1,4,2012-11-23,9,28,G,2018-10-19,104,334877.59,W,8,2020-07-07,0,2,6.7276,6.5643
160404,7,1,11.2788,14.4506,7,0,2019-10-28,6,29,C,2020-08-16,526,194801.66,W,5,2022-04-01,3,8,10.2065,12.4508
600147,5,6,7.8617,17.0292,3,8,2016-05-13,9,39,G,2019-01-25,887,427385.35,R,1,2018-10-20,1,1,9.1927,6.6111
827902,1,8,3.495,14.4808,3,8,2017-07-09,9,24,G,2020-01-16,779,193812.93,R,1,2012-02-05,2,0,5.8473,14.9755
700336,1,2,4.6955,10.4049,4,5,2012-12-31,7,14,E,2016-05-03,382,184039.99,F,9,2020-05-28,7,5,11.1398,5.0538
391147,9,6,14.5849,11.3006,3,1,2019-11-17,9,65,C,2020-05-04,295,399329.03,F,5,2018-06-19,1,3,12.3147,10.0447
747378,6,4,4.9494,10.1834,3,4,2019-03-21,5,24,C,2013-03-16,727,455623.38,F,4,2018-11-23,3,2,13.1622,6.7017
686367,1,1,2.4226,10.9614,6,4,2017-02-14,5,83,E,2017-06-27,344,228955.55,F,3,2021-01-03,5,0,5.3729,15.683
589732,2,3,6.6676,9.1398,8,1,2015-10-05,5,20,B,2021-11-10,135,314705.72,R,9,2012-03-03,3,4,8.4938,11.7569
544259,0,0,13.9507,6.6124,2,1,2011-07-22,6,60,D,2012-03-31,807,279106.1,F,7,2012-05-25,7,4,7.5152,7.4057
541876,6,0,10.9173,5.0334,7,7,2017-01-10,8,12,G,2011-03-04,150,489490.33,F,5,2016-08-07,5,5,11.6924,6.0655
260763,8,3,12.1926,13.7659,7,1,2017-07-17,8,18,A,2019-04-09,270,249549.82,R,2,2018-03-22,5,7,13.4966,16.4324
151837,9,4,5.4931,7.5758,3,0,2012-10-29,6,77,G,2012-12-05,280,155101.07,W,1,2016-11-06,2,3,8.3056,6.5045
359470,1,8,8.6218,9.667,4,9,2019-09-23,1,14,A,2018-07-17,510,170689.31,W,2,2021-04-01,9,6,8.0329,15.3907
196651,4,9,2.6697,8.9391,4,9,2019-02-04,5,56,B,2012-04-22,470,357840.9,R,4,2020-12-06,7,3,8.6723,5.886
259282,1,3,10.4845,16.2719,2,4,2014-07-15,9,38,G,2020-05-14,456,73771.61,R,7,2016-07-26,8,1,10.7796,7.2477
410778,0,2,11.3221,11.6131,4,8,2018-02-08,5,73,E,2016-09-08,232,226256.89,F,5,2021-05-12,3,9,8.1439,12.7948
519003,8,1,2.4562,17.2306,9,9,2010-09-14,6,63,A,2013-07-28,500,330036.3,F,7,2012-05-31,1,0,5.8218,12.6897
765842,0,0,1.8664,15.1538,1,7,2016-02-19,7,16,G,2019-05-29,769,248799.32,F,6,2014-04-11,1,7,11.7609,13.738
659802,3,4,3.2701,14.6655,7,7,2016-05-11,3,75,F,2016-07-19,144,386393.05,O,4,2021-04-06,5,2,7.0234,14.3487
644436,4,3,13.9347,10.397,8,3,2010-05-22,5,90,C,2017-07-28,219,88632.1,R,2,2018-08-17,0,1,12.585,10.8309
250925,0,7,11.8724,12.0966,1,9,2010-01-15,3,68,F,2018-06-08,383,292653.27,O,6,2022-05-03,0,1,8.5549,18.6769
499005,8,7,6.9648,12.8505,3,7,2013-08-10,1,19,B,2016-01-26,707,436187.22,R,9,2017-11-21,3,9,6.2737,14.9413
159953,7,9,6.9539,6.9336,8,9,2010-09-14,9,54,C,2018-03-06,381,143487.81,R,2,2019-05-09,5,6,10.2452,15.3126
480499,2,0,5.2563,15.6614,3,8,2011-08-03,1,57,A,2016-08-09,503,241068.86,F,6,2015-07-29,6,9,9.5593,11.5077
459005,3,6,9.4769,15.6554,2,0,2015-12-29,7,27,G,2015-09-03,755,336852.35,W,9,2016-01-09,7,5,7.0457,8.884
654206,2,4,14.3108,13.2579,1,4,2020-04-21,5,12,C,2013-09-05,922,408373.58,F,4,2022-05-07,3,9,9.7825,16.2779
397653,9,2,8.3966,14.9362,6,7,2011-01-21,8,88,E,2017-09-12,937,286014.93,F,1,2013-04-18,5,5,7.5317,18.3606
