INT-RATE-BORR,INT-RATE-BORR-1ST,APPLTN-CDE,FULLY-PD-CDE,FULLY-MTURD-CDE,ADVNC-UNCLSD-CDE,ACT-COLLCTN-ONLY-CDE,ASSOC-TYP-NOTE-CDE,PURCH-CDE,NBR-PYMTS-AMORTN,INSTLMTS-INT-ONLY-CNT,SALE-STAT-CDE,FIXD-PRD-INIT-LGTH,MORT-HLDR-CDE,YR-LN-CLSD,DTE-LN-SLD-OR-PLDGD,FMHA-DIR-TO-INSRD-CDE,DTE-CLSG,DTE-LN-EXPRTN,LN-AMT,RECVRBL-CST-CHGS,PRIN-CR-LN,INT-CR-LN,INT-FCL-LN,SCHED-STAT,PYMT-EXTRA-AMT-CUM,CR-NON-CSH-APPLTN-TYP-CDE,CR-NON-CSH-LST-AMT-APPLD,DTE-LST-NON-CSH-CR,DTE-LST-CSH-CR,DTE-NEXT-INSTLMT-DUE,INSTLMT-DUE-NEXT-AMT,INSTLMT-NEXT-TYP-CDE,MTURD-CDE-DIR-RE,DTE-INSTLMT-DUE,INSTLMT-DUE-AMT,INSTLMT-TYP-CDE,SUSP-CDE-LN,DTE-LST-RGSTR-DTL,RGSTR-TYP-LST-CHNG,LN-NBR-OLD,INT-ASSTNC-CDE,WRTF-CDE
3.5866,5.2233,3,0,2,3,0,1,C,038,4,2,41,79,20,2020-09-06,0,2018-07-18,2041-11-05,2998681.38,35303.35,32865.89,17501.13,18844.16,44123.43,56599.73,G,74888.57,2015-07-03,2019-07-28,2013-03-02,1743.32,4,5,2014-12-16,2620.39,Q,9,2011-06-17,39,55,4,O
1.2039,2.5133,3,0,1,3,0,0,U,121,6,4,37,74,20,2012-06-17,0,2020-03-10,2050-01-31,3887733.79,20840.82,20694.02,13173.12,38379.8,24329.87,64104.98,A,72476.51,2015-08-27,2019-10-30,2015-08-16,2047.89,3,7,2013-08-11,2120.42,S,8,2020-03-17,32,36,3,S
1.7807,14.8266,2,0,2,1,1,1,T,190,5,4,17,62,20,2011-04-01,1,2020-10-14,2044-05-17,2651880.4,33467.44,46028.35,17170.93,10558.99,45907.86,51866.48,Y,35221.67,2019-09-26,2013-03-11,2013-08-29,1538.55,1,6,2017-12-21,1288.92,S,7,2018-02-12,32,23,3,F
14.3195,9.0283,3,0,0,2,1,1,U,287,1,2,40,65,20,2016-08-12,0,2013-10-15,2044-06-26,3708110.11,35821.59,39853.0,23592.07,47265.67,17307.88,36383.0,M,78872.95,2013-08-10,2015-01-29,2019-05-05,2260.46,3,6,2021-04-25,1970.58,W,6,2020-02-01,22,54,2,B
12.7125,5.0981,2,1,2,3,0,1,D,016,6,4,33,74,20,2012-12-24,0,2012-12-21,2047-10-02,242203.39,38967.5,40714.01,24655.3,29658.47,12356.82,21186.87,X,64503.77,2018-04-05,2014-10-15,2016-11-13,2030.12,5,7,2021-07-29,2497.63,A,8,2010-12-02,31,69,4,N
12.6547,1.8791,3,0,1,3,0,1,S,104,6,1,10,67,20,2020-07-04,1,2017-04-08,2043-01-11,241799.57,17597.6,39780.52,31601.79,42517.73,14499.92,37013.95,Z,88264.07,2018-08-07,2017-04-23,2014-06-11,1128.48,3,7,2016-06-05,2999.43,M,6,2016-11-07,40,29,5,Y
1.9255,4.5805,1,0,1,3,1,0,D,243,2,3,15,74,20,2016-06-12,0,2018-12-22,2042-06-05,3021945.99,29479.85,25353.22,16509.0,30074.56,39004.77,64683.88,B,63307.88,2019-08-25,2016-04-08,2013-05-09,1656.95,2,7,2019-12-03,1271.52,A,8,2010-10-29,20,06,4,S
8.0759,13.5247,2,1,2,0,1,1,U,202,5,3,42,62,20,2021-02-01,0,2015-08-19,2050-06-20,3279360.96,14453.37,12861.67,18292.93,18423.49,46756.47,46735.86,O,34994.19,2014-01-30,2013-03-21,2014-05-10,3931.05,1,5,2018-09-16,3767.85,Q,6,2018-06-26,34,41,3,K
10.1199,6.4114,3,1,0,3,1,1,C,041,3,1,41,70,20,2021-07-17,0,2018-09-30,2049-05-19,3157897.6,20722.04,12509.31,38445.65,39025.08,45054.73,47949.04,U,32346.53,2013-07-30,2019-01-25,2017-03-01,3920.02,3,6,2021-08-21,2992.22,Q,7,2010-12-25,35,84,4,Y
5.6584,11.634,3,1,1,0,0,1,C,052,4,1,19,66,20,2014-09-23,1,2020-09-26,2050-06-24,387248.48,18472.67,17923.94,20797.98,10066.74,23837.75,49702.39,B,39747.98,2016-01-13,2019-11-20,2015-10-18,1265.35,1,7,2016-05-15,2358.47,Q,5,2013-04-17,32,63,1,E
7.8289,3.5215,3,1,0,0,1,1,D,010,6,3,50,75,20,2020-06-24,1,2011-12-27,2041-09-20,357794.84,44930.24,26769.22,10026.4,15882.16,38266.25,25473.32,L,61691.24,2017-07-23,2015-01-09,2019-11-25,3317.55,6,5,2017-10-15,1814.61,Q,5,2019-06-19,35,18,5,P
11.1939,8.3382,3,1,2,1,1,1,C,159,3,3,48,78,20,2019-03-01,0,2015-10-21,2044-10-12,1894270.83,35434.05,20046.71,32306.59,29455.09,16249.62,60386.72,N,64785.15,2014-06-20,2015-04-08,2018-09-10,1687.32,4,4,2013-12-02,1687.25,W,5,2015-11-03,33,13,5,J
1.9109,9.6121,1,1,2,1,1,0,C,260,6,1,37,73,20,2011-10-02,1,2011-12-04,2041-07-06,3134281.44,21739.83,23378.71,39736.84,37716.02,17849.98,33487.62,C,81052.26,2013-09-21,2015-10-12,2015-02-22,2577.48,6,6,2018-03-29,2924.95,Q,7,2010-03-13,32,43,2,U
4.507,3.876,2,1,2,3,1,1,C,091,6,4,12,79,20,2012-06-30,0,2018-05-17,2051-05-23,119114.51,49551.89,13887.95,41176.34,29782.72,15790.79,33552.67,G,81513.66,2017-03-28,2016-10-22,2018-11-07,1596.14,3,6,2015-05-03,3038.18,Q,7,2019-07-05,31,19,5,J
7.5385,12.715,2,1,1,1,0,1,T,028,2,1,36,67,20,2013-09-06,1,2012-06-14,2043-09-08,3539798.6,49712.1,22945.95,13885.18,16293.33,33073.2,60944.35,R,53308.66,2013-06-09,2015-07-28,2015-10-17,2670.69,3,5,2017-01-02,1085.8,M,9,2010-03-09,39,28,3,U
11.2446,14.7884,3,0,1,3,1,0,C,097,4,1,20,66,20,2016-05-22,0,2017-03-05,2044-05-27,1330951.48,40761.49,34979.95,38652.6,18271.47,20303.36,28871.03,F,83242.92,2019-03-23,2017-01-12,2015-05-29,2619.16,6,6,2012-05-21,3486.06,S,5,2017-11-27,38,86,3,J
12.5115,9.121,3,1,0,0,1,0,S,115,1,2,33,61,20,2019-12-19,1,2018-03-20,2049-05-04,1944614.63,23593.07,28876.56,26847.51,39664.5,41568.48,34107.83,Q,82040.24,2019-09-18,2015-08-26,2014-10-07,1795.15,5,5,2015-11-15,3280.44,S,5,2019-10-01,27,17,5,Y
9.7282,3.3332,2,1,0,0,0,1,V,235,3,3,30,79,20,2021-11-27,0,2018-07-31,2049-03-23,2064916.87,42463.43,24671.18,34375.27,42349.34,18541.01,37708.93,E,79940.72,2016-05-18,2019-06-04,2018-04-29,1608.78,4,4,2012-02-16,2128.17,Q,8,2018-12-28,24,91,5,F
7.4748,11.4105,2,0,0,2,0,1,V,151,6,2,30,62,20,2021-02-26,0,2011-12-11,2046-02-15,3556760.1,29286.98,28411.54,29714.98,10083.39,17461.93,66599.9,S,58088.74,2017-05-25,2015-02-21,2016-06-14,3297.48,3,4,2013-08-27,2664.03,Q,9,2013-11-15,21,15,5,A
2.9658,14.7327,2,0,0,1,0,1,D,162,3,1,43,73,20,2016-09-09,0,2011-07-14,2045-01-05,382364.14,46725.01,30430.45,25147.7,31742.5,49322.23,42849.55,C,59827.44,2014-06-07,2014-02-23,2017-04-11,3050.37,6,7,2016-09-21,3593.47,S,6,2012-07-22,37,85,1,J
2.0826,8.3204,2,1,1,3,0,0,T,204,2,4,30,77,20,2011-04-14,0,2019-01-28,2046-09-13,1309534.5,31422.59,10086.69,36121.83,19161.81,42591.75,46895.38,X,54232.59,2014-03-19,2017-05-29,2015-08-27,3645.84,4,6,2018-03-09,3557.53,Q,9,2014-11-14,30,12,4,O
5.7178,8.3226,2,1,1,2,0,1,S,299,3,1,22,72,20,2019-02-06,1,2018-11-24,2048-02-07,845186.06,27730.78,35197.15,39554.44,43386.91,42074.44,44323.52,H,67164.29,2018-10-11,2015-11-17,2016-10-21,3186.22,4,4,2015-01-31,1797.84,W,8,2010-08-30,26,95,4,A
7.1784,13.7485,2,1,1,2,1,1,D,143,6,1,48,70,20,2016-02-18,0,2018-06-24,2051-09-25,3651989.5,22641.06,27809.7,14914.79,24314.88,33183.51,65524.09,E,41242.01,2016-12-25,2016-01-17,2017-03-30,3666.15,5,7,2012-09-05,2935.05,W,9,2017-07-19,27,52,1,P
13.6282,6.95,2,1,0,1,0,0,S,183,2,2,39,74,20,2015-03-21,1,2011-05-03,2044-02-15,2782756.55,48637.58,12447.27,22598.76,22786.28,32573.52,64191.62,J,58758.74,2013-03-23,2018-01-19,2017-09-03,2318.33,3,6,2021-10-28,3744.05,M,9,2013-03-23,39,92,2,F
13.6811,5.1062,1,1,1,0,0,1,U,146,4,1,44,74,20,2018-03-17,1,2020-11-06,2047-05-25,4254002.52,49246.89,41158.11,19784.94,45575.47,35978.76,50102.35,D,44602.5,2015-12-07,2016-12-10,2014-07-25,2461.77,4,5,2019-06-16,2392.83,M,5,2016-01-26,20,64,5,H
2.6445,2.8857,2,0,1,0,1,1,V,283,1,4,28,75,20,2019-12-09,1,2012-01-21,2049-04-21,4680585.75,28559.79,11641.43,13649.29,26649.11,34765.85,54378.32,A,86227.58,2017-06-23,2017-12-25,2018-10-09,3429.8,5,6,2021-05-02,2309.06,A,9,2017-03-24,22,12,4,Q
14.2906,1.1309,2,0,0,2,1,1,D,083,4,1,26,72,20,2021-03-04,1,2017-11-14,2048-04-12,1582755.93,22752.26,31490.02,19898.64,15839.69,47499.48,57331.41,T,57335.28,2018-05-22,2013-05-16,2017-07-06,2451.89,1,7,2021-05-25,1033.2,W,5,2019-05-15,29,83,3,E
2.0504,14.2869,3,1,2,1,1,0,C,268,4,4,34,70,20,2014-11-05,1,2016-08-31,2047-07-12,3683750.43,39347.16,12908.91,36133.16,10085.12,37102.47,24956.63,Y,47239.27,2015-12-28,2013-02-20,2019-09-27,3289.14,2,7,2012-12-14,3335.12,M,8,2011-04-22,30,23,3,A
7.8169,1.0713,1,1,2,1,1,1,C,195,5,3,12,62,20,2019-01-31,0,2013-02-24,2047-01-17,437115.09,31662.89,32389.72,11936.29,44814.64,13601.68,37949.9,E,31090.37,2018-06-29,2019-03-22,2018-11-10,2562.76,3,4,2022-07-07,3413.5,Q,5,2015-04-17,30,76,1,Q
10.8928,6.0803,1,1,0,0,0,1,T,243,4,3,22,74,20,2017-05-04,1,2019-06-28,2048-09-30,1711492.04,44116.36,14296.91,13119.22,17536.71,18730.95,25362.4,Z,64857.74,2016-10-23,2018-12-20,2015-01-30,3342.13,2,4,2015-02-26,3044.41,W,9,2020-03-05,33,33,2,B
7.2271,14.8505,3,1,0,2,0,0,T,209,3,1,20,75,20,2020-06-14,1,2020-03-06,2050-08-23,2363832.76,49820.51,12077.82,47261.71,48335.53,43268.27,46282.81,U,36953.97,2019-09-27,2014-02-03,2013-12-12,1515.88,2,5,2020-04-23,1656.22,W,6,2013-03-06,31,32,1,N
14.0047,7.6217,3,0,2,2,1,0,C,240,2,1,37,60,20,2015-05-26,0,2011-01-03,2045-02-28,2971300.16,45968.47,25338.03,14315.48,33097.66,30571.21,52255.23,K,35881.95,2016-09-13,2013-07-04,2019-10-13,1674.77,3,4,2022-03-15,2970.04,M,8,2015-09-26,27,59,1,H
1.7913,13.9607,3,0,0,1,1,0,T,228,3,2,31,64,20,2017-05-08,1,2012-03-31,2043-02-05,665952.44,38812.22,31890.37,46705.12,18416.36,15988.11,62759.04,J,76770.41,2014-05-01,2014-08-16,2017-09-21,3286.54,6,5,2012-01-08,2532.07,A,8,2020-05-15,29,06,2,S
5.5955,1.7352,1,0,0,1,0,1,V,049,1,2,36,61,20,2017-01-25,0,2019-04-23,2041-05-13,613977.73,39219.44,41185.65,22946.26,38985.37,34576.83,44984.39,F,84261.09,2017-04-27,2016-03-17,2014-06-09,3242.56,2,6,2012-02-29,2680.25,Q,8,2015-11-24,34,36,3,R
6.7183,2.4672,2,1,1,2,0,0,D,249,4,1,22,78,20,2018-02-17,0,2013-10-30,2048-03-23,3308831.14,12788.25,24261.76,24461.19,31056.9,20122.61,65830.92,J,64036.74,2017-02-15,2016-11-10,2016-09-06,3841.96,6,6,2019-09-27,1762.38,S,6,2010-01-27,26,91,4,M
8.7573,13.4037,3,1,0,0,1,0,V,183,5,1,32,77,20,2014-08-07,1,2013-08-14,2050-11-22,1344189.63,19577.9,27739.33,33276.62,45757.48,22651.79,48816.54,P,49621.64,2017-05-31,2015-03-26,2015-04-18,3290.42,1,7,2015-05-18,2550.53,S,9,2012-03-10,32,07,1,V
13.1583,7.8051,3,1,2,2,0,1,D,099,2,3,17,68,20,2014-02-03,0,2013-07-06,2049-08-27,2418150.71,48805.29,43355.05,48164.24,33197.58,32295.86,23331.96,A,60107.93,2013-10-04,2019-10-12,2017-03-03,2935.57,6,6,2022-03-14,3858.09,S,8,2015-03-12,21,24,3,R
3.7765,7.7796,1,1,2,2,1,0,T,089,2,3,29,72,20,2012-03-22,0,2016-05-04,2041-03-31,4287121.53,25544.17,21058.01,29637.62,23112.85,18025.44,38283.9,T,85406.04,2018-08-10,2017-11-01,2015-11-08,3018.85,5,7,2018-12-07,1993.56,M,8,2014-12-21,22,33,3,S
14.1487,3.5942,2,1,1,0,0,0,C,074,6,2,43,66,20,2015-05-20,0,2021-06-15,2042-03-10,3779158.36,29059.82,36058.9,13489.53,37061.82,15961.3,65071.03,M,62110.19,2013-04-11,2019-02-21,2018-09-12,3874.7,2,5,2014-12-30,2346.29,W,6,2014-08-29,38,07,4,C
5.1911,9.755,3,1,1,0,1,0,D,034,2,4,26,75,20,2017-12-22,1,2017-04-11,2044-02-25,876176.37,12037.61,34481.08,49735.47,36896.93,17891.61,50453.29,B,42117.96,2014-01-18,2019-12-16,2013-12-28,2158.88,5,7,2021-08-02,1040.24,A,9,2020-03-24,36,39,3,S
11.5744,14.8271,2,0,0,2,0,0,T,200,3,1,50,73,20,2012-06-15,1,2016-09-29,2044-03-17,2357375.87,29526.21,14208.97,25339.75,36103.41,46807.14,21994.87,Y,67086.04,2018-12-01,2017-03-30,2015-12-05,1216.08,3,6,2017-06-11,2285.88,W,7,2010-04-12,20,36,1,M
5.3199,7.1778,1,0,2,2,1,1,S,119,2,4,19,60,20,2011-08-02,1,2012-02-07,2050-03-06,3032153.65,24750.26,44977.18,12416.19,48031.32,26396.81,21703.94,N,69956.38,2018-03-07,2018-07-16,2014-02-24,1335.7,4,6,2022-07-18,3269.98,M,6,2010-03-21,24,77,2,T
2.9832,10.1656,3,0,0,0,0,1,U,012,6,2,31,69,20,2012-07-19,0,2015-05-30,2050-04-02,4271582.48,40751.67,19316.53,18199.32,40974.86,40662.54,43751.52,T,39993.92,2017-12-09,2015-11-02,2017-02-03,1289.93,4,4,2012-11-11,3442.36,S,6,2018-12-22,24,69,3,N
2.895,2.6646,1,0,0,1,1,1,C,254,1,3,50,78,20,2018-01-22,1,2016-05-24,2051-07-09,2212242.25,43231.15,46968.2,10213.55,48280.43,37541.46,29429.24,F,37036.31,2019-05-23,2016-12-23,2019-11-13,3695.42,2,5,2016-12-07,2967.78,A,8,2020-03-25,21,97,4,K
5.9841,8.8907,1,0,1,1,0,0,D,231,3,2,50,66,20,2011-05-08,1,2015-06-11,2046-06-22,1165848.45,26366.71,43692.16,22033.3,37554.85,31544.58,66507.19,P,48810.85,2018-07-08,2015-02-20,2015-06-06,1055.11,6,7,2015-01-02,2958.16,S,6,2016-11-01,34,25,1,U
1.3924,1.0952,2,0,1,3,0,0,V,110,1,2,22,80,20,2014-01-08,0,2021-05-28,2044-01-08,4156513.83,38220.62,23598.94,29073.02,45222.35,38821.87,54341.24,Y,82738.79,2018-09-28,2015-02-05,2015-11-14,2186.56,5,5,2013-06-08,1031.34,A,6,2011-12-06,33,47,2,C
4.7338,14.6807,2,1,2,1,1,0,D,158,3,1,39,74,20,2020-01-21,1,2011-01-08,2042-02-07,1859934.93,32822.06,45016.21,38979.19,46908.09,40049.66,64491.18,F,82501.26,2016-11-07,2014-03-23,2013-09-26,2464.76,3,4,2014-08-20,2344.15,Q,7,2011-12-20,32,43,4,E
8.9104,2.7434,1,1,2,2,1,1,D,204,6,4,11,66,20,2017-11-10,0,2011-08-05,2044-11-08,2657917.43,46931.41,16541.18,26935.15,11023.54,40662.59,31859.28,A,81600.84,2014-08-11,2014-04-14,2014-05-02,3833.44,2,5,2013-09-10,1686.19,Q,7,2012-06-17,31,79,5,K
7.0863,9.532,2,1,0,2,1,0,U,245,2,1,42,80,20,2018-03-26,1,2020-03-03,2047-11-07,2737793.01,41820.03,47595.1,46560.14,47084.74,49363.61,26921.96,M,64558.25,2018-12-07,2017-02-14,2015-10-11,3373.32,5,6,2021-07-15,3614.48,W,7,2017-05-16,23,49,4,Z
10.841,7.6435,1,0,0,2,0,0,S,082,3,3,33,74,20,2021-04-05,0,2021-10-24,2041-02-02,928150.42,46025.82,14414.45,39694.57,27451.87,12446.4,48825.05,E,80772.42,2019-05-03,2014-11-15,2016-04-29,1858.39,6,7,2012-02-12,2763.37,S,6,2017-11-11,38,47,5,S
12.1919,6.9116,2,0,1,2,1,1,U,012,6,3,48,70,20,2016-09-04,1,2019-04-07,2050-03-09,2335985.51,40800.9,26162.45,45215.83,15827.54,27857.09,33389.53,W,79851.38,2015-06-30,2019-10-29,2014-07-01,2137.93,2,7,2015-11-27,2371.58,A,6,2011-11-21,22,79,1,W
14.0304,7.8661,1,0,0,2,0,1,V,047,4,3,10,70,20,2018-01-30,0,2015-12-01,2050-07-23,405260.92,23603.94,15749.69,43397.46,15395.37,41740.08,21184.5,W,71718.78,2016-07-28,2014-12-16,2018-09-08,3728.3,5,7,2017-09-06,2174.99,A,9,2014-08-06,31,29,4,P
9.6043,5.7791,2,1,1,0,0,1,T,261,2,3,10,66,20,2020-06-11,0,2017-08-28,2047-04-21,2120170.08,16837.79,27244.68,43230.61,22111.13,19824.65,32286.62,B,72412.81,2019-01-06,2015-08-06,2017-12-09,2226.72,4,7,2016-05-16,1046.06,S,8,2014-01-09,24,69,4,V
2.3249,4.569,3,0,2,1,0,1,C,095,5,2,18,77,20,2014-04-20,0,2014-10-12,2042-06-06,2814656.62,18206.11,29890.44,21753.57,43123.65,49870.2,29122.96,D,55969.47,2013-06-30,2016-10-14,2018-07-27,2304.83,5,6,2018-10-26,2592.07,A,6,2011-11-06,35,46,1,Q
2.1112,13.8191,3,0,2,3,1,1,U,129,1,1,39,62,20,2015-11-14,0,2013-10-09,2048-08-02,3190296.72,39061.04,20581.28,25888.97,16578.05,10115.47,65311.53,A,81691.59,2017-01-10,2015-01-13,2018-12-16,1126.77,3,7,2016-05-12,2325.17,S,6,2018-10-26,38,61,4,U
5.8344,13.0635,1,0,1,3,1,0,U,208,3,3,13,78,20,2014-07-03,0,2018-09-04,2051-01-14,1542926.46,46525.83,17577.65,17123.92,46369.57,33968.06,52471.11,O,66338.15,2019-07-03,2015-09-30,2017-04-02,2511.93,2,7,2013-03-15,1047.96,M,7,2012-04-02,30,80,1,X
3.2298,3.1961,2,0,0,1,0,0,C,130,6,3,27,79,20,2016-05-20,0,2021-03-07,2050-11-17,1376291.4,49196.23,48385.46,12837.46,49146.25,29626.55,31503.94,L,39147.93,2016-06-07,2015-08-02,2015-03-14,3415.46,1,7,2012-02-29,3632.64,W,7,2011-01-26,37,20,1,Z
1.0055,5.8663,2,1,2,0,0,0,U,047,6,4,30,67,20,2012-07-02,0,2012-08-09,2046-10-16,923141.19,40798.23,32304.9,27381.3,28624.55,32695.81,63065.83,R,75288.52,2013-07-22,2016-02-27,2019-05-18,3610.11,6,6,2018-10-22,3516.85,A,6,2014-11-23,20,88,1,V
12.554,1.8951,3,1,0,2,1,0,S,168,2,2,34,72,20,2014-06-19,1,2021-06-27,2051-04-11,2477374.42,25669.63,25895.02,35083.08,33420.22,28338.34,54937.24,S,72280.22,2015-06-02,2017-08-23,2013-11-18,1062.03,2,5,2022-02-15,2820.16,W,8,2019-06-19,22,94,4,M
11.4454,6.3413,3,1,1,0,0,1,T,155,2,3,31,77,20,2020-12-03,1,2020-05-26,2044-03-24,2380822.84,45115.68,36601.02,14407.78,33154.47,20235.04,68184.97,Q,58751.37,2019-11-06,2019-10-22,2018-04-20,3661.61,1,6,2019-05-16,3631.78,Q,7,2013-07-15,24,94,2,G
11.9595,12.5669,2,1,0,0,0,0,U,229,4,2,38,76,20,2016-09-26,0,2013-12-17,2047-11-05,4124241.99,38634.45,46886.75,30296.63,38665.76,40845.34,33142.27,B,89296.73,2013-09-14,2015-06-14,2017-07-17,3718.61,2,4,2021-12-13,1089.13,S,8,2020-01-02,32,28,3,N
4.3037,11.0158,1,1,2,0,0,0,U,252,5,4,43,74,20,2018-02-20,1,2011-11-13,2048-09-29,3373291.73,48925.64,12256.21,33472.34,42551.75,31798.79,22920.37,I,80354.07,2013-03-20,2013-10-22,2013-06-09,1582.6,5,5,2013-04-18,1928.76,S,5,2012-06-29,26,78,3,O
3.9454,9.7143,1,0,2,1,1,1,C,220,6,2,25,67,20,2021-03-25,0,2015-05-30,2042-07-10,4134516.33,18313.47,33484.4,42200.69,22183.21,44519.87,45810.56,M,53079.51,2018-03-08,2015-03-07,2019-08-28,1020.16,5,6,2014-01-03,3144.2,Q,5,2019-07-06,26,50,1,W
1.9301,12.8667,2,0,0,1,0,1,S,196,2,1,36,63,20,2021-03-04,1,2020-11-14,2045-05-16,759976.32,25257.86,33522.95,14147.14,15204.88,35386.94,36710.12,O,56284.96,2015-03-03,2018-07-25,2016-06-02,2506.5,1,7,2012-11-20,2087.64,A,6,2016-08-30,22,75,1,H
8.4687,2.959,1,1,0,2,0,1,U,161,4,4,40,71,20,2019-01-19,1,2012-03-07,2046-01-22,2277983.16,17909.4,17789.23,37127.1,20189.8,27881.39,59271.65,T,51550.59,2015-11-26,2015-09-21,2016-12-26,2640.54,3,4,2014-02-05,2364.79,W,5,2012-03-18,36,95,1,A
13.086,3.8143,3,1,2,0,0,0,V,068,4,1,20,74,20,2021-07-21,0,2012-02-11,2048-12-25,726927.71,39036.0,20218.71,22414.91,19776.19,26113.35,59313.07,L,30600.8,2015-10-25,2013-12-05,2018-07-31,2450.84,3,6,2013-11-13,3420.01,A,8,2018-01-13,38,94,3,J
8.0367,14.9681,3,1,2,2,1,1,V,274,5,4,27,79,20,2018-11-17,1,2011-09-21,2041-12-28,600725.89,20356.07,19901.84,40838.86,41831.43,23981.35,68906.37,N,63592.79,2014-12-01,2015-02-15,2014-10-23,2205.62,3,6,2021-11-08,2658.17,S,5,2018-07-14,22,99,2,U
