LN-NBR,FD-CDE-2,FD-CDE-3RD,FD-CDE-4TH,KIND-CDE-LN,INT-RATE-NOTE,INT-RATE-NOTE-1ST,PYMT-TYP-CDE,DIR-PYMT-CDE,DTE-AMORTN-EFCTV,DSTR-TYP-CDE,FY-DSTR-DCLRD,DSTR-DCLRD-NBR,MRG-CNTRL,DOCMT-TYP-CDE,DTE-OBLGN-LN,ASSTNC-TYP-CDE,LN-AMT-OBLGN,BEGNG-FRMR-RNCHR-CDE,COLLTL-CDE,CPN-PROCG-DTE,CASE-NBR-CHNG-CDE,PYMT-ASSTNC-METH-CDE,INT-RATE-PREV,INT-RATE-PREV-REDFND
42,21,4,1,64,5.4142,0.054142,8,6,112714,1,8,592,74,C,60516,751,-7913.57,O,2,72320,4,5,7.8792,0.078792
72,62,3,6,63,3.4435,0.034435,6,1,60923,1,2,746,68,B,51021,994,55840.44,O,3,120321,0,2,9.4966,0.094966
91,41,9,1,63,9.3411,0.093411,6,5,123122,9,5,133,13,F,21323,388,-1492.4,R,9,70920,4,2,9.2951,0.092951
17,41,9,3,62,1.7913,0.017913,9,5,42621,7,3,950,74,D,120421,1,-6095.78,F,5,101614,5,2,4.9033,0.049033
98,62,4,1,66,8.815,0.08815,4,5,81320,2,5,90,52,G,91313,672,-865677.83,W,1,111821,9,0,4.846,0.04846
33,62,4,3,67,9.283,0.09283,0,1,112118,5,0,659,83,G,110622,742,-75340.9,R,7,121217,6,3,8.6027,0.086027
36,82,9,2,64,6.3029,0.063029,3,6,32622,5,5,801,22,G,122018,370,770374.25,O,0,122314,2,9,3.1123,0.031123
26,62,4,7,60,3.8782,0.038782,0,3,82614,4,3,570,82,D,33013,210,35181.8,R,3,92921,5,9,1.146,0.01146
96,62,5,1,60,2.43,0.0243,7,5,52219,7,4,151,25,C,10321,831,658.29,R,0,11213,2,8,9.3701,0.093701
24,21,5,9,64,6.1287,0.061287,0,8,12919,2,4,691,36,G,52321,770,9506.15,O,7,111213,5,2,2.3767,0.023767
40,62,5,6,67,3.1234,0.031234,6,3,112223,8,7,507,25,C,123123,934,-55982.78,R,5,61517,9,3,5.8505,0.058505
28,42,1,3,68,2.4949,0.024949,4,1,42818,5,6,235,3,C,31416,135,-73644.47,R,5,81116,5,8,4.7168,0.047168
89,62,6,2,68,8.638,0.08638,5,8,51217,5,9,703,52,B,92416,781,-209.4,F,6,61322,3,8,8.428,0.08428
89,62,6,4,62,3.608,0.03608,6,9,60415,6,5,689,72,E,120317,382,-7647.32,W,4,42523,0,5,4.7242,0.047242
32,21,6,8,66,5.9169,0.059169,4,5,31319,1,4,984,76,D,122517,950,-16355.79,F,1,92316,1,4,6.1279,0.061279
43,42,1,7,65,8.169,0.08169,7,5,92315,4,5,705,74,F,80621,669,-79930.22,R,8,73013,8,7,6.6379,0.066379
17,83,1,5,64,1.2525,0.012525,2,1,50723,6,5,724,59,B,92420,607,24543.75,O,6,102020,0,6,1.9741,0.019741
66,21,7,1,64,7.254,0.07254,3,8,112213,3,9,976,44,G,51515,155,1096.9,R,1,60614,6,8,9.6114,0.096114
71,83,1,7,68,8.4496,0.084496,1,9,51121,0,3,820,4,C,82114,610,-8099.6,R,5,111022,3,2,4.9006,0.049006
66,62,7,6,63,4.7518,0.047518,3,6,30515,6,9,520,6,G,20820,533,2678.61,W,6,102923,9,2,3.7779,0.037779
38,83,2,4,65,2.9562,0.029562,6,2,121420,7,4,413,79,B,102320,217,74987.98,F,7,32921,5,6,3.7813,0.037813
52,42,2,8,68,3.1088,0.031088,1,1,20619,5,6,768,42,A,91017,342,-663183.72,R,0,61421,1,1,1.5232,0.015232
60,21,8,4,62,7.374,0.07374,3,5,72617,1,4,525,80,A,111122,340,-2121.46,W,3,122922,0,7,3.8125,0.038125
77,62,8,1,64,2.4224,0.024224,0,9,111617,6,2,589,65,F,112015,376,703374.85,W,9,82020,1,7,5.3597,0.053597
99,62,8,2,65,2.5171,0.025171,2,6,100415,5,8,556,85,C,42318,163,89633.1,O,0,112219,3,1,1.3142,0.013142
0,42,3,4,62,1.508,0.01508,6,1,90414,8,0,346,14,G,90816,100,50833.81,R,1,121515,3,8,8.3712,0.083712
46,42,3,5,68,8.9826,0.089826,0,5,72622,3,8,672,18,E,90816,708,542441.23,O,1,30513,9,4,5.1659,0.051659
13,42,3,9,67,6.5921,0.065921,6,4,51514,4,9,948,60,F,71415,328,933.8,F,1,123120,2,6,7.1275,0.071275
47,62,8,9,63,5.8258,0.058258,8,6,42113,9,4,999,76,D,30515,648,68280.84,W,1,40320,4,5,2.7273,0.027273
89,83,3,8,61,9.9107,0.099107,0,0,92021,6,5,879,25,F,12418,901,-684332.38,O,9,91823,6,9,8.3207,0.083207
85,42,4,3,65,4.2104,0.042104,2,8,10622,2,2,639,78,C,111014,262,-94688.29,W,3,110117,2,0,6.6185,0.066185
86,21,9,6,63,6.518,0.06518,8,7,30915,2,3,207,42,F,91919,506,-3027.17,R,2,51622,7,1,7.6116,0.076116
52,62,9,3,64,6.1344,0.061344,6,3,70714,9,8,734,85,E,122320,140,-84132.44,W,1,81117,4,2,8.2344,0.082344
51,42,4,5,63,8.1788,0.081788,7,7,81617,3,7,303,6,A,70721,116,-311728.19,R,7,111817,8,6,5.2469,0.052469
95,21,9,3,65,8.5325,0.085325,6,0,92320,0,0,494,90,A,102615,846,156.22,R,9,40917,4,9,4.5328,0.045328
58,83,4,4,60,4.8901,0.048901,9,5,112718,6,4,2,46,F,91614,327,724.65,O,2,121417,3,1,2.4847,0.024847
53,42,4,9,65,8.6804,0.086804,2,4,103117,2,2,477,29,C,73022,836,-64605.4,F,7,121316,6,2,5.6529,0.056529
21,42,5,1,66,3.6968,0.036968,3,9,21123,6,3,100,21,A,11918,206,735032.98,O,5,123113,5,7,3.8598,0.038598
70,83,4,9,62,7.5048,0.075048,1,9,121918,6,8,45,36,B,32119,516,97511.5,F,2,22614,1,2,1.886,0.01886
23,83,5,3,64,1.6616,0.016616,7,8,121813,4,4,138,6,C,32813,463,-846.28,W,5,81621,3,4,9.397,0.09397
2,22,1,9,68,2.3305,0.023305,8,6,111813,7,6,311,63,B,53016,498,65673.49,O,7,71919,3,4,8.7569,0.087569
93,42,6,7,66,3.8635,0.038635,7,3,121423,5,9,87,72,G,71121,920,515199.61,O,5,101319,1,0,8.684,0.08684
20,83,6,5,61,9.4183,0.094183,9,2,120619,6,3,857,91,G,12414,877,9279.27,O,8,42519,7,2,7.1706,0.071706
31,22,2,2,68,7.3062,0.073062,7,2,41218,8,5,396,26,E,21323,32,9777.11,F,2,120913,4,2,1.3044,0.013044
98,63,2,1,66,2.516,0.02516,4,8,81916,3,3,593,73,B,61517,780,754338.47,R,6,110219,2,2,1.6683,0.016683
14,22,2,6,64,4.1956,0.041956,2,7,110321,5,2,146,88,G,53020,410,5486.56,W,5,72415,3,5,3.7668,0.037668
39,42,7,5,65,7.8593,0.078593,5,9,21615,9,7,753,18,B,72119,567,13366.34,F,9,111614,7,6,4.8272,0.048272
13,63,2,2,68,4.611,0.04611,0,8,91122,8,4,611,59,A,80215,904,711412.61,R,8,111021,6,5,9.5995,0.095995
6,22,2,9,62,1.3078,0.013078,3,9,80621,7,1,582,47,F,120223,706,9047.69,O,6,62914,2,7,1.5229,0.015229
88,63,2,6,62,4.9147,0.049147,2,8,92515,8,3,642,73,E,51322,812,757819.42,R,7,123023,2,3,8.5097,0.085097
6,42,7,8,60,9.5713,0.095713,7,8,60623,9,1,590,2,E,53119,801,718.55,R,5,110418,8,2,6.7217,0.067217
6,63,2,9,63,4.322,0.04322,7,8,121823,0,0,675,0,F,21520,194,16547.26,W,7,80514,4,6,9.7236,0.097236
11,83,7,9,65,6.3944,0.063944,1,7,71017,9,1,861,24,E,31917,491,-4511.22,W,4,111417,1,3,6.997,0.06997
92,63,3,5,62,8.137,0.08137,1,5,113022,3,3,669,28,B,52418,701,355.16,W,5,81520,9,8,6.397,0.06397
27,42,8,8,60,6.7285,0.067285,0,6,11823,2,0,842,65,E,102021,915,858.35,O,5,80116,1,1,1.5291,0.015291
80,22,4,1,63,5.8233,0.058233,3,2,11215,7,7,882,35,F,61716,660,922.24,O,4,62213,7,8,8.3204,0.083204
79,63,3,9,62,8.7994,0.087994,4,4,100914,6,4,514,19,D,11521,408,-4418.74,W,1,60120,5,4,5.6687,0.056687
52,42,9,2,61,7.5275,0.075275,8,5,80720,8,4,813,95,E,101317,853,231.76,W,3,71018,7,8,7.252,0.07252
52,63,4,1,60,1.3335,0.013335,5,1,71218,7,5,2,94,E,71417,277,-1185.23,O,9,121521,5,7,3.4502,0.034502
52,42,9,3,60,8.3796,0.083796,0,6,52420,6,2,622,24,D,61317,909,108897.82,W,8,30818,1,0,9.5247,0.095247
44,22,4,6,64,4.5034,0.045034,5,1,31717,3,5,952,71,E,30219,141,9768.14,R,7,82114,9,3,8.2173,0.082173
21,22,4,9,64,8.1466,0.081466,3,4,30314,7,3,606,75,G,41323,964,-762.46,W,7,122719,4,9,6.7135,0.067135
44,22,5,2,64,4.4192,0.044192,8,5,71113,3,3,981,99,E,62622,284,-788.51,F,7,20922,8,7,7.9767,0.079767
24,63,5,1,60,5.1641,0.051641,0,4,60714,2,8,770,20,B,90219,78,-23121.99,W,4,90218,3,4,3.2501,0.032501
45,22,6,4,67,2.2442,0.022442,0,7,82715,5,8,234,94,A,22514,69,957.21,O,2,72419,7,4,4.3234,0.043234
19,63,6,1,64,1.4949,0.014949,1,1,80421,0,3,546,34,E,60715,966,-8171.73,W,1,111818,7,8,1.6772,0.016772
66,63,6,6,60,6.5923,0.065923,5,7,40814,9,4,571,92,B,42714,916,524.88,F,9,102718,9,6,8.538,0.08538
18,43,1,8,67,9.6758,0.096758,6,7,120613,5,3,972,54,D,50214,475,-504.57,F,4,91717,4,1,1.6261,0.016261
87,84,1,7,62,5.6623,0.056623,5,6,12021,5,6,552,94,F,72415,947,-7082.23,R,3,91022,2,3,8.7612,0.087612
82,84,1,8,61,6.7098,0.067098,1,5,71915,2,4,397,64,B,90917,599,-1358.38,W,6,91720,2,0,7.6293,0.076293
91,84,1,9,62,7.1137,0.071137,7,9,90815,4,6,604,44,D,83015,365,-467498.45,F,8,12821,3,3,1.5089,0.015089
41,22,7,6,61,9.57,0.0957,9,8,92517,2,2,482,93,E,22720,581,-4803.1,W,2,102821,2,2,1.9229,0.019229
27,22,7,7,66,3.6352,0.036352,2,4,82017,5,5,360,61,G,32416,886,176.51,O,6,80923,2,7,6.1203,0.061203
10,43,2,3,65,2.7149,0.027149,2,5,22617,9,7,138,90,D,12322,875,-18886.59,W,7,50514,5,3,4.8895,0.048895
52,81,8,7,67,2.4734,0.024734,2,8,92714,6,7,572,82,D,11515,848,-3859.76,R,1,10119,6,1,7.2416,0.072416
1,63,8,2,60,3.456,0.03456,4,3,81120,6,8,367,56,F,32016,500,-3000.77,R,2,71416,4,8,3.1464,0.031464
73,43,3,6,66,3.4681,0.034681,9,9,82822,2,0,38,99,E,81522,933,-379.48,W,0,40521,7,6,1.1802,0.011802
27,22,9,2,65,1.5341,0.015341,4,4,122922,0,4,640,38,G,12223,343,-15824.54,O,6,102219,1,5,4.9051,0.049051
79,43,4,2,66,6.1339,0.061339,3,6,73116,6,2,444,50,B,50520,862,-80636.42,O,5,51823,6,7,1.835,0.01835
98,84,4,1,67,4.1217,0.041217,9,0,20119,6,5,64,20,C,61820,74,627.54,R,0,81217,8,4,3.54,0.0354
13,63,9,5,63,5.1777,0.051777,0,8,70119,0,3,926,63,D,30214,173,2415.86,O,3,11017,5,4,9.669,0.09669
77,43,4,8,60,6.749,0.06749,9,9,50813,4,4,181,72,D,60319,692,-14838.22,R,8,31516,3,1,9.234,0.09234
60,43,4,9,67,2.3256,0.023256,0,4,11116,3,6,322,58,C,120920,20,-406884.84,R,9,40818,4,0,8.2401,0.082401
27,84,4,5,67,4.1602,0.041602,3,1,91015,0,0,710,41,G,30313,609,261.29,R,2,53119,5,8,7.3443,0.073443
31,63,9,8,60,5.6938,0.056938,0,1,50323,4,8,206,68,C,40314,1,-1721.9,R,9,71520,7,8,6.2623,0.062623
9,43,5,1,65,2.9926,0.029926,2,0,11022,9,0,706,8,E,51916,577,80721.73,R,5,82317,0,7,9.8843,0.098843
38,63,9,6,65,6.608,0.06608,5,5,40121,0,9,430,27,A,80123,880,205406.8,W,6,41814,9,7,5.9608,0.059608
6,84,4,9,67,9.4327,0.094327,0,8,90616,7,2,936,95,B,101615,219,802.11,F,2,103121,4,3,3.805,0.03805
97,84,5,3,62,9.2153,0.092153,2,7,81213,9,8,368,24,D,11621,974,-39792.13,F,1,60723,7,5,1.4889,0.014889
58,23,1,3,62,5.937,0.05937,7,2,110422,0,1,591,46,G,22415,958,-674.81,F,5,60522,8,5,8.3664,0.083664
76,84,5,8,60,6.8036,0.068036,1,6,31220,4,9,734,28,C,122618,736,-2235.35,R,8,61713,5,3,5.9017,0.059017
89,23,1,5,64,1.8839,0.018839,2,6,62222,9,2,351,17,E,110921,799,3508.26,F,3,110723,9,7,1.7003,0.017003
40,43,6,4,64,4.9067,0.049067,0,9,61316,0,6,901,64,E,111916,72,-902606.99,F,8,90917,7,0,9.332,0.09332
37,64,1,4,66,2.7795,0.027795,3,3,90822,8,8,747,64,G,111421,914,-503.4,O,0,91623,4,0,6.6205,0.066205
90,64,1,5,63,5.2701,0.052701,3,0,52720,2,6,377,63,D,31319,658,-80853.72,W,0,52215,9,8,3.8647,0.038647
49,64,1,7,67,9.72,0.0972,1,2,22014,5,1,994,76,F,11221,610,-215.97,W,4,22822,1,2,6.5801,0.065801
67,43,7,1,65,7.8958,0.078958,3,5,12223,9,6,864,13,A,50413,870,2187.3,F,3,30413,9,0,8.8754,0.088754
10,64,2,1,64,7.3229,0.073229,6,7,61423,7,8,889,20,D,100815,670,73761.26,W,8,62818,2,2,3.1845,0.031845
16,64,2,2,63,2.8709,0.028709,6,0,110318,6,1,597,81,G,61513,452,-2833.54,O,5,50121,9,1,1.7973,0.017973
22,43,7,5,66,6.3157,0.063157,6,5,61119,7,9,737,41,B,41323,91,785030.21,W,4,71715,6,9,5.2495,0.052495
87,64,2,6,61,5.6805,0.056805,7,6,51215,6,7,945,82,F,110515,614,21463.42,F,9,43016,3,1,7.3029,0.073029
80,23,3,2,61,6.3662,0.063662,6,0,92521,6,9,993,76,A,71420,385,29795.46,W,6,120521,0,0,6.2832,0.062832
32,84,7,7,67,1.5233,0.015233,3,1,30517,8,1,491,67,E,10216,32,92961.8,F,2,22817,6,6,3.8349,0.038349
52,23,3,6,67,8.9018,0.089018,5,2,71619,2,5,345,34,F,42123,683,3571.17,R,4,120123,1,2,1.6653,0.016653
9,43,8,6,67,2.1051,0.021051,4,5,40213,9,8,448,60,A,102117,512,-7051.62,W,1,62021,0,4,3.6788,0.036788
87,23,3,9,63,4.767,0.04767,4,4,31221,9,2,174,60,G,21019,310,-893.89,O,7,22813,0,0,1.9784,0.019784
54,64,3,6,64,6.4613,0.064613,3,7,61116,5,3,644,55,C,72613,696,173.12,F,9,20316,6,7,7.3473,0.073473
11,84,8,3,64,3.4873,0.034873,6,4,72614,6,6,16,59,D,13013,269,406.17,F,8,91422,8,9,5.9258,0.059258
19,43,8,8,64,4.5046,0.045046,2,2,10818,1,1,788,84,E,80913,695,282218.35,R,2,42423,1,5,5.7141,0.057141
63,43,8,9,61,1.9211,0.019211,2,5,51419,8,0,998,5,D,122415,399,-3969.74,F,1,32821,0,7,4.6625,0.046625
14,84,8,2,61,8.342,0.08342,7,7,82217,3,3,913,24,A,73121,661,84915.55,W,8,110614,1,8,4.9245,0.049245
85,23,4,6,63,1.3482,0.013482,8,5,42814,3,8,126,75,D,51914,534,7611.23,W,4,123118,7,6,5.9199,0.059199
32,23,4,7,68,8.6582,0.086582,2,4,30814,2,3,12,71,E,41213,554,2310.2,R,8,102420,1,3,6.6903,0.066903
79,64,4,4,64,1.2748,0.012748,3,4,82514,0,2,945,56,F,30119,173,-556278.6,W,2,10321,5,4,3.7187,0.037187
7,23,5,3,64,8.8044,0.088044,7,8,92218,2,8,542,96,A,21813,78,9427.45,R,7,120414,4,7,6.3395,0.063395
98,84,9,9,68,6.293,0.06293,9,2,71619,2,5,271,6,F,72715,918,-651356.1,R,5,80621,0,5,6.2096,0.062096
94,64,5,2,60,3.4485,0.034485,5,6,121219,2,9,948,5,B,122823,589,-607.72,O,7,80718,4,9,5.2341,0.052341
8,23,5,9,62,7.662,0.07662,7,2,122516,9,9,919,61,D,92514,579,-518.3,R,9,111418,5,6,6.631,0.06631
15,64,5,8,61,2.8756,0.028756,0,1,80416,2,2,373,15,C,81219,600,-560.11,F,8,92819,1,3,3.6337,0.036337
54,44,1,2,61,3.85,0.0385,9,0,92919,8,5,16,10,F,103017,314,-18748.81,W,8,91323,2,1,8.614,0.08614
18,64,6,3,65,3.559,0.03559,2,9,71120,3,0,30,12,E,53022,617,495.77,W,9,40314,0,6,1.157,0.01157
85,23,7,1,60,2.586,0.02586,7,6,20819,5,4,417,86,B,52617,331,-420311.83,O,3,22323,2,1,2.4915,0.024915
31,23,7,3,67,9.5083,0.095083,7,9,71618,6,9,625,43,D,102216,743,853.99,R,4,20616,1,5,9.3465,0.093465
6,64,6,9,66,1.3658,0.013658,2,4,92618,3,2,474,54,D,20120,681,221.94,F,4,22115,1,5,7.7559,0.077559
71,85,1,9,64,2.5816,0.025816,4,1,122722,3,9,76,72,F,21215,622,9809.31,W,1,90715,5,8,5.704,0.05704
25,44,2,5,67,3.6837,0.036837,4,1,121818,0,3,938,74,D,41723,707,-277.42,O,9,62819,4,2,5.5415,0.055415
33,85,2,2,67,9.3644,0.093644,5,4,10616,9,5,780,50,D,110223,727,28550.53,O,4,20614,5,7,1.8553,0.018553
37,23,7,7,61,4.562,0.04562,9,8,52214,1,5,794,43,B,101315,884,-20598.62,W,7,62422,7,5,1.436,0.01436
64,64,7,6,66,1.5191,0.015191,9,1,111823,9,3,277,91,D,122316,749,390.2,R,3,82723,9,1,4.5559,0.045559
69,44,2,9,67,8.9383,0.089383,3,1,110519,7,1,689,35,G,111015,614,778.72,W,2,91722,3,4,3.7786,0.037786
21,44,3,1,65,2.467,0.02467,9,0,81317,2,9,608,68,C,80616,392,59586.47,W,3,42520,7,6,1.8354,0.018354
39,64,8,3,66,8.3879,0.083879,5,2,20517,5,4,367,43,G,41118,564,-31150.7,O,5,30822,4,5,4.4343,0.044343
84,44,3,8,65,5.4359,0.054359,4,3,113013,3,7,0,15,B,122820,999,-148.7,R,9,60817,3,4,6.6446,0.066446
70,44,3,9,68,9.5062,0.095062,3,5,41422,2,9,625,49,E,122615,298,474072.44,O,1,102117,8,3,4.309,0.04309
10,85,3,6,61,1.466,0.01466,1,9,22121,8,7,758,87,B,93021,356,-9268.62,R,9,80118,6,2,9.9963,0.099963
85,23,9,2,64,5.8656,0.058656,6,3,40916,5,3,622,59,E,81219,885,800.3,O,3,121516,9,8,6.3928,0.063928
30,85,3,8,63,2.4344,0.024344,2,9,90620,2,6,602,93,E,22822,359,23520.62,R,1,42823,6,7,8.6956,0.086956
24,64,9,3,61,5.782,0.05782,8,6,12819,5,4,920,60,C,30113,374,170.85,R,5,41022,0,1,8.867,0.08867
88,85,4,2,61,3.551,0.03551,5,9,32616,4,1,592,64,D,80121,49,482.67,R,1,42420,8,1,7.2619,0.072619
83,85,4,9,64,9.1363,0.091363,1,7,21914,0,5,799,16,E,70118,340,-824.45,R,7,61316,8,7,8.3602,0.083602
73,24,1,2,62,2.5954,0.025954,9,6,123121,9,2,660,12,D,50318,694,-874.4,W,7,31714,7,4,6.9971,0.069971
59,65,1,1,63,9.8681,0.098681,2,3,12913,3,2,885,90,A,61420,969,926627.3,O,3,90415,8,5,8.5479,0.085479
83,44,6,4,68,8.8714,0.088714,6,5,70914,1,8,599,71,C,20522,531,52983.42,O,8,32617,4,9,2.2583,0.022583
39,85,6,1,65,9.7251,0.097251,2,2,111213,3,8,894,21,G,42018,980,-870.1,F,4,52422,2,9,5.2029,0.052029
71,44,6,6,60,5.1106,0.051106,5,8,70215,4,1,173,98,D,20919,702,3558.39,F,0,61315,1,1,2.7461,0.027461
32,85,6,5,64,3.1864,0.031864,6,0,90521,3,4,645,43,G,10213,951,-871580.3,W,5,42213,7,8,5.401,0.05401
0,65,1,7,68,4.5782,0.045782,6,0,30721,9,4,90,29,B,110917,685,-28106.73,W,3,112720,0,3,1.3092,0.013092
27,24,2,7,65,9.983,0.09983,9,6,40321,4,5,186,95,F,52119,151,380.85,R,9,51020,8,9,3.7154,0.037154
25,24,2,9,68,5.2812,0.052812,3,7,101215,5,6,614,42,A,82314,900,12995.65,F,0,93014,4,1,2.6927,0.026927
16,85,7,3,62,8.3956,0.083956,6,1,72421,0,5,531,30,E,101720,505,274020.92,R,5,42816,7,1,2.5928,0.025928
71,44,8,1,61,3.5158,0.035158,6,9,122013,3,3,704,28,B,30317,234,92189.4,W,5,121317,4,1,7.8636,0.078636
5,85,7,9,61,6.696,0.06696,0,1,103019,5,6,562,24,F,61913,337,349618.3,R,8,11216,8,0,9.7154,0.097154
