BOND-CDE,INT-UNPD-DUE-BOND-ACCTS,PRIN-UNPD-DUE-BOND-ACCTS,INT-NEXT-INSTLMT-BOND-ACCTS,PRIN-NEXT-INSTLMT-BOND-ACCTS,INT-ON-DELQ-PRIN
9,5703.05,47525.43,475.25,3960.45,633.3
4,990.45,8253.72,82.54,687.81,172.07
7,4074.67,33955.55,339.56,2829.63,27.34
3,8522.78,71023.15,710.23,5918.6,794.13
5,3148.47,26237.24,262.37,2186.44,663.84
7,634.77,5289.79,52.9,440.82,511.6
7,5890.02,49083.52,490.84,4090.29,370.61
1,6828.7,56905.8,569.06,4742.15,309.72
1,2762.48,23020.68,230.21,1918.39,562.71
0,2472.81,20606.73,206.07,1717.23,229.09
2,7414.77,61789.72,617.9,5149.14,638.19
6,2208.59,18404.88,184.05,1533.74,203.54
2,703.85,5865.38,58.65,488.78,39.92
2,10818.87,90157.29,901.57,7513.11,906.23
3,4982.27,41518.94,415.19,3459.91,427.94
2,7624.18,63534.86,635.35,5294.57,323.27
0,2221.37,18511.44,185.11,1542.62,870.02
2,11227.73,93564.43,935.64,7797.04,238.67
4,8419.13,70159.43,701.59,5846.62,122.16
8,2391.37,19928.1,199.28,1660.68,134.81
7,10490.15,87417.89,874.18,7284.82,849.36
0,7043.2,58693.37,586.93,4891.11,545.39
5,3878.26,32318.83,323.19,2693.24,50.32
6,7349.54,61246.19,612.46,5103.85,471.73
9,1104.51,9204.27,92.04,767.02,635.93
6,10573.27,88110.6,881.11,7342.55,518.62
3,5370.07,44750.62,447.51,3729.22,555.21
1,143.19,1193.24,11.93,99.44,927.87
3,4365.33,36377.77,363.78,3031.48,430.03
2,10162.08,84684.02,846.84,7057,293.04
0,8054.97,67124.71,671.25,5593.73,545.18
4,3799.52,31662.7,316.63,2638.56,121.42
4,3569.17,29743.1,297.43,2478.59,195.73
7,386.53,3221.08,32.21,268.42,894.18
2,9742.65,81188.71,811.89,6765.73,911.5
7,8131.77,67764.79,677.65,5647.07,993.05
1,5297.33,44144.43,441.44,3678.7,201.06
3,9545.89,79549.09,795.49,6629.09,194.21
4,6187.72,51564.34,515.64,4297.03,619.34
3,538.62,4488.48,44.88,374.04,40.78
9,7621.7,63514.18,635.14,5292.85,279.26
1,4363.23,36360.25,363.6,3030.02,440.12
2,9106.6,75888.3,758.88,6324.03,285.27
7,7854.14,65451.16,654.51,5454.26,637.63
4,10609.8,88415.03,884.15,7367.92,701.7
2,7273.52,60612.67,606.13,5051.06,944.17
8,7114.92,59291.04,592.91,4940.92,612.71
8,1138.75,9489.55,94.9,790.8,654.85
9,5396.93,44974.42,449.74,3747.87,209.48
4,10249.13,85409.41,854.09,7117.45,926.48
7,6292.81,52440.1,524.4,4370.01,807.85
1,8494.04,70783.68,707.84,5898.64,735.56
6,932.68,7772.36,77.72,647.7,200.69
3,5065.43,42211.93,422.12,3517.66,743.95
8,2493.46,20778.8,207.79,1731.57,566.97
2,9320.52,77671.04,776.71,6472.59,519.35
1,9844.46,82037.19,820.37,6836.43,347.7
9,6365.64,53046.99,530.47,4420.58,885.25
5,11518.61,95988.4,959.88,7999.03,886.66
8,1771.64,14763.68,147.64,1230.31,480.13
1,8791.71,73264.23,732.64,6105.35,974.25
3,7026.29,58552.44,585.52,4879.37,558.26
8,1397.77,11648.11,116.48,970.68,894.07
6,1155.77,9631.4,96.31,802.62,626.45
6,9742.77,81189.79,811.9,6765.82,62.08
7,9118.85,75990.4,759.9,6332.53,140.51
8,10382.26,86518.8,865.19,7209.9,593.11
6,4979.21,41493.38,414.93,3457.78,199.17
8,2566.57,21388.05,213.88,1782.34,674.4
7,5914.19,49284.88,492.85,4107.07,684.05
1,2490.75,20756.29,207.56,1729.69,989
7,10195.94,84966.14,849.66,7080.51,897.37
4,780.95,6507.88,65.08,542.32,150.87
5,8276.54,68971.19,689.71,5747.6,254.94
7,3922.11,32684.24,326.84,2723.69,283.27
4,10581.78,88181.52,881.82,7348.46,683.12
9,597.01,4975.08,49.75,414.59,8.34
2,4628.75,38572.95,385.73,3214.41,570.16
3,4338.51,36154.21,361.54,3012.85,233.6
7,3611.6,30096.66,300.97,2508.06,846.59
2,7619.67,63497.27,634.97,5291.44,756.11
8,366.59,3054.89,30.55,254.57,224.4
1,5492.09,45767.44,457.67,3813.95,857.8
8,6570.9,54757.51,547.58,4563.13,504.13
2,497.36,4144.7,41.45,345.39,603.07
3,7430.42,61920.14,619.2,5160.01,899.81
9,2164.6,18038.36,180.38,1503.2,926.31
7,8494.53,70787.76,707.88,5898.98,521.35
0,9938.16,82817.98,828.18,6901.5,931.19
7,6334.63,52788.55,527.89,4399.05,231.56
3,9376.63,78138.59,781.39,6511.55,499.48
2,11758.92,97990.96,979.91,8165.91,620.06
7,7801.28,65010.67,650.11,5417.56,926.74
7,10888,90733.36,907.33,7561.11,170.01
3,41.24,343.66,3.44,28.64,157.14
7,8658,72150.03,721.5,6012.5,193.19
7,3765.26,31377.2,313.77,2614.77,841.71
6,10096.59,84138.29,841.38,7011.52,299.15
2,8831.13,73592.74,735.93,6132.73,698.42
6,4033.41,33611.76,336.12,2800.98,865.3
9,1548.75,12906.23,129.06,1075.52,778.1
3,9094.11,75784.23,757.84,6315.35,685.4
2,3860.89,32174.1,321.74,2681.18,812
1,8991.09,74925.76,749.26,6243.81,887.89
5,9659.16,80493.04,804.93,6707.75,127.01
5,43.16,359.68,3.6,29.97,725.03
2,8437.45,70312.08,703.12,5859.34,577.42
4,6257.15,52142.88,521.43,4345.24,805.13
0,5192.5,43270.84,432.71,3605.9,588.99
1,38.04,316.98,3.17,26.42,474.46
0,4849.76,40414.65,404.15,3367.89,310.38
6,6325.21,52710.09,527.1,4392.51,627.27
5,5953.92,49615.99,496.16,4134.67,143.57
2,3272.5,27270.86,272.71,2272.57,261.59
7,4160.34,34669.53,346.7,2889.13,15.52
2,11003.64,91696.97,916.97,7641.41,481.67
7,7834.26,65285.54,652.86,5440.46,597.95
4,5007.25,41727.09,417.27,3477.26,462.76
6,10918.53,90987.79,909.88,7582.32,842.28
2,4864.94,40541.13,405.41,3378.43,738.53
7,5814.46,48453.81,484.54,4037.82,892.3
8,11423.56,95196.32,951.96,7933.03,760.85
4,10090.26,84085.53,840.86,7007.13,420.22
8,7631.19,63593.23,635.93,5299.44,608.17
8,5148.45,42903.74,429.04,3575.31,973.68
9,7480.57,62338.12,623.38,5194.84,251.18
6,5158.07,42983.93,429.84,3581.99,584.21
7,90.07,750.61,7.51,62.55,279.6
9,3141.78,26181.49,261.81,2181.79,261.42
5,4504.05,37533.72,375.34,3127.81,651.68
2,4384.02,36533.49,365.33,3044.46,732.66
8,1577.98,13149.81,131.5,1095.82,552.98
5,2047.01,17058.45,170.58,1421.54,41.37
1,3609.47,30078.91,300.79,2506.58,401.29
9,3735.4,31128.32,311.28,2594.03,800.78
8,11333.54,94446.13,944.46,7870.51,323.39
3,10986.99,91558.27,915.58,7629.86,674.62
9,11282.23,94018.6,940.19,7834.88,37.83
9,1889.61,15746.73,157.47,1312.23,225.15
5,11216.83,93473.56,934.74,7789.46,873.83
4,8840.69,73672.42,736.72,6139.37,307.49
9,10516.62,87638.46,876.38,7303.21,239.34
5,10613.74,88447.85,884.48,7370.65,461.5
7,10553.96,87949.68,879.5,7329.14,676.65
5,5834.74,48622.81,486.23,4051.9,399.17
7,2678.43,22320.25,223.2,1860.02,78.55
5,1431.53,11929.4,119.29,994.12,871.24
4,3767.04,31392.02,313.92,2616,492.02
7,10248.33,85402.77,854.03,7116.9,427.69
9,1661,13841.64,138.42,1153.47,851.74
5,4696.59,39138.26,391.38,3261.52,73.09
3,3202.21,26685.06,266.85,2223.76,38
3,1301.03,10841.9,108.42,903.49,270.07
6,112.45,937.07,9.37,78.09,125.5
7,7747.47,64562.28,645.62,5380.19,547.43
1,5485.9,45715.84,457.16,3809.65,869.12
8,7625.01,63541.79,635.42,5295.15,879.36
0,958.63,7988.55,79.89,665.71,876.6
1,4397.96,36649.64,366.5,3054.14,830.72
3,8816.16,73468.04,734.68,6122.34,245.28
4,10137.92,84482.67,844.83,7040.22,0.76
2,10059.9,83832.48,838.32,6986.04,161.67
5,5275.92,43966.02,439.66,3663.84,684.35
4,5734.07,47783.92,477.84,3981.99,295.53
5,9343.96,77866.31,778.66,6488.86,301.53
8,5153.35,42944.57,429.45,3578.71,738.91
9,798.47,6653.94,66.54,554.5,625.19
5,11899.61,99163.43,991.63,8263.62,299.76
3,5.31,44.28,0.44,3.69,648.68
9,11434.47,95287.23,952.87,7940.6,919.09
0,9539.66,79497.2,794.97,6624.77,527.8
0,11344.83,94540.28,945.4,7878.36,271.5
7,6869.93,57249.44,572.49,4770.79,544.14
8,1027.28,8560.63,85.61,713.39,926.48
2,3778.49,31487.41,314.87,2623.95,511.08
3,8631.67,71930.62,719.31,5994.22,112.87
4,11970.6,99755.01,997.55,8312.92,120.93
2,7915.92,65965.99,659.66,5497.17,635.77
8,1050.73,8756.11,87.56,729.68,981.62
2,3109.55,25912.95,259.13,2159.41,342.17
1,165.34,1377.81,13.78,114.82,915.65
9,11244.91,93707.58,937.08,7808.97,145.83
8,7032.41,58603.39,586.03,4883.62,175.85
5,4318.16,35984.68,359.85,2998.72,506.6
4,10000.05,83333.72,833.34,6944.48,510.44
0,11812.38,98436.53,984.37,8203.04,636.13
8,3004.88,25040.7,250.41,2086.73,880.07
0,8624.4,71870.04,718.7,5989.17,30.8
3,6850.68,57089.01,570.89,4757.42,32.24
1,5209.06,43408.83,434.09,3617.4,133.73
8,2588.06,21567.19,215.67,1797.27,85.29
9,6281.21,52343.42,523.43,4361.95,522.01
0,11845.76,98714.65,987.15,8226.22,924.99
2,3434.32,28619.33,286.19,2384.94,404.93
1,6418.81,53490.06,534.9,4457.51,310.22
1,3419.2,28493.36,284.93,2374.45,248.2
3,513.51,4279.29,42.79,356.61,431.66
1,2597.71,21647.6,216.48,1803.97,684.49
5,375.16,3126.33,31.26,260.53,68.19
8,4171.96,34766.35,347.66,2897.2,407.5
3,2529.52,21079.34,210.79,1756.61,911.07
1,6313.78,52614.86,526.15,4384.57,172.87
3,2370.73,19756.1,197.56,1646.34,593.15
9,11990.26,99918.85,999.19,8326.57,113.64
5,4244.25,35368.78,353.69,2947.4,927.62
7,10445.29,87044.07,870.44,7253.67,505
7,8061.59,67179.89,671.8,5598.32,280.73
9,6894.18,57451.5,574.52,4787.63,723.87
0,7150.73,59589.38,595.89,4965.78,145.36
4,11375.98,94799.81,948,7899.98,637.1
1,7311.13,60926.1,609.26,5077.18,636.62
5,9362,78016.7,780.17,6501.39,40.93
1,11272.47,93937.25,939.37,7828.1,218.64
1,11353.26,94610.47,946.1,7884.21,714.9
2,4535,37791.64,377.92,3149.3,736.33
4,4144.37,34536.39,345.36,2878.03,38.05
6,951.98,7933.15,79.33,661.1,975.01
8,6702.2,55851.68,558.52,4654.31,891.52
3,9633.63,80280.29,802.8,6690.02,67.24
6,7685.76,64048.02,640.48,5337.34,457.88
2,788.77,6573.1,65.73,547.76,792.1
9,4705.91,39215.88,392.16,3267.99,236.08
0,9960.96,83007.98,830.08,6917.33,120.25
7,6589.19,54909.94,549.1,4575.83,17.59
1,10064.44,83870.3,838.7,6989.19,14.36
4,3136.08,26133.98,261.34,2177.83,485.82
0,3697.86,30815.48,308.15,2567.96,636.56
4,2025,16874.96,168.75,1406.25,844.61
1,9453.37,78778.07,787.78,6564.84,291.89
6,418.45,3487.11,34.87,290.59,306.82
7,2528.97,21074.72,210.75,1756.23,316.69
6,1271.21,10593.44,105.93,882.79,269.15
6,9947.55,82896.22,828.96,6908.02,398.87
5,11669.14,97242.84,972.43,8103.57,115.72
0,1429.47,11912.27,119.12,992.69,576.08
8,5478.23,45651.93,456.52,3804.33,592.31
4,6846.35,57052.92,570.53,4754.41,33.34
1,546.03,4550.21,45.5,379.18,681.68
6,10144.65,84538.77,845.39,7044.9,203.63
4,7524.23,62701.93,627.02,5225.16,312.89
0,8457.25,70477.07,704.77,5873.09,463.67
6,667.05,5558.76,55.59,463.23,961.35
5,574.2,4785.04,47.85,398.75,791
7,1609.23,13410.29,134.1,1117.52,326.5
0,813.08,6775.66,67.76,564.64,126.68
9,1056.66,8805.51,88.06,733.79,910.27
5,7791.67,64930.58,649.31,5410.88,818.85
1,3778.4,31486.64,314.87,2623.89,966.77
8,4393.44,36611.97,366.12,3051,683.79
9,6673.4,55611.64,556.12,4634.3,583.97
7,3124.11,26034.24,260.34,2169.52,863.2
1,1516.48,12637.37,126.37,1053.11,521.77
9,8346.44,69553.63,695.54,5796.14,842.75
6,340.47,2837.21,28.37,236.43,526.29
9,5370.64,44755.31,447.55,3729.61,193.03
4,1725.65,14380.38,143.8,1198.37,48.46
3,6813.07,56775.59,567.76,4731.3,675.26
8,9001.1,75009.15,750.09,6250.76,725.21
3,7235.08,60292.34,602.92,5024.36,855.23
7,1698.46,14153.85,141.54,1179.49,306.07
8,2433.5,20279.13,202.79,1689.93,707.18
4,9689.78,80748.14,807.48,6729.01,354.1
9,857.31,7144.29,71.44,595.36,418.48
9,11941.01,99508.4,995.08,8292.37,615.6
1,6935.08,57792.35,577.92,4816.03,49.24
1,605.43,5045.22,50.45,420.44,447.69
7,2929.1,24409.18,244.09,2034.1,955.15
2,11726.09,97717.41,977.17,8143.12,891.76
8,5047.81,42065.1,420.65,3505.43,19.05
0,6448.39,53736.55,537.37,4478.05,870.88
6,1171.17,9759.75,97.6,813.31,96.98
9,7244.37,60369.78,603.7,5030.82,19.67
7,9771.28,81427.34,814.27,6785.61,323.72
8,6796.23,56635.24,566.35,4719.6,984.37
8,10479.04,87325.32,873.25,7277.11,691.37
9,10376.48,86470.67,864.71,7205.89,157.69
0,7873.21,65610.11,656.1,5467.51,872.73
7,3292.01,27433.4,274.33,2286.12,648
6,643.01,5358.4,53.58,446.53,774.14
1,9359.71,77997.62,779.98,6499.8,687.86
0,3234.91,26957.58,269.58,2246.47,579.04
1,8818.31,73485.92,734.86,6123.83,590.77
5,4230.08,35250.7,352.51,2937.56,879.39
4,11653.48,97112.36,971.12,8092.7,958.91
6,5889.05,49075.43,490.75,4089.62,429.17
8,5989.13,49909.41,499.09,4159.12,658.54
6,7003.88,58365.7,583.66,4863.81,810.15
1,6714.7,55955.82,559.56,4662.99,419.85
7,7586.86,63223.86,632.24,5268.66,759.39
2,9155.87,76298.89,762.99,6358.24,298.31
6,7955.53,66296.07,662.96,5524.67,413.81
6,9475.21,78960.08,789.6,6580.01,939.59
0,6207.08,51725.67,517.26,4310.47,322.82
1,4042.26,33685.54,336.86,2807.13,697.75
2,8531.34,71094.51,710.95,5924.54,177.9
8,10254.02,85450.19,854.5,7120.85,516.67
1,1273.83,10615.22,106.15,884.6,77.07
9,6678.16,55651.33,556.51,4637.61,619.77
3,1035.68,8630.64,86.31,719.22,232.4
3,10753.49,89612.43,896.12,7467.7,430.9
6,11387.88,94899.04,948.99,7908.25,777.83
7,2646.72,22055.99,220.56,1838,27.35
3,11999.42,99995.18,999.95,8332.93,979.5
4,4683.6,39030.03,390.3,3252.5,138.44
2,183.54,1529.5,15.3,127.46,605.52
4,10383.85,86532.08,865.32,7211.01,489.17
9,9580.25,79835.45,798.35,6652.95,116.27
5,3030.27,25252.29,252.52,2104.36,631.31
8,1164.88,9707.31,97.07,808.94,78.3
1,8650.99,72091.58,720.92,6007.63,316.93
9,2794.39,23286.6,232.87,1940.55,935.18
2,713.33,5944.45,59.44,495.37,618.61
5,6965.21,58043.38,580.43,4836.95,141.51
9,3376.07,28133.9,281.34,2344.49,167.32
9,8995.65,74963.75,749.64,6246.98,152.49
6,10898,90816.65,908.17,7568.05,440.72
6,4551.07,37925.56,379.26,3160.46,413.57
7,5719.64,47663.65,476.64,3971.97,66.72
3,2662,22183.34,221.83,1848.61,313.98
7,5536.36,46136.34,461.36,3844.7,931.35
6,9743.64,81196.96,811.97,6766.41,31.22
9,10012.14,83434.49,834.34,6952.87,201.96
8,5971.34,49761.16,497.61,4146.76,169.7
3,2074.08,17284.01,172.84,1440.33,997.94
8,11646.16,97051.3,970.51,8087.61,991.33
8,513,4275.01,42.75,356.25,287.24
3,2254.25,18785.44,187.85,1565.45,441.32
4,217.75,1814.58,18.15,151.22,997.5
9,5978.54,49821.14,498.21,4151.76,918.3
4,2661.04,22175.34,221.75,1847.95,768.68
4,6729.39,56078.26,560.78,4673.19,218.68
9,6021.35,50177.9,501.78,4181.49,419.05
1,11587.38,96561.47,965.61,8046.79,386.62
5,10814.13,90117.72,901.18,7509.81,990.99
1,11012.76,91772.99,917.73,7647.75,706.16
5,1004.51,8370.91,83.71,697.58,903.66
8,3833.6,31946.65,319.47,2662.22,605.65
2,9843.4,82028.36,820.28,6835.7,844.15
7,1585.5,13212.46,132.12,1101.04,412.5
7,8269.22,68910.2,689.1,5742.52,672.95
7,4030.15,33584.58,335.85,2798.72,308.08
0,2899.81,24165.1,241.65,2013.76,441.4
3,2039.57,16996.39,169.96,1416.37,49.09
5,7139.02,59491.87,594.92,4957.66,763.86
1,4660.11,38834.27,388.34,3236.19,523.86
2,9247.44,77062.02,770.62,6421.84,20.38
1,5580.57,46504.79,465.05,3875.4,624.16
5,10839.39,90328.23,903.28,7527.35,954.83
0,3024.74,25206.15,252.06,2100.51,411.02
4,1396.14,11634.5,116.35,969.54,586.56
6,7044.13,58701.1,587.01,4891.76,7.07
2,6186.69,51555.74,515.56,4296.31,937.27
6,3480.19,29001.6,290.02,2416.8,652.24
0,4656.47,38803.88,388.04,3233.66,2.14
5,4973.21,41443.39,414.43,3453.62,26.63
8,6240.05,52000.42,520,4333.37,617.61
0,8661.96,72182.98,721.83,6015.25,881.29
6,5869.42,48911.84,489.12,4075.99,286.74
5,10300.22,85835.16,858.35,7152.93,261.74
8,9449.14,78742.83,787.43,6561.9,202.45
9,5553.58,46279.81,462.8,3856.65,309.18
5,6171.01,51425.08,514.25,4285.42,330.9
7,2698.14,22484.49,224.84,1873.71,96.7
9,11356.39,94636.6,946.37,7886.38,376.46
7,3655.32,30461,304.61,2538.42,340.33
2,5880.61,49005.06,490.05,4083.76,947.59
8,3314.14,27617.85,276.18,2301.49,962.37
6,863.96,7199.7,72,599.98,264.86
1,9467.15,78892.95,788.93,6574.41,702.28
7,9052.18,75434.86,754.35,6286.24,491.31
5,1690.07,14083.88,140.84,1173.66,558.06
0,2157.06,17975.47,179.75,1497.96,445.04
9,5175.97,43133.05,431.33,3594.42,413.12
8,2742.83,22856.91,228.57,1904.74,28.3
6,6402.73,53356.06,533.56,4446.34,508.8
2,5766.25,48052.12,480.52,4004.34,76.45
6,10184.47,84870.59,848.71,7072.55,697.78
1,1641.4,13678.33,136.78,1139.86,59.79
6,11678.57,97321.39,973.21,8110.12,631.03
1,11946.06,99550.51,995.51,8295.88,799.87
2,11019.39,91828.21,918.28,7652.35,738.25
5,486.23,4051.95,40.52,337.66,575.71
4,8378.6,69821.68,698.22,5818.47,378.11
3,4620.88,38507.35,385.07,3208.95,859.95
5,4983.36,41528,415.28,3460.67,689.03
1,1736.11,14467.57,144.68,1205.63,563.87
5,10271.99,85599.91,856,7133.33,748.35
3,9249.46,77078.84,770.79,6423.24,687.62
3,4364.05,36367.08,363.67,3030.59,526.46
3,8723.47,72695.59,726.96,6057.97,28.45
6,7552.56,62937.96,629.38,5244.83,917.77
2,9729.43,81078.55,810.79,6756.55,661.8
9,8984.41,74870.09,748.7,6239.17,471.1
9,11794.57,98288.06,982.88,8190.67,834.37
2,1887.86,15732.16,157.32,1311.01,877.57
9,8731.75,72764.56,727.65,6063.71,952.96
0,10353.89,86282.38,862.82,7190.2,979.53
8,4836.03,40300.27,403,3358.36,851.04
1,4331.62,36096.82,360.97,3008.07,200.52
1,6255.19,52126.61,521.27,4343.88,234.74
5,3118.08,25983.97,259.84,2165.33,136.68
3,4441.45,37012.12,370.12,3084.34,279.59
2,6245.31,52044.24,520.44,4337.02,590.69
7,3885.66,32380.53,323.81,2698.38,523.02
6,6354.54,52954.49,529.54,4412.87,496.55
3,2168.14,18067.87,180.68,1505.66,798.51
0,7236.49,60304.1,603.04,5025.34,415.91
6,2585.39,21544.89,215.45,1795.41,82.52
5,140.83,1173.56,11.74,97.8,178.14
5,1270.82,10590.15,105.9,882.51,990.73
1,10309.11,85909.23,859.09,7159.1,419.31
2,5489.78,45748.13,457.48,3812.34,550.38
1,10827.15,90226.23,902.26,7518.85,187.01
8,8298.8,69156.7,691.57,5763.06,124.97
4,11881.83,99015.23,990.15,8251.27,596.86
3,6099.53,50829.38,508.29,4235.78,262.66
5,5773,48108.31,481.08,4009.03,932.24
1,1815.34,15127.85,151.28,1260.65,67.93
6,11102.64,92521.96,925.22,7710.16,87.59
1,10860.1,90500.81,905.01,7541.73,383.41
0,9874.79,82289.94,822.9,6857.5,84.69
1,1800.98,15008.14,150.08,1250.68,32.71
2,9215.37,76794.72,767.95,6399.56,972.48
4,4475.1,37292.51,372.93,3107.71,704.63
1,2640.26,22002.15,220.02,1833.51,809.31
5,10133.82,84448.5,844.49,7037.38,382.53
9,5811.01,48425.12,484.25,4035.43,399.4
3,1700.22,14168.5,141.69,1180.71,335.73
2,9025.29,75210.74,752.11,6267.56,355.25
8,4362.05,36350.41,363.5,3029.2,895.52
1,8914.41,74286.74,742.87,6190.56,938.12
8,597,4974.99,49.75,414.58,857.24
3,10400.19,86668.22,866.68,7222.35,576.31
0,10415.82,86798.51,867.99,7233.21,530.03
6,328.63,2738.58,27.39,228.22,416.82
1,4883.06,40692.15,406.92,3391.01,496.69
5,6674.39,55619.95,556.2,4635,200.85
3,6810.95,56757.88,567.58,4729.82,813.5
5,10494.57,87454.73,874.55,7287.89,845.41
8,2158.03,17983.58,179.84,1498.63,858.01
5,1207.35,10061.21,100.61,838.43,529
1,7613.24,63443.68,634.44,5286.97,151.27
5,1925.82,16048.54,160.49,1337.38,716.88
1,9779.79,81498.22,814.98,6791.52,341.35
7,11773.08,98109.03,981.09,8175.75,874.44
3,514.22,4285.2,42.85,357.1,367.2
4,4351.08,36259.02,362.59,3021.59,507.45
8,7282.98,60691.51,606.92,5057.63,700.45
5,10082.31,84019.29,840.19,7001.61,619.53
9,5679.01,47325.1,473.25,3943.76,669.39
1,54.58,454.84,4.55,37.9,44.3
6,9194.58,76621.46,766.21,6385.12,121.09
7,8829.46,73578.85,735.79,6131.57,738.54
2,5320.87,44340.59,443.41,3695.05,496.66
9,5351.36,44594.7,445.95,3716.23,70.7
5,824.62,6871.83,68.72,572.65,801.02
9,1246.23,10385.29,103.85,865.44,503.54
6,2366.18,19718.19,197.18,1643.18,418.75
5,9878.18,82318.19,823.18,6859.85,280.29
2,2335.73,19464.44,194.64,1622.04,833.72
0,9367.67,78063.91,780.64,6505.33,528.71
7,3359.16,27993.04,279.93,2332.75,898.11
2,7267.2,60560,605.6,5046.67,474.26
7,2853.67,23780.55,237.81,1981.71,562.33
2,11740.86,97840.47,978.4,8153.37,39.28
5,5049.34,42077.8,420.78,3506.48,510.58
3,7274.05,60617.05,606.17,5051.42,4.04
8,4972.92,41440.97,414.41,3453.41,445.22
4,4981.76,41514.7,415.15,3459.56,793.23
0,5591.09,46592.4,465.92,3882.7,182.41
8,9777.45,81478.79,814.79,6789.9,605.46
5,1824.3,15202.54,152.03,1266.88,662.26
0,3792.27,31602.22,316.02,2633.52,567.52
9,10811.82,90098.52,900.99,7508.21,225.83
5,135.73,1131.11,11.31,94.26,748.87
7,7186.88,59890.7,598.91,4990.89,511
1,5682.79,47356.55,473.57,3946.38,344.6
7,6864.91,57207.62,572.08,4767.3,530.11
4,1609.01,13408.42,134.08,1117.37,963.53
4,9279.77,77331.4,773.31,6444.28,35.58
3,1657.54,13812.87,138.13,1151.07,767.28
9,5043.12,42026.03,420.26,3502.17,474.21
1,6082.44,50686.98,506.87,4223.92,343.38
9,662.54,5521.18,55.21,460.1,140.75
5,9762,81349.99,813.5,6779.17,677.23
3,4227.06,35225.5,352.26,2935.46,314.32
3,1575.13,13126.07,131.26,1093.84,817.92
0,7417.72,61814.32,618.14,5151.19,131.64
4,5210.49,43420.79,434.21,3618.4,154.55
8,2997.95,24982.94,249.83,2081.91,586.02
8,787.53,6562.72,65.63,546.89,633.28
7,8009.87,66748.88,667.49,5562.41,284.86
0,224.01,1866.78,18.67,155.57,282.35
4,324.14,2701.2,27.01,225.1,111.59
0,4578.76,38156.34,381.56,3179.7,609.26
3,8219.7,68497.5,684.98,5708.13,102.51
1,8999.77,74998.06,749.98,6249.84,990.43
5,971.75,8097.88,80.98,674.82,176.59
1,7530.74,62756.16,627.56,5229.68,963.61
