ACCT-NBR,MINOR-CDE,FD-CDE-2,FD-CDE-3RD,FD-CDE-4TH,TRNSCTN-CDE,DTE-END-OF-MO,PURP-CDE-1,DR-AMT-INDIV-GL-ACCTS,CR-AMT-INDIV-GL-ACCTS,MO-ACTV,RGSTR-TYP-CDE,TIME-STNDS-DATA,USER-INITS
7044,214,21,4,1,139,93003,9,95731.74,84.49,97,23,1930,QUO
7045,217,62,3,6,603,63096,2,-15.27,1781.19,65,23,930,HXN
7046,213,41,9,1,113,73191,8,60119.92,18679.16,81,21,1200,LTW
7047,220,41,9,3,279,63095,2,73.68,85.99,12,23,700,ADF
7048,218,62,4,1,607,33192,4,610.83,1867.83,71,23,1630,RUZ
7049,216,62,4,3,135,53112,2,714.19,1748.85,81,23,700,LKV
7050,200,82,9,2,269,123100,7,90286.84,6501.99,66,20,630,TVR
7051,214,62,4,7,832,63011,8,302.55,92.52,4,22,1830,LPT
7052,206,62,5,1,131,123198,6,91249.65,2318.81,70,23,600,ASA
7053,213,21,5,9,113,93092,8,15.58,72508.21,27,21,1400,PJZ
7054,211,62,5,6,974,63092,2,760.95,1827.83,78,23,1200,JRN
7055,206,42,1,3,800,53121,6,884.64,85.39,48,23,1230,JKJ
7056,201,62,6,2,719,103192,7,7294.81,94.27,48,20,2300,BSY
7057,207,62,6,4,323,53104,6,-733.38,-16228.2,43,21,300,GSG
7058,205,21,6,8,364,123103,7,47090.56,206.29,94,22,2300,ZHL
7059,200,42,1,7,383,13114,9,-492.14,-32.68,22,23,630,VYD
7060,212,83,1,5,138,22893,5,-7941.23,3195.94,91,21,500,XRM
7061,201,21,7,1,214,22900,9,3399.29,2721.11,20,20,1300,QOU
7062,205,83,1,7,643,33190,1,819.56,8814.48,92,23,600,NWT
7063,201,62,7,6,794,63097,8,65.78,69.27,35,20,1000,WZE
7064,200,83,2,4,648,103105,1,12.82,687.65,74,21,630,ZFW
7065,211,42,2,8,520,93016,6,5819.5,75.57,28,23,1200,CUN
7066,217,21,8,4,450,22809,9,94905.21,976.74,25,23,330,NQG
7067,206,62,8,1,468,63008,3,-9663.62,-522.15,88,21,430,GLR
7068,212,62,8,2,938,33191,1,85.5,-6370.99,99,22,1330,CMG
7069,209,42,3,4,392,83199,9,2721.6,-555.66,31,22,1000,JIF
7070,213,42,3,5,203,113095,3,-915.42,-989.25,14,20,600,GMY
7071,203,42,3,9,853,103199,8,-327.96,65628.78,99,20,1430,TRX
7072,208,62,8,9,619,22899,4,153.95,5813.44,41,21,1500,QSY
7073,212,83,3,8,616,73103,3,49402.46,14239.1,2,20,1100,OJX
7074,213,42,4,3,659,103198,6,17246.35,-81620.18,16,22,630,UZB
7075,209,21,9,6,422,113022,5,87715.2,88003.3,82,21,1600,SNX
7076,214,62,9,3,482,63093,3,95.11,-4478.2,39,21,400,SQC
7077,218,42,4,5,534,43091,7,-364.29,-37007.1,33,22,1730,EXC
7078,218,21,9,3,131,13104,4,-18.26,969.4,97,22,400,FSY
7079,203,83,4,4,654,22916,4,-944.19,89.76,31,23,2000,KVT
7080,206,42,4,9,126,13111,6,3618.94,51097.1,70,22,1000,LOR
7081,211,42,5,1,224,63005,9,912.6,-45656.4,95,20,2100,TNP
7082,215,83,4,9,408,22920,5,2806.7,11136.4,96,21,600,OFE
7083,216,83,5,3,858,83108,5,14569.3,37.35,20,22,2030,MAD
7084,205,22,1,9,950,33112,1,-781,-87413.53,61,20,800,HRI
7085,219,42,6,7,734,63009,5,-22.46,529.87,6,20,500,XGM
7086,212,83,6,5,458,53118,7,175.51,7071.67,11,20,530,WBN
7087,207,22,2,2,529,53190,8,-588.15,-33370.87,4,22,100,YXZ
7088,206,63,2,1,693,53106,7,2356.66,1532.3,21,20,1900,NYP
7089,203,22,2,6,408,13108,8,60.43,-10911.31,21,21,100,WMG
7090,201,42,7,5,242,83110,3,-643.23,-67.39,82,22,100,VLP
7091,205,63,2,2,359,83193,3,4944.47,69476.24,13,23,1530,QTM
7092,206,22,2,9,579,13105,6,868.45,75.15,92,23,2000,NIN
7093,217,63,2,6,350,93002,2,89.32,71024.99,73,23,1700,EAX
7094,220,42,7,8,219,33101,5,5107.57,74371.18,63,22,400,ZHB
7095,217,63,2,9,590,33197,5,179.2,84.5,65,22,2000,WYB
7096,219,83,7,9,597,113094,5,44.96,-34820.14,86,20,130,NPH
7097,208,63,3,5,967,83121,6,34103.97,450.23,87,23,930,UBY
7098,218,42,8,8,775,73101,2,80.15,-8079.58,31,20,1830,IWE
7099,206,22,4,1,894,13116,8,992.62,-22.51,34,23,1800,DTZ
7100,207,63,3,9,461,73107,5,74.41,9250.8,2,21,1730,EEQ
7101,210,42,9,2,987,73120,5,-46.76,9306.67,17,22,700,GTQ
7102,205,63,4,1,968,103117,9,-67324.72,461.5,63,23,1830,UUX
7103,212,42,9,3,942,63019,8,-45.73,-688.58,35,20,1630,WEY
7104,220,22,4,6,508,43000,2,-5004.8,10.22,18,20,730,CRZ
7105,205,22,4,9,243,43090,5,32.55,96522.5,37,23,1900,PUD
7106,215,22,5,2,951,103194,4,-93865.48,18.82,92,22,730,NAB
7107,219,63,5,1,400,43099,2,69703.6,45.22,95,22,130,WPD
7108,200,22,6,4,210,83107,7,-668.28,71495.93,16,20,1030,CUV
7109,210,63,6,1,308,113017,1,-53528.43,45.26,6,21,1130,VBZ
7110,220,63,6,6,680,83116,6,93.5,37.53,35,21,630,OEX
7111,214,43,1,8,395,33118,5,355.43,98305.57,68,23,730,IHN
7112,206,84,1,7,191,43011,2,422.25,704.3,50,22,800,VLN
7113,204,84,1,8,486,93098,6,70.88,728.72,64,21,1930,UGA
7114,216,84,1,9,332,93021,9,49312.3,94.16,88,21,1030,TNI
7115,204,22,7,6,188,83190,9,118.81,5360.94,99,21,2230,DRM
7116,219,22,7,7,682,123113,7,-84.66,202.3,37,22,330,KMH
7117,210,43,2,3,386,13106,5,652.39,85.68,62,22,2330,DGN
7118,210,81,8,7,225,103195,6,926.77,66.83,22,21,2200,YME
7119,207,63,8,2,711,53100,2,3878.48,4873.13,70,21,1130,RXB
7120,209,43,3,6,286,103197,9,7525.79,74316.81,80,22,1530,QIK
7121,220,22,9,2,193,113002,7,4966.59,40.85,67,22,2100,FSH
7122,205,43,4,2,243,113006,4,443.59,351.24,46,21,1430,ROQ
7123,203,84,4,1,582,83104,8,25048.44,269.1,32,21,1700,JKP
7124,216,63,9,5,641,123199,7,-31688.24,421.4,34,22,1330,ELZ
7125,215,43,4,8,356,123109,5,409.94,49214.94,91,20,330,ADJ
7126,202,43,4,9,239,73108,5,-182.56,73.64,20,21,1430,GPS
7127,211,84,4,5,373,43017,9,323.61,162.93,91,23,1630,CLH
7128,206,63,9,8,374,22817,6,-8022.36,940.18,85,23,2030,KDR
7129,205,43,5,1,477,93000,3,-253.43,14445.85,3,23,430,FOU
7130,205,63,9,6,526,83113,5,84.13,82186.4,94,23,1000,SOD
7131,206,84,4,9,999,43012,6,-35.67,1074.3,32,22,1930,HHD
7132,206,84,5,3,113,33108,9,820.27,93519.86,53,20,1300,KMH
7133,208,23,1,3,954,22898,4,900.62,27264.25,43,23,1400,DRF
7134,215,84,5,8,293,113090,3,49.56,730.98,16,22,500,ZOT
7135,207,23,1,5,686,73197,7,74649.14,-38165.38,54,20,1200,JYF
7136,208,43,6,4,599,53192,3,69788.83,293.67,29,20,1400,CUA
7137,203,64,1,4,179,123197,9,73.96,-36510.74,89,21,800,ZTZ
7138,220,64,1,5,785,43098,3,195.45,33686.43,43,22,1600,RDO
7139,214,64,1,7,368,63001,4,-531.52,75.49,97,20,1830,XEL
7140,205,43,7,1,684,63002,5,9596.95,-55732.23,64,20,1630,YTV
7141,220,64,2,1,954,123195,3,-981.11,72867.89,41,21,700,HXD
7142,202,64,2,2,626,113010,4,520.6,-52.8,26,21,1700,UYA
7143,217,43,7,5,736,22894,4,74618.4,9022.14,79,22,2230,FMV
7144,204,64,2,6,747,13117,8,69551.2,68673.34,23,21,2030,HHX
7145,212,23,3,2,371,33194,3,736.2,7296.78,68,22,700,KQJ
7146,204,84,7,7,265,63015,6,21.73,73.54,9,20,1530,CPK
7147,211,23,3,6,407,13199,9,23.86,75748.1,81,22,1130,ZDP
7148,206,43,8,6,265,103108,5,-230.24,9482.4,82,23,2200,HIK
7149,208,23,3,9,759,53113,5,61417.53,79195.87,97,21,1500,VDT
7150,203,64,3,6,834,13191,1,-2441.88,-54724.4,1,21,200,EAD
7151,206,84,8,3,285,33113,7,-5651.47,-91134.73,59,22,2030,WQX
7152,205,43,8,8,782,13118,3,423.23,-4270.41,59,20,930,PDT
7153,212,43,8,9,864,53114,6,4745.17,900.98,87,23,1930,ALU
7154,219,84,8,2,990,22822,9,76.88,340.19,88,21,2100,TEV
7155,210,23,4,6,955,93012,7,1500,-99043.91,21,22,2330,ZCE
7156,209,23,4,7,513,73195,4,-24899.6,-274.89,63,22,330,DHU
7157,211,64,4,4,955,103114,3,461.53,39.2,76,23,330,LYG
7158,214,23,5,3,223,22815,1,145.13,932.4,32,22,1730,IOD
7159,220,84,9,9,344,43016,5,760.5,7771.83,60,20,800,XHW
7160,214,64,5,2,237,103190,3,252.37,665.23,91,22,1700,LFZ
7161,209,23,5,9,364,113003,7,68836.39,180.15,10,20,300,XKD
7162,216,64,5,8,447,22908,2,344.1,559.11,55,22,1430,SNK
7163,217,44,1,2,841,22813,3,40976.14,326.85,75,22,630,RWR
7164,213,64,6,3,861,43001,6,48331.23,42361.65,92,20,330,GSK
7165,217,23,7,1,863,13122,2,-451.78,25.72,20,23,530,JYL
7166,200,23,7,3,608,33199,6,-48.23,-11061,75,22,2130,UVR
7167,220,64,6,9,546,83194,8,28.24,530.41,28,21,1700,XGG
7168,209,85,1,9,146,83105,6,90368.66,75556.3,24,23,2030,ZSK
7169,210,44,2,5,288,53191,4,47735.6,-2828.7,48,20,1830,XPC
7170,205,85,2,2,377,83102,6,2648.58,975.6,29,20,1800,UVB
7171,203,23,7,7,343,113021,8,66.38,-3188.3,18,23,430,TXG
7172,216,64,7,6,226,73121,5,45.86,742.2,58,23,700,LAH
7173,217,44,2,9,584,103106,6,90438.66,37.34,72,23,1200,HMN
7174,214,44,3,1,220,93015,8,99390.27,-31420.14,96,20,1830,EWO
7175,210,64,8,3,126,53119,7,57019.56,83.99,34,20,230,NDI
7176,203,44,3,8,289,43022,9,5837.9,65156.54,34,22,1930,AED
7177,213,44,3,9,584,13196,3,-64044.72,76971.37,1,23,1930,GZQ
7178,210,85,3,6,868,103113,9,-16785.24,90.76,19,22,2100,ZMV
7179,211,23,9,2,909,113093,8,65.47,624.82,21,23,2100,GBG
7180,219,85,3,8,731,13100,1,-23.41,86730.27,12,23,1800,FSS
7181,204,64,9,3,107,113097,9,-18345.83,-52651.3,66,22,930,GZR
7182,201,85,4,2,149,113000,5,55.37,-8779.56,26,21,2230,IAK
7183,201,85,4,9,187,53196,7,1909.75,8216.3,63,23,630,LQB
7184,219,24,1,2,674,13190,3,76.12,-35.59,88,22,730,NKB
7185,216,65,1,1,918,83191,8,5462.3,99137.64,71,23,1100,JWU
7186,202,44,6,4,137,113091,1,-84.83,49.34,86,22,2300,XYQ
7187,203,85,6,1,952,33115,9,5498.12,198.43,97,22,900,BUC
7188,215,44,6,6,849,43093,9,-85.28,165.34,74,21,500,WXH
7189,215,85,6,5,279,63020,6,741.27,-3094.63,66,22,400,TRX
7190,211,65,1,7,986,53195,3,17559.83,745.88,89,21,400,EAH
7191,213,24,2,7,962,43004,8,75.19,-5612.8,88,22,2030,MCU
7192,215,24,2,9,224,33122,8,87.63,-8210.66,89,20,900,RJD
7193,213,85,7,3,892,123117,2,80.94,194.36,38,22,1100,THX
7194,212,44,8,1,408,33120,8,51.53,7324,57,23,1930,ACV
7195,209,85,7,9,211,73122,4,-84012.19,984.6,21,23,1400,HFC
7196,213,85,8,2,141,123121,2,115.23,2728.15,72,23,2000,HWE
7197,200,85,8,4,465,73106,8,96598.29,-4120.57,58,20,1830,WML
7198,208,85,8,9,238,123193,2,63734.98,20.6,62,20,1430,QVZ
7199,215,65,4,2,258,63007,9,45493,-3836.24,77,22,1630,TNG
7200,203,44,9,4,615,73112,8,6844.76,30.55,99,20,300,JZE
7201,202,65,4,4,708,13101,7,56113.52,816.83,37,22,330,MYN
7202,214,85,9,3,819,93097,9,193.83,8129.19,48,22,930,COE
7203,202,44,9,7,266,103109,8,3786.95,44443.15,44,20,1930,NIS
7204,207,85,9,4,825,22814,7,380.9,700.34,70,22,1530,FBK
7205,213,85,9,7,969,43005,6,98958.19,-149.9,86,21,230,MDQ
7206,210,65,4,9,309,73196,8,3641.6,226.82,54,22,300,QQX
7207,216,24,5,6,235,22890,1,80.22,1538.11,38,23,1430,TVX
7208,204,65,5,4,493,33110,2,28.56,3371.43,79,23,530,CNI
7209,206,65,5,5,540,103104,1,-76247.29,-83.86,59,21,1800,ZXM
7210,212,65,5,7,300,43097,7,529.87,-56.3,49,22,1500,JZS
7211,218,24,6,2,585,113018,7,4355.56,690.1,90,22,1330,ZPF
7212,210,24,6,5,392,93096,2,-219.31,-74.58,32,22,930,BZP
7213,220,24,6,8,936,103193,8,805.97,24.58,48,21,1100,HXW
7214,213,86,1,2,323,103191,4,196.35,30258.56,8,23,1000,LXK
7215,213,65,6,6,109,63098,9,34.8,8975.17,53,20,2230,QPF
7216,200,65,6,7,984,73113,7,6922.25,644.98,4,23,1600,MQS
7217,204,24,7,3,115,113098,4,67.88,-36725.18,77,23,1900,AIL
7218,209,24,7,4,518,33111,8,-8432.73,-545.2,13,23,1730,LSC
7219,203,86,1,7,714,73199,7,-21414.4,-60804.41,21,22,2200,SVS
7220,219,65,7,2,700,33104,3,9678.2,4673.72,39,22,2030,KXQ
7221,216,45,2,6,557,33119,2,-97952.57,-8616.39,45,20,1600,IMU
7222,214,45,3,3,196,113011,4,192.63,9651.82,8,23,1530,OLP
7223,213,65,8,2,716,113012,5,4044.95,37.81,4,20,1930,LYQ
7224,220,24,8,5,401,83195,5,88.31,3530.67,10,20,900,MLI
7225,211,86,3,2,311,73111,6,1781.57,337.42,30,23,230,OUB
7226,209,45,3,7,622,22806,5,78,9480.9,4,21,230,HNM
7227,213,86,3,4,291,53109,1,17366.71,8609.54,84,23,130,NEE
7228,200,65,8,6,276,43006,8,1179.6,20.81,60,21,1000,SWG
7229,204,45,4,1,599,93091,5,-971.3,29798.12,37,23,1700,ZUW
7230,210,24,9,5,783,63012,5,-4544.8,64.27,54,20,1530,NZS
7231,215,24,9,6,154,22810,9,6470.89,32210.8,92,22,700,TSK
7232,202,45,4,5,827,83196,9,58984.45,235.42,85,22,930,ZHS
7233,217,45,4,4,408,113016,2,4468.13,46648.59,36,21,2100,NXC
7234,210,45,4,9,226,93010,6,49821.32,606.38,23,20,1800,AJH
7235,202,86,4,6,882,93093,7,-3358.28,-99403.6,67,22,130,EIC
7236,208,86,4,8,329,13194,9,46.88,-97057.86,46,20,830,JVX
7237,207,45,5,2,607,13113,5,1755.85,5970.37,80,23,1000,VBL
7238,207,25,1,1,259,22802,7,65.87,105.1,30,22,630,VCU
7239,204,86,5,9,369,63022,6,7934.7,-92990.1,23,23,1300,TPI
7240,206,66,1,2,455,83114,3,-24632.41,-242.16,28,22,1600,IPB
7241,202,66,1,1,547,53117,7,15.78,55997.3,67,20,900,QBL
7242,215,45,6,6,838,13121,4,483.75,69.52,74,22,2300,WQY
7243,203,25,1,9,308,13107,8,91.46,8495.9,59,20,2330,QHZ
7244,200,66,1,7,957,63090,6,96.1,26.46,76,21,330,QSD
7245,210,25,2,1,227,73194,3,6256.63,-97.41,18,21,2230,NIQ
7246,218,86,6,8,314,123112,2,781.12,2840.48,68,22,1630,NDR
7247,211,45,7,6,373,93019,5,8842.57,883.71,48,20,100,URH
7248,209,66,2,5,827,83198,4,-9937.86,62.57,76,22,1130,QHZ
7249,219,86,7,2,338,63010,2,-29.53,4297.65,15,23,1730,ZDT
7250,203,45,7,9,505,73118,2,74814.73,-3246.74,33,22,1630,FGK
7251,214,25,3,2,878,22801,3,8947.95,11.18,84,21,1700,GXT
7252,208,25,3,3,701,83117,5,-929.84,6634.96,25,21,1700,BOT
7253,211,45,8,2,459,13103,8,23.22,27.12,83,21,1900,DKB
7254,216,86,7,9,455,113014,3,-86285.18,3543.14,98,21,2100,CKT
7255,218,45,8,4,119,53105,6,-15717.88,23630.35,43,20,130,YGX
7256,209,45,8,5,209,43013,8,89207.89,-10.29,60,22,200,DUD
7257,208,66,3,4,988,33116,2,389.11,4655.29,70,22,1700,HIL
7258,213,21,3,2,557,83119,6,-8318.52,-360.5,44,20,600,KXN
7259,205,45,8,6,855,93007,1,16778.32,79661.99,25,20,830,VZQ
7260,216,45,8,9,676,43014,1,64352.29,18.91,68,20,430,UPD
7261,219,86,9,7,113,63091,7,-163.11,4525.44,25,23,330,MBI
7262,203,86,9,8,279,63018,2,-161.56,36146.9,10,21,500,SHE
7263,218,25,5,5,609,63099,7,280.9,-92.64,66,22,600,ABV
7264,211,25,5,8,235,63017,2,7023.83,3725.67,5,23,1730,EKY
7265,210,25,6,5,960,83100,7,63274.9,7861.64,50,22,830,SVF
7266,206,87,1,3,138,13109,2,83028.39,914.4,29,23,730,MNZ
7267,202,66,6,8,302,73114,4,829.2,42134.31,48,23,1800,IVB
7268,201,66,6,9,458,33107,9,785.98,98.37,79,22,2330,PPF
7269,212,25,7,3,209,103103,1,30.46,92044.14,46,23,1130,XQC
7270,213,87,1,9,836,43003,4,99.9,9129.27,28,21,1700,INI
7271,219,46,2,4,861,33102,8,-31569.73,49891.11,70,22,530,ECE
7272,219,25,8,2,803,83103,1,967.21,408.57,44,20,200,MFM
7273,201,25,8,3,752,113008,7,77.4,-74722.12,4,23,2300,EMA
7274,201,46,3,3,506,123114,4,614.67,10.49,65,22,1030,ZCW
7275,203,25,8,6,169,83101,1,6730.7,2491.11,6,21,600,ENT
7276,214,87,3,2,229,63006,9,234.84,-664.64,42,22,2200,AHV
7277,202,46,3,6,731,83120,3,4131.96,5568.79,71,23,2300,VOB
7278,200,46,3,8,404,43094,7,70428.77,-762.65,56,22,630,CZR
7279,205,66,8,6,434,43009,7,71940.81,982.65,25,23,400,DRA
7280,214,87,3,6,108,53115,9,-865.66,73.3,57,21,1600,DPU
7281,209,87,3,7,919,13110,4,13.1,-57.9,73,23,2030,DZJ
7282,219,66,8,9,971,73110,7,-419.53,-43033.17,39,20,1830,QVT
7283,219,66,8,5,929,113004,7,27326.8,96.16,92,21,600,AFK
7284,200,66,9,3,503,33106,5,-10.39,-640.72,70,20,2200,FTX
7285,217,66,9,4,654,83109,3,3972.45,2698.38,38,20,230,HPQ
7286,219,87,4,2,779,103101,8,57.91,29893.23,73,23,730,ERF
7287,216,87,4,4,715,73119,4,71.33,7786.1,64,20,1700,UGI
7288,201,25,9,9,923,123191,6,20.29,-372.61,34,20,2000,WOG
7289,204,87,4,7,102,22818,5,59363.88,711.59,34,23,1130,XAF
7290,205,46,5,3,574,73109,2,-99313.86,156.26,42,21,1230,QCW
7291,219,26,1,2,434,43020,8,-669.64,-52423.22,50,21,200,BCD
7292,200,46,6,1,149,123120,1,-44613.31,88.76,59,21,2130,RQM
7293,204,26,1,4,593,123106,9,549.52,23689.95,86,21,1200,LBC
7294,214,26,1,5,306,93022,7,304.52,38385.78,11,23,1700,LXK
7295,212,26,1,6,793,43021,5,46265.2,-9599.12,37,23,1730,RDO
7296,219,87,6,1,185,13115,2,955.36,-2991.28,85,22,2000,XSH
7297,202,46,6,5,677,113007,9,-54.71,71268.45,35,20,300,FWQ
7298,207,26,1,7,115,83112,3,79.85,3997.68,53,21,630,EAJ
7299,208,46,6,8,862,123110,2,-76861.48,-245.75,28,22,1830,CZB
7300,209,26,2,2,330,13195,3,-1449.47,6575.65,30,21,430,CDW
7301,216,46,7,3,739,113015,5,-7481.7,-65.35,28,23,2130,IAA
7302,206,67,2,2,806,93013,7,11974.18,-25.91,39,21,1000,MWT
7303,214,67,2,4,693,13198,6,9776.52,6164.26,57,21,1300,LFY
7304,212,87,7,3,182,53193,2,11381.6,8407.37,80,23,2130,CIA
7305,216,87,7,4,178,53199,5,30.38,275.97,62,21,1500,BUK
7306,200,26,3,1,493,123196,7,-32859.53,13.48,66,20,1000,DSF
7307,216,67,2,6,895,73190,3,63062.92,9678.13,92,23,1230,LQR
7308,208,26,3,2,490,113009,2,5756.77,373.61,38,23,1400,JFE
7309,219,46,7,6,273,43092,6,-121.71,26.4,71,22,200,FDJ
7310,218,67,3,3,809,73117,1,52.41,327.29,6,21,2000,WND
7311,213,87,8,2,344,22996,4,53.97,486.16,87,20,2130,YSC
7312,218,26,3,9,303,13102,8,96540.17,82.25,5,21,330,AFQ
7313,220,46,8,6,663,93094,9,219.46,8051.3,82,22,700,EWU
7314,206,26,4,2,716,43008,9,-10786.6,-141,70,21,800,QAQ
7315,217,67,3,9,310,103110,2,40693.95,33.55,96,21,500,LKI
7316,202,26,4,4,477,103115,7,1776.9,923.33,17,21,1130,EVH
7317,216,46,9,7,661,53102,1,-4883.32,12.74,83,22,1030,TLR
7318,200,87,9,5,681,83106,8,286.8,90199.69,20,23,100,NGG
7319,209,26,5,3,959,73116,4,4861.91,3701.73,17,23,1030,FLL
7320,216,67,5,6,605,53101,4,648.53,49.9,61,23,930,BKQ
7321,219,26,6,4,398,13119,2,4962.36,5755.49,51,23,2130,TGH
7322,204,47,1,4,452,113020,5,-617.87,61575.41,89,20,630,THL
7323,204,47,1,7,895,73192,5,626.15,401.8,14,20,2300,PFS
7324,210,67,8,1,510,103122,4,714.42,85400.1,12,23,2330,OQS
7325,203,26,8,9,815,13193,2,-559.79,-5285.32,95,20,300,UNM
7326,206,67,8,7,897,83197,1,-6162.3,-71.7,35,22,1100,CFR
7327,216,47,3,9,724,63013,2,5534.37,4477.97,65,20,1200,NGK
7328,213,47,4,5,638,22803,5,22.72,-73635.84,99,22,100,CGJ
7329,200,67,9,3,220,22891,3,18.1,839.43,54,20,2330,LJQ
7330,218,67,9,6,492,93006,3,92414.14,74367,98,23,1330,WND
7331,219,88,4,7,811,93095,5,-649.7,-22660.9,82,20,1900,SEF
7332,213,47,5,3,451,73193,3,65.76,87.13,74,22,100,JPZ
7333,202,47,5,5,778,113013,6,665.5,-2859.2,59,21,1730,CHI
7334,206,47,5,7,117,33114,3,58.37,29048.64,89,21,400,RLC
7335,202,47,5,8,293,123118,2,-618.59,56.26,80,21,2300,CWH
7336,219,88,5,4,390,53111,7,76305.34,25.37,40,22,2230,VZI
7337,209,27,1,3,837,63004,5,-4376.24,-27.5,66,22,2030,RIZ
7338,201,47,6,3,202,123122,4,-8584.24,9629.64,93,23,1900,ICJ
7339,209,88,6,1,220,53194,4,41928.23,-42131.83,97,20,1000,BEB
7340,211,27,1,8,838,123104,2,47758.14,77.72,16,23,1530,EYD
7341,219,68,1,8,662,93018,1,36314.76,2675.56,40,20,500,QIV
7342,207,68,2,2,301,83122,5,6630.98,952.3,67,20,700,YGD
7343,213,27,2,8,824,93017,8,184.74,99.31,17,22,2100,UFP
7344,211,68,2,7,629,63016,3,6985.65,55.24,99,21,730,KND
7345,200,27,3,3,636,43010,2,4826.68,96.13,13,23,1400,YWW
7346,208,88,8,3,229,33117,1,6406.55,54.33,4,22,2100,LLA
7347,218,47,8,7,521,123115,8,817.64,-496.97,59,22,700,SOE
7348,204,68,3,9,743,22805,9,75.14,-67966.77,27,22,1800,HYC
7349,208,47,9,2,415,43015,9,45168.42,84.6,33,22,1530,VST
7350,206,27,4,4,678,103119,3,8835.14,72321.3,77,23,2200,SBM
7351,202,27,4,7,276,33105,8,22.39,863.31,43,21,1400,BVH
7352,209,88,9,2,773,93090,8,-9021.56,256.52,57,23,1200,CNB
7353,217,68,4,6,178,113092,7,47.44,80551.23,31,21,1900,KMK
7354,216,88,9,6,735,103118,6,-74.1,755.67,12,23,1800,JJM
7355,212,27,5,3,639,93004,4,36086.63,2363.9,36,23,1030,WOQ
7356,208,27,5,4,356,22895,5,67.48,55225.9,48,22,2300,KIU
