ACCT-NBRGL,ACCT-NBR-SUB,ACCT-NBRDA,ACCT-TITLE,BAL-CDE,PRFX-LINE-NBR,SFX-LINE-NBR,SUB-SFX-LINE-NBR,DTE-LST-RGSTR-ACCT
7135,6929,954,Arizona Farm,4,23,3,1,31613
7136,4339,8496,Salt Lake Farm,3,23,3,2,62414
7137,3467,2396,Hudson Family Fields,3,23,3,4,71720
7138,9237,2563,Elm Tree Honeybees,2,84,7,9,111117
7139,2212,7905,Albert's Acre Farms,4,23,3,6,93020
7140,696,1961,Maria's Avocado Farm,1,84,8,3,71321
7141,9077,6384,Sauer Family Acres,4,84,9,3,101116
7142,5082,1287,Maria's Chickens,3,64,4,5,10413
7143,5308,5124,Sparkle Pond Cow Farm,2,64,4,9,42016
7144,3584,8790,Breezy Pumpkin Patch,3,64,5,2,72016
7145,2449,9171,Los Angeles Goats,1,23,5,7,32419
7146,4167,4551,Arizona Cattle,4,64,5,4,70416
7147,4951,9040,Tranquil Farm,3,23,5,9,81122
7148,1312,2088,Fly Creek Hills,4,64,5,6,61718
7149,1471,4119,Jimmy's Vineyards,1,64,5,7,110818
7150,9877,6317,Timmy's Herb Farm,1,23,6,6,60918
7151,8405,3739,Salt Lake Squash Farm,2,64,6,3,82717
7152,5096,5696,Turtle Pond Peach Orchard,4,44,1,5,21621
7153,8242,7227,Sauer Family Honey Bee Farm,4,23,7,2,22216
7154,4091,2777,Kristen's Goats,1,64,6,9,50922
7155,7644,5515,Smith Peach Orchard,2,85,1,9,82621
7156,7357,3495,Coleman Pumpkin Patch,2,44,2,5,32120
7157,5498,603,Jose's Cow Farm,1,85,2,1,41117
7158,9602,5927,Fullerton Herb Farm,1,85,2,8,91716
7159,3923,9390,Green Meadow Herb Farm,1,64,8,1,22013
7160,880,4124,Monarch Meadow Hills,1,23,8,6,101013
7161,9861,5380,Deer Creek Herb Farm,4,23,8,7,42813
7162,3052,7683,Olivia's Goats,1,44,3,9,92019
7163,9435,6285,Virginia's Honeybees,3,85,3,6,82321
7164,2685,2449,Fulkerson Family Squash Farm,2,23,9,3,42113
7165,7501,5320,Middle Creek Horses,1,44,4,5,101914
7166,6558,1499,Carolina's Acre Farms,1,64,9,4,92221
7167,2985,8017,Monarch Meadow Creamery,2,85,4,3,111419
7168,3411,3330,Sunny Peach Orchard,4,85,4,2,51720
7169,9097,7511,Esmeralda's Cow Farm,3,85,4,5,82920
7170,7063,8578,Cloudy Maple Syrup,3,85,4,8,111819
7171,6413,7261,Hightower Family Cow Farm,4,24,1,7,81717
7172,873,3760,Middle Creek Avocado Farm,2,85,6,2,50521
7173,4493,6288,Sunny Honeybees,1,85,6,3,101917
7174,9453,5525,Sunset Hill Goats,2,65,1,6,61913
7175,9542,232,Dry Creek Homestead,3,65,1,9,91317
7176,47,717,Swallowtail Ponds Apples,4,65,2,1,82618
7177,8677,2605,Blue Lake Honeybees,3,85,7,3,81121
7178,7400,5404,Green Meadow Goats,4,65,2,8,40914
7179,7793,5168,Timmy's Country Estate,3,24,3,3,93022
7180,4668,6449,Nelson's Vineyards,4,85,7,9,10116
7181,8238,7124,Sauer Family Herb Garden,3,44,8,3,53118
7182,1035,5123,Elm Tree Acre Farms,3,65,3,7,82014
7183,8502,4901,Eduardo's Horses,4,24,4,1,20320
7184,9991,4707,Esmeralda's Acre Farms,1,65,3,9,32313
7185,4448,6288,Blooming Family Juicery,4,85,8,8,73116
7186,6803,4751,Monarch Meadow Ranch,4,65,4,1,91620
7187,8876,9226,Carolina's Avocado Farm,1,24,4,6,40714
7188,9957,6615,Aisha's Creamery,4,44,9,4,92622
7189,4283,9313,Deer Creek Fields,1,65,4,4,101016
7190,5200,771,Harvest Creamery,1,24,4,2,92715
7191,84,2742,Tranquil Plum Orchard,4,85,9,5,102318
7192,8697,2351,Mountain Horses,1,85,9,7,80418
7193,93,8087,Swallowtail Ponds Homestead,2,24,5,4,40115
7194,257,8432,Albert's Vegetable Farm,3,24,5,8,53019
7195,2495,740,Smith Goats,1,24,6,2,123016
7196,3838,3232,Green Meadow Homestead,4,24,6,4,112914
7197,4757,8841,Hudson Family Pumpkin Patch,1,24,6,5,22021
7198,4342,1149,Green Meadow Lavender Fields,4,86,1,1,60616
7199,3291,6525,Mountain Meadows Cattle,4,45,1,6,52015
7200,1168,7322,Monarch Meadow Farm,1,86,1,2,11522
7201,422,4189,Happy Pumpkin Patch,4,65,6,6,71517
7202,6065,5597,Hightower Family Avocado Farm,1,65,6,7,91014
7203,3935,643,Charlotte's Mushroom Farm,3,24,7,2,30116
7204,9015,6316,Pringle Family Peach Orchard,3,86,1,7,90521
7205,494,6292,Mountain Horse Ranch,3,45,1,7,50216
7206,3597,7307,Carolina's Flower Garden,2,24,7,6,92815
7207,4752,1785,Cloudy Apples,1,86,2,5,122714
7208,7975,9879,Maribel's Horse Ranch,4,86,2,6,32015
7209,50,8801,Eduardo's Vineyards,4,65,7,8,72620
7210,7068,1466,Kristen's Farm,2,24,8,4,101214
7211,2096,8520,Ross Lake Fruit Orchard,4,65,8,3,71714
7212,7021,7860,Francesco's Squash Farm,3,24,8,7,60419
7213,5016,9908,Arizona Maple Syrup,4,45,4,1,62322
7214,783,754,Harvest Squash Farm,3,45,4,2,82118
7215,3258,5855,Sauer Family Organic Farm,2,86,4,3,120322
7216,5127,9379,Kathy's Hills,4,45,4,8,52621
7217,9862,913,Ramaya's Country Estate,2,65,9,6,10213
7218,1436,466,Breezy Juicery,1,24,9,9,100118
7219,3048,2096,Mountain Hills,3,86,4,7,31314
7220,6857,283,Jasmin's Vineyards,3,65,9,5,70317
7221,8569,1321,Jose's Juicery,3,65,9,7,50116
7222,7317,6335,Virginia's Apples,3,45,5,7,11316
7223,8762,1636,Albert's Sunflower Farms,1,45,5,8,121016
7224,5881,3099,Monarch Meadow Goats,3,25,1,1,41120
7225,5177,340,Timmy's Apples,4,25,1,2,90422
7226,9697,7403,Ramaya's Organic Farm,2,25,1,4,11320
7227,3248,8807,Anita's Egg Farm,2,45,6,3,70618
7228,7002,4453,Hightower Family Fruit Orchard,1,86,5,8,101017
7229,8374,1324,Green Meadow Plum Orchard,2,86,6,5,72121
7230,402,2208,Black Mountain Organic Farm,1,66,1,7,110116
7231,4644,5706,Blissful Goats,1,86,6,7,21120
7232,1703,542,Sunset Hill Fields,1,86,6,6,31821
7233,8507,6113,Timmy's Juicery,1,86,6,9,90713
7234,7300,8760,Swallowtail Ponds Acre Farms,3,45,7,3,50214
7235,2483,1895,Gloria's Apples,2,66,2,4,123115
7236,296,1721,Blooming Family Cattle,1,66,2,5,31620
7237,1365,2668,Jose's Pumpkin Patch,4,45,7,8,102915
7238,1900,3637,Serene Creamery,2,86,7,5,70319
7239,9580,6617,Fullerton Ranch,4,25,3,3,50217
7240,2575,456,Gloria's Ranch,1,25,3,4,91516
7241,3311,6461,Blooming Family Sunflower Farms,4,66,2,9,52514
7242,9289,6941,Delightful Horses,1,66,3,5,42518
7243,6465,3912,Francesco's Mushroom Farm,3,25,4,2,100716
7244,2748,2745,Nelson's Acres,2,86,8,7,81619
7245,5591,3111,Golden Vineyards,2,25,4,4,102613
7246,4954,9566,Timmy's Cattle,4,25,4,3,51119
7247,7817,9803,Maricel's Plum Orchard,1,45,9,5,71016
7248,1755,7488,Charlotte's Goats,2,45,9,9,72418
7249,5309,2236,Kathy's Avocado Farm,2,86,9,9,50622
7250,748,5578,Virginia's Homestead,4,66,5,7,82818
7251,9855,1478,Francesco's Acre Farms,2,25,6,1,71322
7252,6889,4332,Charlotte's Avocado Farm,1,46,1,1,51815
7253,6713,3160,Dry Creek Country Estate,2,66,6,1,11221
7254,2732,7586,Fly Creek Pumpkin Patch,3,25,6,6,32122
7255,2726,6660,Salt Lake Hills,4,66,6,4,30819
7256,1351,8653,Alaska Vineyards,4,46,1,9,60917
7257,8690,7714,Coleman Avocado Farm,1,66,6,8,12015
7258,4970,5082,Pringle Family Organic Farm,2,87,1,7,31214
7259,2160,673,Fullerton Maple Syrup,4,66,7,2,90717
7260,2347,3480,Deer Creek Maple Syrup,4,87,2,3,22316
7261,8187,6092,Eduardo's Herb Farm,1,66,7,6,112422
7262,9098,6336,Fly Creek Lavender Fields,1,25,8,1,122914
7263,2163,6296,Crater Lake Hills,3,46,2,8,72114
7264,1903,9719,Alberto's Pumpkin Patch,2,46,3,2,41014
7265,2069,4270,Serene Mushroom Farm,2,87,3,1,12221
7266,3347,4712,Maricel's Juicery,4,46,3,5,102321
7267,124,4182,Charlotte's Fruit Orchard,2,87,3,3,30913
7268,2222,2504,Jasmin's Homestead,3,25,9,2,41815
7269,3713,3567,Alaska Mushroom Farm,1,25,9,3,123116
7270,6916,3971,Mountain Meadows Honey Bee Farm,2,66,8,9,31514
7271,1419,1970,Sunset Hill Sunflower Farms,4,46,4,1,120913
7272,6253,4740,Salt Lake Horses,3,66,9,3,81119
7273,8744,3478,Albert's Honey Bee Farm,1,66,9,5,92519
7274,8084,6093,Pringle Family Honeybees,2,66,9,6,22616
7275,8572,4664,Maricel's Acres,2,46,5,3,112721
7276,3204,2188,Salt Lake Mushroom Farm,2,87,5,4,92915
7277,9391,1017,Badger Hill Plum Orchard,2,87,5,5,91013
7278,8234,2118,Elm Tree Peach Orchard,1,26,1,4,31421
7279,8035,3341,Crater Lake Honey Bee Farm,1,67,1,1,100821
7280,4276,3942,Green Meadow Organic Farm,1,26,1,8,81020
7281,9089,3291,Fullerton Cow Farm,1,87,6,2,51917
7282,177,7548,Bankers Hill Mushroom Farm,2,26,1,9,101117
7283,5476,8165,Webb Family Honeybees,4,87,6,5,112819
7284,2534,7821,Olivia's Cattle,4,26,2,2,100915
7285,1771,1965,Rustic Hills,3,46,7,4,91618
7286,5906,6518,Ramaya's Cow Farm,1,46,7,5,82515
7287,4991,817,Anita's Maple Syrup,3,67,2,5,50321
7288,9629,1912,Nelson's Juicery,1,46,7,8,120414
7289,6386,6562,Radiant Egg Farm,4,46,7,7,91815
7290,6994,511,Middle Creek Sunflower Farms,2,87,7,7,91314
7291,1638,2921,Jimmy's Creamery,3,26,3,6,91215
7292,4744,3701,Hightower Family Farm,2,26,3,8,62218
7293,2940,1017,Crater Lake Herb Farm,1,87,8,6,52916
7294,9038,8126,Kristen's Squash Farm,2,87,8,8,72616
7295,5289,9949,Arizona Horses,4,46,9,4,10113
7296,9785,358,Jimmy's Honeybees,4,26,5,1,120320
7297,8491,6974,Delightful Herb Garden,3,67,4,8,110521
7298,580,255,Middle Creek Squash Farm,4,87,9,5,21121
7299,966,5965,Fulkerson Family Chickens,4,26,5,7,100122
7300,7979,119,Hudson Family Hills,2,67,5,5,53013
7301,1391,8233,Gloria's Farm,1,67,5,8,70922
7302,3975,6603,Carolina's Fruit Orchard,4,67,6,4,51715
7303,9189,816,Timmy's Organic Farm,2,47,1,6,70420
7304,7559,8668,Radiant Goats,4,67,6,5,62714
7305,2233,2544,Cloudy Herb Farm,2,26,6,8,92420
7306,7891,6201,Deer Creek Flower Garden,1,88,1,7,111522
7307,3190,3781,Middle Creek Mushroom Farm,1,26,7,4,20114
7308,2160,6550,Kristen's Juicery,4,47,2,3,12621
7309,8941,6944,Abdalah's Herb Garden,1,26,7,5,61522
7310,9340,6499,Maricel's Egg Farm,1,26,7,3,81915
7311,7104,6371,Mountain Meadows Organic Farm,3,88,2,2,120115
7312,6057,9177,Maricel's Farm,2,67,7,4,100315
7313,3118,9389,Green Meadow Squash Farm,3,26,8,2,121117
7314,6194,7471,Maribel's Vegetable Farm,3,47,3,4,102120
7315,2944,7971,Aisha's Honeybees,2,26,8,8,92618
7316,5970,2635,Bankers Hill Peach Orchard,4,88,3,4,110513
7317,6018,2383,Serene Horses,2,88,3,5,121518
7318,4333,1189,Fly Creek Acre Farms,3,88,3,6,81814
7319,6962,5589,Kathy's Pumpkin Patch,2,26,9,5,102416
7320,5318,6033,Eduardo's Farm,3,67,9,2,61416
7321,4923,124,Sunset Hill Hills,1,88,4,2,60720
7322,9313,3971,Jimmy's Maple Syrup,1,88,4,3,91921
7323,5049,5435,Timmy's Plum Orchard,1,67,9,7,30114
7324,4739,7705,Salt Lake Pumpkin Patch,4,67,9,9,51413
7325,8992,1724,Aisha's Acre Farms,3,88,4,9,82521
7326,2847,9093,Fullerton Vineyards,2,68,1,1,70119
7327,9923,6243,Sunny Mushroom Farm,4,27,1,6,70617
7328,978,3522,Black Mountain Chickens,2,88,6,2,102917
7329,8905,2402,Cloudy Juicery,4,68,1,4,82318
7330,194,1619,Los Angeles Cow Farm,2,68,1,6,120718
7331,5014,6772,Aisha's Honey Bee Farm,4,27,2,2,81918
7332,9021,6765,Fullerton Mushroom Farm,4,47,7,1,42615
7333,2452,336,Bankers Hill Sunflower Farms,2,88,6,8,30918
7334,7969,5609,Maribel's Ranch,3,68,2,2,11620
7335,7896,3,Hudson Family Acres,1,47,7,5,101819
7336,6207,5680,Maricel's Squash Farm,3,68,2,4,22519
7337,3728,9348,Kathy's Farm,4,88,7,2,72118
7338,4393,9431,Fulkerson Family Avocado Farm,1,47,7,8,102514
7339,9406,4734,Elm Tree Fruit Orchard,1,47,7,7,60117
7340,8454,6632,Aisha's Lavender Fields,2,88,7,7,110118
7341,8732,8209,Blissful Cow Farm,3,47,8,6,70517
7342,380,9499,Maria's Mushroom Farm,3,88,8,2,81016
7343,761,2273,Elm Tree Lavender Fields,3,47,8,7,31413
7344,7450,2279,Blissful Organic Farm,1,27,4,1,21318
7345,3740,2297,Sparkle Pond Peach Orchard,3,88,8,6,113022
7346,6491,622,Abdalah's Herb Farm,3,88,8,5,100416
7347,1119,2289,Deer Creek Honeybees,1,68,3,5,20913
7348,3552,4205,Fullerton Honeybees,3,47,9,3,52221
7349,6631,4283,Crater Lake Juicery,3,27,4,6,11318
7350,6294,8373,Ramaya's Fields,2,27,4,9,121321
7351,9631,4410,Badger Hill Farm,3,88,9,9,80417
7352,7795,7956,Olivia's Fields,3,48,1,2,80721
7353,500,6427,Jasmin's Cow Farm,2,68,6,1,111214
7354,5377,4208,Hudson Family Juicery,1,48,1,4,61513
7355,8082,7223,Bankers Hill Plum Orchard,3,89,1,1,51013
7356,1837,1906,Hudson Family Vineyards,2,89,1,2,42914
7357,723,7954,Swallowtail Ponds Farm,2,68,6,5,110217
7358,5035,9138,Blooming Family Apples,1,89,1,5,121821
7359,8341,820,Turtle Pond Plum Orchard,2,89,1,8,32713
7360,5488,7621,Black Mountain Honeybees,3,48,2,2,10417
7361,2133,9362,Monarch Meadow Herb Garden,3,27,7,6,12213
7362,7442,5843,Maria's Herb Farm,2,68,7,5,22115
7363,883,7551,Blooming Family Acre Farms,2,89,2,7,40615
7364,1323,1865,Gloria's Horses,1,48,3,2,21920
7365,9697,4660,Dry Creek Goats,2,89,2,9,61819
7366,3517,4125,Crater Lake Mushroom Farm,3,68,8,2,120921
7367,6975,503,Jasmin's Flower Garden,4,27,8,3,110822
7368,3064,7194,Olivia's Acre Farms,4,48,3,8,61413
7369,4552,2880,Happy Peach Orchard,1,27,9,2,110813
7370,8832,7846,Fly Creek Plum Orchard,4,48,4,1,100622
7371,8372,8853,Gloria's Plum Orchard,2,27,9,4,72119
7372,2256,7891,Los Angeles Avocado Farm,2,48,4,3,11515
7373,554,5593,Elm Tree Farm,1,68,8,8,43020
7374,9016,1366,Alberto's Plum Orchard,3,68,9,5,20915
7375,2053,4387,Crater Lake Fields,1,89,4,4,111918
7376,8365,9180,Fulkerson Family Peach Orchard,1,48,4,7,72922
7377,4009,5288,Sunset Hill Honeybees,3,68,9,9,50817
7378,2096,7657,Gloria's Country Estate,2,89,5,1,82821
7379,9218,457,Gloria's Oranges,1,89,5,2,52116
7380,2140,6601,Tranquil Honey Bee Farm,3,28,1,3,51321
7381,5825,9040,Tranquil Egg Farm,1,69,1,1,100522
7382,5175,6838,Happy Creamery,4,89,5,9,11314
7383,2861,6548,Happy Goats,4,48,6,4,102718
7384,2766,2823,Fulkerson Family Plum Orchard,1,28,1,8,33122
7385,569,6703,Salt Lake Flower Garden,3,89,6,3,43016
7386,5037,6487,Mountain Lavender Fields,4,89,6,7,122219
7387,369,2428,Butterfly Creek Herb Farm,3,28,2,3,102521
7388,7718,5398,Maribel's Fruit Orchard,1,69,2,2,40817
7389,5396,2067,Smith Plum Orchard,2,48,7,5,82713
7390,7722,394,Jimmy's Peach Orchard,3,28,2,8,62313
7391,2160,3343,Kristen's Apples,4,48,7,6,22116
7392,90,2034,Los Angeles Ranch,2,89,7,4,60618
7393,15,6129,Harvest Flower Garden,2,69,3,3,100316
7394,2861,9025,Los Angeles Chickens,1,89,8,1,51716
7395,8696,4366,Smucker's Ranch,1,89,8,4,91919
7396,1607,3539,Dry Creek Fields,3,48,8,9,100220
7397,2524,6671,Maribel's Peach Orchard,4,89,8,5,21322
7398,7291,4526,Alberto's Fruit Orchard,2,28,4,3,30620
7399,9811,8279,Webb Family Herb Garden,2,48,9,3,71220
7400,2552,9321,Sauer Family Fruit Orchard,3,89,9,2,71221
7401,8072,7984,Turtle Pond Squash Farm,1,69,4,9,53021
7402,9574,118,Albert's Vineyards,4,49,1,1,62615
7403,8112,8297,Alaska Honeybees,4,69,5,9,80819
7404,6516,7683,Golden Lavender Fields,2,49,1,6,121921
7405,7911,9964,Breezy Horse Ranch,4,28,6,9,70421
7406,2192,4843,Middle Creek Honeybees,3,49,1,8,30619
7407,5520,914,Radiant Herb Garden,4,69,6,7,91115
7408,2832,1541,Charlotte's Horses,3,69,7,1,122018
7409,8127,4703,Sparkle Pond Honey Bee Farm,2,28,7,5,92216
7410,9227,8352,Middle Creek Vineyards,1,49,2,5,93013
7411,7910,4878,Elm Tree Cow Farm,1,28,7,8,81520
7412,9863,4934,Middle Creek Flower Garden,1,28,7,9,31013
7413,3198,3926,Kathy's Herb Garden,1,28,8,3,110214
7414,9808,595,Elm Tree Herb Farm,3,28,8,6,50819
7415,7581,9015,Nelson's Vegetable Farm,1,28,8,8,111115
7416,8190,2946,Maria's Farm,1,69,8,5,62920
7417,5140,2029,Coleman Vegetable Farm,4,28,9,5,110117
7418,5047,2105,Sauer Family Hills,1,69,9,1,50517
7419,3906,7691,Ross Lake Farm,1,49,5,5,32215
7420,4207,2825,Sunny Lavender Fields,2,29,1,2,122616
7421,4390,3549,Rustic Honeybees,4,29,1,3,73115
7422,1425,7274,Sunset Hill Plum Orchard,4,49,6,2,123014
7423,5623,1068,Swallowtail Ponds Hills,1,29,1,5,123119
7424,3591,8512,Sauer Family Egg Farm,3,29,1,7,41415
7425,5044,7771,Badger Hill Fruit Orchard,2,29,2,3,12419
7426,4416,3248,Francesco's Horses,4,49,7,5,61213
7427,6383,4697,Jimmy's Cattle,4,49,7,7,101218
7428,8831,7472,Sharon's Herb Farm,1,29,3,6,111321
7429,8720,4307,Crater Lake Homestead,2,49,8,8,90513
7430,2554,8245,Aisha's Vegetable Farm,1,29,4,7,90814
7431,2003,1276,Mountain Meadows Juicery,2,29,4,8,82216
7432,3265,5217,Blissful Honeybees,1,49,9,6,53117
7433,2242,4708,Nelson's Acre Farms,2,49,9,9,82422
