ACCT-NBR,PRFX-LINE-NBR,SFX-LINE-NBR,SUB-SFX-LINE-NBR,MINOR-CDE-FLAG,ACCT-TITLE,BAL-CDE,ENTY,DTE-LST-RGSTR-ACCT
7260,87,2,3,0,Deer Creek Maple Syrup,1,1,22316
7261,66,7,6,0,Eduardo's Herb Farm,3,1,112422
7262,25,8,1,1,Fly Creek Lavender Fields,7,5,122914
7263,46,2,8,0,Crater Lake Hills,1,3,72114
7264,46,3,2,0,Alberto's Pumpkin Patch,1,3,41014
7265,87,3,1,1,Serene Mushroom Farm,5,2,12221
7266,46,3,5,1,Maricel's Juicery,4,2,102321
7267,87,3,3,0,Charlotte's Fruit Orchard,7,2,30913
7268,25,9,2,0,Jasmin's Homestead,1,5,41815
7269,25,9,3,0,Alaska Mushroom Farm,2,3,123116
7270,66,8,9,1,Mountain Meadows Honey Bee Farm,6,1,31514
7271,46,4,1,0,Sunset Hill Sunflower Farms,3,2,120913
7272,66,9,3,0,Salt Lake Horses,2,3,81119
7273,66,9,5,1,Albert's Honey Bee Farm,8,2,92519
7274,66,9,6,0,Pringle Family Honeybees,3,1,22616
7275,46,5,3,0,Maricel's Acres,7,2,112721
7276,87,5,4,1,Salt Lake Mushroom Farm,2,2,92915
7277,87,5,5,0,Badger Hill Plum Orchard,9,2,91013
7278,26,1,4,1,Elm Tree Peach Orchard,4,2,31421
7279,67,1,1,0,Crater Lake Honey Bee Farm,7,5,100821
7280,26,1,8,1,Green Meadow Organic Farm,9,3,81020
7281,87,6,2,0,Fullerton Cow Farm,1,5,51917
7282,26,1,9,1,Bankers Hill Mushroom Farm,9,2,101117
7283,87,6,5,1,Webb Family Honeybees,5,5,112819
7284,26,2,2,1,Olivia's Cattle,4,2,100915
7285,46,7,4,1,Rustic Hills,7,5,91618
7286,46,7,5,1,Ramaya's Cow Farm,5,2,82515
7287,67,2,5,1,Anita's Maple Syrup,2,4,50321
7288,46,7,8,1,Nelson's Juicery,9,3,120414
7289,46,7,7,1,Radiant Egg Farm,7,2,91815
7290,87,7,7,0,Middle Creek Sunflower Farms,1,2,91314
7291,26,3,6,1,Jimmy's Creamery,5,4,91215
7292,26,3,8,0,Hightower Family Farm,6,5,62218
7293,87,8,6,0,Crater Lake Herb Farm,5,3,52916
7294,87,8,8,1,Kristen's Squash Farm,8,2,72616
7295,46,9,4,0,Arizona Horses,4,5,10113
7296,26,5,1,1,Jimmy's Honeybees,4,4,120320
7297,67,4,8,1,Delightful Herb Garden,4,2,110521
7298,87,9,5,1,Middle Creek Squash Farm,2,1,21121
7299,26,5,7,0,Fulkerson Family Chickens,8,1,100122
7300,67,5,5,1,Hudson Family Hills,2,4,53013
7301,67,5,8,0,Gloria's Farm,6,2,70922
7302,67,6,4,0,Carolina's Fruit Orchard,5,3,51715
7303,47,1,6,0,Timmy's Organic Farm,1,2,70420
7304,67,6,5,1,Radiant Goats,9,2,62714
7305,26,6,8,1,Cloudy Herb Farm,8,1,92420
7306,88,1,7,0,Deer Creek Flower Garden,1,5,111522
7307,26,7,4,0,Middle Creek Mushroom Farm,7,2,20114
7308,47,2,3,0,Kristen's Juicery,7,4,12621
7309,26,7,5,0,Abdalah's Herb Garden,5,3,61522
7310,26,7,3,0,Maricel's Egg Farm,3,5,81915
7311,88,2,2,0,Mountain Meadows Organic Farm,6,2,120115
7312,67,7,4,0,Maricel's Farm,5,1,100315
7313,26,8,2,0,Green Meadow Squash Farm,5,1,121117
7314,47,3,4,0,Maribel's Vegetable Farm,9,4,102120
7315,26,8,8,0,Aisha's Honeybees,7,3,92618
7316,88,3,4,1,Bankers Hill Peach Orchard,5,3,110513
7317,88,3,5,1,Serene Horses,9,2,121518
7318,88,3,6,0,Fly Creek Acre Farms,1,4,81814
7319,26,9,5,1,Kathy's Pumpkin Patch,7,3,102416
7320,67,9,2,1,Eduardo's Farm,9,3,61416
7321,88,4,2,0,Sunset Hill Hills,6,1,60720
7322,88,4,3,1,Jimmy's Maple Syrup,5,4,91921
7323,67,9,7,0,Timmy's Plum Orchard,7,3,30114
7324,67,9,9,1,Salt Lake Pumpkin Patch,2,1,51413
7325,88,4,9,1,Aisha's Acre Farms,5,2,82521
7326,68,1,1,1,Fullerton Vineyards,2,1,70119
7327,27,1,6,0,Sunny Mushroom Farm,5,3,70617
7328,88,6,2,1,Black Mountain Chickens,3,3,102917
7329,68,1,4,1,Cloudy Juicery,7,1,82318
7330,68,1,6,0,Los Angeles Cow Farm,5,1,120718
7331,27,2,2,1,Aisha's Honey Bee Farm,1,2,81918
7332,47,7,1,1,Fullerton Mushroom Farm,6,4,42615
7333,88,6,8,0,Bankers Hill Sunflower Farms,8,2,30918
7334,68,2,2,0,Maribel's Ranch,8,2,11620
7335,47,7,5,0,Hudson Family Acres,8,3,101819
7336,68,2,4,0,Maricel's Squash Farm,8,4,22519
7337,88,7,2,1,Kathy's Farm,1,4,72118
7338,47,7,8,0,Fulkerson Family Avocado Farm,1,3,102514
7339,47,7,7,0,Elm Tree Fruit Orchard,7,1,60117
7340,88,7,7,0,Aisha's Lavender Fields,6,2,110118
7341,47,8,6,0,Blissful Cow Farm,3,5,70517
7342,88,8,2,0,Maria's Mushroom Farm,5,3,81016
7343,47,8,7,0,Elm Tree Lavender Fields,1,3,31413
7344,27,4,1,1,Blissful Organic Farm,3,1,21318
7345,88,8,6,0,Sparkle Pond Peach Orchard,3,3,113022
7346,88,8,5,0,Abdalah's Herb Farm,7,5,100416
7347,68,3,5,0,Deer Creek Honeybees,3,2,20913
7348,47,9,3,1,Fullerton Honeybees,3,3,52221
7349,27,4,6,1,Crater Lake Juicery,3,3,11318
7350,27,4,9,0,Ramaya's Fields,3,3,121321
7351,88,9,9,0,Badger Hill Farm,8,4,80417
7352,48,1,2,1,Olivia's Fields,6,1,80721
7353,68,6,1,0,Jasmin's Cow Farm,8,5,111214
7354,48,1,4,0,Hudson Family Juicery,3,5,61513
7355,89,1,1,1,Bankers Hill Plum Orchard,6,2,51013
7356,89,1,2,1,Hudson Family Vineyards,4,4,42914
7357,68,6,5,1,Swallowtail Ponds Farm,9,1,110217
7358,89,1,5,0,Blooming Family Apples,5,3,121821
7359,89,1,8,1,Turtle Pond Plum Orchard,9,2,32713
7360,48,2,2,0,Black Mountain Honeybees,3,3,10417
7361,27,7,6,0,Monarch Meadow Herb Garden,1,1,12213
7362,68,7,5,0,Maria's Herb Farm,6,2,22115
7363,89,2,7,1,Blooming Family Acre Farms,3,5,40615
7364,48,3,2,0,Gloria's Horses,5,2,21920
7365,89,2,9,1,Dry Creek Goats,1,2,61819
7366,68,8,2,0,Crater Lake Mushroom Farm,8,4,120921
7367,27,8,3,0,Jasmin's Flower Garden,3,1,110822
7368,48,3,8,0,Olivia's Acre Farms,3,2,61413
7369,27,9,2,0,Happy Peach Orchard,1,1,110813
7370,48,4,1,1,Fly Creek Plum Orchard,2,3,100622
7371,27,9,4,0,Gloria's Plum Orchard,9,2,72119
7372,48,4,3,1,Los Angeles Avocado Farm,5,2,11515
7373,68,8,8,0,Elm Tree Farm,9,4,43020
7374,68,9,5,1,Alberto's Plum Orchard,4,3,20915
7375,89,4,4,0,Crater Lake Fields,3,2,111918
7376,48,4,7,1,Fulkerson Family Peach Orchard,9,4,72922
7377,68,9,9,1,Sunset Hill Honeybees,1,5,50817
7378,89,5,1,1,Gloria's Country Estate,2,2,82821
7379,89,5,2,0,Gloria's Oranges,8,4,52116
7380,28,1,3,1,Tranquil Honey Bee Farm,5,4,51321
7381,69,1,1,1,Tranquil Egg Farm,8,4,100522
7382,89,5,9,1,Happy Creamery,1,1,11314
7383,48,6,4,1,Happy Goats,6,2,102718
7384,28,1,8,0,Fulkerson Family Plum Orchard,1,1,33122
7385,89,6,3,0,Salt Lake Flower Garden,9,5,43016
7386,89,6,7,1,Mountain Lavender Fields,1,2,122219
7387,28,2,3,1,Butterfly Creek Herb Farm,2,5,102521
7388,69,2,2,0,Maribel's Fruit Orchard,8,3,40817
7389,48,7,5,1,Smith Plum Orchard,2,5,82713
7390,28,2,8,1,Jimmy's Peach Orchard,9,5,62313
7391,48,7,6,0,Kristen's Apples,2,5,22116
7392,89,7,4,1,Los Angeles Ranch,9,5,60618
7393,69,3,3,0,Harvest Flower Garden,7,3,100316
7394,89,8,1,0,Los Angeles Chickens,9,2,51716
7395,89,8,4,0,Smucker's Ranch,1,4,91919
7396,48,8,9,1,Dry Creek Fields,2,4,100220
7397,89,8,5,0,Maribel's Peach Orchard,1,1,21322
7398,28,4,3,0,Alberto's Fruit Orchard,5,5,30620
7399,48,9,3,1,Webb Family Herb Garden,4,1,71220
7400,89,9,2,1,Sauer Family Fruit Orchard,4,2,71221
7401,69,4,9,0,Turtle Pond Squash Farm,9,1,53021
7402,49,1,1,0,Albert's Vineyards,3,2,62615
7403,69,5,9,0,Alaska Honeybees,2,1,80819
7404,49,1,6,1,Golden Lavender Fields,5,1,121921
7405,28,6,9,1,Breezy Horse Ranch,3,5,70421
7406,49,1,8,0,Middle Creek Honeybees,9,3,30619
7407,69,6,7,0,Radiant Herb Garden,6,1,91115
7408,69,7,1,0,Charlotte's Horses,7,4,122018
7409,28,7,5,0,Sparkle Pond Honey Bee Farm,9,5,92216
7410,49,2,5,0,Middle Creek Vineyards,5,3,93013
7411,28,7,8,1,Elm Tree Cow Farm,5,4,81520
7412,28,7,9,0,Middle Creek Flower Garden,8,2,31013
7413,28,8,3,1,Kathy's Herb Garden,5,5,110214
7414,28,8,6,0,Elm Tree Herb Farm,4,4,50819
7415,28,8,8,1,Nelson's Vegetable Farm,3,5,111115
7416,69,8,5,1,Maria's Farm,7,1,62920
7417,28,9,5,0,Coleman Vegetable Farm,4,2,110117
7418,69,9,1,0,Sauer Family Hills,4,2,50517
7419,49,5,5,1,Ross Lake Farm,3,5,32215
7420,29,1,2,1,Sunny Lavender Fields,6,4,122616
7421,29,1,3,0,Rustic Honeybees,5,1,73115
7422,49,6,2,1,Sunset Hill Plum Orchard,9,1,123014
7423,29,1,5,0,Swallowtail Ponds Hills,7,3,123119
7424,29,1,7,0,Sauer Family Egg Farm,1,1,41415
7425,29,2,3,0,Badger Hill Fruit Orchard,5,2,12419
7426,49,7,5,0,Francesco's Horses,5,1,61213
7427,49,7,7,0,Jimmy's Cattle,5,4,101218
7428,29,3,6,0,Sharon's Herb Farm,2,4,111321
7429,49,8,8,1,Crater Lake Homestead,9,3,90513
7430,29,4,7,0,Aisha's Vegetable Farm,7,4,90814
7431,29,4,8,1,Mountain Meadows Juicery,3,4,82216
7432,49,9,6,0,Blissful Honeybees,3,4,53117
7433,49,9,9,0,Nelson's Acre Farms,7,5,82422
7434,29,5,8,0,Maricel's Avocado Farm,1,5,11818
7435,29,5,9,1,Hightower Family Creamery,9,5,21319
7436,29,6,4,0,Pringle Family Vegetable Farm,6,2,40819
7437,29,6,5,0,Albert's Oranges,7,3,92713
7438,29,6,6,0,Bankers Hill Squash Farm,4,5,31218
7439,29,6,7,1,Olivia's Juicery,5,5,82120
7440,91,1,6,1,Green Meadow Creamery,1,4,52819
7441,29,7,3,0,Maribel's Cow Farm,9,3,120820
7442,91,2,3,0,Breezy Squash Farm,1,3,31714
7443,91,2,4,0,Cloudy Sunflower Farms,8,2,21113
7444,91,2,6,1,Turtle Pond Fruit Orchard,6,2,110622
7445,29,8,3,0,Serene Organic Farm,2,5,80116
7446,91,3,1,0,Kristen's Lavender Fields,5,3,70920
7447,29,8,7,0,Bankers Hill Vegetable Farm,4,4,80522
7448,29,8,9,0,Los Angeles Farm,1,5,42114
7449,91,3,4,0,Elm Tree Goats,6,2,51222
7450,91,3,6,0,Golden Homestead,2,4,22222
7451,91,3,7,0,Tranquil Horses,8,1,11715
7452,29,9,4,1,Anita's Goats,7,1,80617
7453,91,5,2,0,Maricel's Flower Garden,4,5,90618
7454,91,5,3,0,Blue Lake Cow Farm,4,3,52318
7455,91,5,5,0,Hightower Family Acres,3,4,42221
7456,91,6,3,1,Pringle Family Herb Garden,7,1,110821
7457,91,6,4,0,Turtle Pond Fields,7,5,121514
7458,71,1,7,0,Green Meadow Ranch,4,4,21813
7459,71,2,5,0,Sharon's Organic Farm,6,2,81720
