ACCT,SUB-ACCT,OBJ-CLS,AMT,DR-CR
7408,34,EX,85.4,L
7409,76,GD,59.18,B
7410,52,ZJ,59.67,S
7411,98,AP,425.64,B
7412,12,IM,84.66,B
7413,40,AZ,795.56,S
7414,41,YU,4248.21,B
7415,99,EZ,668446.16,D
7416,31,EC,13.95,B
7417,58,VG,431001.6,D
7418,63,CK,2418.31,S
7419,98,RM,5199.92,S
7420,77,BM,991959,L
7421,82,GX,402.99,C
7422,56,OW,4396.91,B
7423,83,FO,865,L
7424,52,OX,71.1,S
7425,27,FF,80009.1,S
7426,18,FB,443634.34,B
7427,41,AW,47.48,C
7428,17,OB,565.19,C
7429,94,QE,8273.25,S
7430,19,AA,684.71,C
7431,53,BN,648505.9,D
7432,82,RW,559,L
7433,18,BZ,672033.92,C
7434,37,QY,8040.66,L
7435,24,SV,8137.7,S
7436,67,MJ,22.75,B
7437,17,RS,444758.96,D
7438,84,GI,41636.84,S
7439,9,ZK,2911.53,C
7440,37,ZK,15.1,C
7441,99,QZ,97.59,C
7442,43,ST,6624.5,B
7443,70,MZ,5750.3,L
7444,11,LW,74.35,S
7445,81,NE,30.76,B
7446,50,TP,9225.46,B
7447,28,RR,3365.21,D
7448,62,LD,343381.9,D
7449,61,TX,984.1,S
7450,74,GA,35.12,C
7451,69,EY,191.78,S
7452,45,BG,73.41,B
7453,88,AJ,13934.67,D
7454,11,JK,82.2,C
7455,40,JP,25.51,D
7456,69,VG,1494.64,D
7457,10,XL,317.69,B
7458,15,WB,2935.22,L
7459,54,LY,8704.19,C
7460,86,NN,47,L
7461,69,WG,90506.66,B
7462,88,TQ,257.66,B
7463,49,HM,8023.5,L
7464,3,FX,7007.75,S
7465,85,RL,35,D
7466,66,KH,34.79,S
7467,83,RE,907.57,C
7468,16,GO,1680.99,B
7469,74,KM,1333.44,D
7470,48,MJ,31.62,C
7471,22,XB,2466.55,B
7472,86,WO,503811.5,S
7473,8,MC,697.23,D
7474,60,KY,79032.39,D
7475,58,JO,991.22,S
7476,67,SH,895.55,C
7477,40,KJ,952391.28,D
7478,32,VZ,77940.7,L
7479,95,NE,6503.78,C
7480,39,XE,9184.23,D
7481,35,WR,21.54,S
7482,30,LK,65.52,D
7483,16,ES,5140.87,B
7484,96,GL,70268.69,C
7485,25,XF,80392,D
7486,53,II,9766.8,S
7487,72,YS,21.98,D
7488,5,HF,596.74,B
7489,78,BZ,41368.96,C
7490,74,AP,86615.86,C
7491,35,XR,46.2,D
7492,41,PD,63326.81,L
7493,71,YP,400.6,B
7494,27,DV,323.62,B
7495,36,RY,18650.8,L
7496,92,ZN,345.98,D
7497,31,FC,18766.68,L
7498,80,ZX,3300.74,L
7499,38,DD,9980.51,S
7500,69,XT,52418.97,C
7501,47,HP,31426.65,C
7502,18,OM,9992.23,D
7503,87,YQ,7832.77,C
7504,70,ER,723.37,C
7505,44,UG,737.88,D
7506,49,YL,612843.74,S
7507,27,XR,639.94,C
7508,23,CB,99.2,S
7509,57,ZA,103998.68,C
7510,18,TH,48770.34,D
7511,41,HZ,54577.3,D
7512,7,DS,614876.58,B
7513,50,SD,9628.74,D
7514,42,QA,87569.13,D
7515,47,OT,94.3,L
7516,81,JI,2808.3,S
7517,36,VL,466.59,C
7518,58,EK,4936.51,C
7519,83,QC,84.67,S
7520,59,WI,985628.78,D
7521,82,ZG,74.81,L
7522,12,XK,668045.61,D
7523,2,BC,540.19,S
7524,8,NM,264.49,L
7525,26,NE,4447.54,D
7526,63,KI,93844.86,S
7527,59,RZ,86.35,D
7528,41,QU,75199.37,D
7529,41,OC,305.5,L
7530,67,GS,96.6,B
7531,32,DW,43.68,D
7532,59,MD,977973.16,D
7533,74,WJ,39.36,L
7534,51,VS,8619.92,D
7535,51,UE,22.82,C
7536,23,FI,70100.37,L
7537,75,EQ,3283.94,L
7538,85,FT,90110.9,D
7539,97,ZQ,566.73,C
7540,34,YM,151.29,B
7541,44,WO,550977.7,L
7542,30,HQ,59.31,L
7543,50,PN,9695.63,B
7544,87,ZP,97967.44,S
7545,17,CO,87.21,S
7546,98,VA,846369.96,L
7547,75,KS,441.34,B
7548,43,RP,99.81,D
7549,69,JZ,660.4,L
7550,36,DP,487.71,C
7551,19,VG,13.66,D
7552,34,PT,85133.7,C
7553,85,WI,86.18,S
7554,72,HM,320098.96,L
7555,64,XZ,17.45,D
7556,90,SE,35413.68,B
7557,9,VI,47521.13,S
7558,91,VF,2108.21,C
7559,44,GD,717.57,D
7560,49,HF,41302.73,B
7561,96,PC,93876.27,D
7562,88,UO,230691.39,C
7563,86,VJ,71.18,B
7564,4,UG,448297.94,C
7565,80,FN,3014.65,B
7566,30,XN,139458.66,L
7567,81,XB,851149.25,L
7568,80,ZT,50754.1,L
7569,89,VC,3445.37,B
7570,95,FU,52416.3,S
7571,49,NK,449802.86,C
7572,56,RD,9755.62,C
7573,26,TH,143668.3,C
7574,83,VE,922.79,D
7575,73,SM,757.6,L
7576,16,TO,43.9,C
7577,99,JB,21.74,B
7578,31,JK,827.36,S
7579,61,BF,83.76,C
7580,25,CY,7785.1,B
7581,80,BI,809.84,S
7582,60,UL,1856.6,C
7583,87,HU,51.81,D
7584,42,EI,2000.92,C
7585,87,YF,915603.25,C
7586,30,YR,869.35,B
7587,81,YD,1025.1,B
7588,28,UZ,69.32,D
7589,18,LQ,31839.1,C
7590,17,NN,78585.34,C
7591,48,XU,399838.26,D
7592,2,UR,25350.16,S
7593,15,NM,47.81,L
7594,39,WM,17026.6,L
7595,82,GD,84.39,L
7596,89,SZ,989.74,S
7597,24,HO,79473.45,S
7598,1,EF,4022.89,D
7599,48,FS,8561.6,L
7600,44,AV,25273.92,L
7601,8,ND,642627.12,D
7602,11,LT,456.65,C
7603,40,BW,899.88,D
7604,50,ZN,46.22,L
7605,77,ME,79.11,L
7606,54,BL,4196.77,C
7607,24,TI,22.25,L
7608,60,QD,5930.48,C
7609,98,JD,25.1,D
7610,53,LP,652.24,C
7611,74,YP,93049.34,L
7612,94,KM,78229.78,C
7613,38,TK,516787.39,C
7614,70,JI,234912.53,C
7615,28,QP,383.41,C
7616,41,LU,302.95,S
7617,47,SR,3745.72,B
7618,80,QW,247491.44,B
7619,6,SH,699.41,B
7620,3,PU,673109.65,S
7621,0,YY,25.87,C
7622,98,UG,321.67,B
7623,68,QQ,29078.66,L
7624,96,BL,661017.49,L
7625,21,AB,269433.71,C
7626,53,OJ,1181.92,D
7627,55,WK,661.61,S
7628,43,UQ,58.48,D
7629,10,EV,56225.59,C
7630,4,TS,453.51,B
7631,45,YQ,37287.1,S
7632,8,FF,85.72,C
7633,8,BJ,448.8,B
7634,78,AN,443.66,D
7635,4,UZ,89698.74,C
7636,6,LF,722081.59,C
7637,90,RT,20.8,D
7638,6,UB,408.5,S
7639,63,KC,214.88,S
7640,8,EF,634821.17,L
7641,18,WA,6040.83,L
7642,7,EP,64.82,L
7643,78,LJ,555041.57,B
7644,32,VE,88305.79,D
7645,17,LL,84764.77,B
7646,88,MJ,79.25,B
7647,79,BW,71.75,B
7648,66,GH,664571.15,S
7649,97,UQ,940.91,B
7650,79,SK,2834.75,L
7651,47,MZ,885.39,D
7652,9,BF,712247.13,C
7653,12,QF,258597.76,D
7654,81,UM,562.16,D
7655,72,OV,885439.92,L
7656,24,VG,35682.36,L
7657,5,ON,513540.15,B
7658,83,BI,4205.3,S
7659,83,FH,940586.66,D
7660,1,LK,70372.98,C
7661,51,QN,40162.37,C
7662,72,GI,7876.36,B
7663,3,RZ,4096.44,B
7664,78,XF,366320.43,D
7665,38,AW,96.21,C
7666,7,QL,52.96,B
7667,63,GC,83.67,S
7668,6,GZ,8654.7,B
7669,85,FV,920.99,L
7670,82,DE,948.79,D
7671,51,CM,68.53,D
7672,77,RN,653680.87,S
7673,49,KM,17.24,B
7674,2,JW,56338.6,S
7675,74,AG,87.9,L
7676,84,WX,78.4,B
7677,35,VD,63975.56,B
7678,2,ZP,392.19,D
7679,90,ZC,92.29,D
7680,40,PP,72970.95,L
7681,42,RB,873.92,B
7682,75,ZI,79.83,C
7683,44,CH,414.33,D
7684,76,SA,20.59,B
7685,77,ID,273520.99,S
7686,41,UB,973.2,C
7687,37,ME,1517.82,S
7688,43,FT,85784.52,C
7689,93,RG,89.54,D
7690,31,HW,98.98,C
7691,13,WG,2403.2,D
7692,28,AP,29222.43,B
7693,88,SQ,77947.81,B
7694,39,WL,27733.62,D
7695,83,LW,956.81,S
7696,92,NK,679602.48,L
7697,15,EN,619435.73,L
7698,31,IW,425.71,B
7699,71,EZ,759643.68,B
7700,30,XA,47224.85,C
7701,71,MU,204215.67,B
7702,58,PB,22928.67,S
7703,51,HL,72181.6,D
7704,56,LJ,1730.85,B
7705,85,TI,7941.53,S
7706,40,JZ,38.5,S
7707,88,KX,8161.3,D
7708,31,FO,1849.99,S
7709,85,MK,11.32,D
7710,84,SV,958.88,S
7711,57,TC,84942.32,L
7712,19,PP,1341.44,C
7713,18,RS,227190.11,S
7714,39,PH,20.13,L
7715,79,XL,898.8,L
7716,30,QY,77533.3,S
7717,33,RL,3258.51,D
7718,68,JN,67.95,S
7719,11,YS,2445.59,D
7720,32,KQ,7075.51,B
7721,8,OM,568.78,D
7722,50,QT,2947.66,D
7723,58,LM,91743.69,D
7724,24,PC,423182.6,D
7725,91,AR,95500.88,C
7726,22,PH,365.42,L
7727,63,ZT,3389.25,S
7728,88,YO,71286.69,D
7729,0,GC,506708.5,C
7730,10,DX,481.37,S
7731,3,AL,51.23,C
7732,14,KP,16942.18,C
7733,55,RB,5629.36,B
7734,26,IY,628.89,B
7735,43,BC,963813.3,C
7736,38,IV,662.45,D
7737,64,MG,53.1,L
7738,15,ED,328185.92,B
7739,13,KQ,19.15,C
7740,20,BH,45710.44,L
7741,72,OC,804.78,L
7742,8,ZT,407.1,D
7743,24,IM,4006.28,D
7744,11,LF,467366.69,C
7745,50,VS,40.81,B
7746,26,XW,725654.29,D
7747,40,QG,94322.99,D
7748,78,AL,938.88,B
7749,87,LB,388274.89,B
7750,57,LT,573392.86,S
7751,5,QU,8737.46,C
7752,51,JX,26.31,C
7753,29,GS,7643.39,C
7754,75,TN,850.9,L
7755,62,XQ,524.37,S
7756,6,VV,74387.37,L
7757,27,FU,51.77,S
7758,75,AV,61.84,S
7759,16,DZ,254.46,C
7760,99,BD,562.67,S
7761,35,RS,895.33,C
7762,91,QC,48338.43,S
7763,26,YN,66810.91,C
7764,6,CG,665.9,S
7765,69,XI,32.42,C
7766,38,BD,18728.5,L
7767,75,AP,80.31,C
7768,77,UY,49.15,L
7769,77,LG,55974.18,L
7770,7,WU,79.33,L
7771,74,AI,98,D
7772,14,SI,542.72,L
7773,17,UF,541404.15,S
7774,30,VL,492136.33,L
7775,41,RP,530601.92,C
7776,3,MH,5381.14,D
7777,75,SE,33.61,B
7778,76,YK,933.44,S
7779,50,MH,68.79,L
7780,60,ZD,11715.32,L
7781,25,BI,985.28,B
7782,29,WT,492917.92,B
7783,11,XJ,5907.79,S
7784,55,RF,7523.85,L
7785,52,LQ,9820.67,D
7786,20,XB,81702.45,D
7787,90,IC,15864.99,L
7788,98,BY,64.55,S
7789,21,XX,39.74,L
7790,60,PE,721939.35,L
7791,98,CJ,492.21,D
7792,69,NA,440312.1,C
7793,84,PB,753.44,C
7794,53,VT,636.29,C
7795,47,VN,6407.48,C
7796,15,VU,773534.2,C
7797,21,AA,753799.3,B
7798,17,MX,93625.71,L
7799,71,OY,319934.53,S
7800,95,DI,191713.16,S
7801,51,XT,56487.14,D
7802,19,NN,7984.3,B
7803,15,AR,374516.73,B
7804,98,GE,5646.41,D
7805,75,XP,461.57,L
7806,41,UY,61596.24,C
7807,63,LK,39831.89,L
7808,75,JT,5660.57,C
7809,14,MA,527.75,L
7810,46,UL,8395.44,L
7811,79,DC,456.58,L
7812,67,DH,9645.74,S
7813,25,XO,7579.22,L
7814,38,RZ,31.69,B
7815,22,YL,93.55,S
7816,58,ME,662359.16,L
7817,34,BG,884.95,D
7818,19,FV,1420.64,C
7819,42,BZ,416625.88,D
7820,92,PD,494.57,D
7821,61,NP,958245.94,B
7822,20,KN,6762.4,D
7823,63,PJ,367.81,D
7824,29,ND,23.63,C
7825,78,DP,403736.26,C
7826,2,RG,57047.27,D
7827,41,CZ,530.63,S
7828,11,OV,19.52,C
7829,62,UG,504536.1,C
7830,97,BD,30907.77,C
7831,69,GI,34.8,L
7832,54,AA,7690.34,C
7833,42,UQ,670.45,C
7834,98,LT,1896.64,D
7835,61,YR,76.33,C
7836,38,DW,810930.82,B
7837,48,QE,72692.34,B
7838,37,XQ,343071.8,L
7839,67,FQ,19.48,B
7840,69,HL,820833.74,S
7841,92,TW,98.86,L
7842,71,GB,666813.92,B
7843,54,KG,845440.23,D
7844,75,AW,880.92,C
7845,94,WT,29.4,B
7846,72,IN,337536.1,D
7847,45,WR,633.2,B
7848,25,VQ,5368,L
7849,8,FE,801.51,S
7850,76,ZA,83.8,D
7851,98,MK,46206.1,D
7852,19,RX,63945.32,C
7853,31,XZ,39.78,C
7854,62,XH,96125.85,C
7855,74,VI,131651.48,B
7856,7,IJ,303.23,B
7857,24,RI,684.57,D
7858,16,BF,44.39,C
7859,88,XQ,770159.99,C
7860,93,FU,804,C
7861,37,QR,841590,D
7862,63,JY,167926.7,C
7863,76,YW,1956.1,S
7864,19,SC,917.97,C
7865,62,XW,137407.27,L
7866,4,CG,754493.86,B
7867,87,OD,866361.64,B
7868,17,KS,510228.96,L
7869,76,SC,286.94,B
7870,37,FL,61.54,L
7871,68,NA,805.64,D
7872,33,BQ,4255.44,C
7873,7,AC,236758.87,D
7874,11,ZW,16.9,L
7875,76,OM,909.48,C
7876,52,QI,75244.51,B
7877,44,ST,2054.22,L
7878,54,RH,49421.49,B
7879,98,VK,58919.94,B
7880,80,HH,783117.52,D
7881,97,SE,1662.17,L
7882,54,XR,4579.72,D
7883,58,WZ,80.48,S
7884,74,JX,1275.27,C
7885,19,KT,30.52,L
7886,82,BP,490.97,S
7887,15,UM,77.44,B
7888,85,WA,2540.11,S
7889,20,TE,4456.1,S
7890,39,ZY,29303.45,L
7891,0,FJ,95240.68,S
7892,79,FI,12157.66,L
7893,41,HK,6291.24,B
7894,81,ER,68187.31,L
7895,12,YH,27.42,B
7896,46,BY,88781.63,D
7897,5,FY,381312.21,B
7898,78,SX,355286.4,B
7899,57,KZ,96579.43,C
7900,81,EA,2536.48,B
7901,84,CE,5006.75,C
7902,44,DO,8588.63,C
7903,76,TG,224170.3,S
7904,17,HS,718.78,C
7905,37,DB,1302.1,S
7906,68,BY,732469.53,D
7907,41,NZ,37486.56,C
7908,98,NG,99922.66,B
7909,71,YJ,5566.46,L
7910,53,AX,333.79,D
7911,89,WG,387361.98,L
7912,69,WY,74.22,B
7913,50,WD,91.58,C
7914,68,OJ,70239.41,B
7915,13,CM,75.12,S
7916,44,UE,9835.32,L
7917,59,LT,9761.74,L
7918,75,QD,499.94,B
7919,11,HR,48.58,C
7920,6,PM,96901,L
7921,55,NU,12207.31,L
7922,54,GG,136.34,L
7923,11,UV,283806.64,D
7924,63,YB,72084.5,B
7925,7,IV,41.5,L
7926,26,WJ,296.9,L
7927,39,LF,6710.74,B
7928,5,XI,408570.71,D
7929,13,UZ,4474.92,L
7930,74,VU,8546.76,B
7931,83,SG,4236.94,S
7932,32,RX,290.52,D
7933,94,YA,9371.49,L
7934,4,TG,73.68,C
7935,92,HO,1187.49,B
7936,77,DF,562.49,L
7937,65,BA,705203.82,B
7938,93,OA,455141.39,S
7939,19,KM,91.62,C
7940,37,XV,46901.84,S
7941,74,TZ,30182.87,D
7942,77,YW,18850.18,D
7943,60,YI,55257.14,L
7944,35,JL,371044.14,S
7945,22,ZR,99564.63,C
