DTE-TRNSCTN,LN-NBR,LN-NBR-NEW,FD-CDE-2,FD-CDE-3RD,FD-CDE-4TH,AMORTN-AMT-CUM,PRTL-SALE-LN-NBR,PRTL-SALE-AMORTN-AMT
122717,43,67,87,4,4,54453.65,23,82428.24
51916,90,46,25,9,9,-77185.84,20,26305.87
13017,12,46,87,4,7,82816.03,30,-92401.7
12223,18,87,46,5,3,-40089.59,25,-75557.26
12418,30,26,26,1,2,-11421.43,25,79080.76
101721,59,26,46,6,1,92164.52,25,-62539.28
122616,91,87,26,1,4,-15663.33,21,-20943.9
40818,63,87,26,1,5,-29345.46,23,-76358.14
31921,98,46,26,1,6,-39586.49,22,41713.43
11214,91,26,87,6,1,-12126.26,29,13727.12
62518,90,67,46,6,5,-80345.01,24,21451.75
21218,98,87,26,1,7,37325,25,19312.2
123114,84,26,46,6,8,54833.17,25,-74273.24
40216,73,67,26,2,2,-82082.35,22,32083.33
80713,25,67,46,7,3,-2863.26,22,70506.02
101020,16,67,67,2,2,-10124.75,21,95649.79
111014,44,47,67,2,4,-3605.62,24,77930.24
41913,22,67,87,7,3,-51049.5,20,68961.05
30320,88,26,87,7,4,35853.1,24,-88768.04
102813,90,88,26,3,1,29605.7,23,82849.91
62218,92,26,67,2,6,-93037.05,20,61823.92
60719,28,47,26,3,2,62991.08,21,-26555.22
71220,18,26,46,7,6,19753.13,27,42577.12
102318,9,26,67,3,3,90348.24,27,3227.11
82719,52,88,87,8,2,87974.47,24,-98882.12
20119,23,67,26,3,9,40857.27,22,27613.76
101721,25,26,46,8,6,-7182.67,21,20147.37
40721,68,47,26,4,2,19840.52,23,-28601.36
122219,38,26,67,3,9,-25384.49,27,-24166.65
70117,86,88,26,4,4,-43048.5,27,69271.66
42215,88,88,46,9,7,44693.83,24,-1981.15
102314,28,88,87,9,5,-56852.57,29,25770.53
51013,23,26,26,5,3,-32087.14,28,48877.24
51214,69,67,67,5,6,87812.35,29,-79131.09
51220,1,88,26,6,4,83706.65,30,-95779.13
60119,37,88,47,1,4,58103.54,21,27275.09
21423,94,67,47,1,7,-1299.72,25,95841.27
61421,80,67,67,8,1,-25396.41,29,35894.61
42022,23,88,26,8,9,-85986.91,30,-50958.71
32314,94,68,67,8,7,-11351.81,27,-71104.46
102321,25,27,47,3,9,92262.98,29,77083.55
121619,2,88,47,4,5,-6691.07,26,-79043.19
21216,33,68,67,9,3,81399.17,30,-18651.82
120722,27,68,67,9,6,69794.82,22,33390.81
11023,24,27,88,4,7,78798.02,23,72251.82
122420,93,47,47,5,3,90527.17,20,-99286.66
40515,20,88,47,5,5,-10164.98,23,90508.14
12123,93,68,47,5,7,62327.82,29,-11686.5
51321,69,47,47,5,8,-19691.74,21,-94863.87
11117,58,68,88,5,4,-98586.73,26,77650.98
12020,64,88,27,1,3,-68531.74,27,62975.04
110422,87,47,47,6,3,14310.11,22,47288.5
71515,37,47,88,6,1,22161.73,26,79706.96
32113,98,88,27,1,8,-80025.12,26,-63840.79
42415,33,47,68,1,8,51534.75,20,44591.07
62320,96,88,68,2,2,32999.24,29,46735.99
80213,97,47,27,2,8,-61896.21,24,-76636.72
53118,98,27,68,2,7,-22016.94,26,-11776.04
80115,35,88,27,3,3,90456.6,28,59771.51
32419,52,88,88,8,3,-60755.94,30,-61885.52
20221,79,68,47,8,7,60804.76,30,-83642.62
91423,12,47,68,3,9,81639.88,20,-66395.35
81313,11,27,47,9,2,-23043.73,24,92583.53
60923,60,27,27,4,4,15258.99,23,-895.84
30214,12,88,27,4,7,91447.03,28,-79613.43
71614,34,48,88,9,2,24348.18,23,81792.47
81723,5,68,68,4,6,-66022.55,25,-50095.29
121416,86,48,88,9,6,-38638.27,26,10646.74
122919,42,89,27,5,3,-21251.17,24,-12940.84
10616,61,89,27,5,4,-23881.25,22,-88719.5
62523,50,68,88,9,9,7918.94,25,-49043.28
112521,83,89,27,5,8,72521.49,26,58159.9
91320,98,89,27,6,1,12914.96,23,64386.17
120215,11,48,68,5,9,9973.32,30,-55730.21
81918,86,27,48,1,2,-53162.34,29,-83281.41
52716,16,68,27,6,4,-82083.5,24,-38426.43
81115,28,89,68,6,3,67023.34,26,87361.63
122822,13,48,89,1,3,78436.02,29,46674.33
31117,86,89,27,7,1,-94025.39,25,27977.11
61815,93,68,68,6,7,-19802.9,20,37719.5
20914,57,27,68,6,9,-54406.72,23,84614.2
112223,35,48,68,6,8,1422.52,25,95023.98
30715,94,27,27,7,5,270.35,21,85115.3
13015,81,48,48,2,5,-68969.96,28,-31878.43
101119,67,27,27,7,9,53399.74,22,-95757.23
81914,51,48,48,2,9,42801.59,24,1628.94
112314,3,68,27,8,1,-2827.53,29,48248.13
22315,95,68,89,2,8,57411.87,30,53004.82
32314,97,89,48,3,3,-36727.16,26,8634.22
20322,18,48,27,8,6,24285.36,26,42091.12
80523,35,68,27,8,5,56079.49,29,-31720.27
62216,18,89,27,8,8,-83580,27,38496.88
90518,36,89,68,8,6,-51976.62,23,-61114.6
92720,40,28,27,9,2,-54125.99,26,-96843.02
122415,98,69,48,4,1,-48271.49,30,18344.62
31223,31,89,27,9,5,17128.64,22,4516.04
60919,95,48,27,9,6,2216.83,21,-69952.15
50513,15,28,48,4,3,-6666.63,21,75036.12
42813,90,89,68,9,1,-54979.56,29,47523.98
62721,45,89,68,9,2,64497.04,22,42915.16
32219,66,28,48,4,5,94132.03,24,911.36
31719,43,69,48,4,9,22534.86,30,-56579.49
10618,5,48,68,9,6,1872.75,29,-60307.95
22522,59,28,48,5,4,59199.68,30,-98063.44
71820,43,48,89,5,3,-33653.25,25,-68764.5
92922,49,89,48,5,9,68761.7,25,-71021.52
121117,18,69,89,5,5,-21045.55,28,96736.82
100923,57,89,69,1,1,-65299.14,24,-22148.63
111616,71,89,48,6,4,61084.36,23,56239.19
112515,49,48,28,1,5,-52296.76,22,-7877.02
102922,51,89,28,1,9,-95130.46,21,-93669.35
123115,38,28,28,2,2,60913.75,26,-74240.71
60714,47,48,28,2,5,34356.12,26,-43129.56
32221,32,89,28,2,8,-32282.17,20,-88895.77
40415,4,69,89,7,3,-74463.8,29,-16415.21
72315,44,49,48,7,9,-19697.69,26,-59363.8
82813,24,69,89,7,6,72791.32,21,-49564.16
22322,51,49,28,3,5,34088.63,28,74686.65
62921,23,28,69,3,2,97112.03,23,70801.49
20519,69,49,89,8,1,26648.45,25,-32763.2
62619,33,69,48,8,7,-1963.84,28,55326.93
101821,92,69,69,3,6,-9451.91,30,48567.98
72319,25,28,89,8,6,45604.13,20,49360.91
53015,96,49,28,4,3,49907.52,27,-61749.83
12615,20,28,48,9,1,-79398.65,22,-45207.79
92122,75,28,89,8,9,54737.55,28,-33123.01
100214,7,28,69,4,1,88481.64,22,66670.02
81315,77,28,28,5,5,37390.77,24,24979.1
41116,60,28,28,5,6,89054.3,29,20836.08
121020,15,69,69,5,3,84542.05,20,-13799.1
72818,93,28,28,5,9,67389.61,24,50425.29
20421,65,69,28,6,5,-96958.56,24,-67860.72
100922,98,49,28,6,7,10558.29,20,-60375.45
51418,30,29,28,6,8,26849.69,26,19859.44
72518,88,29,28,6,9,-18326.49,27,-12042.08
91423,49,49,69,6,7,41711.47,29,-83326.36
30722,95,29,49,1,9,-51572.34,23,-52710.8
91619,27,29,28,7,4,-85125.58,27,62785.69
90223,63,29,69,7,2,6322.87,26,-63341.09
82418,30,49,49,2,5,34779.68,26,88423.92
110319,25,49,49,2,8,48379.61,29,-64163.9
10919,97,29,69,7,7,77072.82,24,-80720.24
51718,16,49,49,2,9,-89346.65,23,48874.05
52120,18,29,49,3,8,90415.35,29,-99587.22
51620,69,29,49,4,1,-6310.86,25,-77612.94
70217,80,49,28,9,4,-95409.69,20,51975.51
90519,11,49,28,9,7,54533.95,29,-80209.79
51019,25,29,69,9,3,26476.64,30,-35811.42
42816,84,29,69,9,5,-71568.2,24,60090.12
60517,33,29,49,4,9,-33263.54,30,38887.24
112622,59,29,69,9,9,24142.76,21,-12034.91
121923,44,29,49,5,8,-25456.87,28,-8849.57
71723,85,29,49,6,1,-6185.35,29,-70311.2
120417,46,91,49,6,3,-78377.67,23,-78751.97
21915,13,29,29,2,1,15865.48,28,-7954.3
21017,96,91,29,2,2,-89225.51,23,-99810.14
91319,61,91,29,2,6,-14299.11,24,21918.56
91117,44,91,49,7,5,3106.29,26,-32645.15
121917,74,29,49,8,2,75948.46,29,-77070.87
41221,14,91,49,8,5,94167.07,26,-51896.7
62620,80,29,29,3,7,5035.07,24,-84852.18
52915,7,29,49,8,6,-54921,24,43652.69
120716,25,91,49,8,8,-31523.79,24,-67849.73
71316,2,91,49,9,1,8586.91,29,77843.21
52513,66,91,49,9,2,24000.44,24,40441.96
51720,28,29,29,6,3,15755.39,22,-69835.91
112615,33,91,29,6,6,87930.01,23,-25581.69
80717,46,91,29,6,7,-49820.5,22,-75576.87
110418,97,91,91,1,2,56478.9,29,69367.32
101122,50,91,29,6,9,-2792.32,20,-6678.95
32522,94,91,91,2,2,6555.05,23,17607.2
40917,51,71,29,7,9,-87000.04,20,74769.35
70114,88,71,29,8,3,4538.97,30,67893.43
20423,73,71,91,3,1,14199.43,23,-51495.51
112716,25,91,91,4,2,26071.54,29,-79021.19
31217,43,71,91,4,6,-40415.59,30,-50201.11
20922,41,91,91,4,9,-79459.24,27,82659.86
22720,36,91,91,5,5,-81913.25,23,-44242.82
21921,35,71,91,5,8,87450.34,26,99829.75
82222,61,71,91,6,3,81009.48,21,-55221.08
101617,68,91,91,7,5,25258.66,28,83144.53
61613,33,91,91,7,9,88378.58,25,5180.76
90922,95,71,71,3,6,-94369.58,30,94753.65
62016,42,71,71,3,7,26331.79,30,-78062.46
42816,11,51,91,9,3,36995.35,27,-62498.65
122122,73,92,71,4,9,23190.03,22,-41846.98
50716,29,92,71,5,5,-13927.49,26,3780.04
121222,39,51,71,5,9,-9259.03,29,90331.16
60120,29,71,51,1,6,48611.06,20,-48524.05
22113,18,92,71,6,4,11874,27,32816.72
72718,76,92,71,7,5,-75543.46,21,-18379.44
90114,82,71,92,2,9,-83878.84,23,-49002.2
21017,9,92,71,8,1,-37087.55,27,8424.3
100123,63,71,71,8,5,52711.94,23,-96994.37
30115,75,71,71,8,9,1639.88,24,12152.75
102419,98,71,51,4,3,-80448.05,28,-3682.25
62818,54,71,51,5,4,-37131.98,26,-12544.89
111422,80,92,51,6,4,89161.68,24,31377.76
31317,99,31,51,6,6,-8322.79,21,-44612.04
51216,38,51,92,6,3,-30593.12,27,-99466.02
110813,69,92,72,1,4,10362.3,25,-3761.61
102520,27,31,31,2,1,62729.75,28,-45554.66
101020,34,92,51,7,1,-12480.75,23,77284.35
20816,26,51,72,2,8,-13900.85,29,69948.49
42120,2,72,51,8,2,85039.05,29,22219.98
123121,51,72,92,7,9,-65976.95,23,47064.49
30920,81,31,51,8,4,89403.13,23,341.6
70813,60,92,92,8,1,-87478.47,23,72049.95
40716,42,31,51,8,5,-46199.87,29,-25292.22
22518,8,92,51,8,7,25909.81,29,-97558.5
60821,64,31,92,8,3,40923.81,20,-53431.07
90922,80,51,72,3,6,16239.61,21,7886.44
81317,63,51,92,8,2,1662.82,23,12142.69
60713,97,51,72,4,1,16022.02,29,-62879.15
42613,17,92,51,9,3,80475.44,27,-4281.51
52618,60,72,92,8,9,69062.75,30,46727.93
81115,58,72,92,9,2,-27707.35,29,-19643.61
122519,18,92,92,9,3,55611.25,22,36290.94
121018,10,92,51,9,5,3605.8,30,-45097.18
81915,76,31,72,5,1,-37327.1,28,29366.71
61216,2,11,92,9,9,3125.84,28,59858.35
101423,25,52,31,5,7,16683.71,25,-69091.64
73022,65,52,31,6,2,66689.86,21,71438.53
92217,56,72,31,6,3,865.67,20,57124.08
92217,91,31,52,1,2,-76028.9,28,-41100.98
50916,94,11,52,1,3,34506.27,26,75246.97
62917,75,31,72,6,3,15736.57,20,72019.42
52713,31,72,11,2,1,66603.74,26,57570.52
103019,24,72,52,1,7,-48608.72,29,-24392.99
32420,93,11,93,1,6,34073.36,25,-88930.54
82621,63,11,11,2,4,-1601.27,24,-93311.89
51218,19,93,52,2,1,97798.22,22,53097.28
41619,57,11,93,1,8,-81981.99,21,28033.33
80420,86,72,31,7,6,54432.93,26,70424.69
112621,4,11,93,2,5,-72063.12,24,-66005.77
81122,31,11,72,7,8,-39174.99,23,-38478.19
122520,37,93,52,2,9,76781.19,20,27027.93
80122,13,72,11,3,6,-47249.59,29,-99438.18
11020,85,93,72,8,1,-69448.2,26,6341.95
91416,91,72,11,3,9,20891.11,29,3737.04
110422,16,52,11,4,3,-33277.87,23,42145.67
110216,22,11,31,9,2,-90303.06,25,24047.05
72018,53,93,72,9,2,32238.09,26,73012.35
53119,40,93,31,9,8,-52981.32,25,54995.92
