FD-CDE-2,FD-CDE-3RD,FD-CDE-4TH,LN-NBR,TYP-PLAN-CDE,WRTDWN-AMT-SCRD-RE,WRTDWN-AMT-NOT-SCRD-RE,BEGNG-MKT-VLU,ENDG-MKT-VLU,NET-RECVRY-VLU,POTL-RECPTR-AMT,RCVB-AMT-DUE,RCVB-AMT-PD,DTE-EFCTV,DTE-MTURTY,DTE-LST-CSH,DTE-FNL-PYMT,DTE-LST-RGSTR-DTL,RGSTR-TYP-LST-TRNSCTN,EQUITY-SALE-CONTR,APPLTN-CDE,FULLY-PD-CDE,FNL-RCVB-CDE,DTE-SALE-PROP,DTE-COMPLD-SRVCG-APPLTN,ASSTNC-TYP-CDE,DTE-OBLGN,CR-APPLD-NONCSH,DTE-LST-NONCSH,SUSP-CDE
41,6,1,82,3,46025.82,-3774.58,74998.87,-31726.34,-65255.65,73741.74,84359,47313.86,80510,72840,52623,73140,21220,98,22,N,F8,8,91116,70217,155,100922,-41071.25,33014,7
82,6,4,5,2,65039.5,-996.37,-66038.11,-823.99,77795.31,-4014.87,-75281.37,40879.22,50910,50140,51723,53140,60118,51,89,P,S5,8,11319,91815,128,41518,26495.51,80615,0
21,2,1,77,8,-47978.06,66622.04,-2146.07,22002.59,84613.77,-6903.63,9047.6,43138.09,91914,91624,51723,93024,41813,2,67,7,J7,7,51518,80615,132,100118,68681.25,72322,5
62,1,9,79,9,88616.34,-73004.96,71261.08,-64185.54,-6694.04,-34253.94,57235.34,-49412.27,33110,32820,52123,33120,110416,4,11,N,D0,6,80321,42214,125,42118,-46102.56,91422,5
21,2,5,75,1,-93469.36,55865.94,78126.51,-70007.89,81321.24,66691.11,62628.08,-77519.14,102113,101923,51123,103123,80922,93,6,R,P4,5,22018,71821,100,50219,-2126.31,11522,7
41,7,4,47,0,18190.04,-42155.09,-1423.62,43025.51,36118.12,97844.31,-21917,79155.93,20712,20232,50723,22932,52817,85,86,J,X5,7,60918,60514,194,122216,-17978.5,21223,9
62,2,1,65,2,-27282.19,99647.02,-67948.79,-4038.25,-54433.04,244.49,26168.5,82536.33,80112,72542,52323,73142,42814,62,94,9,C2,7,11119,31518,154,31419,69934.2,90221,8
62,2,2,89,1,-78777.43,12780.22,74043.57,70500.88,16481.27,9233.45,46301.53,65977.19,91514,90744,50523,93044,50514,8,79,R,F5,3,12513,62613,152,62919,16691.79,112219,7
41,7,7,14,0,72296.16,-52497.27,92168.8,5397.39,-20683.82,-71477.38,12203.04,75552.89,81113,80633,52123,83133,101415,4,88,4,Z9,7,82615,50123,112,90220,-13063.05,12123,4
62,2,5,29,1,92955.92,-95937.69,88045.5,-52792.7,32587.91,47191.05,73057.14,11327.02,121411,121121,51523,123120,12215,71,41,6,A9,6,42319,121723,157,71518,84718.73,51717,4
21,3,1,52,0,39024.45,70787.28,-21710.7,26996.65,67329.19,-7967.38,-59139.21,85490.78,70812,70332,53023,73132,120220,13,72,F,E9,9,21920,12813,109,102023,-73259.64,92814,5
82,7,5,52,8,-28756.17,70594.98,-51514.02,-3531.66,87414.44,98963.35,-88469.5,-93508.36,81710,81420,50523,83120,122314,61,57,F,O2,6,22320,72016,168,51117,-55317.53,10117,8
21,2,6,15,0,29876.4,11183.49,-68023.01,76822.82,-86052.79,77027.95,16580.77,-44426.03,72012,71342,52123,73142,63021,92,71,T,N4,8,60420,52416,103,11414,-74321.39,10322,3
82,7,8,85,5,-98626.56,37550.28,-82339.51,-62319,-40896.84,-17827.46,14500.58,-25143.84,30214,22344,51423,22944,92922,17,7,2,K3,6,62113,91519,114,61220,-68453.4,70722,4
41,8,3,98,1,-20763.63,22475.04,-7721.83,-76851.33,75762.6,88432.77,-89850.64,37920.52,81412,80742,52323,83142,42622,99,82,K,K4,7,101213,20417,199,52522,27099.13,50218,7
21,3,5,25,8,85112.24,91389.39,-1615.61,-18134.78,-31984.83,-94930.28,-34953.07,86859.81,113014,112244,51623,113044,111616,10,1,C,G7,9,121323,70914,151,90218,-47289.36,110723,5
41,8,5,44,9,-59951.68,-74847.41,18193.44,95555.79,-10054.68,-41587.43,-61605.17,26647.79,120813,120143,52923,123142,51218,65,9,S,Y3,6,52922,90217,161,121021,-74615.38,42721,3
82,7,6,99,3,-94335.45,86167.74,-89766.83,90467.58,-79995.77,-18249.09,19238.51,-91364.42,80810,73140,50223,73140,110715,92,74,Z,T9,8,31813,50519,113,22220,-92659.62,60419,5
62,3,5,51,3,-23036.9,95357.03,-3305.31,-36258.7,79984.69,-10186.49,-34091.36,30867.34,82311,82021,50423,83121,92114,44,32,Y,E7,5,82920,41217,187,62620,-89100.94,22320,6
41,8,8,6,2,-68882.91,33461.5,73886.01,-22932.03,-38307.74,-52579.56,23393.97,46911.58,22811,22331,51223,22831,91015,77,97,2,D7,8,12020,120121,189,62221,25020.95,53016,9
21,4,1,73,8,-94266.91,52303.94,61554.67,73989.19,57927.08,-26892.86,-95247.54,-73662.77,111811,111041,50623,113041,71121,97,12,3,J5,9,31619,81022,181,21423,-22823.74,60523,8
62,3,6,81,2,-90867.7,20002.97,98825.13,-17850.76,64710.44,-10175.67,-64043.15,66358.92,10814,10624,51323,13124,51217,65,84,P,C8,2,10722,12321,107,120221,-61625.83,102214,6
41,9,1,19,4,45646.79,30105.55,377.25,28221.8,91709.3,-64114.53,-84076.91,51044.81,71813,71333,50923,73133,73013,81,84,M,U6,8,21119,112216,104,42016,86366.07,61419,6
41,9,3,87,5,-9154.89,-1808.28,79330.05,75443.75,55949.28,-20600.24,-42919.69,-11441.44,50114,42824,52923,43024,103017,12,67,W,M0,2,111618,112814,195,23013,25470.54,101521,9
62,4,1,75,5,37062.79,22627,11497.96,-47441.25,94766.05,-47003.7,68072,-84975.87,121914,121144,51423,123143,72714,71,15,E,F8,4,61918,100223,170,31419,-34332.39,80723,4
62,4,3,23,9,62097.42,-97695.15,-61282.22,-40703.31,-7930.54,55647.39,67632.62,95358.5,40312,40122,51523,43022,101213,81,40,Y,F7,2,60520,51213,104,20617,-54778.38,11720,0
82,9,2,6,5,-45200.82,-24817.21,38852.04,57464.83,-56900.1,9983.21,25819.16,4218.73,71213,71023,52623,73123,62515,66,25,Z,U7,7,80618,51615,184,30121,-12385.04,41221,3
62,4,7,79,8,-87160.64,-29187.85,99178.76,31736.23,24352.92,-40715.79,-47224.24,-61921.73,83114,82344,50523,83144,32817,4,67,L,X4,8,70516,111719,189,50616,-57693.65,11522,0
62,5,1,84,6,-83442.5,-91326.78,66918.35,97106.92,89536.71,21291.32,-39167.86,7669.08,102014,101244,51723,103144,61116,70,2,A,T7,6,20921,43013,181,41213,-45105.55,111718,7
21,5,9,96,7,-43598.45,65430.59,4798.16,81579.72,2709.47,-28948.67,-14076.89,77426.97,120313,112833,51423,113033,60318,27,24,R,P7,8,91021,51819,159,110523,-96721.41,51120,0
62,5,6,58,4,70108.72,63285.27,67714.93,-21068.87,-64885.81,-44839.84,-84488.87,-16488.75,61212,60732,52223,63032,10919,78,83,K,P9,2,62215,81116,169,22421,75996.57,60222,6
42,1,3,19,8,20861.9,35600.36,68839.54,-97724.42,-61052.74,-82893.85,37034.41,3405.95,22113,21443,51723,22843,110413,48,7,7,N1,6,62719,81114,170,60414,-27251.89,21514,4
62,6,2,79,1,43895.64,-3125.61,70370.21,44411.76,-33255.81,-63407.61,51419.74,-14835.86,81113,80923,51723,83123,90519,48,73,K,H7,7,82013,20715,125,11223,6284.23,111016,5
62,6,4,35,5,-28443.2,83821.3,-72174.03,-4498.93,-66181.38,-30249.18,-34034.92,-3002.7,51014,50244,51123,53144,31713,43,74,0,S6,6,30116,103115,179,30321,88781.88,10315,6
21,6,8,7,7,36399.61,62877.86,53531.21,54785.37,7294.81,67251.51,5859.38,73225.15,100812,100142,52723,103142,62222,94,72,I,Y5,7,22519,30316,131,91221,8082.5,123113,4
42,1,7,67,9,83756.87,-56425.32,-84475.78,29577.31,65195.95,-13438.74,77405.05,-36411.68,60511,52841,51123,53141,72017,22,45,Z,T0,9,40121,122222,155,110923,85015.41,60320,7
83,1,5,2,0,-27194.3,-75637.46,13076.11,-94430.52,-1433.58,45234.98,-56865.86,57990.3,20110,13020,52123,13120,101320,91,44,Q,O0,5,70821,11015,136,50614,86622.56,30721,2
21,7,1,37,6,-92194.22,-62869.34,-6939.97,63551.38,75474.45,19890.65,-59429.37,-96448.17,81014,80244,52523,83144,22422,20,92,3,H8,9,82317,53023,192,70120,40085.83,102715,3
83,1,7,69,9,-23193.99,-63566.89,-52571.66,33393.3,-73392.56,-62494.96,34140.86,63493.16,100712,100232,52923,103132,60813,92,48,F,G8,1,121113,122714,148,20516,-97872.11,60917,1
62,7,6,30,9,49858.86,82040.03,12284.38,81614.41,-40716.85,63012.59,-64858.8,-53735.56,13010,12340,51523,13140,93014,35,62,0,J2,8,21013,70817,115,12520,-96942.98,90617,3
83,2,4,24,6,30530.62,40520.3,29736.94,-21920.77,-54608.22,50110.16,-90120.54,-56545.18,32711,32421,53023,33121,42313,74,23,R,C6,1,32719,112613,119,111423,30770.86,52314,6
42,2,8,29,0,68972.26,41565.3,-70796.05,74380.65,49461.06,-6924.5,-63374.44,-10551.12,90310,82930,52823,83130,22020,28,67,B,R8,6,92619,61020,116,53021,-84211.71,93017,1
21,8,4,29,6,10698.73,5980.36,-47563.78,87274.7,68629.42,-43108.7,79687.15,2131.52,72113,71633,51723,73133,100914,25,64,O,S7,9,101317,81119,192,20115,-26592.28,32123,3
62,8,1,21,8,47565.22,5600.87,60202.12,37085.61,12009.78,-25129.61,-89177.95,-44172.9,21813,21333,51223,22833,111119,88,49,T,U7,3,31719,91718,168,32620,27455.45,100422,0
62,8,2,39,9,-29859.64,91467.28,44146.18,-23729.59,-94238.83,87361.51,67947.22,-27379.8,13114,12634,52923,13134,11420,99,91,W,S2,1,92923,60621,145,52917,31993.45,80422,2
42,3,4,38,8,31808.36,27384.69,-4373.86,-62523.75,56445.27,-95641.72,-30049.1,-20082.21,32112,31922,52923,33122,73121,31,83,G,I9,9,41722,30114,103,22115,-88497.39,10818,6
42,3,5,87,9,-70018.53,-86959.96,-14366.33,-14272.01,-33154.59,34469.87,18970.47,2316.28,102714,101944,51423,103144,120120,14,6,D,K0,3,72916,80321,185,92117,30744.49,122413,0
42,3,9,68,5,-4192.28,-11929,-25951.08,-20400.24,16220.49,-22092.54,67037.52,-32582.8,42412,41932,52623,43032,60514,99,70,T,S5,8,22016,72415,143,90318,19131.08,91915,6
62,8,9,48,3,11677.94,91180.38,72203.78,-77783.95,20071.78,64724.66,55978.69,51273.25,71511,71031,51623,73131,50122,41,84,8,D4,4,11623,111715,178,20413,58960.3,40614,8
83,3,8,85,7,75710.3,4462.63,44261.57,-18269.65,99555.97,-39262.26,76034.75,7818.78,72613,71943,51623,73143,100519,2,29,O,K4,3,60422,12222,146,31619,23400.48,102922,0
42,4,3,19,0,-28808.91,-91633.93,68621.91,40465,97289.57,84450.66,29961.07,926.93,20114,13024,51723,13124,102916,16,17,L,U9,6,32022,40120,150,120918,-90150.34,51715,2
21,9,6,39,8,82244.83,87873.61,2410.01,-51699.32,11585.71,863.14,-47208.4,-47765.87,122812,122142,50123,123141,100121,82,31,V,J8,5,72216,30720,162,91820,-16888.67,102113,8
62,9,3,4,1,-1177.82,-36245.95,68238.06,27712.85,-50425.94,-24267.22,95050.85,6890.88,100213,93023,52323,93023,102919,39,92,2,A7,3,90514,120619,136,62523,76142.26,82018,6
42,4,5,16,7,-82185.87,-16022.58,13100.9,-3817.43,-79055.21,-76879.84,-8797.46,-99788.52,70513,62843,51523,63043,122015,33,6,0,O5,7,81114,30917,106,41417,-53840.15,21917,7
21,9,3,88,1,-17169.72,33318.44,44043.7,4510.62,98854.06,31746.97,4769.47,74829.36,10611,122940,52023,123139,91615,97,63,H,I8,4,62719,122214,185,121819,93335.83,92418,6
83,4,4,62,0,-60006.21,-1946.18,80596.17,-40365.42,994.35,-96174.9,66274.51,46698.16,100814,100524,51223,103124,42916,31,15,G,T3,4,52514,21213,157,100518,-24165.24,31822,9
42,4,9,1,6,33329.37,-46570.79,26223.69,15758.3,-20990.32,-67124.37,89462.77,18642.14,42314,41544,51823,43044,71313,70,94,J,B3,6,102019,62421,134,51813,-12035.77,10918,2
42,5,1,46,2,35193.53,54053.14,-16628.02,95582.57,-31780.81,89491.85,-14968.07,-27736.8,102011,101241,50623,103141,110820,95,37,7,D4,9,80814,53016,145,92323,79349.07,70122,3
83,4,9,2,8,-97574.27,17989.78,-61859.24,72789.51,-40495.6,89492.84,15983.97,-77005.92,32810,32330,51923,33130,31720,96,18,L,I4,5,122414,112922,173,112615,72219.52,32419,1
83,5,3,39,3,36282.16,-39514.82,87607.09,-48380.16,4371.49,-37790.71,62965.79,-89772.3,12812,12042,50423,13142,121815,20,30,X,T0,5,72517,113116,151,111320,-61116.56,70121,7
22,1,9,19,7,-93245,99658.1,-12042.32,91841.53,-34537.15,60405.53,-13654.75,72134.93,51811,51041,52523,53141,10719,61,37,X,Q8,1,110419,122922,194,53116,-62888.2,92916,8
42,6,7,9,3,29213.01,1449.35,-92129.46,3360.32,-68417.22,-32831.37,63994.38,78976.47,81811,81041,51423,83141,122316,6,78,1,R1,5,10616,91617,196,20621,137.45,71214,7
83,6,5,56,9,17191.53,-75858.79,-83553.51,-26097.94,68390.29,-44474.98,61471.66,81669.16,81211,80731,51723,83131,82315,11,88,R,G9,7,42717,61320,139,31815,59642.08,52220,9
22,2,2,47,9,-79450.7,21405.09,97371.74,-57488.44,82250.56,-6852.18,44180.11,6799.67,112313,111643,51223,113043,21017,4,25,Z,D8,8,20115,82015,165,30419,40736.61,42914,7
63,2,1,99,4,71447.62,37332.08,-12100.39,-43889.52,-85492.16,-72874.66,97987.49,23667.26,92711,91941,51723,93041,70520,21,27,N,U8,7,92721,90315,117,112823,-11668.09,122016,4
22,2,6,48,5,-36185.05,-7894.45,-17771.93,16475.98,-52538.82,25442.37,-51953.71,16675.83,112510,112030,51623,113030,72113,21,11,H,B9,8,11723,60217,174,122513,14193.68,41117,2
42,7,5,25,0,46113.87,-68290.87,219.56,-17440.42,-48152.98,-3668.17,-71664.4,98577.8,90214,83024,50323,83124,121216,82,67,O,H3,3,121414,81222,163,51020,40040.32,41513,5
63,2,2,26,0,-44836.06,25220.95,-83772.9,67386.16,-56464.28,32001.3,-35523.26,4223.63,20812,20522,51123,22822,52119,13,30,Q,Z7,3,30818,41721,154,110719,4067.45,12719,0
22,2,9,45,4,-28791.51,70080.38,91547.26,-63418.52,-56792.82,84636.45,-85367.35,-86850.87,10113,123022,50623,123121,92617,92,48,8,B4,6,52216,22916,121,73117,58568.74,11919,3
63,2,6,70,1,-20641.71,-24992.05,-93407.64,-25417.08,-50777.47,24821.49,-72349.2,19866.57,123112,122442,51323,123141,31222,73,35,5,O5,2,32123,21720,171,62120,-15375.23,41321,2
42,7,8,93,4,-1600.1,-94992.51,-9118.52,51167.56,-55559.81,-63161.03,-18110.46,49167.99,41710,41420,51323,43020,121417,63,1,Z,S3,5,12115,30419,104,70118,-65630.35,82721,7
63,2,9,37,7,44032.32,52795.81,87564.28,22141.92,-77842.8,-8161,-942.33,41970.54,52513,52323,52623,53123,50715,65,61,N,X5,5,120119,72815,199,21116,-46918.8,92216,7
83,7,9,92,7,-4541.7,-39039.96,48861.46,-49277.29,54754.56,-81586.09,-53044.9,82925.23,22514,22324,52123,22924,71114,86,37,A,B9,5,40915,91117,176,112613,-17119.01,62019,1
63,3,5,48,1,-12399.7,37378.32,-29098.4,78060.87,-17480.71,18183.61,3228.3,18883.39,61510,61030,51823,63030,52713,87,95,A,C0,6,61413,71622,162,101413,62119.9,121515,1
42,8,8,2,9,-55571.8,64823.44,48844.94,85491.5,-63465.49,-429.71,91808.87,19705.68,120910,120620,51623,123119,52113,31,44,T,S4,2,42415,72215,179,11423,98938.68,91622,0
22,4,1,55,8,99056.93,-23779.6,23827.61,-27106.08,-25585.48,-88026.7,45602.74,-34752.76,30414,30124,50523,33124,83020,34,68,D,V2,8,72214,33014,178,42816,61155.06,61514,3
63,3,9,49,4,86459.33,11817.24,96595.49,83857.09,-3640.63,19886.89,80083.32,-73945.62,10114,122543,51223,123142,32021,2,76,6,S2,5,22223,122017,196,93016,-2534.38,50621,4
42,9,2,74,9,-56238.77,-35694.58,-74249.95,-87304.15,8257.58,-55286.34,99862.38,98176.04,110610,110130,51023,113030,72019,17,37,V,H1,5,71123,120814,131,101721,31329.83,92313,8
63,4,1,45,5,-44592.24,87393.77,13586.3,-91028.11,92947.39,90747.58,-85557.62,88344.91,100812,100622,51323,103122,72515,63,17,U,I1,9,20519,71716,151,100822,-76125.35,31822,5
42,9,3,45,9,-10397.63,-98683.33,27363.85,-54333.18,-79472.87,-40870.3,86322.85,-41065.84,60111,52731,51423,53131,51514,35,95,Z,Z9,8,82621,101916,199,62916,54165.01,121915,0
22,4,6,15,6,-89742.02,12439.93,10624.06,86014.59,-52996.6,12454.09,83043.47,-17259.28,122014,121244,51423,123143,50221,18,52,I,Q7,2,41415,11421,128,32921,-4981.98,50914,5
22,4,9,28,0,3591.34,31513.78,-22676.18,-27885.07,73067.75,-88889.89,11781.65,96634.71,91811,91521,50123,93021,121614,37,77,M,P1,5,63016,110615,140,62217,-83374.45,32214,3
22,5,2,75,9,17332.12,32511.72,-59853.03,59482.99,-56258.59,-43253.84,77589.41,534.09,111010,110720,50923,113020,40414,92,80,1,Q2,4,10514,60119,196,33116,46937.61,11817,8
63,5,1,91,9,-99810.39,-28773.19,31041.83,-6268.9,62114.02,-62614.3,28344.87,71699,30612,30422,52723,33122,53122,95,89,4,L7,2,82122,72714,117,101116,43588.96,22520,0
22,6,4,48,1,17477.34,-62232.04,23815.4,-37829.09,-37178.84,-51181.49,-7359.9,36196.89,52810,52330,52223,53130,22315,16,39,2,C6,7,63020,12116,104,43122,92949.33,10122,0
63,6,1,78,8,-73503,71518.05,-82319.32,-17494.88,24753.69,57416.47,-84090.63,79566.71,51011,50721,51023,53121,112416,6,1,N,T0,1,112314,70117,166,61216,86839.28,111621,1
63,6,6,67,2,56773.32,-67422.27,-57840.54,71744.97,-73555.56,63179.94,92668.81,-63270.31,80710,80230,52723,83130,52421,35,68,2,I8,6,22813,52319,174,91218,61274.65,42413,5
43,1,8,42,7,27951.05,16068.68,-74207.65,63458.72,-51903.42,-2742.18,48488.08,91914.51,63012,62532,52123,63032,53014,68,99,F,V7,5,112213,80816,123,91216,53161.9,81523,6
84,1,7,87,2,40719,7079.83,79576.45,22635.63,69192.81,37637.78,-33043.75,-19564.67,52112,51632,52723,53132,42119,50,11,5,K8,2,91123,80221,198,90320,14838.26,72321,5
84,1,8,47,2,24741.02,-10438.27,-15172.61,-96675.04,21106.54,62668.94,-73770.07,-8354.28,21311,20541,51723,22841,60216,64,97,F,Q2,6,72015,40821,125,111020,93129.89,70513,1
84,1,9,8,6,2520.9,86037.55,-86926.2,94659.23,97781.28,27585.35,46599.73,89200.08,80411,80121,50323,83121,72021,88,26,6,B6,9,63113,60123,109,91319,-94914.33,41913,7
22,7,6,6,1,12928.02,72569.3,-17508.61,303.62,-34270.15,-12439.45,87228.18,6259.89,80914,80144,52123,83144,111722,99,46,R,T1,9,22414,91019,182,82619,-34988.9,81314,9
22,7,7,76,3,12710.54,-36950.93,56893.61,-32093.87,17980.88,-65588.96,-25223.75,-30418.07,70510,70220,50523,73120,90913,37,35,7,F0,7,42423,110921,138,110119,45892.47,91923,2
43,2,3,55,8,28638.93,-9020.08,44771.74,-11432.73,34282.27,8705.05,-33016.21,11711.77,31310,30540,50323,33140,10816,62,93,2,V4,5,121421,30518,179,72722,-82724.24,91118,2
81,8,7,68,8,-43493.46,77131.92,-46320.62,65068.59,-82281.82,92276.87,-16587.54,6561.44,31312,31122,51123,33122,120418,22,88,Z,D5,6,110821,82922,176,80214,-99391.4,20422,2
63,8,2,28,8,-86189.72,54326.4,89171.41,-52314.14,-71035.32,68476.64,95643.53,2914.78,62411,61641,52523,63041,102016,70,9,6,K7,2,90622,52419,152,51415,-41689.91,82320,4
43,3,6,12,0,-97472.92,-67621.94,-64655.5,-36724.24,-63532.31,97983.37,-16530.54,-21148.67,122711,121941,52623,123140,113017,80,26,P,Q3,9,72415,20521,160,113116,69930.12,81721,9
22,9,2,63,1,-86222.65,-63051.85,35580.62,-8298.18,-16361.78,-21065.22,15004.5,-99371.15,110512,102942,50723,103142,80718,67,34,N,P3,7,110116,102716,153,92216,36920.3,91818,4
43,4,2,80,3,-44413.27,-50444.41,38238.34,-97369.89,5263.32,86644.71,-5000.65,32448.49,71410,70640,51123,73140,50818,46,26,G,P0,4,22020,21922,163,12020,-60083.99,101916,3
84,4,1,84,6,-67802.3,-86641.6,-6641.7,79319.25,-15943.15,-68242.69,32177.25,-92920.72,102014,101244,52723,103144,22515,32,10,W,N7,8,21322,101814,102,12817,26153.75,101313,9
63,9,5,27,9,-22392.03,23928.59,96127.46,-91711.4,-28888.46,61093.32,-8879.38,78988.77,123010,122720,51223,123119,33119,34,30,6,H6,7,63115,100122,150,120122,-91185.72,100323,0
43,4,8,94,7,88600.02,91627.31,-33358.43,-37249.7,67881.55,-13256,3062.25,-67114.5,120412,112742,51023,113042,122715,91,22,L,C6,5,50613,10223,187,92514,11960.31,22516,9
43,4,9,20,6,28847.06,11990.3,-10286.11,83846,26357.43,-57399.87,40066.43,11684.66,10713,123142,52223,123141,21718,20,37,Q,F0,5,60714,22514,142,83120,87655.79,72713,0
84,4,5,50,2,8974.75,75999.05,75994.95,-33561.1,-51961.35,44272.85,-59383.15,-77869.34,40813,40143,51423,43043,61519,91,77,H,U4,9,91516,31817,138,31513,-48238.06,80919,3
63,9,8,91,5,-19115.57,97447.67,-93438.08,-17819.93,-34494.9,-17757.77,-32411.3,22144.08,70213,62543,50723,63043,30321,85,94,9,M1,6,42622,60614,143,113123,76998.79,110520,0
43,5,1,26,2,-87777.51,37415.92,-65427.05,-96002.91,2232.55,9765.32,72726.76,-86204.55,31912,31722,50823,33122,20321,3,12,1,E0,3,21113,122420,197,80622,53799.33,32516,2
