FY,ENTY-CDE,ACCT-NBR,MINOR-CDE,CUR-MO-CDE,CUR-ACCT-BAL,PR-YR-ENDG-BAL,GL-MO-ACTV,CLSG-ENTRIES,CUR-MO-PR-YR-ACTV,SUBQ-MO-PR-YR-ACTV,MEMO-ACCT-BAL,PREV-BAL-CNTR,DTE-LST-RGSTR-ACCT,RGSTR-TYP-CDE,CTRY-DIGIT
83,91,7088,206,94,-19343.1,80518.59,-74829.84,-22056.09,-94332.17,-31816.73,620.9,70466.53,70520,20,6
83,93,7089,203,78,-13248.91,36824.21,-27034.3,-69014.56,65242.45,-83339.32,-66163.98,12504.66,72113,21,4
22,50,7090,201,99,-9164.3,-60171.62,37425.7,27121.21,-60727.1,26827.69,-84922.19,49990.29,121216,22,3
63,52,7091,205,80,-13658.16,-75840.76,-20087.7,55944.68,-8353,-69077.34,78707,-21084.89,52119,23,5
63,55,7092,206,32,-64481.7,8822.41,22421.47,-57384.84,42879.61,-24490.95,49204.65,9034,92617,23,9
43,8,7093,217,24,-94862.33,14973.12,32529.99,74041.05,-9507.62,83079.96,-92917.88,86474.04,31222,23,2
84,5,7094,220,62,57475.43,-82246.66,-71433.02,76432.14,56267.44,64016.48,82951.5,-61583.91,121417,22,8
63,63,7095,217,96,-48905.94,-61337.79,62400.29,31066.35,-54632.53,36321.02,-59919.9,-22193.8,50715,22,3
63,64,7096,219,42,-30554.37,-51051.25,6091.29,65987.02,-62817.15,13947.87,-57928.18,56613.22,71114,20,4
63,73,7097,208,24,-17417.79,28138.25,-5982.08,50951.93,45223.62,72365.09,-2921.91,33700.46,52713,23,4
63,75,7098,218,36,-41462.88,89349.73,-29.72,-53142.58,5088.94,26227.42,54343.02,-37614.88,52113,20,2
63,79,7099,206,90,-26828.46,58915,-54881.16,-95405.46,44218.7,41321.19,-63177.81,10644.41,83020,23,2
63,82,7100,207,58,73892.39,7513.31,58936.42,23858.71,46482.53,25008.45,42215.99,41860.88,32021,21,7
22,88,7101,210,77,85712.74,-25032.29,-9470.76,-29642.14,1318.19,86446.18,-46057.71,20216.91,72019,22,1
22,91,7102,205,25,35659.55,-91224.39,-91061.5,57646.62,-53357.37,-33241.3,87599.95,95266.32,72515,23,5
84,36,7103,212,96,-40212.74,-21642.05,-61039.95,69876.49,-87813.56,-68823.43,-86063.08,-90033.14,51514,20,7
84,38,7104,220,88,6200.1,46161.35,74849.91,92451.41,-22147.22,-22389.18,-96854.34,-62177.69,50221,20,2
22,94,7105,205,63,-91037.8,12594.89,-88036.4,32909.43,-42695.04,73703.1,-77799.6,5376.46,121614,23,8
43,45,7106,215,89,-8095.32,93175.33,-40180.87,67202.06,29597.57,51511.58,403.94,20925.97,40414,22,2
84,43,7107,219,72,92819.33,2530.21,-18466.94,-14539.07,32573.04,-45075.65,-77639.38,-40342.97,53122,22,4
43,52,7108,200,71,17372.07,-7624.79,-6162.27,34745.31,-10824.89,86434.83,-48663.15,-49839.26,22315,20,5
23,7,7109,210,56,-78286.19,37026.35,32865.39,-74677.21,57137.2,36667.08,26934.4,14546.68,112416,21,7
84,54,7110,220,49,-43354.51,13819.9,31797.84,37395.54,-56981.04,87260.89,-82934.26,89197.21,52421,21,2
43,59,7111,214,70,58182.5,35217.97,-37361.89,-42980.16,-6050.87,-48356.72,-76122.19,-37356.95,53014,23,7
84,55,7112,206,49,-48320.33,32221.81,16957.46,-66444.93,-7068.08,36085.45,-60290.62,-68934.75,42119,22,1
64,9,7113,204,26,-86609.81,3034.58,-47845,-14969.38,40584.12,54657.46,55218.4,-1008.37,60216,21,4
64,10,7114,216,73,6807.99,-28744.05,18612.19,-13315.99,-96803.4,-2983.23,-24555.4,21013.88,72021,21,2
23,15,7115,204,81,2896.68,-1995.58,-6387.92,-74108.81,-7027.31,-83146.86,-40427.67,61854.19,111722,21,7
64,12,7116,219,62,-69146.63,29385.63,97716.82,50746.52,-72945.99,-13241.06,14642.44,-44257.03,90913,22,7
23,17,7117,210,17,-26976.75,-39191.1,12973.47,-57629.86,66291.42,53394.39,-87994.42,83558.11,10816,22,9
64,14,7118,210,25,39094.02,-85053.77,-71062.19,-68220.09,70764.29,-30563.58,33085.45,47193.72,120418,21,6
84,63,7119,207,20,17711.19,-75846.21,86949.65,-47527.51,19020.5,55521.17,35285,-79995.44,102016,21,4
43,68,7120,209,39,-85947.85,83676.86,-96074.57,-47307.74,75868.32,-98707.09,82724.85,-81636.46,113017,22,8
64,17,7121,220,66,30853.43,-68369.36,-11587.95,-73390.73,69894.15,-63454.17,-99117.52,-91446.74,80718,22,4
64,19,7122,205,93,4577.28,20729.88,92177.24,-43345.46,3524.8,12674.36,38515.83,65742.53,50818,21,7
23,26,7123,203,72,45549.82,78802.82,-80570.99,-3761.47,-10865.31,34550.71,-87037.63,-90879.58,22515,21,3
43,79,7124,216,47,66117.08,50981.36,59042.87,95100.13,-46272.23,91205.35,-13025.37,5048.67,33119,22,8
23,35,7125,215,51,-60140.13,64009.63,49369.42,11705.82,-78675.77,42362.45,-76767.65,99716.91,122715,20,9
23,36,7126,202,63,-10697.55,85505.68,33511.61,-96927.96,8354,-58009.56,-12010.97,-17290.52,21718,21,7
84,97,7127,211,90,57322.7,7298.47,34550.47,-6487.91,80213.01,94430.09,-23727.3,75488.6,61519,23,2
84,98,7128,206,61,88873.33,-87972.88,50708.01,16629.71,83226.56,-84989.17,-47354.17,63615.5,30321,23,4
23,58,7129,205,90,80549.81,56224.86,-60937.26,67021.01,-82490.51,-23677.93,24927.23,10301.32,20321,23,4
64,58,7130,205,47,45431.16,-17708.39,35798.18,7038.27,-72825.94,48929.8,9779.15,-62951.55,91416,23,8
85,7,7131,206,39,16627.95,-8970.27,3026.16,5877.07,75579.71,-60714.48,-15490.39,12800.09,112013,22,9
23,64,7132,206,88,-7556.87,-1862.05,56188.1,-60736.09,-38280.35,90527.42,-53143.32,4184.39,32014,20,2
44,16,7133,208,94,10746.23,97843.53,65684.7,-49023.7,61698.87,-41822.31,78271.26,-82105.77,112216,23,6
64,64,7134,215,18,-69450.17,41652.83,-11758.3,-1512.59,49289.96,70470.42,-23678.47,86600.9,52219,22,5
64,72,7135,207,73,-12784.8,84631.8,27125.31,52370.45,-7949.59,84826.24,-40644.97,-61040.56,31613,20,5
85,22,7136,208,68,-4252.67,39608.58,-15113.23,-68279.88,1231.87,-32538.35,-73435.19,29127.08,62414,20,7
85,24,7137,203,77,19004.97,92352.89,-84836.87,47959.36,-11214.24,-73945.36,-85957.34,-22593.08,71720,21,7
44,29,7138,220,18,-78230.92,13608.56,125.82,55203.92,-14425.4,39105.52,-23557.75,32941.49,111117,22,3
85,26,7139,214,22,-79968.66,98349.12,35039.53,-45228.59,19638.97,-76283.75,-49802.44,-3987.09,93020,20,3
85,28,7140,205,39,-49593.2,64911.52,-45335.4,92521.85,35416.2,18643.33,3125.23,23001.28,71321,20,1
23,85,7141,220,18,-50929.76,-63028.88,68214.05,51515.65,90898.97,79693.23,-1107.59,-14278.16,101116,21,3
85,31,7142,202,57,-2157.89,-18000.65,-26972.93,-79959.29,-52357.09,12185.94,38381.3,59624.13,10413,21,2
23,88,7143,217,78,-75805.9,-40169.72,-90066.15,-2273.11,-6384.03,-17821.08,53190.6,13670.99,42016,22,6
44,37,7144,204,47,-58171.28,26147.24,51946.06,-29508.55,-46177.15,-86766.74,-66246.43,-99006.46,72016,21,1
64,90,7145,212,42,44701.16,33832.55,4253.66,88413.56,61898.97,41025.27,-18327.7,-54471.13,32419,22,8
23,99,7146,204,29,14911.25,-15938.53,90644.89,17352.61,-84535.64,25410.95,-26126.33,95822.25,70416,20,2
85,43,7147,211,52,35288.38,-23294.62,83420.23,52760.72,25762.7,-5264.23,9514.77,-93355.22,81122,22,2
44,53,7148,206,34,27274.44,49933.82,-96185.43,77794,-32635.06,-76628.23,-35306.02,-85330.53,61718,23,6
65,2,7149,208,28,-30630.01,-97684.82,91991.52,25532.29,63549.61,19595.67,-85284.5,95454.37,110818,21,7
24,8,7150,203,37,-95530.43,33406.64,52881.11,11868.79,-46058.37,80646.46,44373.14,60734.74,60918,21,9
44,59,7151,206,35,83873.46,87374.38,71224.99,-52226.28,57347.04,65288.13,-72065.5,5858.95,82717,22,8
65,8,7152,205,33,-79726.27,58494.76,-61828.2,-349.97,76717.21,74192.5,-95187.68,7413.6,21621,20,8
85,58,7153,212,24,-34162.98,-55192.09,18560.77,-61952.35,91172.81,-69927.95,-22353.02,88815.87,22216,23,1
65,11,7154,219,89,18053.51,-24687.06,31746.53,-32016.29,52652.13,35192.61,76099.78,30966.42,50922,21,5
24,17,7155,210,98,26875.82,-80086.11,-76891.61,-68698.37,28725.14,-83914.86,-81181.05,-94972.15,82621,22,8
85,62,7156,209,82,97563.06,-92275.37,-73907.9,79397.3,80145.61,65791.4,99051.01,-93947.16,32120,22,9
65,15,7157,211,28,-2055.95,-73970.85,-8394.72,-53677.92,48564.16,-28427.46,-44088.85,48805.47,41117,23,2
85,64,7158,214,15,84534.44,-82590.22,78296.67,-74419.12,-13749.77,-24230.15,96392.91,-2245.31,91716,22,8
24,19,7159,220,73,-8174.08,57670.74,-43776.21,-11342.41,-89756.13,-53536.17,42502.93,-54789.33,22013,20,5
24,29,7160,214,96,60608.1,-51109.99,71414.72,-90002.19,-17881,50950.67,-4705.25,92884.02,101013,22,6
85,76,7161,209,63,89682.27,35415.87,42654.62,20521.03,69209.85,-76987.7,32994.72,-97561.87,42813,20,6
85,88,7162,216,63,-1561.08,78200.62,93103.22,-83990.49,-83778.82,69172.09,18079.35,-76098.68,92019,22,8
65,41,7163,217,78,-27381.97,70921.92,78965.84,-96396.81,70795.62,-32151.09,-98389.89,5395.02,82321,22,1
24,46,7164,213,46,-25565.46,-96853.35,-14976.15,-87624.18,42826.47,93489.25,36530.31,43635.67,42113,20,3
85,89,7165,217,88,46416.29,75398.27,-26293.4,-29380.18,32521.99,-70458.83,-6867.84,-67634.92,101914,23,5
85,93,7166,200,72,-59935.96,-18373.9,-70545.89,-54184.64,19614.65,-61942.29,91646.96,67908.32,92221,22,4
24,53,7167,220,46,51469.56,25044.57,68948.5,-84166.31,70646.43,-32932.18,57025.22,27933.84,111419,21,5
85,97,7168,209,83,-17094.27,75873.19,-24950.92,65790.73,81982.06,-5131.35,-60993.21,-4205.75,51720,23,8
45,4,7169,210,97,-41828.96,16139.21,92609.39,33663.23,27783.7,96196.85,-75582.25,85847.71,82920,20,8
86,0,7170,205,66,28107.58,43670.7,-4326.43,-54462.98,-58535.12,10042.62,-36194.09,3496.79,111819,20,9
65,58,7171,203,66,-67236.01,-35945.92,-82960.88,34979.5,9142.9,74870.68,91967.28,82964.18,81717,23,4
45,18,7172,216,91,-94163.63,-6582.21,50067.24,64125.18,98756.45,13399.44,33065.64,88529.07,50521,23,8
65,70,7173,217,17,71330.32,-26695.06,-3190.53,47317.31,15586.23,27166.7,90730.29,-2279.52,101917,23,8
86,19,7174,214,26,-33679.86,18025.44,-54463.28,-24173.97,80507.65,-96152.98,55934.46,-58087.28,61913,20,6
45,25,7175,210,95,-49295.22,-89928.59,99773.01,16214.76,-77652.84,37624.31,-29764.56,15894.96,91317,20,7
45,26,7176,203,80,-50525.03,40616.09,-3108.4,77600.24,-37228.5,29131.35,-65063.26,-60897.77,82618,22,8
45,29,7177,213,48,56282.87,3403.87,27617.88,-92221.55,-57263.19,-70518.76,44707.06,-61272.62,81121,23,1
24,86,7178,210,92,92417.1,-81158.6,60711.81,-2956.67,68726.8,93764.42,-75673.63,-28187.56,40914,22,9
65,83,7179,211,78,-96561.75,-243.33,37497.95,-50363.53,72694.18,-32089.35,-23764.45,44233.72,93022,23,5
86,32,7180,219,11,-16528.67,51741.43,6948.62,-61168.45,-15843.36,81781.93,-44508.69,-50497.95,10116,23,1
24,87,7181,204,93,40131.65,28695.77,-41522.01,58971.17,21159.19,91032.94,-16266.34,-15457.35,53118,22,9
86,34,7182,201,96,-52123.25,-84277.08,46488.45,63684.08,-14784.02,25229.1,-63174.54,-48414.94,82014,21,3
24,91,7183,201,90,43639.55,63894.38,-42385.61,36258.02,99702.47,-27688.03,46775.11,18249.51,20320,23,3
65,84,7184,219,87,10333.89,-43866.06,44959.15,29938.1,64610.76,30762.08,-2094.39,-79465.59,32313,22,7
86,38,7185,216,46,94110.92,15644.42,-45111.1,-25257.96,-18509.46,29442.9,-41135.71,-77583.83,73116,23,4
66,0,7186,202,18,-56291.77,91464.62,45309.61,-61264.63,64768.42,-52225.97,79817.65,-73152.93,91620,22,3
45,53,7187,203,45,10393.62,-90477.15,-90578.68,-92376.49,13717.92,-86111.82,17374.78,43689.55,40714,22,5
86,50,7188,215,47,-94516.87,-22496.69,42721.86,66448.3,66438.97,-10921.64,-51563.39,-41431.28,92622,21,3
66,7,7189,215,33,41714.2,-65815.16,-63624.07,39109.16,-21709.76,-66447.4,60450.53,22263.7,101016,22,9
25,24,7190,211,83,77930.6,43976.1,-49875.23,-47712.09,-83531.84,-91639.71,32050.04,-66705.76,92715,21,1
25,25,7191,213,18,-1335.14,92579.06,92947.14,-92805.18,-47274.68,15220.06,89176.29,49112.64,102318,22,7
86,72,7192,215,68,77727.11,87792.61,23160.79,56436.4,-50723.88,-71757.3,-63431.83,-29480.77,80418,20,2
86,73,7193,213,27,-30521.46,-68642.93,64502.39,-18411.87,-87265.74,-82621.85,-58981.77,66314.27,40115,22,2
45,79,7194,212,75,91674.04,-53098.69,26547.02,81927.8,-97785.04,60507.45,45346.87,99731.04,53019,23,1
86,76,7195,209,26,-78091.52,58396.62,-14145.61,19004.37,-15421.16,-77054.76,61690.31,31494.55,123016,23,1
66,30,7196,213,30,-63153.49,-71186.54,92281.49,-24580.77,-9999.03,24279.15,44168.91,-40412.1,112914,23,5
45,82,7197,200,23,40549.47,32858.22,86522.92,88189.48,-75127.28,-8827.6,-45558.88,-16202.73,22021,20,1
66,32,7198,208,55,-2382.48,-91447.84,31614.61,41782.95,28221.73,80322,-85554.84,77987.53,60616,20,2
86,82,7199,215,56,-62760.89,52850.05,5354.63,67615.14,6112.59,10239.32,-79445.3,-30850.07,52015,22,5
45,90,7200,203,99,-58016.21,-53197.78,-97633.25,62147.69,-47607.52,5192.21,-25704.6,55878.37,11522,20,5
45,94,7201,202,28,-76821.76,-8278.72,-39783.83,26329.89,-65613.71,-97690.71,-48854.41,-98983.39,71517,22,8
25,47,7202,214,79,61019.51,-64427.24,78603.24,-92903.05,50393.33,-85984.61,-25295.6,-58996.7,91014,22,8
45,96,7203,202,82,-49122.03,-66115.06,11202.27,37416.3,71192.44,36739.14,29741.58,-74355.13,30116,20,1
25,52,7204,207,63,24851.86,13101.71,9840.11,58061.2,33473.36,-64517.26,57633.87,83691.55,90521,22,7
46,6,7205,213,43,67037.14,-7718.14,-86068.25,-1222.04,-74254.1,73049.33,-96443.19,-54303.07,50216,21,3
87,6,7206,210,57,44898.81,-52149.46,-20131.28,-57461.42,-14698.13,-61692.94,-88204.49,20934.42,92815,22,8
66,60,7207,216,89,-76826.94,20532.95,-10283.34,57803.27,60852.51,-8028.39,57980.22,92345.86,122714,23,7
46,13,7208,204,49,-1197.3,789.99,-73179.74,56890.43,37137.33,-67551.59,-86944.53,-91418.05,32015,23,8
66,63,7209,206,84,-52235.86,-36934.34,-63696.03,29781.65,-72225.9,48806.34,-29000.05,-89518.66,72620,21,9
25,67,7210,212,24,24517.76,-79177.27,75371.17,56554.21,62681.27,-45237.46,28009.24,51753.36,101214,22,7
87,13,7211,218,75,-35677.53,-79271.4,54840.97,54914.74,-32022.09,68354.85,-74055.68,24118.54,71714,22,8
25,68,7212,210,45,18576.04,-63618.28,-75996.16,37076.16,-2825.41,-10626.59,52565.44,-22850.09,60419,22,1
25,71,7213,220,29,86671.98,16286.94,-77096.24,22737.56,93389.93,80379.89,-32084.51,-79110.84,62322,21,8
66,69,7214,213,53,-8432.92,-70448.62,-68171.29,79143.53,37449.72,152.95,-2700.36,-61121.13,82118,23,9
25,74,7215,213,45,-98470.68,-23005.44,-90598.66,12894.18,35173.37,90116.34,48307.14,-82948.06,120322,20,2
25,75,7216,200,13,-58668.8,-91899.62,-3674.33,64020.73,23803.25,-4102.96,-23790.77,-39254.46,52621,23,2
46,29,7217,204,81,-40423.03,90657.2,-60275.85,41128.73,-58447.66,-29500.92,83788.9,37530.83,10213,23,2
66,78,7218,209,27,44716.74,-95344.07,27895.27,-31538.05,70249.69,-59039.08,-71948,-57995.37,100118,23,8
87,27,7219,203,54,-39214.89,12256.65,-81314.04,69362.67,39800.92,94435.62,-20653.9,-28622.09,31314,22,6
