GL-CNTRL-KEY,RCRD-CNT,DTE-LST-RGSTRCT
0,20599,110716
1,20600,72816
0,20601,72615
0,20602,90615
0,20603,41720
1,20604,30516
0,20605,61617
0,20606,102115
1,20607,50713
1,20608,53115
0,20609,82417
1,20610,80919
1,20611,110417
1,20612,100218
0,20613,113015
1,20614,10322
1,20615,70916
1,20616,41313
0,20617,11313
0,20618,22019
0,20619,121015
0,20620,92522
0,20621,32521
0,20622,52821
1,20623,72218
1,20624,10820
0,20625,91119
1,20626,40222
0,20627,121622
0,20628,110420
1,20629,71915
1,20630,111815
0,20631,72814
1,20632,122920
1,20633,40114
1,20634,41820
0,20635,11720
1,20636,110520
1,20637,51116
0,20638,80722
1,20639,70218
1,20640,31622
0,20641,11820
0,20642,91122
1,20643,103121
1,20644,81914
0,20645,80219
0,20646,112121
0,20647,92917
1,20648,120521
0,20649,51114
1,20650,52515
1,20651,121717
1,20652,92015
1,20653,113020
0,20654,102816
0,20655,72213
1,20656,33016
1,20657,41422
1,20658,110920
1,20659,50420
0,20660,72518
1,20661,30717
0,20662,32819
1,20663,111213
0,20664,111416
1,20665,61817
0,20666,102619
1,20667,70716
0,20668,21417
0,20669,60622
1,20670,51516
0,20671,121818
1,20672,32815
0,20673,123114
1,20674,62422
0,20675,122013
0,20676,101113
1,20677,73022
0,20678,112314
1,20679,61716
1,20680,51313
1,20681,52620
1,20682,112113
0,20683,72416
1,20684,70622
0,20685,50621
1,20686,72022
0,20687,13120
1,20688,72619
0,20689,61118
0,20690,70816
0,20691,91916
1,20692,10715
1,20693,10714
1,20694,112918
1,20695,12422
0,20696,92613
1,20697,30117
1,20698,120215
1,20699,92013
1,20700,51617
1,20701,31915
1,20702,110713
1,20703,33116
1,20704,22217
1,20705,81222
0,20706,50917
1,20707,42817
0,20708,11816
0,20709,91822
1,20710,113018
1,20711,111622
1,20712,71922
0,20713,40321
0,20714,50617
0,20715,42315
0,20716,83118
1,20717,31322
1,20718,71822
0,20719,82916
0,20720,51422
0,20721,81715
1,20722,42314
0,20723,20914
1,20724,13018
1,20725,71014
1,20726,20816
1,20727,50920
1,20728,31919
1,20729,123022
1,20730,30722
0,20731,103013
1,20732,40313
1,20733,31122
1,20734,92919
1,20735,122514
0,20736,33014
0,20737,72215
0,20738,101622
0,20739,21314
0,20740,60322
0,20741,90219
0,20742,90517
0,20743,110817
0,20744,11717
0,20745,70217
1,20746,81813
0,20747,101220
1,20748,20317
0,20749,80122
1,20750,42514
0,20751,52319
0,20752,111116
0,20753,42819
0,20754,122816
0,20755,30219
1,20756,51919
0,20757,52019
1,20758,113021
1,20759,42619
0,20760,71814
1,20761,40618
1,20762,12713
1,20763,100515
0,20764,31415
1,20765,111120
1,20766,22822
0,20767,30318
0,20768,103019
0,20769,51318
0,20770,101520
1,20771,21022
1,20772,103122
0,20773,100520
1,20774,91913
1,20775,81920
0,20776,110814
1,20777,92317
1,20778,62018
1,20779,101120
0,20780,112021
0,20781,22413
1,20782,30319
1,20783,50416
1,20784,21521
0,20785,120119
0,20786,41315
1,20787,92722
0,20788,91918
1,20789,41917
0,20790,22214
0,20791,100620
0,20792,50919
1,20793,70718
1,20794,112320
1,20795,41115
1,20796,11819
0,20797,120118
1,20798,12620
1,20799,101422
0,20800,63018
0,20801,52114
1,20802,122622
1,20803,52813
0,20804,20513
1,20805,80413
1,20806,82918
0,20807,90621
0,20808,102522
1,20809,32917
0,20810,102819
1,20811,72913
0,20812,21015
1,20813,33022
1,20814,80820
1,20815,121819
1,20816,71619
0,20817,120720
0,20818,112813
0,20819,50317
0,20820,91019
1,20821,30814
1,20822,62113
1,20823,61113
1,20824,82721
0,20825,70318
1,20826,110119
0,20827,121617
0,20828,12414
1,20829,12515
1,20830,80813
1,20831,92813
0,20832,42320
0,20833,13114
1,20834,82319
0,20835,51220
1,20836,20917
0,20837,52220
1,20838,100822
0,20839,42121
0,20840,30316
1,20841,31820
1,20842,11219
0,20843,71314
1,20844,53022
0,20845,111919
1,20846,103118
1,20847,30618
0,20848,90922
1,20849,111620
0,20850,60417
0,20851,80915
0,20852,30720
1,20853,82113
0,20854,53119
0,20855,71815
1,20856,51717
0,20857,72713
1,20858,82015
1,20859,120917
0,20860,12322
0,20861,90819
0,20862,33120
1,20863,31719
1,20864,10815
1,20865,71921
0,20866,71620
0,20867,62816
0,20868,82622
0,20869,53116
0,20870,60316
0,20871,51622
0,20872,92219
1,20873,101314
1,20874,31216
1,20875,30417
0,20876,70418
0,20877,31617
1,20878,60520
1,20879,73119
0,20880,111813
1,20881,121318
0,20882,52120
1,20883,101316
1,20884,10414
1,20885,122014
1,20886,82520
0,20887,70518
0,20888,62514
1,20889,110718
1,20890,41620
0,20891,52417
1,20892,12722
0,20893,92515
1,20894,62314
0,20895,61322
1,20896,10215
1,20897,52017
1,20898,30820
1,20899,32616
0,20900,83021
1,20901,41514
1,20902,72919
1,20903,71715
1,20904,71721
1,20905,90915
0,20906,111519
1,20907,10617
0,20908,111018
0,20909,11417
0,20910,81615
0,20911,91720
1,20912,71415
1,20913,30714
1,20914,71416
1,20915,91315
1,20916,112022
0,20917,122221
0,20918,62717
0,20919,61713
1,20920,41118
0,20921,52917
0,20922,70320
0,20923,82822
0,20924,82121
0,20925,122621
1,20926,41713
0,20927,31917
1,20928,102218
0,20929,122315
0,20930,120814
0,20931,20817
1,20932,31315
1,20933,111014
1,20934,32017
0,20935,121520
1,20936,121013
1,20937,12013
0,20938,71217
1,20939,110516
1,20940,110922
1,20941,20819
1,20942,62213
1,20943,22920
1,20944,110918
1,20945,101022
0,20946,60218
0,20947,42419
0,20948,51822
0,20949,72217
0,20950,62021
1,20951,11321
1,20952,42117
1,20953,100616
1,20954,112114
0,20955,90322
1,20956,51417
1,20957,80218
1,20958,22517
1,20959,110721
1,20960,71616
0,20961,92120
0,20962,41414
0,20963,50921
1,20964,22221
1,20965,40717
0,20966,60820
1,20967,30718
1,20968,101716
1,20969,63015
0,20970,100313
0,20971,12222
0,20972,112118
0,20973,50613
1,20974,50120
1,20975,92415
1,20976,21213
0,20977,111921
0,20978,120315
1,20979,70314
0,20980,62319
1,20981,103018
1,20982,122521
0,20983,62220
1,20984,40518
1,20985,62316
0,20986,121219
0,20987,40814
0,20988,72414
0,20989,51517
1,20990,81721
0,20991,81913
1,20992,101019
0,20993,50414
1,20994,92318
0,20995,21115
1,20996,11019
0,20997,42715
1,20998,90914
0,20999,51722
