APROPTN-CDE,MAJ-CLS,OBJ-CLSFCTN-CDE,FY-ACCTG,ACCT-TYP-CDE,MULTI-ELMT-CDE,OK-TO-PROC-CDE,APRTNMTS-CUR-DTL,ALTMT-CUR,APRTNMT-TYP,ALTMT-TYP,PRD-CDE,APRTNMTS-1ST-ACCTG-PRD,APRTNMTS-2ND-ACCTG-PRD,APRTNMTS-3RD-ACCTG-PRD,APRTNMTS-4TH-ACCTG-PRD
45,23,13,39,9,3,5,-19750.02,88370.38,5,5,7,3488.48,54446.9,-45777.48,60264.37
93,79,85,60,4,8,9,-16908.67,30302.4,1,8,5,-84251.24,16564.52,-49930.76,1460.97
14,40,15,81,6,5,4,24651.83,-9312.99,7,2,2,-79780.5,31980.69,-86551.15,66373.6
88,87,59,83,7,9,3,-48230.95,53909.78,5,5,6,78083.31,45264.91,-6900.59,-36636.47
86,46,33,40,7,4,4,-40277.55,-49865.25,2,1,4,-70526.72,21877.29,86468.38,27919.98
61,27,25,18,2,3,4,13264.61,-20145.77,6,1,1,-45317.41,55075.2,-48847.99,41477.68
21,89,63,28,4,4,6,41835.44,62977.41,4,9,6,46315.82,18481.9,14042.26,-36278.59
87,58,70,90,1,4,8,-16976.29,-13276.42,1,1,8,-71950.94,-73524.04,71066.86,65615.19
28,81,79,32,2,6,5,14321.63,-96514.05,6,4,8,-78514.2,82330.91,35691.98,-7439.89
82,14,86,99,1,8,3,-28260.27,50449.76,8,8,2,41116.81,92258.98,16228.35,85106.95
22,50,25,29,5,5,9,54621.41,4709.45,8,4,5,5353.36,-78747.79,16123.79,26330.69
25,21,92,82,5,3,8,-37368.95,23392.48,2,3,1,-5884.5,-48262.55,-1267.29,-90164.26
52,91,56,19,7,9,3,72469.25,7525,5,2,5,-49290.26,-18082.76,-24593.18,-25062.36
87,65,98,54,7,8,9,-48408.13,-2206.18,1,6,5,54887.99,-22186.15,43385.57,83507.01
69,48,73,92,3,3,9,-75165.02,-2116.17,5,3,8,15762.08,69046.61,86310.25,11762.66
46,31,97,35,4,9,7,-18706.93,96131.56,5,2,2,-92846.41,86445.31,-46140.21,89482.94
91,31,29,25,5,9,4,-50974.45,23820.27,8,3,3,-28019.08,86563.8,66702.75,93196.46
87,40,56,63,1,7,2,-81590.09,-74396.25,2,1,2,-6467.01,-77270.12,-28517.67,-10421.82
66,75,22,80,5,4,3,-34840.81,-35950.22,3,4,4,85887.99,-88222.61,-32064.81,-89047.1
20,54,66,64,2,2,2,-67482.34,-72238.44,2,2,6,-83831.35,79575.47,80845.19,-28330.68
20,82,59,34,6,3,3,-13656.46,78490.5,4,3,5,-69641.92,50442.19,-47442.37,-99343.11
45,19,77,45,1,2,2,-24486.4,40712.75,6,4,7,-33583.91,-24912.38,-14053.23,15910.38
33,32,77,21,3,3,7,51434.84,5476.94,5,8,3,-30270.77,46565.87,-70879.1,1943.54
35,51,53,58,3,2,2,69487.91,-14663.16,7,9,8,43996.79,-67259.67,-97845.85,-61623.35
48,22,64,74,1,7,6,-18149.76,20926.92,3,6,1,92171.2,-37404.94,301.4,40566.24
97,10,43,18,4,2,7,-45546.68,5202.8,8,2,6,-42066.52,19645.18,-73528.27,37661.04
91,52,88,69,2,6,5,-23563.93,66903.1,1,9,6,8045.34,52801.62,-64770.8,-25959.11
30,94,11,58,9,7,9,15214.4,-6956.37,6,9,4,-30124.31,-21669.43,-24666.65,24969.54
50,61,74,23,3,5,7,23293.14,94640.61,6,7,7,-19943.13,47306.57,-405.86,-72221.75
91,46,69,43,2,9,7,-87131.91,-68586.37,4,3,9,-5586.59,49225.9,-96303.71,39956.87
63,33,89,25,8,7,7,11314.39,-31256.04,7,9,3,-65074.83,10149.42,-13850.15,-18831.61
74,59,92,84,1,7,5,-51367.65,-62478.11,9,5,3,-3158.91,29620.35,-51615.49,-61729.27
74,96,76,22,4,7,9,45199.12,26285.6,3,2,8,93448.36,-66963.16,-14460.7,36776.08
80,86,39,72,7,5,8,52585.62,14401.94,3,7,3,-48326.07,6349.61,77727.11,-43675.21
32,26,50,76,5,9,6,11904.46,55122.92,8,4,8,35231.76,92500.55,10173.22,81184.65
98,91,42,65,2,8,2,-71189.29,-96423.11,3,2,7,-40950.44,-34620.69,-20031.11,-23800.86
21,57,26,52,7,6,5,-88831.12,836.27,8,1,1,-8960.94,3974.84,-74237.98,-82083.68
52,28,34,37,2,2,6,-90244.46,4507.39,7,3,1,7234.37,-32116.97,8882.95,-32032.55
24,66,33,79,7,5,9,-47132.95,50925.36,1,2,7,41633.52,91498.42,-70010.36,-26640.9
59,36,91,64,1,6,9,12826.58,-28269.46,1,5,3,16220.57,-27902.28,-94685.31,-84763.94
88,84,35,35,5,9,9,13119.17,-36491.81,7,4,9,-36843.04,-39897.3,-85123.06,-42803.74
87,10,20,94,6,9,3,40267.88,39338.48,3,1,5,-38476.11,14842.26,-83236.7,51061.16
29,75,42,59,2,9,2,87648.64,-13066.4,9,2,4,-17867.62,-53548.59,21439.66,-39506.94
26,10,22,72,2,3,5,-78191.59,38706.83,5,6,4,-39293.45,67489.29,76746.03,-27593.52
32,27,69,67,5,2,6,-22568.15,-75044.09,4,1,8,-54733.09,-50122.25,47489.4,10710.46
23,24,32,71,3,5,3,-27935.83,56360.26,4,8,7,6795.28,9668.42,4292.55,-45238.42
66,84,87,82,9,6,1,-38932.69,-24506.65,8,5,9,-41417.66,-48978.15,-51271.18,48973.28
20,68,78,89,4,3,1,66078.21,54756.42,7,7,8,-20760.93,-22908.46,-22057.57,-40915.58
17,72,50,89,4,1,9,-82898.72,96729.76,9,6,9,85400.37,-36381.92,-68410.81,-56861.41
47,82,75,50,7,1,9,94200.27,-76615.22,8,7,1,95621.53,45128.89,-33876.05,51268.79
13,81,82,12,7,9,2,-29807.48,91568.53,9,5,8,88602.7,-12159.53,93076.75,-17527.01
98,40,29,15,2,9,2,-65010.91,30917.77,1,2,3,-11672.43,40007.63,22456.82,-85153.34
39,65,40,11,7,2,1,-92689.4,-35248.78,8,5,2,-5150.39,92554.43,-23064.25,-67084.21
78,17,95,38,4,2,3,-64032.9,87138.21,3,2,3,-12185.48,62748.75,97760.8,33686.22
98,76,55,93,2,1,8,18362.94,43262.87,2,7,7,30785.76,66054.94,54051.59,15721.56
61,44,77,42,6,3,1,6996.56,76163.84,3,8,1,-24857.92,-2384.31,97936.76,54358.65
54,28,77,83,4,8,8,53075.13,75481.16,7,7,8,-52843.56,5120.97,66248.11,54049.05
45,43,34,63,7,1,4,-57294.48,-58237.14,1,1,3,26603.6,93697.27,88120.22,18331.85
99,28,60,64,7,8,5,-27349.09,-91447.51,8,2,3,-91604.68,41637.67,33502.52,57681.08
75,44,71,50,8,4,3,64774.48,76408.12,3,1,9,79471.44,-69058.61,10429.6,77010.81
13,91,84,92,1,5,1,-18625.57,43874.3,3,2,8,80777.29,31839.45,-59755.64,-5473.53
92,17,13,92,2,3,3,-66311.05,60327.94,9,5,9,81522.96,77771.17,-55177.88,46410.96
35,58,64,65,9,1,7,71136.23,51847.76,8,3,8,82745.82,-43152.45,-71358.27,-75604.26
15,12,32,18,9,3,4,-81734.61,62582.32,9,7,7,43050.73,-51175.77,88381.64,14245.8
13,63,76,20,4,7,7,51298.96,-46912.13,8,7,1,-71319.77,-71747.8,10352.16,-75332.82
36,94,44,35,1,4,1,81388.19,-5051.17,7,4,3,-43376.34,-85300.04,-79784.47,-45534.58
81,76,15,43,9,7,9,89930.98,66087.88,1,7,5,73859.55,81725.39,97475.64,41341.61
53,22,74,87,2,1,6,-11360.19,28969.87,3,4,7,-17553.94,91492.44,59025.98,61471.02
63,28,10,24,3,9,7,79966.93,47509.35,5,1,8,-8794.61,21697.64,49981.39,-23227.99
94,27,62,43,1,6,6,13269.02,-74280.41,7,7,7,-45203.6,70093.01,-59179.02,42485.03
52,92,21,48,4,7,3,32554.93,-18041.44,8,7,1,31248.89,89982.29,-78158.08,79986
50,21,76,80,7,6,4,45721.31,86780.42,7,1,8,59729.77,32357.86,-91847.07,59080.53
28,32,76,85,8,3,2,77416.2,47272.71,1,8,5,82537.11,-9630.02,-53556.11,-44550.3
80,23,68,94,8,4,3,35162.39,44497.95,8,9,2,-41275.6,78211.92,57170.75,96953.53
75,89,15,60,1,2,9,-24350.43,-35837.39,5,3,5,82928.33,76780.29,-26789.54,81294.31
50,96,39,29,8,3,2,-71507.55,14323.89,2,1,7,-84280.19,-1188.46,-35811.67,21186.52
15,82,44,47,8,9,3,-78010.29,12625.46,5,2,4,59843.57,-93268.39,89265.52,58235.48
23,25,46,33,1,2,6,64023.16,13203.39,7,2,2,-63927.44,-35661.34,17301.11,-746.4
88,32,79,22,2,3,7,-30394.22,51866.91,4,6,3,-60505.25,54639.91,-95308.35,-36554.51
40,17,40,84,5,6,7,33120.49,34152.06,2,1,4,26695.92,46024.48,79609.65,-68540.68
85,43,26,22,5,7,6,25842.27,-49155,3,3,2,54273.62,55837.37,95840.49,-92713.52
21,33,52,81,8,7,3,61836.04,54670.09,4,2,6,89492.6,-75970.4,8928.55,-47695.33
45,41,97,36,4,6,1,-6049.46,-88998.99,2,6,9,84758.44,-45163.26,-80630.2,-22837.19
45,47,45,78,5,3,1,-13112.42,7077.68,6,8,5,41477.8,80299.47,-84737.74,32052.3
78,99,99,82,1,1,3,-60758.03,-93898.98,9,3,3,-18579.83,-30261.9,-66888.79,7139.7
69,27,44,87,6,1,5,8782.55,12812.97,5,5,3,87604.11,-69164.04,46602.85,57194.3
44,69,98,80,5,3,2,-67795.15,-96596.95,3,8,5,74632.01,28637.89,82459.62,64292.43
11,67,17,94,8,5,6,-83567.55,49641.19,3,2,9,47225.12,85340.9,-49388.28,78292.72
29,46,82,44,8,2,4,58920.83,59023.86,5,1,8,65873.13,23392.24,-91654.06,1528.86
91,59,80,20,2,6,3,23781.07,40478.83,9,5,3,-32906.71,-5913.8,92374.97,92488.48
35,71,38,49,9,4,3,24568.63,-27470.99,8,8,6,77490.32,40970.87,-87313.52,54147.56
35,84,85,12,5,3,7,90456.12,66028.04,3,4,6,98830.63,83083.64,-82887.03,11212.62
42,56,18,75,1,3,6,-7424.59,-1613.99,6,1,7,-89028.57,-60103.53,-24975.43,-51433.01
35,21,95,90,2,7,6,79927.3,-37857.8,6,3,9,-6236.08,-74342.53,24512.36,64150.13
19,99,78,39,6,6,5,-18245.44,94585.78,7,3,4,54461.68,-70711.27,21091.92,98950.55
94,82,77,94,2,6,6,-47770.84,-22256.95,9,4,9,-23978.05,38725.61,89148.91,-89860.14
28,15,34,44,6,5,6,-41215.53,54265.49,4,4,3,48856.74,-22363.04,11789.66,22433.78
34,16,50,58,1,6,5,4815.45,59896.91,9,8,1,4018.74,10500.67,-91741.52,-16734.81
69,48,98,31,3,6,4,19861.86,59155.28,3,6,4,-36000.13,-32077.92,-90665.11,-86957.33
32,80,46,43,8,5,8,32646.58,60740.14,1,5,2,-64625.86,60452.5,-64269.86,96783.31
44,87,64,85,9,4,5,31897.16,-79964.81,4,8,6,15724.06,83765.89,-9425.33,2506.01
29,72,70,55,3,8,4,-54664.64,-38599.16,2,4,1,44944.62,-54654.37,-85724.94,18373.1
25,72,56,81,8,5,9,66916.11,45191.03,6,6,4,-46290,80108.22,-49273.85,92173.71
25,50,37,71,7,4,9,-63494.61,-4763.87,1,7,6,-18419.79,59764.49,-68520.94,93856.45
42,33,96,75,3,9,2,69108.96,18462.5,4,5,8,69100.17,56751.45,54680.34,-23975.04
82,64,47,14,5,9,6,-69911.49,-49635.19,6,8,6,78352.18,-7247.14,-45215.32,65678.77
30,10,72,91,9,2,3,7744.2,-89639.46,8,4,3,-45234.18,-2848.44,-40879.92,1942.36
63,26,18,95,5,6,3,-2263.53,-47299.97,6,3,1,82945.23,6803.41,-40206.67,-28335.65
44,26,64,66,9,3,6,-86490.07,56352.57,3,7,5,-31999.77,-28670.89,74358.42,-84296.43
57,86,78,24,7,3,2,-61221.47,19102.83,1,4,4,10820.03,97886.77,70139.33,69916.69
78,77,13,52,7,6,3,16338.28,-5875.22,5,4,7,-72032.7,-33350.54,27791.49,41707.9
93,91,59,27,7,2,3,4480.35,-74214.89,4,3,6,-85109.92,88123.04,42007.73,97823.32
91,83,62,16,4,3,1,88417.85,-50381.77,7,3,5,-41786.34,-78265.74,87391.31,52612.56
65,45,79,62,7,3,2,65860.13,44037.96,6,5,9,-77525.52,8302.07,84457.86,70161.22
15,36,40,25,1,1,2,72991.21,52096.28,5,9,7,8048.7,-47632.61,-41621.28,-21272.45
40,98,75,39,3,2,1,-59303.83,78441.23,9,5,2,-46248.59,51656.79,-40886.79,15077.3
66,70,15,50,9,2,8,35349.01,91649.57,7,6,6,-62015.23,-5625.75,-99421.57,65802.03
25,53,38,18,7,1,7,-17150.7,7511.33,2,5,5,-88881.76,49430.02,2110.95,32004.65
53,36,85,14,2,8,8,93287.25,-27696.65,6,6,5,43641.8,-21557.8,31504.02,-89303.84
16,51,15,45,5,7,9,-5368.1,-55661.98,5,8,1,-73505.83,76939.72,15132.14,58105.33
72,42,44,34,4,8,4,79207.72,11751.39,5,6,9,-34214.93,25027.24,-79616.73,33769.8
25,80,59,79,1,9,2,25007.18,-91680.4,1,4,2,-7470.08,-70434.46,65804.86,-13717.11
60,84,24,68,4,4,4,-99235.26,-93006.9,9,3,6,-22827.61,62488.44,-23031.66,-5885.69
27,28,19,49,8,2,9,79094.88,87217.63,2,6,9,37182.88,85404.94,2424.26,13050.28
93,25,18,95,2,4,9,13524.8,-95771.93,6,3,6,90489.73,50611.9,-16524.39,-93864.26
34,33,20,12,1,9,9,80689.91,83256.82,9,5,9,13475.88,29654.34,82851.01,-29208.02
73,43,87,37,9,9,1,-87650.82,-12741.67,6,8,8,-80977.99,80152.68,-15946.85,56134.5
70,51,23,52,7,9,8,-99010.99,51645.59,9,6,2,61806.26,-94981.65,-40865.64,91494.36
35,74,48,14,6,1,4,-81501.04,58553.93,8,5,6,75902.59,-80984.94,88710.08,-79206.47
18,20,44,11,9,8,2,-80053.78,-8178.06,2,2,8,-58452.23,81872.51,-7258.62,-67906.72
66,35,77,97,2,4,5,77234.09,57592.75,6,1,5,-92246.85,-64252.5,69325.62,-77882.61
17,95,48,91,5,2,1,50552.53,63036.22,8,8,5,-92829.47,17081.77,-60678,-19730.68
28,16,27,65,4,5,1,20885.78,91965.29,5,2,5,-55848.19,-25315.83,-5178.17,-49146.84
90,40,53,87,2,1,4,4076.61,43672.41,5,8,6,-94722.26,-53331.21,-96152.52,-26465.17
67,86,29,31,1,1,5,90858.33,-57481.01,5,5,2,64796.23,-80092.85,-75057.6,29661.03
90,86,38,60,3,4,8,-72002.08,-92038.69,6,2,8,80010.43,-15137.35,11786.26,80814.45
48,49,10,71,7,5,8,-50530.39,-55961.95,2,8,2,3350.2,52659.22,86975.05,-63613.36
66,12,31,21,6,8,3,-48237.42,96230.87,8,7,5,61080.53,-52972.13,44281.59,51648.68
11,10,65,57,2,8,4,-26532.82,19443.28,2,5,6,19832.08,-59936.27,28938.68,-64149.09
80,71,64,41,7,3,2,9576.82,80471.34,5,7,7,6515.82,52197.29,-84038.7,-31968.21
57,83,42,35,5,4,1,-71764.67,-81346.99,6,9,9,57368.94,60218.35,-45993.71,-67938.38
73,46,95,75,7,2,6,35867.64,-463.28,7,1,3,55195.72,1658.98,98705.42,-69227.98
55,31,82,74,9,1,1,68738.56,65915.16,9,4,9,-33783.47,-77887.94,-69260.68,9761.7
57,64,76,34,3,6,9,17120.95,55531.4,3,9,6,52110.33,12674.2,68256.13,77640.76
53,39,32,18,6,1,9,-45380.59,-8292.43,9,3,6,-64987.92,19401.78,58656.49,44961.43
54,79,80,85,8,9,1,65921.24,-52720.11,6,6,1,-82592.86,-76217.85,-39420.06,-90544.25
92,54,58,34,9,9,6,28617.83,78784.2,6,1,7,69643.57,-77026.21,8608.33,-3778.19
79,97,20,20,9,1,7,62880.79,79831.4,1,7,7,-35439.95,80595.61,8366.36,90036.41
95,72,11,16,1,6,4,72486.12,27582.63,7,1,6,65865.04,-99094.39,23385.95,78523.99
37,30,62,58,7,7,5,24909.46,-33094.74,7,7,9,-7903.56,76942.97,-67302.7,-59565.06
12,27,60,53,8,4,6,-73102.59,39372.17,6,7,3,13480.33,-2582.77,70943.5,-41536.24
88,16,48,45,1,5,5,-87592.93,47625.47,9,2,3,37170.92,-31144.79,23986.73,5041.61
48,15,96,79,5,6,7,-53572.78,-62119.45,3,9,9,-3856.39,-54616.92,37944.8,7321.06
85,55,83,72,3,5,1,-397.65,-31033.88,3,4,2,59906.5,48301.98,17143.69,24323.08
42,38,15,71,4,7,6,57837.68,3263.7,9,3,5,38222.81,-43547.37,28004.55,34229.52
95,64,79,15,6,1,7,44653.39,7240.65,2,1,3,-88848.1,66237.82,-44839.79,36598.1
70,25,25,58,7,6,6,-91480.48,68583.57,5,1,1,-33692.28,39609.31,37317.55,-64711.4
76,60,14,12,1,7,8,45671.93,-55348.68,3,4,3,-26277.25,74249.07,46584.33,19002.42
80,83,16,71,6,6,2,-30530.35,25242.68,1,9,6,-94791.79,73272.92,38698.25,-4968.84
55,88,67,91,2,8,7,76987.36,-32966.62,3,6,7,-39991.32,85818.73,-63943.78,-6871.88
58,10,96,81,1,2,3,-5925.37,-10281.71,6,8,2,-43663.31,-72864.22,71969.88,-32552.63
42,72,99,27,2,7,1,-52690.59,-34119.64,7,7,8,21429.78,-21742.27,71616.17,-48012.2
31,89,67,89,7,3,4,89049.41,66115.94,2,8,8,-81487.01,60642.49,-99920.23,-4087.73
13,39,94,86,6,1,5,36324.17,56300.69,8,1,7,68435.28,40529.49,-4295.4,66639.06
49,64,41,41,9,4,1,95727.58,-1232.67,8,5,1,45414.24,-77690.54,-28775.39,37068.37
62,82,55,63,7,5,2,-96584.68,51260.7,7,2,6,57008.75,-99968.72,-43928.17,-45802.73
16,63,10,37,9,1,8,16327.85,-58712.38,1,4,6,99024.02,63907.36,-6221.13,29395.82
83,40,43,27,6,2,3,-49493.27,-40298.96,6,2,5,-53460.83,-84885.38,33268.67,-34102
46,26,54,50,1,8,9,-41325.6,52161.62,6,9,9,-6021.37,1096.03,82205.52,-2658.22
69,80,49,64,8,3,8,-20295.98,-41338.48,5,7,4,58223.93,58392.73,-36127.19,-27646.79
77,73,77,23,7,9,9,42074.56,-48592.44,9,5,3,-42254.42,45174.61,-26527.2,-46280.03
43,78,92,47,9,8,5,-55713.46,24086.86,4,1,2,-26821.19,80948.34,6748.9,-82433
23,19,33,78,3,9,3,76274.54,18264.51,3,8,2,8392.1,98906.62,-33236.61,1321.06
16,97,10,65,3,5,6,-84716.13,-25845.15,2,3,4,67351.41,20594.29,-96928.12,29504.49
97,65,69,43,4,3,1,-78266.01,-19506.8,2,2,1,-95510.84,-51187.32,48802.21,-95962.42
77,12,58,46,4,6,1,-20103.72,-84650.14,4,9,7,75247.44,-20569.91,-9916.43,67394.81
94,50,85,45,7,1,4,50501.14,-74330.32,1,6,8,86931.44,8850.5,25823.07,-90843.59
79,47,89,94,4,1,7,58936.61,-4761.17,7,8,7,-42366.83,15723.3,83300.23,-84069.88
83,71,26,53,9,4,8,59405.43,-3614.42,8,9,4,-92235.05,99251.14,-76511.13,47743.89
21,38,41,78,1,7,4,-84123.3,-20132.57,7,3,4,56371.87,56849.78,-53609.57,-71566.22
45,68,50,90,3,8,9,3591.76,-23012.78,4,3,1,-19390.01,24101.94,-61088.36,10421.7
39,84,55,78,7,4,1,-5182.56,91368.19,4,7,6,66438.61,-73721.36,50890.47,31162.03
11,87,13,41,1,9,6,54106.68,35003.14,1,6,2,-79861.91,-48857.12,15262.18,78122.01
39,42,77,37,2,1,7,-38834.46,29492.96,6,1,6,-22910.93,25300.62,40684.24,54986.12
84,26,25,30,8,6,6,-18571.8,-18956.79,2,8,5,-48483.29,-58359.24,28548.37,-47348.43
55,62,23,46,3,7,7,12874.17,-44116.81,6,3,8,-89053.07,-66189.28,36143.34,-52344.76
41,29,47,61,4,6,1,82987.24,76081.14,5,5,7,75259.53,-86746.27,39251.35,38278.62
16,99,83,45,8,7,7,-50854.36,93932.74,8,1,1,6422.33,21773.53,11196.59,6854.91
48,31,85,48,2,1,8,39154.71,85786.48,7,1,3,20286.2,29458.56,7418.82,-33262.9
95,88,76,44,8,7,8,-58617.17,25445.12,1,3,8,-13801.79,-65750.33,-30146.36,-40555.8
87,28,23,15,6,8,2,24798.43,32046.09,3,5,7,-81580.05,19078.85,75156.02,64394.66
36,18,71,95,1,8,4,70004.15,78801.38,8,5,3,-96866.64,-74152.69,68300.35,-69611.5
90,46,27,38,3,2,8,-52170.32,-97535.57,7,2,6,74767.27,-30409.31,-73928.79,-4587.13
61,17,28,44,8,4,6,-59342.14,-8397.91,3,9,6,-33684.46,-59690.57,-98925.67,-48283.96
