ITEM-NBR,ITEM-ESTD-CST,ITEM-DESC,ACTL-NBR,ACTL-AMT,RQSTD-NBR,RQSTD-AMT,PROJD-NBR,PROJD-AMT
148,4241.48,Rear Engine Lawnmower,7051,-99935,715011,-44199,561624,39822
136,85063.21,Irrigation Pump,7052,-90001,952498,70917,691289,-38241
104,82297.64,Combine Tractor,7053,-651,718675,39783,187116,52862
129,48063.09,Planter,7054,-20127,644410,-54753,356396,-78650
118,-87886.9,Pelican Bucket,7055,74352,717433,-65117,403088,-27727
127,-29598.65,Chain Saw,7056,-75080,145609,1740,362272,14766
125,-42516.84,Front End Loader,7057,86452,651193,78137,556089,-33259
146,54996.36,Harrow,7058,3888,584434,-27595,189282,-32469
111,-37132.12,Straw Blower,7059,-4179,483042,87478,528252,633
103,12772.13,Four Wheel Drive Tractor,7060,-23680,389906,56738,970973,-78853
142,75559.25,Plow,7061,86414,488844,81742,697205,72992
100,778.95,Compact Utility Tractor,7062,-98612,283924,11971,565921,-35811
109,-4920.57,Digger,7063,-1439,188545,65254,749926,67485
144,35024.45,Trowel,7064,59058,377710,-16144,856995,82752
133,-49461.08,Drill Press,7065,-3318,255836,-39378,626078,-29869
134,-80525.38,Chop Saw,7066,88537,513620,95870,235029,37100
123,-51663.5,Wagon,7067,81775,123712,-12504,111324,-21657
106,11894.13,Cotton Picker Tractor,7068,7277,977227,-53373,961043,-84734
122,42097.6,Back Hoe,7069,-14449,739652,-63544,780379,23770
143,-95324.43,Thresher,7070,37006,113015,27712,134625,-74614
131,-14532.94,Grab-Hoe,7071,-87329,214691,-72027,665911,-86898
147,-83114.67,Lawn Tractor,7072,-85872,906365,50905,148260,25713
121,-2799.67,Loader,7073,49992,201181,73890,324343,65954
113,45432.25,Slurry Tanker,7074,-4911,797421,-91133,731507,-42157
130,-58603.35,Spade,7075,6810,300287,-3739,794334,-15734
112,11347.92,Bale Spear,7076,-69560,866003,38980,427992,35712
110,-68191.09,Mulch Tiller,7077,4507,440777,-35468,917679,82655
138,42147.75,Bulb Planter,7078,-86455,139457,-23979,211841,61186
120,73024.4,Seed Drill,7079,-12908,660869,52178,494255,94924
115,11436.84,Backhoe,7080,90915,407161,-39875,816046,36406
141,61119.44,Rake,7081,-39412,596856,37103,281547,15791
137,35341.87,Seed Drill,7082,-27277,199390,10931,534857,2464
108,9281.72,Round Baler,7083,-45361,517392,-34212,934937,-54858
116,-99021.28,Square Baler,7084,-51525,287137,-44628,346955,-49860
126,-60446.06,Fertilizer Spreader,7085,59979,286801,54271,559239,-68353
139,-36116.3,Pick Mattock,7086,83637,801059,-6968,780302,59885
128,-64102.26,Saw Mill,7087,37543,437426,63207,671270,5674
140,-57884.25,Sickle,7088,17124,677775,64454,401022,41480
119,65443.25,Wheelbarrow,7089,-97328,988809,-55267,775006,64561
135,29782.86,Backpack Sprayer,7090,71852,982840,-83608,777401,20445
124,-99625.68,Lawnmower,7091,-89815,249193,-1933,685953,12847
149,-40099.95,Electric Lawnmower,7092,95858,249864,46974,673375,-43337
114,-66276.83,Grain Auger,7093,26570,937188,97066,945614,74952
101,-91348.62,Utility Tractor,7094,-52810,694838,-25896,853647,97561
105,-6742.06,Cotton Stripper Tractor,7095,72858,585520,-66888,381090,-61075
117,-45293.33,Seeder,7096,6747,930881,-81720,595459,-40635
107,35499.01,Sugarcane Harvester,7097,69146,925077,73500,377916,-8653
102,60357.03,Row-Crop Tractor,7098,57662,658269,74966,582999,86462
132,87842.22,Work Bench,7099,-84532,689308,1434,216706,48653
145,36694.51,Cultivator,7100,73160,734274,29784,279246,-53758
148,59048.09,Rear Engine Lawnmower,7101,43115,886361,-95664,761054,12156
136,56382.83,Irrigation Pump,7102,79530,121788,-64020,523936,-37728
104,-9688.49,Combine Tractor,7103,-20201,456653,99704,891884,-51931
129,90021.48,Planter,7104,-99666,786201,-15651,800776,-54105
118,-39339.43,Pelican Bucket,7105,-30674,708773,35099,776643,81467
127,-48264.49,Chain Saw,7106,-52492,199453,-26576,702567,-35844
125,-69118.77,Front End Loader,7107,4984,210769,27740,773573,17205
146,-24444.01,Harrow,7108,11907,236685,7838,677898,19967
111,-98839.08,Straw Blower,7109,-65410,336306,-5358,327120,3417
103,-83445.33,Four Wheel Drive Tractor,7110,7885,733147,-91342,651690,-37814
142,-83671.11,Plow,7111,-21026,367923,-23572,287431,38874
100,-76223.86,Compact Utility Tractor,7112,-64232,830082,-43521,580165,52092
109,-96445.1,Digger,7113,75265,886390,60240,602196,55535
144,-27989.74,Trowel,7114,50797,692657,99126,707424,65513
133,-74240.52,Drill Press,7115,82482,276065,-93680,518621,-26247
134,9927.32,Chop Saw,7116,-51602,257287,-61570,576834,45158
123,80024.29,Wagon,7117,-85265,713125,95094,211029,-85830
106,63637.07,Cotton Picker Tractor,7118,99185,592961,80087,665531,-10582
122,-77165.19,Back Hoe,7119,-54432,601147,11092,771348,-99635
143,40988.78,Thresher,7120,-4548,524133,10321,888616,10312
131,33559.39,Grab-Hoe,7121,16148,764464,-82366,106868,-71782
147,-37338.7,Lawn Tractor,7122,75137,304809,-19437,429380,25374
121,-2778.92,Loader,7123,67279,940590,-98826,747073,58494
113,-30340.26,Slurry Tanker,7124,27691,812038,47214,153351,-76429
130,-1951.51,Spade,7125,23559,414406,96603,122438,-79883
112,-86784.58,Bale Spear,7126,16263,447883,95521,416516,2165
110,-99133.56,Mulch Tiller,7127,45883,628390,-61577,219728,-93252
138,56254.57,Bulb Planter,7128,94108,699242,51973,925304,-12120
120,-43947.49,Seed Drill,7129,92074,650887,-60742,465364,-13
115,42075.61,Backhoe,7130,-64180,978481,-4236,456619,29637
141,8991.05,Rake,7131,27077,850307,52825,834040,-88667
137,48126.6,Seed Drill,7132,-54090,660155,20356,116411,-20404
108,46859.24,Round Baler,7133,78836,793150,37539,905715,97512
116,-15838.88,Square Baler,7134,-99430,240491,-99836,834261,47605
126,-42591.87,Fertilizer Spreader,7135,46864,398364,3877,200255,62437
139,62027.39,Pick Mattock,7136,34154,700299,76072,341333,96731
128,57579.7,Saw Mill,7137,-882,742571,98948,256464,25122
140,-29886.25,Sickle,7138,38750,552300,-87611,286206,-33899
119,-46152.68,Wheelbarrow,7139,55501,288906,55780,382723,83889
135,10310.26,Backpack Sprayer,7140,-73025,813670,16139,984780,-51588
124,-34917.4,Lawnmower,7141,49034,857726,-50661,687445,-20191
149,-28595.86,Electric Lawnmower,7142,-11709,501089,-62464,434153,-70929
114,-1130.54,Grain Auger,7143,-65573,863435,-13571,110336,74209
101,-83456.79,Utility Tractor,7144,2401,302433,-68460,938354,49166
105,-56198.02,Cotton Stripper Tractor,7145,-53997,386512,-76522,235256,39988
117,-81299.29,Seeder,7146,-14115,931719,23430,560651,76879
107,7532.6,Sugarcane Harvester,7147,24819,822440,49764,641323,-29565
102,63110.53,Row-Crop Tractor,7148,87979,153747,-57962,251000,58697
132,83371.75,Work Bench,7149,81598,270999,4977,413877,14964
145,-796.49,Cultivator,7150,-86541,309498,44049,414473,11279
148,72967.58,Rear Engine Lawnmower,7151,-77768,456878,-52796,518626,-49340
136,-16532.88,Irrigation Pump,7152,-2016,761755,85361,796121,99812
104,-53035.2,Combine Tractor,7153,44060,290864,-82146,938983,-77393
129,-78692.63,Planter,7154,43292,238182,50451,760250,-20354
118,-1577,Pelican Bucket,7155,52410,277941,-50577,122249,50098
127,-57428.45,Chain Saw,7156,-67266,982239,-32642,947309,27109
125,30183.84,Front End Loader,7157,43669,638709,4622,658800,27660
146,51741.04,Harrow,7158,7207,360397,-82988,798003,10480
111,19250.66,Straw Blower,7159,94371,634206,-23462,383124,-46092
103,77852.63,Four Wheel Drive Tractor,7160,-59992,535413,-97582,346407,38770
142,13169.1,Plow,7161,-27973,272225,23779,906799,80793
100,45153.26,Compact Utility Tractor,7162,82021,584425,40637,249382,-31255
109,-7117.22,Digger,7163,-72973,229313,34360,294037,-83881
144,93660.75,Trowel,7164,-66174,176758,63160,549636,41992
133,99275.7,Drill Press,7165,14722,568043,-31465,446253,6269
134,-94081.93,Chop Saw,7166,67321,431546,56236,592372,24230
123,69776.91,Wagon,7167,82291,956131,94757,414621,-92772
106,-67120.12,Cotton Picker Tractor,7168,-15144,807655,-68717,724541,-98744
122,-40991.27,Back Hoe,7169,-86673,756141,-98357,775376,97278
143,-23002.08,Thresher,7170,56904,212062,-40453,886836,-39863
131,29390.43,Grab-Hoe,7171,50275,505058,71094,253580,31129
147,80687.07,Lawn Tractor,7172,48868,220316,-49639,856848,84194
121,-78926.62,Loader,7173,99976,879186,78280,976178,-78661
113,62969.14,Slurry Tanker,7174,-17765,532886,-57780,590876,-34210
130,-9396.69,Spade,7175,-87723,291296,3200,316886,-41744
112,82884.72,Bale Spear,7176,-47178,817398,-3071,613046,26077
110,-63058.65,Mulch Tiller,7177,64671,280264,98607,729790,84850
138,-94990.1,Bulb Planter,7178,13759,795747,-1705,392495,-2312
120,87407.49,Seed Drill,7179,-53620,257779,13790,650617,-31478
115,-88040.26,Backhoe,7180,-49127,762682,-58980,917459,-53390
141,-46535.04,Rake,7181,41922,297695,-15378,967660,-29920
137,51429.35,Seed Drill,7182,81257,769931,-22106,866387,78332
108,11447,Round Baler,7183,-15648,763742,-9015,155861,-36919
116,-95554.85,Square Baler,7184,-25427,253014,32188,424290,-54694
126,58390.89,Fertilizer Spreader,7185,-48362,819553,-55411,598752,-77158
139,-87470.63,Pick Mattock,7186,81722,260742,-48076,744561,-90561
128,70972.41,Saw Mill,7187,-72325,593495,-66953,316777,-59802
140,32647.9,Sickle,7188,34385,395184,56219,161089,-62830
119,-92278.8,Wheelbarrow,7189,28617,247129,-82662,987179,-47410
135,77561.43,Backpack Sprayer,7190,-75462,193224,77614,924376,-48303
124,-87311.95,Lawnmower,7191,-57142,854192,5642,960668,68482
149,3048.67,Electric Lawnmower,7192,-20066,384466,63517,943029,89950
114,-94838.36,Grain Auger,7193,-77666,529603,-24278,826045,-20662
101,-67725.94,Utility Tractor,7194,51850,842416,-56213,807988,63306
105,-706.28,Cotton Stripper Tractor,7195,-5683,228227,-63557,382830,25949
117,-93169.66,Seeder,7196,28725,994625,97357,116218,-49190
107,-72382.92,Sugarcane Harvester,7197,-1289,479132,-52063,392368,-52833
102,-62440.82,Row-Crop Tractor,7198,-38801,595612,7254,440769,589
132,90923.25,Work Bench,7199,85729,495634,47977,648851,-79560
145,-3794.85,Cultivator,7200,80925,671188,11884,788697,77174
148,45401.8,Rear Engine Lawnmower,7201,9180,282167,51729,164602,-30815
136,30947.81,Irrigation Pump,7202,-22284,749700,-93088,154718,-97286
104,-71383.7,Combine Tractor,7203,-33214,392622,76448,765282,23726
129,-8016.04,Planter,7204,-45344,200982,-801,556547,78587
118,21644.27,Pelican Bucket,7205,-74333,482769,-32286,420856,69897
127,-99008.14,Chain Saw,7206,-70064,342235,7565,209158,-83007
125,73633.4,Front End Loader,7207,1455,716441,93832,572810,-41598
146,65093.08,Harrow,7208,47881,460352,-68091,683183,90177
111,80798.94,Straw Blower,7209,48638,820454,91142,393319,-90375
103,-40915.6,Four Wheel Drive Tractor,7210,-96179,735643,24537,333980,-64243
142,-48471.01,Plow,7211,-27480,741079,54841,951825,18924
100,87430.18,Compact Utility Tractor,7212,25216,177191,-27864,255458,-70442
109,23316.93,Digger,7213,-9930,990414,32437,669852,22917
144,-58082.04,Trowel,7214,52957,204716,-1004,656185,-24399
133,-19685.51,Drill Press,7215,46480,900598,-18583,548758,-4482
134,69119.62,Chop Saw,7216,19616,450286,-46516,391860,6925
123,-88285.13,Wagon,7217,-38140,584413,62768,815287,33591
106,21390.6,Cotton Picker Tractor,7218,-24818,928449,-73924,872996,11429
122,-43137.12,Back Hoe,7219,-84513,235569,-29952,961240,50526
143,-55483.87,Thresher,7220,82732,273254,-78188,545947,37045
131,95636.95,Grab-Hoe,7221,26615,650160,-69938,977738,30973
147,89665.52,Lawn Tractor,7222,-70566,748326,-37202,571860,-41497
121,76966.99,Loader,7223,76849,898350,53072,973003,-30153
113,10446.02,Slurry Tanker,7224,55126,363451,46612,843456,25789
130,-55836.79,Spade,7225,98542,556026,58857,202958,-34970
112,51157.34,Bale Spear,7226,-800,726399,40712,103596,99752
110,41206.51,Mulch Tiller,7227,-94679,538543,-71039,357736,-18652
138,19644.24,Bulb Planter,7228,-1114,412305,73870,131478,62093
120,-30122.48,Seed Drill,7229,-90976,588249,22406,193637,-96390
115,-13278.76,Backhoe,7230,27032,240993,-46199,124931,28528
141,-48230,Rake,7231,38190,819906,69564,713765,-87335
137,283.42,Seed Drill,7232,88035,727727,90739,214107,11256
108,-27052.87,Round Baler,7233,61187,349602,-54489,324332,-51380
116,37947.47,Square Baler,7234,-44552,426590,-17166,324343,-7297
126,93231.09,Fertilizer Spreader,7235,79463,555985,-52845,749997,82574
139,-45912.01,Pick Mattock,7236,-58088,395748,-36405,942113,58442
128,15107.94,Saw Mill,7237,-19285,877601,75387,236350,-76962
140,77686.52,Sickle,7238,7026,385026,-54736,762696,-13363
119,-73340.78,Wheelbarrow,7239,55034,142597,-48909,527332,-89720
135,72426.93,Backpack Sprayer,7240,-67379,250827,77209,254450,-9832
124,-83026.07,Lawnmower,7241,6112,360848,46728,626571,-56939
149,90481.56,Electric Lawnmower,7242,32820,409862,24032,509937,-97525
114,-35729.82,Grain Auger,7243,10060,951893,20849,394743,87002
101,33862.79,Utility Tractor,7244,77553,629137,-64803,209746,4992
105,2220.02,Cotton Stripper Tractor,7245,85863,106723,-16101,494381,-435
117,45698.53,Seeder,7246,68550,118037,-66393,519322,-89885
107,44000.07,Sugarcane Harvester,7247,-62426,965252,12914,559165,-60583
102,-91958.1,Row-Crop Tractor,7248,70023,167658,-27124,579119,2552
132,-28428.01,Work Bench,7249,-19247,473679,-81664,778587,41915
145,55999.8,Cultivator,7250,-76582,567076,-86624,750068,-63878
148,-54942.45,Rear Engine Lawnmower,7251,87820,174242,-55915,745725,-75212
136,37602.05,Irrigation Pump,7252,-59766,528366,-4340,946171,65728
104,-41922.35,Combine Tractor,7253,38256,318556,18997,927377,90579
129,66235.51,Planter,7254,72776,473254,-13572,646676,-94501
118,-36307.13,Pelican Bucket,7255,-54333,915562,17097,451326,-30716
127,98786.1,Chain Saw,7256,-64472,227907,-5692,868777,48659
125,70877.1,Front End Loader,7257,24974,495743,-32303,583900,54299
146,-99267.88,Harrow,7258,78104,541009,-44479,563963,36325
111,-41861.43,Straw Blower,7259,-69680,894171,37020,558091,313
103,-57002.48,Four Wheel Drive Tractor,7260,-88311,226750,15394,501174,51829
142,9384.3,Plow,7261,-76544,880765,-38755,712439,-52773
100,-89652.99,Compact Utility Tractor,7262,31518,841205,68567,283681,61774
109,50827.18,Digger,7263,72587,719679,-39277,355038,-49196
144,39478.85,Trowel,7264,98013,438918,-8666,617941,-30734
133,14218.06,Drill Press,7265,29724,153058,7983,824079,-21465
134,54908.13,Chop Saw,7266,-76285,459245,88317,169378,-47950
123,30652.35,Wagon,7267,95716,737208,-90726,844787,-79061
106,14317.2,Cotton Picker Tractor,7268,-51578,416142,41993,456052,1016
122,31947.09,Back Hoe,7269,26735,778121,-46779,371510,5554
143,-71644.42,Thresher,7270,58685,496026,-90391,780087,94272
131,-34229.52,Grab-Hoe,7271,-88168,653095,-26449,324154,-99225
147,-79823.71,Lawn Tractor,7272,31277,380926,80683,218034,-52326
121,-7518.61,Loader,7273,-13005,282664,-88228,611564,57666
113,38036.46,Slurry Tanker,7274,-28214,488474,88130,125341,-93105
130,-23214.06,Spade,7275,23491,439831,27007,871717,72027
112,70080.45,Bale Spear,7276,85971,853836,-34855,407279,-81310
110,88993.03,Mulch Tiller,7277,63686,176236,34255,978311,-20070
138,72730.22,Bulb Planter,7278,-48522,406959,43555,256718,62224
120,-53079.06,Seed Drill,7279,-9750,287115,-36091,659965,30990
115,-88819.72,Backhoe,7280,-73223,159334,-98604,721471,71565
141,-68602.3,Rake,7281,69926,416644,-11290,191468,85684
137,31261.84,Seed Drill,7282,-22382,842668,63316,959968,-91313
108,-32414.98,Round Baler,7283,61957,272804,53734,204696,85560
116,-69452.82,Square Baler,7284,-61621,291077,-34410,784872,-64738
126,-17369.96,Fertilizer Spreader,7285,47818,878364,-13792,862220,-6711
139,89740.23,Pick Mattock,7286,35493,656144,11689,872110,-45839
128,-37337.91,Saw Mill,7287,-7730,711064,-2093,302133,75418
140,43302.38,Sickle,7288,50861,757385,51255,435176,-72886
119,49379.01,Wheelbarrow,7289,-36590,906556,-92077,424931,36789
135,-72396.64,Backpack Sprayer,7290,-30979,882478,-36443,671640,-30288
124,51706.19,Lawnmower,7291,-80274,659591,-53342,528019,-81549
149,-30763.27,Electric Lawnmower,7292,90552,423326,-17624,937291,37518
114,5888.75,Grain Auger,7293,-23257,407853,31143,414897,-48955
101,14906.66,Utility Tractor,7294,27422,947331,-94507,561376,-6820
105,39954.06,Cotton Stripper Tractor,7295,-68388,413908,-43989,947639,44573
117,10513.18,Seeder,7296,-43751,809741,-5664,634592,-23811
107,-20683.83,Sugarcane Harvester,7297,8006,305162,15859,184502,87228
102,46805.98,Row-Crop Tractor,7298,67098,684603,-12786,622537,-51330
132,-73670.52,Work Bench,7299,53287,314395,-93903,606558,-10911
145,-64501.77,Cultivator,7300,-68169,546504,-19166,356291,-63331
148,28044.7,Rear Engine Lawnmower,7301,-41433,186167,-93022,601007,81760
136,-99358.39,Irrigation Pump,7302,-65387,810713,-24493,768720,-12077
104,-75436.24,Combine Tractor,7303,84044,865822,-36930,994427,-89909
129,-12893.35,Planter,7304,-17372,156212,89194,360666,95232
118,45186.43,Pelican Bucket,7305,-69350,778424,13967,913253,-28950
127,29530.79,Chain Saw,7306,11230,126888,43599,560997,-73210
125,-8108.02,Front End Loader,7307,55627,809783,-23291,904464,-56320
146,-37949.62,Harrow,7308,-7491,414132,-84040,599324,33655
111,-74329.91,Straw Blower,7309,35456,984716,-35910,854295,-20769
103,-28213.81,Four Wheel Drive Tractor,7310,-13708,694471,93664,633456,17305
142,12999.51,Plow,7311,58905,543225,-92183,154619,77819
100,564.32,Compact Utility Tractor,7312,-25330,283085,-21888,265182,32999
109,-4219.68,Digger,7313,-65658,671689,-706,757112,56167
144,-15732.45,Trowel,7314,-76704,705294,-55128,244315,-77456
133,80909.35,Drill Press,7315,69463,455641,57034,397295,38804
134,70634.03,Chop Saw,7316,17295,751605,-47821,945409,73844
123,-21280.04,Wagon,7317,-29534,600404,-67259,218334,43385
106,10340.97,Cotton Picker Tractor,7318,76087,420651,-5409,656890,76611
122,-10716.82,Back Hoe,7319,13794,753240,76254,163882,36876
143,-75443.71,Thresher,7320,82974,780141,48724,288067,83361
131,-49138.95,Grab-Hoe,7321,-38048,484917,-1470,699476,38374
147,-38584.12,Lawn Tractor,7322,-55725,768449,-68652,748568,50207
121,94919.29,Loader,7323,17255,173058,29786,379590,-74378
113,-61366.22,Slurry Tanker,7324,-37972,170559,27252,656804,43800
130,52817.94,Spade,7325,65080,153100,68112,654985,45548
112,-47479.19,Bale Spear,7326,64448,630108,57758,964076,-9816
110,-8217.84,Mulch Tiller,7327,-50260,594876,41391,769820,-41412
138,-63794.33,Bulb Planter,7328,-87836,847149,-73670,571038,-21204
120,76406.18,Seed Drill,7329,-25957,510892,53002,202117,-50306
115,47297.5,Backhoe,7330,84817,695828,43836,744837,36784
141,18153,Rake,7331,-83293,697453,5740,560119,-18149
137,-34224.88,Seed Drill,7332,-93613,121650,-12454,785485,76097
108,90051.85,Round Baler,7333,19671,609657,93334,189602,-25225
116,-1654.47,Square Baler,7334,7342,159844,-51229,622104,98517
126,41160.11,Fertilizer Spreader,7335,316,629229,-92491,448909,60164
139,-5787.74,Pick Mattock,7336,90481,844609,66221,735497,-47694
128,-85125.65,Saw Mill,7337,8320,948598,-86045,475626,47049
140,-46309.51,Sickle,7338,-91082,414436,19758,713139,-20176
119,17484.12,Wheelbarrow,7339,56536,499686,-3703,495471,62587
135,-61829.18,Backpack Sprayer,7340,47556,657994,26454,354123,-34719
124,29611.62,Lawnmower,7341,35485,224049,44914,852333,57519
149,83630.71,Electric Lawnmower,7342,-79352,608548,-1263,466417,-78674
114,38256.84,Grain Auger,7343,44071,861629,-53913,199616,-28964
101,-86613.38,Utility Tractor,7344,60473,586227,-22103,472210,24112
105,78085,Cotton Stripper Tractor,7345,-5202,503475,-36156,245890,46596
117,-45544.26,Seeder,7346,-37864,490499,588,759457,99787
107,-47419.51,Sugarcane Harvester,7347,-28451,442898,-25029,629186,52167
102,-5966.21,Row-Crop Tractor,7348,-41776,190220,-37732,581536,46633
132,20411.12,Work Bench,7349,-47430,418172,94601,113621,-29927
145,66808.03,Cultivator,7350,89373,371161,6064,276026,-58371
148,-17337.38,Rear Engine Lawnmower,7351,8437,649589,-94837,442528,81962
136,95456.44,Irrigation Pump,7352,-96746,224254,68721,469453,-52300
104,22770.09,Combine Tractor,7353,-9269,680646,16954,174101,24010
129,14159.42,Planter,7354,-61687,134472,-37445,126313,31357
118,-10689.06,Pelican Bucket,7355,-86068,235840,3871,987548,63469
127,-55317.49,Chain Saw,7356,-77233,602369,-77301,379423,-82994
125,72424.51,Front End Loader,7357,-17342,580735,64052,865999,-80312
146,81176.1,Harrow,7358,-80823,563315,90023,935643,-15560
111,-82706.81,Straw Blower,7359,-32257,126137,-62526,662278,62899
103,-42347.86,Four Wheel Drive Tractor,7360,53943,728487,85457,688543,-60735
142,52084.9,Plow,7361,77528,505011,85342,604856,77146
100,11926.75,Compact Utility Tractor,7362,92757,801922,-56195,646273,-94918
109,-10452.03,Digger,7363,-85072,407577,-30569,229952,-94808
144,94141.52,Trowel,7364,-98164,426979,-21643,596353,-31033
133,50958.22,Drill Press,7365,74955,444163,41964,976433,-7001
134,37786.87,Chop Saw,7366,-2924,105242,99683,678658,-16205
123,892.43,Wagon,7367,-86875,379440,-81757,828795,-84571
106,55153.08,Cotton Picker Tractor,7368,-39967,221329,39133,946987,-80798
122,58575.98,Back Hoe,7369,87029,570905,-84982,122016,93295
143,-71517.51,Thresher,7370,-44139,608143,74602,698612,-67241
131,90943.59,Grab-Hoe,7371,76798,649398,3920,530316,85120
147,-82275.07,Lawn Tractor,7372,36743,288253,-32854,842111,46802
121,-54872.78,Loader,7373,23571,358946,75796,883154,-68240
113,-1016.95,Slurry Tanker,7374,34782,294225,89187,834872,-98425
130,-25567.51,Spade,7375,-50941,348080,-824,657556,-94562
112,-13950.44,Bale Spear,7376,-32528,707591,69665,532394,-49921
110,13703.77,Mulch Tiller,7377,-61709,386225,-92118,204351,-6443
138,-35444.58,Bulb Planter,7378,-60167,832923,61127,801323,3235
120,50016.74,Seed Drill,7379,-49872,547185,-37290,243587,-65051
115,83109.08,Backhoe,7380,-25762,753004,4191,581541,-6894
141,-39025.73,Rake,7381,34387,411302,-34446,385975,95760
137,75066.85,Seed Drill,7382,-22247,278050,-63882,942964,-78004
108,-62237.51,Round Baler,7383,78196,484730,-7470,664398,-88993
116,936.62,Square Baler,7384,-56046,754764,91787,312102,84775
126,50329.23,Fertilizer Spreader,7385,-73771,711830,62371,567989,-61711
139,34183.64,Pick Mattock,7386,56293,786802,57070,561133,-70330
128,7118.08,Saw Mill,7387,-19159,576791,-74514,770664,-6949
140,-43859.49,Sickle,7388,-44427,289606,22715,495822,29732
119,69569.78,Wheelbarrow,7389,88601,143846,-8380,849160,81560
135,-80294.89,Backpack Sprayer,7390,-76487,648418,99517,335620,12027
124,23042.55,Lawnmower,7391,66354,330471,33695,387136,-11961
149,68567.45,Electric Lawnmower,7392,47455,811678,-16104,109996,-70544
114,11170.29,Grain Auger,7393,-73581,114277,-14505,817923,28962
101,26540.72,Utility Tractor,7394,45441,554485,30306,913520,66302
105,9238.72,Cotton Stripper Tractor,7395,-69303,920821,28094,847991,-45430
117,-4520.12,Seeder,7396,-77846,989452,-45492,312299,66354
107,-38374.61,Sugarcane Harvester,7397,-4587,564327,43153,236702,-99707
102,-7488.71,Row-Crop Tractor,7398,-22188,468656,-3675,325917,17809
132,-16352.55,Work Bench,7399,14082,381578,-5902,513385,-68217
