ALTMT,ALTMT-1ST-ACCTG-PRD,ALTMT-2ND-ACCTG-PRD,ALTMT-3RD-ACCTG-PRD,ALTMT-4TH-ACCTG-PRD
16425.65,5465.59,-50756.96,66988.04,33223.18
82611.02,74702.24,66569.2,-90935.81,-95840.24
3141.88,-67283.64,-422.69,53148.46,-98556.55
63668.34,35253.05,-59505.64,77712.92,93740.14
-81505.51,-12026.24,69644.03,18484.07,16840.44
48170.89,-79311.39,10037.52,48698.02,95495.89
-67386.81,2535.99,-82347.82,46039.94,-3713.49
-21173.89,92444.1,-77228.7,94014.24,6053.32
-20395.84,-67751.86,5479,-92324.56,-57522.92
-8276.79,-85905.12,26398.82,-25973.76,-36210.27
-87955.63,-94969.14,4145.84,-41869.02,7860.43
-49134.3,89879.26,75771.9,-48327.67,-95852.65
-80313.77,-66671.86,-58908,-32086.82,-54096.38
-20984.27,51094.52,95614.01,-57975.83,5339.44
-93083.6,-49299.89,3869.8,60922.9,-68869.63
-82196.59,94541.19,-6842.68,-71067.79,65904.65
59227.86,67095.9,98096.03,55898.43,-91083.97
19501.18,4628.1,-25483.99,21316.5,33210.13
33969.44,-25041.59,16373.37,-50003.29,-7221.32
-67642.05,-75751.57,91136.85,-31430.82,68629.16
76997.5,-52722.57,-22759.08,8585.06,83111.31
26172.52,-47795.73,1609.29,-65750.57,61329.31
-98364.82,-80685.42,-13833.07,99879.27,93128.94
53083.72,-51008.23,-15630.65,-93508.77,58482.62
56051.94,62171.08,-10514.84,69732.09,13540.32
9002.47,-7559.13,-16924.35,-59835.13,-85500.32
-69083.8,-81226.76,-95689.34,-99118.75,95241.99
-74185.97,-63589.57,-26507.25,98955.22,60274.65
-89457.75,-1658.37,57594.29,-69177.93,14382.77
-21846.15,45819.79,-22972.96,-17284.67,-53459.07
-15822.73,-97165.09,31319.89,62091.92,82199.24
19544.39,34499.1,-45495.48,-26864.3,-94587.91
58239.59,23307.71,97846.22,71331.85,24839.87
-92448.59,67253.12,-67510.6,82722.01,-54159.42
54562.8,-78583.63,65985.74,-79439.06,-82296.65
-95575.65,-56978.71,33343.82,-67656.04,2036.17
-45697.28,-62547.36,57917.93,5375.19,99712.54
-65872.43,-54309.65,90560.57,-8829.85,-83167.67
80150.67,24612.86,9695.25,-40430.99,-40376.2
-71797.44,80401.1,34993.22,-30573.99,7645.36
44625.62,62274.97,9579.03,-8837.69,-23081.78
-57703.26,-34559.47,75877.75,-57105.45,-5839.83
-81229.64,64717.68,-13080.64,-70838.53,-13579.63
-47906.07,-17682.25,73580.05,30929.73,-87762.48
-17583.14,-32526.5,55613.81,50045.39,61376.08
-3546.78,23192.52,82547.74,-52791.78,70519.3
-65195.66,37841.05,43815.2,48528.26,41080.34
53156.65,29422.56,24732.87,45172.6,-57967.51
67454.19,-97431.46,30719.4,3964.92,-72018.34
17087.01,52540.45,64206.17,97338.56,-46277.76
-97407.91,-16192.36,-48403.23,-48321.05,-91082.2
-43309.16,11483.06,9328.26,-86873.04,1229.62
98890.5,31496.61,-55168.93,-54973.59,-91541.26
-104.46,-34907.23,-60063.75,-17219.48,-54688.79
27905.92,-49468.95,-64599.83,641.67,33469.63
-16788.39,-90831.4,95266.88,16833.6,74168.02
46394.05,55325.82,34147.32,-47044.05,17620.76
-18843.89,-89728.32,-23811.01,-9887.41,66014.5
6133.48,-16624.71,-6822.15,-17496.59,-5768.57
-79610.16,-59419.2,75588.64,-19641.28,52050.31
15108.72,-42610.07,8819.84,42252.54,-70066.74
52536.59,-96443.6,75791.83,-60561.98,16970.72
-61938.46,-66370.06,19223.22,-76554.97,-81557.84
95411.2,-6874.98,-27632.85,-64305.53,-96209.73
61135.68,80330.12,56248.35,-9020.64,-43652.84
-20802.75,-9022.46,-24076.4,-79607.17,-89439.15
32118.89,70220.08,-27565.42,17284.13,5142.78
-20932.12,-23286.41,49583.95,93605.2,45909.06
-27169.47,-83643.31,6683.94,55704.44,20225.04
54585.04,-26593.04,28693.86,-28261.64,85031.97
22519.57,-96768.76,89393.3,31342.32,77757.5
86378.11,82212.86,-99714.83,-81291.33,-68253.79
67929.35,48262.82,18956.88,62335.7,21811.88
-53271.08,61079.37,-98952.94,-28183.96,-95131.9
-50262.24,86851.56,96160.44,23149.41,-58771.91
-71282.67,48654.09,65586.91,-5608.46,-75260.54
-59246.12,31896.9,18439.53,84254.11,-5581.11
83137.06,-77383.35,-92323.03,-48113.39,82414.93
-24432.93,-96766.43,29980.86,-79202.65,22800.7
42915.61,-65894.84,64044.37,61904.25,-9429.83
-64592.29,-38055.97,-75867.22,-89215.94,54068.47
31977.82,-92268.91,22327.68,-890.86,-91396.77
67750.01,-80461.14,-27093.49,9453.47,-711.46
-72737.02,74604.88,-9864.74,-72260.84,26126.03
-45829.04,-91055.62,13241.85,66938.78,-19541.89
-50670.8,1071.9,-32275.66,49586.61,-25080.94
-52534.29,-7756.04,45758.36,-24814.26,-34225.53
70855.63,14124.3,-99764.79,13481.3,50545.68
-36353.8,-98174.67,9063.1,-69618.39,5322.79
-11115.53,-55654.79,2305.31,-33408.23,11722.36
85357.2,-43417.07,15197.99,-90565.37,-48234.84
-17715.02,62171.59,97117.25,-57632.41,58084.04
-35087.89,-14658.86,63709.63,-46741.62,32081.3
97188.48,-2831.96,29720.74,83520.21,99220.44
-6046.74,40855.18,59042.32,76468.96,51283.95
38583.74,-41143.61,40493.79,90600.34,-23021.82
-52296.9,-80165.25,-18268.2,25140.81,840.95
-92221.68,48504.75,-11045.64,-98588.83,86302.44
99205.83,-35888.33,-16046.36,14974.13,-97622.18
-98649.52,-40916.55,40724.89,65528.1,27091.3
12605.05,6514.02,93401.91,-79502.84,-91639.46
-56526.77,-12116.3,56541.3,-32625.73,22086.34
-6159.23,33328.2,95272.55,-83473.83,50965.31
-46933.06,-40853.24,56395.39,-54468.71,99574.59
22660.87,24542.69,57821.34,88574.05,-23490.15
30788.52,7794.39,16321.53,76851.81,6286.54
62723.06,-32711.28,-21473.02,-84375.61,-3913.53
28235.2,-10519.61,48671.95,-96941.84,60023.63
-70313.04,-43279.74,66234.74,-45822.86,14931.25
-47866.67,-43779.06,-3454.37,74355.46,-61150.27
7403.11,91296.22,-53352.38,-33653.03,11865.02
-66150.66,20643.85,17682.11,-26879.66,88046.78
71389.07,89148.75,-56261.68,-30715.92,-7087.25
62348,32196.76,63518.06,37390.62,-14212.64
-89189.37,-98353.89,59235,-60562.94,-63892.4
-50525.94,8002.87,7731.79,83499.26,39648.66
-41458.16,75065.91,28534.46,63601.66,50817.97
-18204.93,20760.01,-92035.76,-68039.82,-64951.5
62831.27,79139.11,-8621.63,-74962.53,-92086.49
-72511.76,92055.01,60086.83,-62236.78,39839.76
-88155.17,80152.94,21782.41,49743.41,55340.63
-48714.5,95933.14,16316.71,21289.18,-67077.49
-27122.72,83559.31,31339.75,56687.19,51545.36
-24655.39,-85623.06,-68666.85,40561.45,-13850.11
-10359.38,8282.21,-64234.71,-71600.57,-30010
-69435.88,-14619.6,-48451.82,-25168.87,27749.94
-9943.42,-77339.84,69368.56,-78750.1,86800.79
78870.39,91102.28,-60104.3,40438.97,76636.49
45698.1,-52831.55,4465.76,-64215.39,-72113.42
22433.87,-10975.23,58498.03,-13507.53,47761.04
-47124.14,-39613.06,-64546.09,60195.14,70040.88
-71742.89,-29645.68,74435.25,32.98,31860.69
96877.06,85525.31,83535.56,-78145.88,-7198.97
94654.11,-38490.05,8515.33,14271.54,-80455.27
-45690.13,82256.58,-50025.28,65551.73,-40646.87
-72205.14,94567.75,-63676.02,49700.39,-71611.62
16703.31,70550.1,42139.78,8763.15,-76119.5
93992.22,-29052.98,33066.02,46275.17,-22080.63
-54963.94,17198.71,77404.73,-29236.32,-30998.49
29009.26,31329.35,64593.05,98564.35,-9028.71
76735.21,-79783.31,95946.92,22717.27,3052.05
53657.03,-58426.05,-10264.87,-41881.74,-99773.86
-16726.31,-85020.47,55019.29,11597.74,-50050.32
56290.8,-41080.5,64599.74,1931.55,5525.05
-43080.9,-90046.23,-46758.39,89035.9,-85637.52
-65059.59,68223.77,17853.92,-39849.38,-90547.72
42345.05,-63947.06,-14254.8,-19819.79,-47876.67
-82523.85,76084.91,-30755.96,-86674.94,-35049.04
53786.4,44220.07,-14458.69,-55563.93,-57551.66
78139.15,15600.15,41682.64,520.51,-41385.43
38788.26,7894.15,90467.22,-30047.73,-56622.14
77103.98,64511.03,-5807.26,92056.12,-31951.02
-55642.96,-7429.14,-14041.09,60738.62,-84289.48
-5932.79,-90769,-23318.04,88844.24,23053.11
51452.23,32916.17,-44989.23,-11498.7,-38740.35
32425.07,-25858.36,8598.21,-93833.01,96174.27
-99400.27,15282.86,97343.44,90159.89,15141.48
-79237.01,-37170.66,68288.72,-65421.41,-6949.76
78796.44,-84417.48,50557.62,71807.26,61726.57
90139.19,16382.67,-15887.55,26721.22,-20071.5
-57341.9,-60017.58,19246.98,93932.51,70246.65
-96062.45,-70592.24,94543.74,-32702.49,26227.32
-4483.24,-11340.05,-67087.66,91585.83,-41968.43
-50578.89,10681.81,-87623.72,31732.42,69558.53
-13630.83,37392.51,8918.94,-790.27,-87942.77
65959.12,11149.98,-75855.09,-61940.42,46227.82
32336.82,15444.02,11185.84,-86782.77,5223.12
28164.79,-69852.24,-44598.1,-16867.84,-84945.9
-75087.93,25292.1,93458.7,-68733.16,9267.34
-3510.15,-34712.49,22689.58,-16332.77,-30071.42
-76836.37,36461.5,55245.47,-31371.68,-88565.19
-55871.18,-85311.28,59541.3,-55046.92,-49548.8
46221.55,22590.21,88501.69,50258.96,-12584.01
-73079.28,86613.87,16925.01,-1409.56,83271.89
23060.78,31361.3,43965.29,10101.62,-93904.98
-33298.33,86448.27,44534.5,-29085.3,-13887.91
79624.92,85967.75,-34141.66,75039.44,7251.34
-79397.23,90453.94,-15013.53,62160.33,-91574.73
-83673.92,-35704.11,38067.14,2665.51,-7733.59
60459.43,27730.2,91377.55,52039.94,-92840.11
-27092.54,-13006.54,-34230.87,-95260.09,84952.42
65667.42,72404.17,-85593.91,-34343.16,-56112.82
36643.21,95918.76,-14450.58,69143.14,59784.9
-71019.34,-77030.04,94583.31,40757.5,63623.66
82630.72,-89086.04,-45260.09,80186.87,72362.32
-25523.03,44863.28,15907.24,19392.97,-55022.88
27013.6,38602.84,-37380.31,9046.01,-51122.53
-7648.19,99846.37,-83964.54,74688.93,37027.71
78766.93,87177.02,66209.4,-54262.44,-31974.44
42636.65,47993.94,27100.12,20217.86,22794.17
10310.49,-20552.75,5672.25,4065.99,-80743.84
-24771.55,36610.41,-8433.01,-46826,-78106.08
-36455.63,-96112.11,-85684.76,6939.66,-92830.46
65895.86,98362.02,-18340.5,-25097.06,21320.54
83382.33,-46782.07,83231.67,26519.73,77471.73
17952.98,40113.29,-60064.29,-11794.55,42460.99
60161.98,99844.44,22595.56,89190.77,-64420.42
-11781.68,24838.72,4249.6,-57956.52,31887.41
-35734.14,47326.92,-69219.68,72052.09,-82612.71
-80131.21,44751.35,21488.84,-20650.39,-91663.61
78894.83,97877.33,17879.33,83902.96,-87993.11
11977.54,88692,23631.9,25466.82,-34143.57
-46846.63,94962.66,-71187.49,-13932.62,96048.19
5208.34,-98150.18,-31524.16,26637.89,-95108.79
70757.55,19020.62,91085.92,76240.02,53178.99
-1834.04,-88490.95,-50917.58,97889.23,-42357.81
-47903.5,17840.03,14950.74,-10750.62,-22889.5
-91770.81,-59478.61,49496.86,-3416.63,21573.75
29632.12,-26285.14,24866.31,-48965.83,-71963.77
60781.63,-37455.93,-71915.21,-67650.95,-49457.5
-69161.93,54198.41,-79032.88,-8459.65,51531.95
-20265.72,-42585.67,-29559.06,-86981.93,-60081.25
91850.13,87730.26,-70855.58,30958.73,-93030.23
-88651.49,-39237.51,75020.68,-68629.18,71689.42
-21887.41,45494.69,66496.19,93533.42,-52597.46
55091.75,-87270.84,93103.1,-41339.02,-5597.68
-41223.87,1791.74,-78356.29,91765.5,-66134.3
-52524.85,-65378.05,-86965.57,67790.68,23246.41
-73221.33,72115.27,-45142.69,-49977.16,94547.76
-10490.87,66190.48,40826.57,-30772.87,-94642.48
-3410.42,-55949.02,40522.63,-19544.62,-84450.65
-86816.5,-37060.1,-63662.56,4353.2,-89310.83
80992.86,-93753.29,-97617.45,-65514.46,50093.76
51958.93,10804.39,-17273.71,98575.2,-1835.73
5922.51,-44877.41,-18975.62,22665.53,30858.77
-38728.53,18693.59,-46428.59,61493.78,30899.56
53188.79,-51881.84,-27871.23,-53266.26,43344.68
599.91,-93234,-67308.68,-38522.73,89408.7
-34492.4,4242.1,10130.69,17098.49,-55318.42
-59110.68,50359.45,-17157.46,-21802.69,-84709.86
64031.88,67005.62,64658.35,-67206.98,40098.98
18097.78,93358.45,20811.18,-30832.49,-75036
55037.09,17073.49,-82815.16,29049.57,47736.74
-37646.55,82836.9,-44913.89,64941.42,17224.98
60910.32,16495.56,-42817.17,7049.72,64070.3
-38519.27,79849.32,-87439.51,8987.73,54630.01
20565.83,71834.74,27919.67,8183.72,-48576.17
60976.65,43356.28,81543.43,32992.26,-78550.42
-55686.86,-35676.34,-57371.64,10646.37,-55273.55
64828.54,-99615.32,-69163.5,37848.01,33216.44
-88896.2,-28081.9,23209.86,-65104.98,73660.16
79064.98,-84398.5,23449.23,-67106.75,-29094.05
-9477.43,62823.47,-28025.79,19741.69,-85002.6
-64700.63,38037.95,57766.12,90566.47,81744.19
22604.07,22854.95,-60904.64,-8270.24,-3600.82
-15902.44,-56984.61,66979.92,18144.17,64280.19
-64157.63,13994.62,-56922.99,-70361.97,-1187.27
-59633.37,-29479.77,-25613.44,14011.89,-64182.73
-56070.53,-33261.26,13265.68,-37714.84,41435.53
52591.17,-45074.9,-58040.04,-89882.85,60169.96
-79325.47,22218.9,-57784.33,-71155.39,-19747.06
-4102.98,-45415.64,93828.17,68481.08,-95670.92
20796.14,39378.79,-48058.27,28411.99,-47902.8
66799.48,55616.61,-40825.26,79725.26,81371.31
-63314.93,-983.91,78490.05,-64739.53,-94177.15
-97894.31,82099.08,-43438.01,2910.37,36807.12
-365.14,75937.35,54864.76,27743.95,-82710.23
-99367.41,-28717.81,40990.31,20120.26,-89694.68
81044.01,-89856.73,21783.97,48251.37,-40235.09
86683.28,161.83,63289.87,-69201.16,31196.4
3733.98,-59449.14,-83886.8,19692.13,11818.63
-74654.2,-15540.83,-87329.11,-20610.42,-76755.96
25372.94,16181.54,11040.34,10285.81,98114.47
-97589.87,-91535.57,30292.62,-75123.91,19082.65
-90583.75,44362.54,14163.01,-17611.68,-99798.28
88257.67,55319.14,-58819.11,83125.73,75427.42
59920.19,96121.17,71917.88,-69679.47,21747.87
82269.78,-82533.07,-18610.83,26323.66,-75437.88
-83289.81,-19224.07,-22348.54,34787.47,-47817.92
94380.87,-64525.79,81107.57,28603.99,92158.05
-2976.5,-90840.82,-46072.39,-52136.52,-72077.64
80050.59,11252.33,-54288.69,-72431.55,-67297.97
66673.68,72448.36,-40939.83,27591.23,42577.14
96434.79,27022.2,-87039.07,41439.14,26783.84
62176.47,39509.48,-58209.28,-70094.02,-2666
62422.7,87750.3,-71460.29,113,-46426.75
9437.35,44226.49,-62813.05,51572.12,94401.75
-66878.77,-49210.11,99166.39,-80546.92,-84001.74
-91800.09,-78432.18,-46034.58,-1500.8,-53173.05
3339.06,-23954.02,56005.18,6446.79,-75427.69
6987.71,-36462.78,26752.83,-14418.48,46005.21
-76927.73,-89775.04,27092.66,26938.93,-73197.65
8060.91,33843.56,-98370.49,89658.4,90722.5
-60517.89,-8641.81,63373.77,-14255.14,91392.14
-82923.25,557.79,80672.76,25575.76,89187.54
1406.33,-90814.5,-8675.57,-72718.97,42016.19
63402.75,78693.12,-46268.74,-89513.49,1986.93
35132.98,-85491.95,-94167.2,-9307.89,-16209.25
-26748.23,-68665.77,54567.52,-72777.85,-44875.07
60665.22,72155.41,69248.37,90294.41,-90953.5
-5414.8,-40773.94,-70436.71,-35486.27,7654.13
-99878.9,-67624.09,46585.12,-67561.02,-77257.9
34179.25,-4927.57,73063.32,77576.68,86367.39
92369.53,-22327.9,-42057.76,4583.07,-14125.66
-10384.07,-16853.32,-20805.74,42684.24,58301.3
98482.79,18193.33,92266.6,-94404.99,-20329.83
22769.51,84975.59,-78137.36,-77835.01,50267.31
34569.8,94278.85,57608.98,-28633.77,-93679.19
91698.73,18129.42,-70613.07,-88546.25,-83881.84
47958.89,44904.21,-59166.3,-54160.59,-45809.13
-97967.77,24270.34,4038.02,-57764.82,36873.12
-98081.3,-76748.98,29189.41,-54938.37,-22672.51
54070.01,-7555.22,-9946.42,59210.11,-30179.77
61268.21,-53547.91,81821.27,-75869.38,9999.2
-83922.57,-75817.05,46052.46,20860.39,-5569.81
-33508.38,56771.48,-75205.89,29317.85,92469.22
-88818.41,-86435.01,-25094.01,-78885.14,48948.16
-21811.46,6420.85,85783.71,-38608.47,-42718.5
-85777.02,50654.82,18628.41,79837.23,-30631.5
-88234.62,76068.34,17691.2,2886.31,13433.45
19168.35,67170.26,24246.8,141.79,-68630.9
-3906.91,-27306.61,-82617.16,1098.88,49747.67
-2546.08,-98547.56,23014.19,19110.47,-13493.9
98267.8,87610.38,-69828.71,-33031.84,10976.05
-98469.31,-43153.42,-2089.81,-30032.37,-70193.71
62232.1,41175.95,-19520.79,14386.1,98622.12
92072.52,-19695.67,7390.5,-84961.01,69397.51
60778.46,-17662.86,-2473.41,63024.58,4368.18
-57255.19,-68393.72,55689.6,-41023.7,3508.52
-747.51,85385.02,-71600.64,40047.13,-77812.84
-80021.95,37607.05,-74836.07,55811.84,-34118
-20360.75,-30796.71,43040.15,-1222.69,72910.05
-68321.88,-37369.26,74016.85,-28383,-21532.2
3144.21,98351.58,74199.22,9685.51,-90998.06
36705.15,70651.18,15736.59,24773.68,-40572.06
90047.52,-1884.06,21751,-93750.37,-78148.6
-82610.59,16966.52,43405.71,-41102,-44349.45
-92195.73,11451.51,18039.85,-44252.05,29953.08
-18992.79,-37488.16,35468.63,-41036.55,-89589.74
-59078.87,-61557.34,75459.13,96623.6,58377.82
-17540.74,27763.43,39204.02,22305.71,75624.37
-83089.99,-50850.04,-91969.51,-51969.97,-65750.65
22909.27,9695.16,-34786.52,91967.55,-37775.65
57012.63,52104.86,15988.54,11339.34,-54897.12
26092.39,-66329.08,50943.82,33195.6,-89370.4
97421.09,44014.62,40284.51,-27340.22,2504.17
-46668.31,55544.94,-93861.48,60217.79,-50769.62
-44707.25,-61900.68,-50039.22,-15708,-699.89
-78036.73,3346.34,21967.94,42152.18,-47290.38
-74479.54,95223.87,16961.51,22303.09,-61110.34
54085.69,88492.86,-20487.54,87302.88,85908.37
88175.32,5100.62,63609.33,97530.82,17548.11
-46544.16,-93173.21,24482.93,47458.37,-93909.13
