FY,ENTY-CDE,BLK-NBR-5,SBSDRY-ACCT-HASH-TTL,ACCT-NBRS-HASH-TTL,MINOR-CDE-HASH-TTL,DR-AMT-INDIV-GL-ACCTS,CR-AMT-INDIV-GL-ACCTS,USER-INITS
41,70,98378,5989,1436,5487,976.34,26549.68,VGV
82,67,68814,42,71,90774,5693.61,-3231.3,GEE
82,64,87748,-55,785668,3533,69.25,8103.47,UMN
62,27,12744,82804,66,21521,69155.82,6740.51,HHL
41,79,36297,2607,-388104,25,8737.25,247.77,IKS
82,77,37806,5166,-738,82186,-38.9,-82900.79,SFS
62,30,39821,-3178,24624,682,806.9,-64370.21,CEE
21,36,56180,-1696,45,814,67507.74,465.84,OOO
41,86,70402,804,29,-7531,10.83,10805.52,NXT
41,87,18121,89,59749,-8404,-65914.63,-8040.32,YPE
62,34,71812,10993,355,-50857,3357.88,985.88,NCR
62,37,45621,9211,-536,82,95731.74,84.49,QUO
82,89,4128,62,671,48,-15.27,1781.19,HXN
21,52,21298,36,-372,28,60119.92,18679.16,LTW
62,48,75446,44798,949522,562,73.68,85.99,ADF
21,56,19147,50036,56,-8973,610.83,1867.83,RUZ
42,6,7358,44162,26,6466,714.19,1748.85,LKV
83,5,66987,748,57008,421,90286.84,6501.99,TVR
21,66,6541,-552,454,521,302.55,92.52,LPT
42,15,7742,19,-99184,-8060,91249.65,2318.81,ASA
83,12,46188,51161,-14,51,15.58,72508.21,PJZ
42,16,53400,215,-576,44,760.95,1827.83,JRN
21,71,23064,-2292,9997,-35,884.64,85.39,JKJ
42,21,46967,-332,7652,-53,7294.81,94.27,BSY
62,70,68296,6760,942,500,-733.38,-16228.2,GSG
42,24,95548,971,7590,313,47090.56,206.29,ZHL
21,81,73478,98,83704,-36540,-492.14,-32.68,VYD
62,78,42337,43670,-3494,-63248,-7941.23,3195.94,XRM
21,86,14498,-49360,649,-40,3399.29,2721.11,QOU
83,32,10910,609,-292704,485,819.56,8814.48,NWT
83,35,17025,3740,789098,7763,65.78,69.27,WZE
21,91,87731,880,437453,95056,12.82,687.65,ZFW
62,89,91751,-88538,5736,592,5819.5,75.57,CUN
42,43,93302,970,395,-68836,94905.21,976.74,NQG
22,2,83622,1602,11449,-8779,-9663.62,-522.15,GLR
83,47,5025,162,-56,580,85.5,-6370.99,CMG
62,99,2645,3601,-845591,654,2721.6,-555.66,JIF
61,37,45222,2970,912211,75,-915.42,-989.25,GMY
22,9,12444,27,-323,69,-327.96,65628.78,TRX
42,59,7308,-43,85,6001,153.95,5813.44,QSY
42,61,99789,-626,99,-34,49402.46,14239.1,OJX
63,12,72595,334,836924,74,17246.35,-81620.18,UZB
22,16,52523,33008,-964287,9081,87715.2,88003.3,SNX
63,14,36219,64,4972,49228,95.11,-4478.2,SQC
42,67,36585,11862,972661,6405,-364.29,-37007.1,EXC
83,66,23928,32,9827,67,-18.26,969.4,FSY
63,19,788,-3480,100757,3777,-944.19,89.76,KVT
83,67,27178,-13,12125,-11,3618.94,51097.1,LOR
22,25,36857,42,1868,380,912.6,-45656.4,TNP
63,25,41849,71351,18,-344,2806.7,11136.4,OFE
63,26,12380,29,2632,395,14569.3,37.35,MAD
42,78,14045,558,13871,774,-781,-87413.53,HRI
22,37,74649,893,47,1100,-22.46,529.87,XGM
42,85,63086,588,811274,-9645,175.51,7071.67,WBN
42,91,86192,173,88301,88,-588.15,-33370.87,YXZ
83,91,88303,414,11782,-3268,2356.66,1532.3,NYP
83,93,16248,24013,-68,299,60.43,-10911.31,WMG
22,50,27285,-4901,72,-6976,-643.23,-67.39,VLP
63,52,60181,887,1503,-43093,4944.47,69476.24,QTM
63,55,43140,571,112,51,868.45,75.15,NIN
43,8,73719,-1387,17890,-76,89.32,71024.99,EAX
84,5,51134,6583,-29011,257,5107.57,74371.18,ZHB
63,63,89185,595,822,-19,179.2,84.5,WYB
63,64,18023,3448,5097,22,44.96,-34820.14,NPH
63,73,16619,5398,18706,-5383,34103.97,450.23,UBY
63,75,73030,-41584,-9559,-55,80.15,-8079.58,IWE
63,79,66244,16230,3467,5832,992.62,-22.51,DTZ
63,82,24969,-388,64429,-57774,74.41,9250.8,EEQ
22,88,4736,-39,-151,-1632,-46.76,9306.67,GTQ
22,91,75336,61243,8101,-77,-67324.72,461.5,UUX
84,36,54417,371,943051,78,-45.73,-688.58,WEY
84,38,91833,95,-349,79,-5004.8,10.22,CRZ
22,94,86315,-316,27,-7423,32.55,96522.5,PUD
43,45,77771,-62,-78,-82,-93865.48,18.82,NAB
84,43,24372,826,9767,50,69703.6,45.22,WPD
43,52,71863,-945,6570,-817,-668.28,71495.93,CUV
23,7,33246,5011,-59,58084,-53528.43,45.26,VBZ
84,54,96792,56522,458,2903,93.5,37.53,OEX
43,59,79313,586,285195,82963,355.43,98305.57,IHN
84,55,23781,70,386084,21791,422.25,704.3,VLN
64,9,44795,-40,-531,581,70.88,728.72,UGA
64,10,73764,466,-35093,82,49312.3,94.16,TNI
23,15,89537,34,732758,257,118.81,5360.94,DRM
64,12,96723,65352,32,76,-84.66,202.3,KMH
23,17,96350,653,64274,39973,652.39,85.68,DGN
64,14,55236,81067,376746,83314,926.77,66.83,YME
84,63,4918,3357,830,8881,3878.48,4873.13,RXB
43,68,34828,97522,-102464,9615,7525.79,74316.81,QIK
64,17,68209,838,-90,48333,4966.59,40.85,FSH
64,19,34060,-105,62054,5999,443.59,351.24,ROQ
23,26,18549,-80162,77,73,25048.44,269.1,JKP
43,79,29314,762,407,98352,-31688.24,421.4,ELZ
23,35,15270,854,694,-693,409.94,49214.94,ADJ
23,36,35754,-5793,96623,95,-182.56,73.64,GPS
84,97,27890,-99,297,-93,323.61,162.93,CLH
84,98,35617,9277,-3844,1325,-8022.36,940.18,KDR
23,58,39835,38,9008,24,-253.43,14445.85,FOU
64,58,80530,291,725364,2740,84.13,82186.4,SOD
85,7,16801,81,312,-4542,-35.67,1074.3,HHD
23,64,62013,278,96203,8611,820.27,93519.86,KMH
44,16,60822,93,80719,83078,900.62,27264.25,DRF
64,64,61602,-31747,575,733,49.56,730.98,ZOT
64,72,70664,-58,-67,8302,74649.14,-38165.38,JYF
85,22,55232,-39,190,-450,69788.83,293.67,CUA
85,24,40584,310,-58,5419,73.96,-36510.74,ZTZ
44,29,54978,-83,-69,-48325,195.45,33686.43,RDO
85,26,79529,-8746,653673,71009,-531.52,75.49,XEL
85,28,50146,11329,46,1382,9596.95,-55732.23,YTV
23,85,3162,-792,-83,-40691,-981.11,72867.89,HXD
85,31,89803,53,74842,1379,520.6,-52.8,UYA
23,88,58421,699,574,722,74618.4,9022.14,FMV
44,37,11247,823,-72,-892,69551.2,68673.34,HHX
64,90,850,843,5149,-6568,736.2,7296.78,KQJ
23,99,27847,76,912654,-2633,21.73,73.54,CPK
85,43,57009,-92,6209,-18,23.86,75748.1,ZDP
44,53,12407,66367,3707,8444,-230.24,9482.4,HIK
65,2,70526,21770,2416,8974,61417.53,79195.87,VDT
24,8,51504,-545,441518,71801,-2441.88,-54724.4,EAD
44,59,25274,18421,44,71672,-5651.47,-91134.73,WQX
65,8,14720,41,354,95,423.23,-4270.41,PDT
85,58,87668,921,-977,53885,4745.17,900.98,ALU
65,11,31004,55,48155,-76771,76.88,340.19,TEV
24,17,1579,20,-364,10,1500,-99043.91,ZCE
85,62,20590,57,-73,93541,-24899.6,-274.89,DHU
65,15,55624,-67,874360,49747,461.53,39.2,LYG
85,64,89853,6725,51,95034,145.13,932.4,IOD
24,19,53922,76,713657,24,760.5,7771.83,XHW
24,29,82,658,263,-6561,252.37,665.23,LFZ
85,76,33163,93246,37,48119,68836.39,180.15,XKD
85,88,60257,51,411352,51,344.1,559.11,SNK
65,41,68963,34670,30404,5212,40976.14,326.85,RWR
24,46,63190,507,8146,84992,48331.23,42361.65,GSK
85,89,48895,-7027,-645890,62517,-451.78,25.72,JYL
85,93,11919,9545,8067,-46585,-48.23,-11061,UVR
24,53,42968,70,570622,461,28.24,530.41,XGG
85,97,82614,440,5428,46958,90368.66,75556.3,ZSK
45,4,35381,-51,243,71,47735.6,-2828.7,XPC
86,0,65578,-71108,63,2776,2648.58,975.6,UVB
65,58,78270,-9877,6422,-78601,66.38,-3188.3,TXG
45,18,59297,3251,81,-2006,45.86,742.2,LAH
65,70,82245,8535,162,-45,90438.66,37.34,HMN
86,19,82645,3676,363817,597,99390.27,-31420.14,EWO
45,25,49421,-57,31,790,57019.56,83.99,NDI
45,26,50903,99,88931,919,5837.9,65156.54,AED
45,29,46819,-425,35761,682,-64044.72,76971.37,GZQ
24,86,84389,-73,879008,97,-16785.24,90.76,ZMV
65,83,67868,-27,-7704,76885,65.47,624.82,GBG
86,32,93390,964,677124,915,-23.41,86730.27,FSS
24,87,60838,91732,535943,-63548,-18345.83,-52651.3,GZR
86,34,37197,31,8957,-588,55.37,-8779.56,IAK
24,91,70149,6513,3801,92949,1909.75,8216.3,LQB
65,84,84876,577,35691,-9025,76.12,-35.59,NKB
86,38,17889,64,66,-6756,5462.3,99137.64,JWU
66,0,89258,5306,446162,672,-84.83,49.34,XYQ
45,53,80927,362,2797,12004,5498.12,198.43,BUC
86,50,16736,4048,4873,91,-85.28,165.34,WXH
66,7,30773,453,4829,83764,741.27,-3094.63,TRX
25,24,33728,-8728,764,-71,17559.83,745.88,EAH
25,25,62288,990,2202,385,75.19,-5612.8,MCU
86,72,64474,55,-3181,-2576,87.63,-8210.66,RJD
86,73,39981,19,-81,858,80.94,194.36,THX
45,79,54856,-53,85652,88,51.53,7324,ACV
86,76,88062,-4559,727,250,-84012.19,984.6,HFC
66,30,25636,-62073,349,811,115.23,2728.15,HWE
45,82,89801,-92813,-704451,47,96598.29,-4120.57,WML
66,32,91375,987,67,977,63734.98,20.6,QVZ
86,82,96395,-382,235451,-4187,45493,-3836.24,TNG
45,90,27649,543,482,998,6844.76,30.55,JZE
45,94,33547,80,102503,2410,56113.52,816.83,MYN
25,47,58541,809,700,1839,193.83,8129.19,COE
45,96,66978,5213,-75092,6613,3786.95,44443.15,NIS
25,52,3462,-58,81,-70,380.9,700.34,FBK
46,6,23327,850,583430,45204,98958.19,-149.9,MDQ
87,6,81084,-75,-215666,13884,3641.6,226.82,QQX
66,60,80266,3820,-95,82,80.22,1538.11,TVX
46,13,55273,-2392,135,244,28.56,3371.43,CNI
66,63,64383,-1815,647,73820,-76247.29,-83.86,ZXM
25,67,35194,-861,-79,51215,529.87,-56.3,JZS
87,13,28887,-9415,40638,57213,4355.56,690.1,ZPF
25,68,45671,601,705733,426,-219.31,-74.58,BZP
25,71,80263,3870,510,26523,805.97,24.58,HXW
66,69,46214,5379,91220,76,196.35,30258.56,LXK
25,74,72680,9424,600776,-540,34.8,8975.17,QPF
25,75,9104,92849,80,99373,6922.25,644.98,MQS
46,29,57826,23,-495684,1740,67.88,-36725.18,AIL
66,78,60634,852,-317560,18139,-8432.73,-545.2,LSC
87,27,31881,5672,2291,-6788,-21414.4,-60804.41,SVS
46,33,67329,14,171897,58,9678.2,4673.72,KXQ
25,87,99560,55,55,-93,-97952.57,-8616.39,IMU
66,84,61452,3256,270671,-40830,192.63,9651.82,OLP
25,88,24638,77522,24,-558,4044.95,37.81,LYQ
66,86,20939,9149,963,57,88.31,3530.67,MLI
87,37,79505,256,-493907,62,1781.57,337.42,OUB
66,91,37361,94,37164,75445,78,9480.9,HNM
66,93,489,8929,277267,21,17366.71,8609.54,NEE
66,94,96643,27501,63503,49324,1179.6,20.81,SWG
66,96,65092,79473,5600,-593,-971.3,29798.12,ZUW
87,45,49122,5200,4089,68,-4544.8,64.27,NZS
87,48,18773,71824,318,34493,6470.89,32210.8,TSK
87,49,92780,36191,-158,-5064,58984.45,235.42,ZHS
26,8,78231,48,122720,387,4468.13,46648.59,NXC
87,52,44338,56195,97971,82087,49821.32,606.38,AJH
67,4,19806,-30,399245,-46196,-3358.28,-99403.6,EIC
46,60,79050,1680,-351506,71,46.88,-97057.86,JVX
26,12,20964,77,52,68,1755.85,5970.37,VBL
67,14,94210,24132,743174,-28691,65.87,105.1,VCU
26,21,33221,92,31422,6471,7934.7,-92990.1,TPI
67,18,96306,-397,2416,14015,-24632.41,-242.16,IPB
46,70,32596,-60,-74567,67,15.78,55997.3,QBL
87,67,25283,93663,4285,-8833,483.75,69.52,WQY
67,21,26385,535,20107,33646,91.46,8495.9,QHZ
26,24,59056,-347,-24263,994,96.1,26.46,QSD
87,69,29413,-614,60,17,6256.63,-97.41,NIQ
26,28,32573,9742,-91,962,781.12,2840.48,NDR
26,29,40807,11,685,6447,8842.57,883.71,URH
87,75,32146,80,454274,57404,-9937.86,62.57,QHZ
46,80,82170,-903,47972,36777,-29.53,4297.65,ZDT
26,34,24781,62,211606,803,74814.73,-3246.74,FGK
67,36,28581,331,-68979,45419,8947.95,11.18,GXT
87,88,49310,2214,-96,79,-929.84,6634.96,BOT
26,45,50598,61589,569,-91848,23.22,27.12,DKB
26,54,87671,-5872,1496,229,-86285.18,3543.14,CKT
87,99,90491,85,2091,60898,-15717.88,23630.35,YGX
47,2,77586,2860,5339,47,89207.89,-10.29,DUD
67,50,68749,-18381,593,41,389.11,4655.29,HIL
26,60,32029,20,-47,7673,-8318.52,-360.5,KXN
47,11,54796,-668,-793476,-3726,16778.32,79661.99,VZQ
67,62,75568,-18079,44,71,64352.29,18.91,UPD
47,14,33109,88139,46409,57299,-163.11,4525.44,MBI
67,64,93892,-3561,6087,72996,-161.56,36146.9,SHE
88,21,20315,-54475,6025,6948,280.9,-92.64,ABV
67,80,23340,21357,2644,4942,7023.83,3725.67,EKY
67,81,93227,34,76932,23,63274.9,7861.64,SVF
88,33,58781,87,-18162,93704,83028.39,914.4,MNZ
88,36,36243,35,94772,-6053,829.2,42134.31,IVB
88,40,72994,983,47,94,785.98,98.37,PPF
26,99,34834,763,-5086,-26,30.46,92044.14,XQC
27,4,13163,40709,-41,70,99.9,9129.27,INI
47,53,2854,-4628,-97402,965,-31569.73,49891.11,ECE
88,48,40888,46293,4603,8739,967.21,408.57,MFM
27,7,69452,992,-6877,-96423,77.4,-74722.12,EMA
68,1,79516,406,27253,41802,614.67,10.49,ZCW
27,15,63636,67,-3423,11,6730.7,2491.11,ENT
88,59,4709,33608,-8415,679,234.84,-664.64,AHV
47,65,29220,48,-65,11,4131.96,5568.79,VOB
68,18,28920,-2147,-808476,423,70428.77,-762.65,CZR
88,77,26910,99851,11459,38870,71940.81,982.65,DRA
68,29,37692,19,-521463,76,-865.66,73.3,DPU
27,38,31183,2498,1220,24,13.1,-57.9,DZJ
68,36,4854,732,-12205,4850,-419.53,-43033.17,QVT
88,84,5580,59599,72611,-482,27326.8,96.16,AFK
88,87,25980,1676,965453,7761,-10.39,-640.72,FTX
68,44,8889,98,7900,-85,3972.45,2698.38,HPQ
47,96,54537,68,26830,90,57.91,29893.23,ERF
48,2,86731,9066,329,7960,71.33,7786.1,UGI
27,54,60524,92444,-38,1970,20.29,-372.61,WOG
68,50,68006,5414,19,-99,59363.88,711.59,XAF
27,56,61477,-559,724,66,-99313.86,156.26,QCW
27,58,84803,20,727838,594,-669.64,-52423.22,BCD
68,58,7712,10,743,70,-44613.31,88.76,RQM
48,12,6041,211,19,75,549.52,23689.95,LBC
27,65,17628,-24767,-28,21038,304.52,38385.78,LXK
48,14,7530,468,577863,26016,46265.2,-9599.12,RDO
48,15,62075,76,-1122,52,955.36,-2991.28,XSH
68,64,43390,326,949,61031,-54.71,71268.45,FWQ
27,64,26200,29,-46338,213,79.85,3997.68,EAJ
89,11,82148,526,582241,39,-76861.48,-245.75,CZB
89,15,91533,77,649375,-93,-1449.47,6575.65,CDW
68,67,64030,415,435,9701,-7481.7,-65.35,IAA
27,75,57852,-69266,97,37,11974.18,-25.91,MWT
27,77,85398,-4056,40,20,9776.52,6164.26,LFY
89,23,98472,7753,563,1821,11381.6,8407.37,CIA
89,26,19335,40,693,22577,30.38,275.97,BUK
68,78,9380,8530,80,66400,-32859.53,13.48,DSF
89,33,78381,99517,-11,59364,63062.92,9678.13,LQR
89,34,31319,810,7046,21,5756.77,373.61,JFE
68,87,9848,47,93072,-48,-121.71,26.4,FDJ
27,93,35825,-15736,8232,-1357,52.41,327.29,WND
89,38,28797,45666,3916,519,53.97,486.16,YSC
89,37,60980,-7766,-3686,-16,96540.17,82.25,AFQ
48,41,87575,-40,8067,694,219.46,8051.3,EWU
69,7,34443,-30981,80,14591,-10786.6,-141,QAQ
69,13,17742,55436,919876,42021,40693.95,33.55,LKI
48,65,84421,138,608916,16,1776.9,923.33,EVH
28,28,24894,-5038,5322,3641,-4883.32,12.74,TLR
28,33,9865,974,-98,15479,286.8,90199.69,NGG
48,83,54405,250,148795,42079,4861.91,3701.73,FLL
89,80,91838,802,68046,-21,648.53,49.9,BKQ
89,81,76460,58,68,-157,4962.36,5755.49,TGH
48,86,17742,8870,2320,310,-617.87,61575.41,THL
89,90,54841,54613,742,-37,626.15,401.8,PFS
28,50,26531,617,93,77842,714.42,85400.1,OQS
69,47,1583,16,-22,9054,-559.79,-5285.32,UNM
48,99,96855,31657,3405,44806,-6162.3,-71.7,CFR
49,1,43645,-8553,930,-33603,5534.37,4477.97,NGK
69,52,25733,-9657,146234,-3971,22.72,-73635.84,CGJ
28,57,73310,35881,-998027,-3313,18.1,839.43,LJQ
90,1,38502,617,52,-283,92414.14,74367,WND
49,6,27773,-220,5345,-88349,-649.7,-22660.9,SEF
49,10,95854,69441,-83,25,65.76,87.13,JPZ
28,64,94619,44011,89265,-1203,665.5,-2859.2,CHI
69,64,68667,4026,9307,98,58.37,29048.64,RLC
28,69,77968,754,-89,-8113,-618.59,56.26,CWH
28,70,24194,8096,632786,69421,76305.34,25.37,VZI
69,65,84190,-23,480133,-93,-4376.24,-27.5,RIZ
90,15,30999,-1583,251,988,-8584.24,9629.64,ICJ
69,69,26267,7269,584153,121,41928.23,-42131.83,BEB
28,73,13342,78,299996,64544,47758.14,77.72,EYD
28,75,28096,90,236,51,36314.76,2675.56,QIV
69,72,76770,2915,6993,36962,6630.98,952.3,YGD
90,20,33541,-94636,-83,93751,184.74,99.31,UFP
69,73,71031,73,3079,797,6985.65,55.24,KND
49,29,78552,487,6556,73503,4826.68,96.13,YWW
90,28,49780,78272,92620,44475,6406.55,54.33,LLA
69,84,3862,92,17535,-2417,817.64,-496.97,SOE
49,37,22703,19180,73,1498,75.14,-67966.77,HYC
28,91,21789,39,72730,-6024,45168.42,84.6,VST
90,37,82609,129,15,6201,8835.14,72321.3,SBM
69,91,27790,87,-6583,8449,22.39,863.31,BVH
49,47,16736,-2018,2357,152,-9021.56,256.52,CNB
29,1,60699,8434,198493,140,47.44,80551.23,KMK
49,49,84185,-5007,-86,5517,-74.1,755.67,JJM
90,47,89058,26642,284,73752,36086.63,2363.9,WOQ
49,52,66833,506,88605,533,67.48,55225.9,KIU
29,7,31688,71,3758,583,-94.3,-45.2,REL
70,4,34623,-85,5313,908,96.19,951.27,JIQ
70,5,23552,-295,7916,79971,92148.4,-9936.24,UHD
29,10,72324,33,74915,83716,3029.86,320.25,IQY
29,9,16734,28111,27319,-30223,7826.9,950.77,RLA
70,11,77359,20490,-92,-69264,8721.18,50519.25,HUU
29,19,29730,4559,45254,37,-614.66,821.51,KWI
49,70,72513,-6417,8775,5736,5204.3,-845.71,EZR
49,71,3134,-95,-17911,8633,465.38,2965.88,MZZ
70,22,21903,93,-835,6389,173.35,-4432.34,OXV
90,72,27446,-756,62,-19911,-32429.65,82737.57,EED
90,73,46144,765,-360105,-299,-73.84,37947.21,GGP
29,32,15052,30107,141,8630,-795.74,482.85,NKF
90,78,66881,35920,351,22,7198.1,-8631.97,PUI
90,80,2892,66,663721,31296,-4877.87,44219.99,BLK
90,81,36858,-34608,47,683,912.21,-69898.92,JRW
90,90,75514,168,2286,869,24119.19,72164.26,MCH
49,96,53123,52372,419,532,3564.18,515.6,IYK
90,94,51186,15,63474,8443,-97000.46,-57978.29,LJD
70,49,82376,5621,390641,-10007,68342.42,-967.34,TAV
50,4,17808,5568,667022,22,2034.95,1628.4,TFC
29,59,74483,73645,13,-7188,443.84,100.5,BHT
91,4,13920,98,704650,-70011,-75628.52,-44,VHD
50,9,23425,53269,23,-525,-548.5,304.61,CNK
70,56,2882,26466,622,55722,331.16,76.88,SRD
50,7,7818,-409,-8108,46,10.79,870.57,FQR
50,14,69184,-80397,99,6255,1087.74,31.85,VDX
50,17,49204,25,18,74315,-30213.46,91.7,BQA
29,71,3575,-96,60430,68046,-837.68,42049.37,LSN
29,73,25682,470,91,-1604,-7151.9,53.92,SVG
91,21,21757,853,71,-356,6234,66613.6,DDL
29,77,31413,4434,85,-89,401.66,922.67,OJR
50,30,84812,84946,21113,144,3523.1,56.43,LWN
91,27,59064,7272,-383271,22989,20.56,34651.99,SUB
91,28,91325,209,59528,-762,3177.95,-7887.62,YKB
29,85,90091,12600,18494,51,11605.24,89.11,TLW
50,40,38990,42,70,83622,-43.14,369,JAA
91,43,19081,605,7410,-5380,1729.92,872.7,VCG
91,47,83007,65586,-25515,68,-1762.68,6030.37,NSM
71,0,72,6841,531907,-50,148.4,8573.6,DFW
30,4,33149,-74508,998332,9722,6869.67,5451.7,ZWP
30,10,78747,42859,-880759,7520,13384.53,46868.7,CBW
50,60,31709,84992,505,41447,-1278.4,-80120.4,PJP
71,9,48988,-32529,690,20,-64.11,-696.18,HWM
91,61,61178,-767,98,-1739,74.35,30601.69,CRE
50,66,66935,58290,-62347,37,799.66,27.8,WLR
50,67,48205,-55335,2362,869,-825.7,63.72,RTL
50,68,63566,1249,516917,-27,-94215,51726.43,AKA
50,69,73158,-32,-176650,334,-41.34,3320.18,KQB
71,18,26397,-22,11080,4899,-390.8,8482.78,QMC
71,17,79529,-6988,61151,64867,85311.61,-5746.77,TDE
91,65,68291,997,2337,320,4595.87,-60.2,QTQ
91,69,29719,78,3699,37,810.44,-6465.45,YUC
91,71,13289,1473,919,43,48957.8,858.56,WZJ
30,29,87734,-91,10,44277,-3821.83,947.8,XCB
30,31,60779,517,7145,918,-7732.84,7293.13,CQL
30,32,62025,203,5135,48112,3357.52,894.89,XFN
91,76,4934,-59627,487,58684,25851.37,2241.63,UXC
30,35,35113,-16,186793,8061,58476.79,-24.27,NCY
30,36,52120,81,48,16495,721.49,261.85,FML
91,80,19499,-2088,605562,1871,54638.3,78.5,FRX
50,85,17748,4625,-65650,97,82.82,11.75,JOD
91,83,38725,53,-42883,4690,7714.21,110.1,WAS
91,84,30612,14,144612,9340,-92741.88,-20.29,DBR
30,44,12744,200,2638,94276,3483.3,-17388.7,OSL
71,42,29159,5151,27,-10478,8441.45,918.98,WZP
91,91,34361,-5710,619,18,909.35,487.17,TQJ
50,96,40928,614,18741,35,4939.13,5220.58,GGD
71,43,45985,4780,164440,1257,497.71,-39.65,JOI
30,50,14298,-28,5625,1314,-9293,4801.3,GEU
10,4,49242,-6911,501,14616,42.79,-73.67,NEQ
10,5,64838,2299,-254136,6636,-6309.79,387.74,WLD
91,99,52659,18,67008,186,69534.68,21.86,JKW
30,59,66012,72,42952,77787,374.9,85023.3,UVV
92,4,62031,-75243,1096,-17,19.65,51739.9,GAT
30,64,54330,1795,-51,59,-96967.77,57.13,KST
30,65,98267,56591,-684,-96,-559.54,1767.15,PUK
71,61,14026,76,-129223,45,-41.27,28.9,NLN
92,9,55861,961,18457,548,52.75,25.61,VZC
30,67,95650,424,66040,97,7265.75,11.51,VRE
10,23,18548,94,17,7465,4187.15,92.35,JIV
92,16,12588,62676,-16,66995,614.16,49.33,ZMO
51,21,98557,12062,5946,615,-1236.6,91331.43,PTV
92,18,43748,1159,7848,5464,-89337.7,25539.21,OYS
71,71,77141,-457,-888789,752,1410.56,2482.48,JHX
30,80,90739,948,453,847,-2424.54,81505.26,SYJ
71,77,21863,16,-542,-27411,78517.83,943.71,AEJ
92,24,48053,8690,41765,55,71065.99,264.58,EYN
10,38,47589,8066,872334,6401,71425.16,2952.25,ZVW
51,34,50141,93,8017,18209,341.39,-2099.18,JTT
10,41,59092,1479,46,74,226.26,53.66,ZNZ
71,85,84176,11,210566,148,5482.75,88853.15,JUQ
10,45,46380,41378,67,87088,3530.29,4316.17,DBB
71,89,59191,4550,85836,239,4325,-201.33,FNZ
51,52,76835,51,30,-97,17260.81,20512.98,IIM
92,49,80917,96,756,7351,94.11,-9282,QJH
10,58,74923,20878,9895,3573,11.87,860.24,UNN
72,3,59557,5647,529,96636,53393.54,649.5,VIN
72,5,23795,215,739056,58656,49659.89,6784.5,CVR
51,59,90456,89029,-62810,42,70595.58,4949.3,KQX
31,11,94864,29371,31,32092,22608.98,5405.14,MKD
72,7,93331,77,777404,3338,10.5,424.65,NNK
92,59,12347,43,185,37852,3853.37,-90.42,MXN
72,13,86424,854,17,819,82836.49,30351.67,ZYP
31,18,41910,772,-688360,25640,43.2,39.91,QRE
92,63,35641,1329,2366,564,52404.91,56.33,SQS
72,18,55112,30,-40173,-13174,77.88,411.86,PRP
31,23,17273,52,775129,116,-434.64,71173.44,WLN
31,24,25304,360,80,831,-33558.19,19.6,ZAN
31,22,60648,-5687,268,23062,8886.3,14023.16,QPQ
92,70,70955,73,21598,-89958,-1178.41,5547.27,IMC
10,79,69009,-80620,-28316,3540,86581.12,11.17,OHD
92,72,5004,30327,48235,655,47.94,-661.58,GGX
51,77,51223,20,4478,40,-940.45,914.51,PKG
10,82,76859,5239,-237642,455,1849.52,38.28,NYK
10,74,85904,43,-28025,1088,17.86,38500.72,NYL
92,71,55606,-503,13143,-8836,75.13,-98384.45,ICI
