SBMSN-CDE,PURP-CDE,OBLGNS-AMT-CUM,OBLGNS-CNT-CUM,VOU-AMT,PPB-CDE-1ST,PPB-CDE-2-3
1,9,-13147.99,722523,60320.7,8,87
3,1,82520.98,173022,-52337.28,7,99
5,8,18986.01,490490,-1547.39,9,43
8,1,60319.63,508038,-97055.71,4,66
2,6,-70845.14,693791,93513.71,5,22
6,9,39342.7,936754,38664,3,31
7,3,58222.54,295542,32672.47,2,12
7,1,78873.4,446169,-72346.36,7,78
6,9,-47187.08,658688,-90185.27,3,13
2,3,67592.22,327671,68487.1,6,42
8,8,-72533.92,581328,23214.69,8,27
6,4,2392.24,367430,14024.63,5,95
9,3,50037.04,939843,84196.86,3,72
6,6,95003.96,575418,-51658.16,2,37
2,5,-99005.04,402916,-40334.63,9,54
6,3,-75235.81,447451,-69185.15,9,37
3,7,-9484,330136,26297.89,2,95
3,4,-24715.74,412014,-39579.48,6,41
4,4,54940.25,964656,-99815.84,5,75
7,6,-69440.14,259346,53824.21,4,87
5,9,-1022.12,343078,70932.46,1,26
8,5,-67889.81,422830,69619.76,3,74
8,5,45230.21,253492,-45794,6,61
4,1,58875.85,554643,-2048.71,6,36
8,5,77919.93,637253,13936.01,3,34
7,7,-72420.79,443956,57553.59,9,30
2,8,-86451.85,593043,33288.34,6,76
1,7,-96597.8,537244,65836.26,6,67
8,8,-1381.67,176606,81255.34,3,60
3,3,14320.51,917339,81308.39,4,19
8,3,-48772.77,899452,65864.34,2,40
2,6,58148.9,781917,-8100.1,2,33
9,2,73799.25,996492,40531.53,3,25
2,5,66385.37,160543,10447.1,2,36
2,5,32862.38,426864,63887.49,3,13
4,5,-16500.16,288806,62327.47,4,87
5,6,-30558.7,724293,64882.19,6,75
1,2,69914.1,521903,74128.34,1,57
6,8,-55516.42,728681,-26991.43,2,39
7,5,18292.75,711546,-19039.04,7,57
9,5,-64600.93,120161,14070.36,1,34
5,9,-90268.75,468554,41796.99,8,83
2,8,-13854.74,864269,79215.09,6,10
4,2,62706.56,689153,-89724.38,7,18
8,5,-42742.85,812555,-4074.1,1,66
9,4,-48339.09,783007,47605.9,8,42
4,2,54685.11,858473,-22764.17,5,35
5,7,-20831.08,710296,-37301.59,4,34
5,1,4431.6,378207,21467.94,4,31
1,6,41622.7,711776,-38444.9,2,22
4,5,14228.74,779897,-137.93,1,56
8,2,46834.63,994278,74539.27,4,45
3,6,-5252.15,446271,25717.93,2,72
4,9,-84297.66,302267,-49487.72,5,87
7,9,-15170.85,843139,46913.57,1,84
5,7,-70387.66,282190,-8688.47,3,48
2,5,-44337.74,479364,86726.25,5,42
4,6,65423.32,164350,42704.19,8,10
3,2,92095.17,247175,58775.08,4,84
5,9,-13821.68,221199,-69571.72,6,61
2,7,13908.86,423982,-14124.81,3,67
8,4,-71954.65,590916,77702.88,8,69
1,8,65875,903838,24285.01,8,29
7,7,56283.25,366704,-97037.59,3,59
4,5,-95218.73,277504,-4840.25,6,77
9,5,90176.14,879303,79663.45,2,61
1,9,-34419.42,252599,-7630.85,5,43
4,6,-57797.74,843297,-71142.18,1,38
1,3,67910.81,487130,-96057.04,7,32
8,5,-96012.03,484004,-87952.27,9,59
9,6,37930.78,289546,-36310.01,2,63
9,9,-94955.62,948493,-25901.68,8,73
5,4,48441.2,785231,95999.94,3,41
9,3,-75330.55,415870,1395.26,6,31
2,7,88295.2,664746,19786.8,6,13
7,3,-69315.75,762974,-60365.18,1,94
5,9,-28600.27,739472,47663.35,2,86
9,3,1339.25,421475,28939.47,7,78
1,4,4483.77,122098,-86797.68,5,66
3,5,-29232.74,193854,-49953.55,8,62
6,3,47826.4,886785,-66774.1,7,89
9,4,96980.8,965748,-88816.53,9,64
2,4,50409.77,157357,-78083.07,5,19
2,8,-59915.62,779349,-6046.37,1,26
8,3,95152.19,921707,-19925.37,7,61
5,6,-98296.25,937192,-2653.59,8,49
6,9,4340.37,759950,46903.03,2,52
8,5,74346.22,844059,-68916.04,7,93
5,5,-48411.63,336056,63405.7,1,96
1,1,91469.08,770581,65220.19,8,16
4,7,-54479.58,229582,-70871.85,9,15
4,3,-87634.53,636610,-7580.66,4,65
7,6,-33119.36,746827,-30331.89,1,45
4,9,36116.19,500843,-66571.32,8,53
2,7,42252.01,355127,54777.07,4,16
1,4,-91800.7,742031,-41132.75,6,26
1,3,-49116.49,687017,-78024.97,3,85
1,1,44843.71,234610,73559.22,3,83
7,5,80911.35,356558,41884.68,8,38
3,3,-20399.16,312291,-93612.75,8,53
3,7,-55828.62,833526,-54356.89,4,20
7,2,46606.11,957700,-40459.66,4,97
2,3,-7737.02,833457,-34126.96,5,90
4,6,79705.74,323812,-65986.42,2,89
8,2,60553.97,349294,-54879.86,5,20
3,6,-49780.66,220873,67689.26,5,50
3,8,39601.21,344450,-53869.39,2,58
1,6,5049.15,574949,13613.79,7,57
5,4,-18925.34,832210,-27802.71,6,57
6,6,-30311.42,731291,-60673.71,6,51
5,8,15217.06,852170,-96195.31,8,79
7,5,60242.48,900456,55774.04,7,46
6,6,87624.28,595795,-83296.66,3,87
2,8,61503.98,546425,-99526.87,9,44
4,7,-58008.32,125599,-85760.05,6,92
3,9,-97863.63,809451,-32394.96,1,23
5,3,-84333.93,824052,-22610.1,7,18
4,9,-10534.78,668948,64862.27,1,44
5,8,-32211.94,672865,-57886.05,3,64
5,1,-76465.83,285779,20157.4,7,48
4,9,43283.71,425462,-86365.05,1,58
5,5,45047.54,107035,-1269.37,2,73
1,7,-54510.12,768867,-66149.73,7,10
9,3,-76900.54,837968,50855.83,5,16
5,8,82185.33,186448,-16093.24,4,27
6,1,-87917.47,185130,-24781.18,6,41
3,9,-44994.1,839577,9568.03,7,49
3,9,84843.19,770071,-30844.83,6,38
4,6,-69771.21,459141,72807.23,3,96
3,3,-86347.24,313132,76579.78,6,59
1,8,61794,119133,74529.29,4,54
4,8,-1396.69,856972,54808.31,2,50
2,2,-78190.35,579783,-27387.98,9,37
4,8,92885.17,990279,49805.81,7,29
4,4,-78382.7,644750,-64178.79,9,10
8,2,-39231.46,604729,43526.74,9,28
6,8,73836.61,940609,27426.27,9,26
3,2,10070.09,267838,87711.19,8,70
7,9,46249.27,470009,-70348.62,3,51
1,8,-98783.3,527266,-57466.69,7,44
1,7,-26706.76,447426,41075.12,8,73
6,9,1909.21,735878,-34373.86,6,69
8,8,-12587.07,192816,-77338.53,4,25
5,7,90948.5,573742,50738.85,1,76
1,6,32016.97,125428,-90282.86,1,38
7,8,-32584.56,119211,85452.97,8,56
2,1,30297.48,962973,-40702.79,6,69
4,2,39708.61,228879,-53724.21,4,39
5,1,28564.55,704804,-673.07,8,27
5,7,23438.88,983634,-9392.19,2,96
2,7,82189.66,226205,45521.37,4,35
6,2,30650.16,218582,-96466.89,7,68
2,8,39918.05,101547,82758.86,2,74
4,4,-22702.43,193314,32844.61,7,14
1,9,-24231,429405,37987.02,4,12
7,7,81900.35,191164,33788.83,9,82
9,4,-93210.31,309404,-35336.06,7,30
1,8,53869.99,810294,77252.37,2,40
3,7,57943.66,156238,-55358.6,6,29
8,3,75979.18,154421,81498.85,8,18
1,2,-46189.36,814262,62301.34,8,76
9,4,-34986.81,885027,-57393.39,3,33
1,5,85558.27,684471,-29349.74,2,76
7,5,13500.82,780989,-81745.33,3,62
5,6,-52187.84,667923,-38356.91,8,72
7,5,36646.55,601663,-91827.54,1,84
7,1,-99188.37,967053,83550.11,1,95
1,8,15969.5,284639,-11473.88,2,75
9,5,-31665.5,750259,-66013.42,8,16
4,5,-57707.54,489043,24437.92,2,58
8,9,-78935.14,520604,-40657.5,7,48
6,9,-85211.27,995963,-61595.54,8,90
8,2,-50681.9,866963,41705.6,5,54
6,6,86544.69,499608,16667.93,2,91
3,7,6231.93,968263,-91171.8,6,23
9,9,63546.7,916787,-35252.05,7,44
1,5,-19306.49,407919,47731.62,9,29
2,7,-63122.23,557705,-32227.17,3,43
8,6,20501.91,697119,12377.78,3,67
6,3,5957.88,369572,56634.32,1,55
9,7,-93916.84,547532,79893.5,8,94
8,4,79036.34,880804,22319.16,5,96
2,8,31770.44,543193,34270.57,6,66
4,6,-20127.33,728109,-29289.67,4,49
5,3,-31043.47,474833,-19980.84,3,59
5,2,30655.5,707616,21310.84,4,59
7,5,-80116.7,201035,38797.06,7,39
8,4,-3247.37,997875,67596.52,8,99
3,2,-83284.26,958541,95517.38,3,10
2,2,-96333.56,658749,-40395.3,9,48
7,3,36503.33,373770,-6884.98,8,90
8,5,96764.25,297580,76592.86,1,41
1,8,-67195.46,748315,-76085.21,5,11
7,3,55494.85,381032,32042.02,2,59
9,6,87315.17,758021,-81102.92,5,72
4,8,-13044.35,230018,-15970.6,5,47
7,2,5398.85,751917,37643.09,7,71
3,6,46069.57,275945,-9967.53,6,94
3,1,-88237.89,649055,85320.67,9,73
5,1,-82064.97,251826,95543.65,7,58
8,7,-96315.48,203128,73704.34,3,67
6,2,-30948.17,866485,93445.74,1,28
1,7,60675.71,678279,30346.54,3,33
3,2,-69242.01,628901,-98509.91,4,47
5,7,-16421.19,145954,79176.58,5,96
4,2,-76766.5,726259,-83096.88,3,49
1,4,16348.68,676420,90510.7,6,70
2,9,22864.65,399272,27114.08,4,38
7,1,-62669.78,449666,4775.23,2,25
2,4,18157.7,210149,-67300.54,1,60
2,8,22077.36,659170,-98983.8,2,17
4,1,-66418.28,689091,46983.09,9,64
3,7,45796.89,951823,14229.66,3,49
6,4,12973.49,380520,18903.99,1,27
8,1,32102.44,948262,-3910.49,8,37
1,9,89807.9,904474,-60041.18,8,66
6,3,28125.97,182213,35295.2,7,96
8,7,24605.94,569166,63563.54,2,44
1,7,-12386.49,830753,25456.15,4,40
6,9,23001.79,910202,-12742.35,8,11
8,4,-33958.17,930906,-28288.66,3,14
6,7,-13962.83,126498,-41645.55,5,29
9,7,51854.55,596456,-9995.15,9,10
8,5,80963.3,395220,-28652.46,8,24
7,3,-90676.56,459092,42317.45,5,73
2,8,16995.42,510150,76420.23,2,95
5,4,-56229.46,422053,80507.56,7,79
3,6,-12310.03,399715,-41309.69,7,92
2,5,-6623.35,815375,-79394.4,2,50
8,2,7775.11,780071,68862.33,6,64
8,8,53720.73,181182,-17360.46,1,83
5,1,-63640.51,576432,33469.69,9,28
6,9,12746.26,792943,-89108.95,7,22
8,7,45494.62,396780,46204.63,7,10
9,5,8732.73,194642,-35360.4,2,70
8,2,31269.32,945939,-81391.64,9,27
1,9,-77416.57,571023,62031.84,7,83
3,3,25627.07,860583,9846.89,1,67
4,2,-20297.11,215046,22827.01,1,25
9,3,84826.87,615729,99581.79,9,51
9,5,-64852.21,919531,-68723.4,7,97
9,7,75715.17,882741,-13239.9,6,96
5,6,-16589.89,585104,-6407.28,7,80
8,2,455.03,413694,-43520.98,6,81
9,5,89833.58,209391,-27084.03,8,35
7,7,72780.58,697387,-82924.96,6,78
9,3,60631.02,624061,16161.09,8,22
8,2,-38570.31,395617,-85084.85,2,34
8,6,-95382.57,486390,-24258.85,5,70
9,1,54604.89,837789,-19027.84,9,40
6,4,-68937.1,171347,68705.24,2,11
2,8,30404.57,652634,19892.32,8,94
1,9,1390.65,199156,-81143.56,9,63
7,9,52745.48,380866,84776.64,3,26
9,2,-31540.87,451039,-85543.06,8,73
2,7,28905.1,672833,74378.31,8,62
8,1,-95671.02,843827,-83997.21,5,50
3,8,85766.04,962922,-72818.13,9,66
5,4,67056.47,589297,92658.53,4,58
1,4,-72096.12,607750,53029.88,5,74
6,2,-33356.15,214992,-23938.95,8,66
2,5,-51411.9,643024,94337.38,4,15
9,5,33263.93,119936,43184.98,5,30
5,4,-15163.6,783221,29570.41,3,45
7,2,96420,941186,26073.7,1,92
2,1,87164.16,384004,83865.03,5,96
5,2,38255.92,907768,-13691.66,8,35
4,5,81953.61,712521,75078.87,7,17
3,3,35042.07,534452,20427.87,5,11
3,3,11672.42,275346,95733.07,8,66
1,5,-565.12,758708,-44277.98,1,38
1,3,-92419.37,980268,45560.76,2,21
2,6,-44911.08,409138,-74660.77,4,25
6,3,76006.81,201628,63067.2,8,75
5,2,90306.81,255501,-11113.71,6,91
1,7,5420.14,345665,-10234.2,6,34
7,5,-12494.33,324380,-65760.2,4,35
2,4,-87550.45,882820,45935.33,3,47
4,4,-2780.03,405708,81233.63,9,77
2,2,94388.96,992477,83965.58,5,54
3,1,57626.62,483808,42378.22,4,47
2,5,-71147.78,496989,-79001.78,3,85
5,8,-50585.41,202579,27365.43,8,96
1,3,97572.09,432745,18141.1,9,56
9,2,90095.9,175681,-25756.74,8,25
4,1,-80716.98,770358,-72315.94,9,13
4,8,35686.81,995909,-24675.15,1,67
7,9,25854.11,493339,-80402.14,2,23
8,9,-32206.21,939637,21570.88,8,14
5,3,106.29,798243,93031.92,9,42
1,8,70371.42,259584,83012.84,4,24
8,8,-24808.21,234232,91975.35,6,18
8,7,2271.51,721178,69645.82,4,22
5,6,-62876.82,634424,42306.26,7,30
6,4,-22626.67,608129,33245.24,1,78
1,5,62088.57,892199,-28555.88,7,80
1,2,95290.76,447886,54302.36,5,81
5,9,-24222,537824,65767.51,2,52
2,9,4437.62,627835,10674.2,6,17
1,5,9951.43,636380,52311.36,3,45
1,6,25698.24,488519,76954.84,8,23
7,1,53538.83,869487,-4511.72,2,11
3,3,-39230.52,489625,-54928.03,7,51
6,6,-94313.96,913220,44744.45,1,28
1,2,-53710.25,649954,41620.84,1,92
9,2,-27648.34,284212,-15956.25,9,43
9,1,61440.45,210400,81180.69,1,12
7,3,-67623.62,717277,50688.23,2,22
7,5,-3920.68,395749,66404.65,8,35
1,3,87836.93,520687,5713.84,6,76
7,5,71656.79,534524,-52122.67,7,15
7,4,69174.6,643066,11316.6,6,95
4,5,99674,451208,41624.61,1,19
9,6,-74951.59,290038,14599.28,8,10
2,5,-97091.62,873548,30968.79,6,47
8,4,-59837.52,818769,-98253.44,8,88
5,8,-86317.92,702770,-14805.94,3,82
4,8,15922.22,753652,14418.56,8,18
9,6,-84637.42,341268,-92065.72,5,62
4,7,3923.75,550621,-2027.19,2,52
1,3,-74067.76,498347,-57350.99,5,23
6,8,-72048.78,393609,55614.1,1,60
8,1,-43933.44,731281,76172.66,7,85
6,1,-39272.85,663355,84211.46,9,21
4,3,19084.91,278116,-73627.58,9,17
1,5,-69711.84,749344,-54233.42,8,87
7,1,74963.26,191003,44995.92,2,53
3,6,-22856.03,452740,95613.37,8,20
8,9,-27641.33,371323,-78809.51,9,65
6,9,-71090.32,616890,9176.04,4,78
8,1,-57601.27,982520,-718.43,5,37
4,2,-59441.11,144646,59336.97,9,29
2,7,-64102.82,136737,-16598.16,4,96
1,2,-12617.42,937347,-22768.32,7,16
9,3,49141.01,887455,70993.74,1,34
3,8,-50847.71,409204,-90031.63,7,49
8,6,12909.88,710277,57368.55,7,81
2,8,66760.28,921235,-6370.77,8,66
6,1,-20151.47,811782,-87444.07,3,47
9,8,-17304.37,742522,-28524.79,9,84
2,7,-17627.15,127234,-65309.63,8,19
9,3,-88372.35,651118,34547.66,3,86
7,1,-68369.21,709640,-92383.94,4,38
9,7,12605.27,608559,-43132.49,7,89
5,3,-66792.98,381777,-68352.75,6,34
4,8,35054.44,272546,-72122.94,1,59
7,6,-75698.88,278793,71043.77,5,22
9,9,81129.87,847936,-64089.25,3,28
8,9,56820.19,799797,-52344.85,8,56
8,7,4750.4,358433,-32483.28,2,70
9,4,-65371.65,798219,29252.31,7,31
4,6,86654.1,694499,9346.76,9,81
9,2,20588.63,949048,-51206.85,6,32
3,3,-49289.62,771415,-76028.07,5,86
2,5,-55885.08,186318,14230.21,7,42
3,2,51699.38,608328,82487.81,9,67
1,2,11079.58,211969,50230.38,3,13
4,9,-84498.64,252570,-60597.73,3,35
4,9,-36170.78,656822,-44543.53,1,32
9,9,-43420.58,611779,-21985.39,2,64
4,6,59171.35,624653,-6174.06,9,71
2,4,-22984.51,626725,-6636.67,8,41
3,3,22302.45,293797,98126.07,3,84
8,9,24257.28,164384,-53865.9,9,48
8,7,-7597.22,638304,54938.81,1,92
9,2,-77624.33,101282,84745.76,2,58
8,6,-10922.27,467880,82154.15,6,78
3,8,-1465.57,279879,39240.8,5,46
7,6,-16975.92,305711,-87652.11,3,91
3,5,-32269.1,503250,49909.87,9,18
5,5,-44982.43,244772,58969.35,2,59
9,2,28245.52,537190,-11063.3,6,85
6,1,-53660.51,775244,-98544.19,3,66
7,4,-35511.26,557692,86092.97,4,67
9,5,-54960.45,418502,55283.67,2,34
7,9,59908.68,295762,-69739.69,7,88
4,5,9540.34,171265,46832.83,3,39
6,4,57059.25,862635,-3046.06,9,42
2,6,-84725.12,198656,81732.36,5,49
3,7,-56998.53,440095,-80866.88,8,48
2,4,72445.18,372211,-79552.58,6,71
1,5,-89385.44,218429,92379.87,8,15
3,1,-42749.58,828618,-37857.67,1,60
9,6,44421.43,167664,55423.13,4,22
7,7,-49940.73,387686,79623.87,6,62
2,2,-17707.83,193099,17776.27,5,61
7,2,-8740.09,148743,71979.16,3,96
3,4,-35422.24,616049,19176.73,5,71
1,3,43746.48,502024,-32035.69,6,57
1,2,-30259.53,111151,-98425.29,1,96
3,8,18633.31,143863,-14318.83,6,66
1,3,59592.89,893782,68274.76,4,48
3,5,5129.75,857428,-47580.76,1,90
2,9,-8215.1,503869,71778.09,4,67
1,1,966.34,506074,33400.36,6,63
4,8,2098.95,707807,-19422.72,9,80
9,1,-10946.58,899143,-93861.33,8,60
6,8,-37940.21,125983,-90288.58,4,30
6,5,-48286.62,331786,5398.1,4,92
6,4,91662.86,921814,-72496.51,7,81
4,3,17571.21,705852,87554.06,2,94
4,9,83365.89,934392,-45143.85,8,49
1,5,79763.59,663332,-74810.63,8,37
7,1,87046.98,472669,-83587.54,1,95
7,9,15921.33,944131,65572.56,9,28
5,4,-66864.19,362943,19623.64,1,18
4,5,53636.55,341553,55471.03,7,47
9,1,-19836.94,494392,40744.35,4,97
6,1,-83723.63,266834,-13539.89,5,34
4,8,90890.14,206729,40156.28,7,37
1,2,10670.6,512713,20799.13,7,41
1,9,92449.65,944454,-28756.25,1,96
8,3,-66369.94,303140,1711.81,8,28
7,9,-1297.73,874608,24950.04,5,54
6,6,6077.56,643436,-21979.3,3,77
9,9,-90770.88,334685,-48200.57,6,79
8,8,-21620.85,935705,28795.12,2,88
6,9,56931.78,259407,96203.95,8,17
5,7,88117.29,628294,34165.47,7,93
1,5,78180.05,433509,36936.27,3,27
8,2,-39013.47,343091,-62657.79,6,40
8,2,-79625.27,852805,35394.53,9,82
2,6,-11535.91,293644,72043.89,3,65
2,2,2996.39,587732,-87360.12,7,19
1,2,-35218.86,153985,-64608.3,5,38
8,6,-36435.95,724125,21972.42,5,84
8,2,86284.11,304751,-97443.39,9,61
3,1,-86143.73,191149,-58552.2,3,55
5,8,47130.03,855759,51862.07,6,75
2,8,-69495.94,880573,-98353.64,1,73
8,3,17000.86,813307,50223.83,2,89
6,4,-22934.03,290045,-3513.25,6,98
7,6,-6226.73,200230,64926.17,1,25
5,8,50717.9,849154,-64387.12,6,33
2,3,84391.61,832039,25741.36,7,33
3,1,35102.16,697560,-10901.54,2,19
8,7,-29959.3,526284,-73220.04,2,69
7,4,-33326.11,685143,-42598.07,2,44
8,2,91229.34,209208,-56959.95,4,84
5,3,-24076.49,472708,-26695.62,7,44
7,5,81105.59,591074,34478.09,8,67
1,3,-13122.93,460014,72516.47,2,20
1,9,-62744.22,481697,-51601.8,6,63
9,1,16917.31,365988,58580.92,4,68
3,6,19006.7,567003,-38075.12,9,86
1,1,-15290.02,313044,9222.62,7,33
8,8,32982.75,783211,-57992.85,9,17
6,6,99562.1,955052,97952.65,4,21
2,7,4802.31,417069,5659.63,1,53
6,7,4603.41,838191,-18726.69,5,55
4,2,-72876.07,404345,13763.43,3,29
2,2,-51900.14,664134,-29446.06,6,64
5,8,-16105.64,676237,24876.3,7,52
1,2,-30108.84,886447,-14591.34,1,57
7,6,49814.24,762834,-84641.88,3,59
4,3,9636.93,374352,68083.92,8,32
5,7,39184.07,815171,-98095.93,2,40
3,4,-93778.28,252989,31778.01,7,26
9,9,-19383.65,677308,-40665.44,5,22
6,3,62598.44,307655,11289.43,1,35
6,1,-94756.63,900940,-29299.88,4,12
9,4,-44782.04,853230,82881.38,7,23
6,6,3693.54,262768,-4911.4,1,91
6,5,91171.32,321709,2099.89,6,93
8,4,-7398.53,947413,-19291.13,1,92
8,9,-20078.06,964635,-22532.57,7,75
2,6,65617.57,903383,44758.75,3,69
8,5,-5160.41,470282,69383.1,8,73
6,9,59980.24,919741,-27871.94,7,89
3,8,-33951.79,312085,17416.65,2,37
9,3,42718.73,717835,-9988.06,2,28
3,1,49938.82,598694,98100.19,6,33
2,1,53939.13,927047,-9426.4,8,13
3,5,-85955.77,646137,77355.92,9,19
2,2,-79135.26,741680,10586.37,2,83
3,7,92801.81,814614,10696.65,2,26
8,2,15897.21,327523,31049.3,5,42
9,9,91472.41,803685,-2918.07,1,55
9,9,91971.06,780825,78422.92,4,32
6,5,48875.07,932036,-10580.35,7,63
9,8,-1424.68,354714,55664.16,2,86
3,1,-64689.37,428051,-22653.35,2,38
4,2,60411.68,523774,-85976.54,5,69
3,9,28117.82,114754,67156.8,6,57
1,2,-60252.07,519822,-38033.57,4,82
1,9,5568.67,822040,-69419.62,5,29
3,8,-85255.92,747053,-73805.35,7,40
3,5,20978.82,162580,18938.51,2,25
6,3,-46063.19,411272,92992.55,4,75
5,9,24783.11,970913,-33582.61,9,99
8,7,47424.87,715472,55698.98,3,28
9,3,-39716.19,414111,-94899.57,1,68
1,9,43158.27,254376,-74760.03,7,20
9,8,-96577.78,710434,-46037.08,8,45
4,7,-75645.85,778091,-82943.05,4,56
2,7,52357.04,989340,-69522.33,7,12
4,2,76719.18,995690,-73108.77,3,79
9,8,-9836.66,941443,-14196.36,8,44
5,4,36677.76,560894,72305.24,7,25
7,8,-35040.09,534508,14888.65,3,60
3,2,554.07,561458,30500.71,3,72
7,7,-18278.17,122769,-67721.45,3,99
9,3,-23359.29,556288,-57070.1,8,10
9,7,-6148.7,170124,-47232.47,5,17
2,6,-10508.13,832204,68262.61,4,13
5,6,-65940.91,419601,29381.43,6,46
5,6,63065.37,631572,81223.09,9,20
5,3,62661,274171,20879.11,5,16
2,3,28918.54,640371,53196.68,8,99
7,3,-86763.29,126273,88759.04,7,55
6,6,-9165.97,414224,92983.36,3,53
7,8,78488.79,181470,-12509.1,7,71
4,3,64538,341550,-61702,3,84
8,1,1482.01,721272,-50642.21,5,58
9,4,-69422.69,762653,-58711.97,6,40
7,2,26700.63,481529,-74313.12,2,52
9,8,97018.76,336283,33470.24,7,11
1,7,-49305.8,514806,-64905.62,8,55
4,7,1210.01,715028,-68390.48,8,73
1,2,13137.99,213336,-23282.19,2,47
3,3,-39446.47,420846,-79714.89,6,81
7,8,71399.74,301408,2454.76,4,24
3,6,58597.72,987125,-70593.44,4,66
9,1,-95859.3,637313,5125.49,7,28
3,7,30311.47,923979,66372.07,1,75
8,1,60478.69,668614,-59131.4,9,63
1,9,71734.05,194379,-1483.3,5,71
9,7,-31928.76,497814,-89476.09,5,31
7,2,13471.39,807898,-68457.42,4,46
5,8,-56789.55,477011,-17051.86,4,90
2,1,84955.05,579194,99430.15,3,55
2,1,68554.82,185987,-63328.23,9,73
9,7,-99328.49,309093,52232.74,4,92
8,7,15754.65,133900,15051.9,9,76
9,6,-57288.14,123174,11262.38,4,29
3,1,50523.44,917795,-41703.71,1,48
8,8,-89777.28,806873,-43298.68,5,21
6,5,16662.37,904872,-32085.59,9,15
6,6,-67048.03,520842,-61477.71,6,83
7,9,-81359.08,815569,-30788.28,6,57
6,1,-18777.3,281221,-41255.42,9,61
6,3,28125.11,927020,14845.11,5,55
1,6,63896.18,758578,-32790.37,5,76
4,8,-97402.24,785238,76507.93,1,47
1,1,66102.06,377394,24289.32,9,33
1,2,7958.11,851115,97381.98,1,86
2,3,69386,587272,-64757.24,3,17
3,8,94073.82,272376,-40504.55,8,30
3,3,3012.11,459251,-12880.93,7,56
2,3,13978.87,212159,-81973.46,3,45
8,4,96750.75,838726,23778.13,8,69
4,4,-29974.16,194682,70766.12,5,84
2,6,78800.8,906251,16244.07,7,18
2,3,-93808.67,428281,-68071.79,8,35
7,3,-41400.01,990170,70742.86,3,99
9,4,-82875.24,718811,7372.55,9,63
4,4,72813.92,272899,61413.91,1,40
7,5,-91721.73,446553,98959.06,4,15
6,4,-16263,928842,74006.34,7,30
5,4,14101.03,986928,-34682.71,3,45
2,1,89712.51,724859,-28224.38,9,35
1,3,-94550.62,437233,97160.64,6,40
4,6,-94007.73,650935,-8737.9,1,49
4,3,61792.98,102385,85209.85,8,32
5,1,49475.63,406942,36511.99,7,33
2,6,40418.36,781564,-67525.08,2,59
9,2,59527.04,644148,69922.8,5,22
7,5,-88114.51,192557,19864.43,5,76
8,6,-12422.57,293200,60603.02,9,78
4,4,-22450.38,383601,-99371.03,1,86
